accession	tier	bioproject	bait	bait_class	kmer_cov	known_phage_match	match_ref	qcov	identity	novelty
ERR13916158	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916158	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8487	no	-	-	-	novel (no known-phage match)
ERR13916161	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8316	no	-	-	-	novel (no known-phage match)
ERR13916164	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916164	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916167	E1	ERP165651	ECBAIT_0_0046_MEMBER_INTERIOR_01	member_interior	0.8359	no	-	-	-	novel (no known-phage match)
ERR13916167	E1	ERP165651	ECBAIT_10_0002_JUNCTION_01	junction	0.832	no	-	-	-	novel (no known-phage match)
ERR13916167	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8308	no	-	-	-	novel (no known-phage match)
ERR13916167	E1	ERP165651	ECBAIT_10_0151_JUNCTION_03	junction	0.7186	yes	lambda_NC_001416.1	0.673	0.9316	known-phage-matched
ERR13916169	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916169	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8179	no	-	-	-	novel (no known-phage match)
ERR13916170	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8316	no	-	-	-	novel (no known-phage match)
ERR13916173	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916173	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9179	no	-	-	-	novel (no known-phage match)
ERR13916175	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8658	no	-	-	-	novel (no known-phage match)
ERR13916176	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916176	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916178	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8308	no	-	-	-	novel (no known-phage match)
ERR13916179	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.7629	no	-	-	-	novel (no known-phage match)
ERR13916179	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916179	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916181	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916181	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916181	E1	ERP165651	ECBAIT_10_0172_MEMBER_INTERIOR_01	member_interior	0.8453	no	-	-	-	novel (no known-phage match)
ERR13916184	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9735	no	-	-	-	novel (no known-phage match)
ERR13916185	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.7588	no	-	-	-	novel (no known-phage match)
ERR13916185	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916185	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916265	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916266	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8282	no	-	-	-	novel (no known-phage match)
ERR13916268	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.7487	no	-	-	-	novel (no known-phage match)
ERR13916269	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9735	no	-	-	-	novel (no known-phage match)
ERR13916270	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916270	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916272	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916272	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916273	E1	ERP165651	ECBAIT_10_0002_JUNCTION_01	junction	0.8052	no	-	-	-	novel (no known-phage match)
ERR13916273	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916273	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916275	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9735	no	-	-	-	novel (no known-phage match)
ERR13916275	E1	ERP165651	ECBAIT_10_0172_MEMBER_INTERIOR_01	member_interior	0.8103	no	-	-	-	novel (no known-phage match)
ERR13916277	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9735	no	-	-	-	novel (no known-phage match)
ERR13916278	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.947	no	-	-	-	novel (no known-phage match)
ERR13916278	E1	ERP165651	ECBAIT_10_0172_MEMBER_INTERIOR_01	member_interior	0.7427	no	-	-	-	novel (no known-phage match)
ERR13916280	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.865	no	-	-	-	novel (no known-phage match)
ERR13916281	E1	ERP165651	ECBAIT_10_0002_JUNCTION_01	junction	0.7268	no	-	-	-	novel (no known-phage match)
ERR13916281	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.8289	no	-	-	-	novel (no known-phage match)
ERR13916281	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916283	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916283	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916299	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916301	E1	ERP165651	ECBAIT_10_0002_JUNCTION_01	junction	0.7711	no	-	-	-	novel (no known-phage match)
ERR13916301	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916301	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8838	no	-	-	-	novel (no known-phage match)
ERR13916303	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916308	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916310	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9615	no	-	-	-	novel (no known-phage match)
ERR13916312	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9735	no	-	-	-	novel (no known-phage match)
ERR13916313	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916314	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916314	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8487	no	-	-	-	novel (no known-phage match)
ERR13916315	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916315	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916316	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916317	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916318	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.8289	no	-	-	-	novel (no known-phage match)
ERR13916318	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916318	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916319	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8077	no	-	-	-	novel (no known-phage match)
ERR13916320	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.7974	no	-	-	-	novel (no known-phage match)
ERR13916321	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916321	E1	ERP165651	ECBAIT_10_0151_MEMBER_INTERIOR_01	member_interior	0.7205	no	-	-	-	novel (no known-phage match)
ERR13916321	E1	ERP165651	ECBAIT_10_0172_MEMBER_INTERIOR_01	member_interior	0.7573	no	-	-	-	novel (no known-phage match)
ERR13916322	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.7598	no	-	-	-	novel (no known-phage match)
ERR13916323	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916323	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.865	no	-	-	-	novel (no known-phage match)
ERR13916324	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.8289	no	-	-	-	novel (no known-phage match)
ERR13916324	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916324	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916325	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8316	no	-	-	-	novel (no known-phage match)
ERR13916326	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916326	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916327	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916328	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9179	no	-	-	-	novel (no known-phage match)
ERR13916329	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.7588	no	-	-	-	novel (no known-phage match)
ERR13916329	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916329	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916346	E1	ERP165651	ECBAIT_10_0002_JUNCTION_01	junction	0.7268	no	-	-	-	novel (no known-phage match)
ERR13916346	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.8289	no	-	-	-	novel (no known-phage match)
ERR13916346	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916346	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916347	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8915	no	-	-	-	novel (no known-phage match)
ERR13916348	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8316	no	-	-	-	novel (no known-phage match)
ERR13916349	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916350	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916350	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8573	no	-	-	-	novel (no known-phage match)
ERR13916351	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9179	no	-	-	-	novel (no known-phage match)
ERR13916352	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.865	no	-	-	-	novel (no known-phage match)
ERR13916353	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8427	no	-	-	-	novel (no known-phage match)
ERR13916354	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916354	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916355	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8316	no	-	-	-	novel (no known-phage match)
ERR13916355	E1	ERP165651	ECBAIT_10_0172_MEMBER_INTERIOR_01	member_interior	0.7	no	-	-	-	novel (no known-phage match)
ERR13916356	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916357	E1	ERP165651	ECBAIT_10_0002_JUNCTION_01	junction	0.7268	no	-	-	-	novel (no known-phage match)
ERR13916357	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.7619	no	-	-	-	novel (no known-phage match)
ERR13916357	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916357	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916370	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916370	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8487	no	-	-	-	novel (no known-phage match)
ERR13916371	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8043	no	-	-	-	novel (no known-phage match)
ERR13916372	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916372	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916373	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916375	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8915	no	-	-	-	novel (no known-phage match)
ERR13916376	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9735	no	-	-	-	novel (no known-phage match)
ERR13916377	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916378	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8915	no	-	-	-	novel (no known-phage match)
ERR13916379	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8308	no	-	-	-	novel (no known-phage match)
ERR13916380	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.947	no	-	-	-	novel (no known-phage match)
ERR13916380	E1	ERP165651	ECBAIT_10_0172_MEMBER_INTERIOR_01	member_interior	0.7171	no	-	-	-	novel (no known-phage match)
ERR13916381	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916382	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8282	no	-	-	-	novel (no known-phage match)
ERR13916383	E1	ERP165651	ECBAIT_0_0052_JUNCTION_01	junction	0.7196	no	-	-	-	novel (no known-phage match)
ERR13916383	E1	ERP165651	ECBAIT_0_0052_JUNCTION_03	junction	0.8103	no	-	-	-	novel (no known-phage match)
ERR13916383	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916384	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.7629	no	-	-	-	novel (no known-phage match)
ERR13916384	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916384	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916385	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8915	no	-	-	-	novel (no known-phage match)
ERR13916386	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8316	no	-	-	-	novel (no known-phage match)
ERR13916387	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916388	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.7624	no	-	-	-	novel (no known-phage match)
ERR13916389	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9735	no	-	-	-	novel (no known-phage match)
ERR13916390	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916390	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916391	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916391	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916392	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916392	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8487	no	-	-	-	novel (no known-phage match)
ERR13916393	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916393	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8487	no	-	-	-	novel (no known-phage match)
ERR13916394	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9735	no	-	-	-	novel (no known-phage match)
ERR13916395	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916396	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916397	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916398	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916399	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916400	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.8289	no	-	-	-	novel (no known-phage match)
ERR13916400	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916400	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916401	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916402	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8368	no	-	-	-	novel (no known-phage match)
ERR13916403	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916403	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8812	no	-	-	-	novel (no known-phage match)
ERR13916404	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916404	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916405	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916406	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916407	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916407	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8487	no	-	-	-	novel (no known-phage match)
ERR13916408	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916409	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.865	no	-	-	-	novel (no known-phage match)
ERR13916410	E1	ERP165651	ECBAIT_0_0052_JUNCTION_01	junction	0.7216	no	-	-	-	novel (no known-phage match)
ERR13916410	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13916411	E1	ERP165651	ECBAIT_10_0002_JUNCTION_03	junction	0.7093	no	-	-	-	novel (no known-phage match)
ERR13916411	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8915	no	-	-	-	novel (no known-phage match)
ERR13916412	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916412	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.865	no	-	-	-	novel (no known-phage match)
ERR13916412	E1	ERP165651	ECBAIT_1_0004_JUNCTION_01	junction	0.7351	no	-	-	-	novel (no known-phage match)
ERR13916413	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.7588	no	-	-	-	novel (no known-phage match)
