bait_id	role	n_accessions_screened	n_cov_gt_0	n_cov_ge_0.5	n_cov_ge_0.7	max_kmer_cov	best_accession	top5_accessions_cov
ECBAIT_10_0178_MEMBER_INTERIOR_01	ecoli_bait	15105	11942	92	68	0.9387	SRR17529613	SRR17529613:0.939;ERR10712043:0.914;SRR17529614:0.910;SRR14514821:0.883;SRR14514768:0.883
ECBAIT_1_0022_JUNCTION_02	ecoli_bait	15105	435	105	68	0.9392	SRR7879935	SRR7879935:0.939;SRR32571420:0.939;SRR32571419:0.939;SRR32571418:0.939;SRR32571417:0.939
ECBAIT_0_0094_MEMBER_INTERIOR_01	ecoli_bait	15105	243	80	65	0.9111	SRR15686331	SRR15686331:0.911;SRR15686330:0.911;SRR6061985:0.896;SRR15686328:0.885;SRR15686319:0.858
ECBAIT_10_0178_INTERIOR_MODULE_01	ecoli_bait	15105	684	116	62	0.7111	DRR275248	DRR275248:0.711;SRR387477:0.700;SRR17529632:0.700;SRR17529628:0.700;SRR17529627:0.700
ECBAIT_1_0022_MEMBER_INTERIOR_01	ecoli_bait	15105	485	140	58	1.0000	SRR7879935	SRR7879935:1.000;SRR32571420:1.000;SRR32571419:1.000;SRR32571418:1.000;SRR32571417:1.000
ECBAIT_1_0026_JUNCTION_01	ecoli_bait	15105	301	168	55	0.8320	SRR32571211	SRR32571211:0.832;SRR26358921:0.832;SRR24204291:0.832;ERR2632214:0.832;DRR129837:0.832
ECBAIT_10_0038_MEMBER_INTERIOR_01	ecoli_bait	15105	147	50	47	1.0000	SRR35332975	SRR35332975:1.000;SRR35332966:1.000;ERR2010886:0.953;SRR35332983:0.926;SRR35332980:0.926
ECBAIT_0_0059_JUNCTION_01	ecoli_bait	15105	963	67	40	0.8722	SRR15102997	SRR15102997:0.872;ERR4229489:0.872;SRR15686321:0.860;SRR15686333:0.846;SRR15686316:0.846
ECBAIT_0_0059_JUNCTION_02	ecoli_bait	15105	167	60	39	0.8526	SRR13848130	SRR13848130:0.853;SRR19716095:0.845;SRR15783405:0.845;SRR15686319:0.845;SRR15686316:0.845
ECBAIT_0_0059_JUNCTION_03	ecoli_bait	15105	157	40	35	0.8546	SRR31768884	SRR31768884:0.855;SRR31768883:0.855;SRR31768882:0.855;SRR31768881:0.855;SRR31768880:0.855
ECBAIT_0_0091_MEMBER_INTERIOR_01	ecoli_bait	15105	339	39	34	1.0000	SRR25710230	SRR25710230:1.000;SRR24951905:1.000;SRR15686327:1.000;SRR15686319:1.000;ERR1995434:0.974
ECBAIT_10_0172_JUNCTION_03	ecoli_bait	15105	13798	152	33	0.7928	ERR12186909	ERR12186909:0.793;ERR12186894:0.787;DRR424509:0.774;ERR10712128:0.768;SRR14514778:0.765
ECBAIT_0_0059_MEMBER_INTERIOR_01	ecoli_bait	15105	154	96	32	1.0000	SRR9663526	SRR9663526:1.000;SRR19716095:1.000;SRR15686333:1.000;SRR15686316:1.000;SRR15102997:1.000
ECBAIT_0_0046_JUNCTION_01	ecoli_bait	15105	501	336	26	0.9691	SRR8723272	SRR8723272:0.969;SRR8723250:0.969;SRR446797:0.969;ERR3393145:0.969;ERR2010887:0.969
ECBAIT_1_0026_MEMBER_INTERIOR_01	ecoli_bait	15105	72	32	26	0.9282	DRR129837	DRR129837:0.928;SRR18335123:0.919;SRR18335115:0.919;ERR3317622:0.919;DRR794480:0.919
ECBAIT_0_0071_INTERIOR_MODULE_01	ecoli_bait	15105	88	25	24	0.9496	SRR18212291	SRR18212291:0.950;SRR17883340:0.950;ERR2019101:0.950;ERR1841167:0.950;ERR1841165:0.950
ECBAIT_10_0057_INTERIOR_MODULE_01	ecoli_bait	15105	52	25	24	0.9496	SRR32476178	SRR32476178:0.950;SRR30992947:0.950;SRR30178947:0.950;SRR30126925:0.950;SRR29733254:0.950
ECBAIT_10_0044_JUNCTION_02	ecoli_bait	15105	669	345	23	0.8423	ERR12186908	ERR12186908:0.842;ERR12186907:0.842;SRR6891488:0.826;SRR6891485:0.826;SRR387487:0.802
ECBAIT_10_0057_JUNCTION_03	ecoli_bait	15105	62	24	23	0.9722	SRR30992947	SRR30992947:0.972;SRR30178947:0.972;SRR30126925:0.972;SRR29733254:0.972;SRR29733253:0.972
ECBAIT_0_0014_JUNCTION_01	ecoli_bait	15105	3446	23	22	0.9691	SRR34854872	SRR34854872:0.969;SRR30993007:0.969;SRR30896102:0.969;SRR29636617:0.969;SRR25710331:0.969
ECBAIT_10_0172_JUNCTION_02	ecoli_bait	15105	11931	156	21	0.7979	SRR14514769	SRR14514769:0.798;DRR395237:0.798;ERR4843431:0.765;SRR094961:0.726;SRR490950:0.722
ECBAIT_0_0091_JUNCTION_03	ecoli_bait	15105	108	30	20	0.8495	SRR25710230	SRR25710230:0.850;SRR24951905:0.850;SRR15686327:0.850;SRR15686319:0.850;ERR1995434:0.850
ECBAIT_0_0052_MEMBER_INTERIOR_01	ecoli_bait	15105	1635	1065	19	1.0000	SRR25360082	SRR25360082:1.000;DRR424515:1.000;DRR424514:1.000;DRR424512:1.000;DRR275205:1.000
ECBAIT_0_0091_JUNCTION_02	ecoli_bait	15105	143	18	15	0.8722	SRR25710365	SRR25710365:0.872;SRR13848112:0.872;SRR13848090:0.872;SRR13848079:0.872;ERR486710:0.872
ECBAIT_10_0178_JUNCTION_03	ecoli_bait	15105	5208	79	15	0.8784	ERR10712046	ERR10712046:0.878;ERR10711901:0.776;ERR10712028:0.773;ERR10711851:0.764;ERR4301102:0.763
ECBAIT_10_0038_JUNCTION_01	ecoli_bait	15105	2918	29	11	0.8608	SRR35332982	SRR35332982:0.861;SRR35332979:0.861;SRR23873580:0.861;ERR279368:0.855;SRR13893736:0.840
ECBAIT_0_0068_MEMBER_INTERIOR_01	ecoli_bait	15105	38	10	10	1.0000	SRR23867151	SRR23867151:1.000;SRR11852285:1.000;SRR11852284:1.000;SRR11852281:1.000;SRR11852279:1.000
ECBAIT_0_0071_MEMBER_INTERIOR_01	ecoli_bait	15105	1838	10	10	1.0000	SRR18212291	SRR18212291:1.000;SRR17883340:1.000;ERR1841167:1.000;ERR1841165:1.000;ERR13621282:1.000
ECBAIT_1_0004_INTERIOR_MODULE_01	ecoli_bait	15105	11249	87	10	0.7957	ERR9845674	ERR9845674:0.796;ERR314339:0.772;ERR15665872:0.772;ERR10913174:0.760;ERR11812672:0.751
ECBAIT_0_0068_JUNCTION_03	ecoli_bait	15105	65	10	9	0.8186	SRR23867151	SRR23867151:0.819;SRR11852285:0.819;SRR11852284:0.819;SRR11852281:0.819;SRR11852279:0.819
ECBAIT_0_0067_JUNCTION_02	ecoli_bait	15105	204	16	8	0.8433	SRR641909	SRR641909:0.843;SRR641882:0.843;SRR640112:0.843;SRR640028:0.843;SRR28567118:0.843
ECBAIT_0_0091_INTERIOR_MODULE_01	ecoli_bait	15105	113	28	8	0.9222	SRR25710365	SRR25710365:0.922;SRR13848112:0.922;SRR13848090:0.922;SRR13848079:0.922;ERR486710:0.922
ECBAIT_0_0071_JUNCTION_01	ecoli_bait	15105	34	7	7	0.9711	SRR18212291	SRR18212291:0.971;SRR17883340:0.971;ERR1841167:0.971;ERR1841165:0.971;ERR13621282:0.971
ECBAIT_0_0071_JUNCTION_02	ecoli_bait	15105	21	7	7	0.9691	SRR18212291	SRR18212291:0.969;SRR17883340:0.969;ERR1841167:0.969;ERR1841165:0.969;ERR13621282:0.969
ECBAIT_0_0071_JUNCTION_03	ecoli_bait	15105	33	7	7	0.9691	ERR12331461	ERR12331461:0.969;SRR18212291:0.937;SRR17883340:0.937;ERR1841167:0.937;ERR1841165:0.937
ECBAIT_10_0002_JUNCTION_03	ecoli_bait	15105	13283	703	7	0.7155	ERR1937877	ERR1937877:0.716;SRR10905807:0.713;ERR13916411:0.709;DRR518154:0.709;ERR2019192:0.706
ECBAIT_0_0052_INTERIOR_MODULE_01	ecoli_bait	15105	1665	824	6	0.7564	SRR19633185	SRR19633185:0.756;SRR17883265:0.756;SRR32476181:0.715;SRR3112332:0.714;ERR4301074:0.703
ECBAIT_0_0094_JUNCTION_01	ecoli_bait	15105	233	13	6	0.7526	ERR12331458	ERR12331458:0.753;SRR15686330:0.736;SRR15686328:0.734;ERR15745562:0.713;ERR15745561:0.713
ECBAIT_0_0051_MEMBER_INTERIOR_01	ecoli_bait	15105	510	6	5	1.0000	SRR21990375	SRR21990375:1.000;ERR2010886:1.000;SRR15686320:0.996;SRR15686321:0.858;SRR15686316:0.787
ECBAIT_10_0044_JUNCTION_03	ecoli_bait	15105	675	173	5	0.9000	SRR063740	SRR063740:0.900;ERR4314130:0.900;ERR4314129:0.900;SRR387487:0.868;ERR436162:0.809
ECBAIT_10_0002_INTERIOR_MODULE_01	ecoli_bait	15105	13020	2895	4	0.7103	ERR10640052	ERR10640052:0.710;ERR10639981:0.709;SRR14514818:0.709;SRR6891462:0.705;SRR32571208:0.698
ECBAIT_10_0070_MEMBER_INTERIOR_01	ecoli_bait	15105	71	6	4	1.0000	SRR11148639	SRR11148639:1.000;SRR11148638:1.000;SRR11146891:0.978;SRR11146892:0.946;SRR6892747:0.513
ECBAIT_10_0151_JUNCTION_02	ecoli_bait	15105	14057	210	3	0.7588	SRR15927318	SRR15927318:0.759;SRR7879899:0.705;SRR25710849:0.705;SRR18211897:0.698;ERR445607:0.696
ECBAIT_0_0094_JUNCTION_02	ecoli_bait	15105	893	8	1	0.7000	SRR23873582	SRR23873582:0.700;SRR32515354:0.645;SRR15686330:0.578;SRR14272613:0.567;SRR32478560:0.549
ECBAIT_10_0070_INTERIOR_MODULE_01	ecoli_bait	15105	109	1	1	0.7316	SRR30408952	SRR30408952:0.732;ERR4301011:0.361;SRR21990201:0.336;ERR12331395:0.319;SRR11148639:0.093
ECBAIT_10_0172_JUNCTION_01	ecoli_bait	15105	12137	9	1	0.7474	ERR3317681	ERR3317681:0.747;ERR10711851:0.682;ERR10712058:0.666;ERR4301068:0.649;ERR10712046:0.563
ECBAIT_1_0032_MEMBER_INTERIOR_01	ecoli_bait	15105	4	1	1	0.7538	ERR4843458	ERR4843458:0.754;ERR13917181:0.084;ERR3317627:0.004;ERR10992802:0.004
ECBAIT_0_0014_INTERIOR_MODULE_01	ecoli_bait	15105	6629	152	0	0.6530	SRR958315	SRR958315:0.653;SRR8871838:0.653;SRR8871784:0.653;SRR8871670:0.653;SRR8871593:0.653
ECBAIT_0_0046_INTERIOR_MODULE_01	ecoli_bait	15105	767	30	0	0.6239	ERR4467746	ERR4467746:0.624;SRR24523593:0.610;SRR2239612:0.610;SRR20462413:0.610;SRR17276676:0.610
ECBAIT_0_0051_INTERIOR_MODULE_01	ecoli_bait	15105	45	6	0	0.6068	SRR15686321	SRR15686321:0.607;SRR15686320:0.601;SRR15686322:0.568;SRR15686316:0.538;SRR21990375:0.520
ECBAIT_0_0051_JUNCTION_02	ecoli_bait	15105	225	0	0	0.3103	SRR15686333	SRR15686333:0.310;SRR15686316:0.297;ERR3317650:0.256;SRR15686320:0.252;SRR15686321:0.251
ECBAIT_0_0054_INTERIOR_MODULE_01	ecoli_bait	15105	7738	0	0	0.4009	SRR8871749	SRR8871749:0.401;SRR33346712:0.401;SRR2970745:0.401;SRR2970742:0.401;SRR29061865:0.401
ECBAIT_0_0054_JUNCTION_01	ecoli_bait	15105	1689	0	0	0.3546	SRR15686326	SRR15686326:0.355;SRR15686320:0.341;SRR15686319:0.325;SRR15686321:0.324;SRR15686323:0.317
ECBAIT_0_0054_JUNCTION_02	ecoli_bait	15105	14562	60	0	0.6381	SRR25710468	SRR25710468:0.638;SRR25710368:0.638;SRR15686332:0.638;SRR15686331:0.638;ERR4165461:0.638
ECBAIT_0_0054_JUNCTION_03	ecoli_bait	15105	14531	5	0	0.5144	SRR31768884	SRR31768884:0.514;SRR31768883:0.514;SRR31768882:0.514;SRR31768881:0.514;SRR31768880:0.514
ECBAIT_0_0059_INTERIOR_MODULE_01	ecoli_bait	15105	158	50	0	0.5773	SRR30993007	SRR30993007:0.577;SRR25710464:0.577;SRR24332879:0.577;ERR8702917:0.577;ERR4165601:0.577
ECBAIT_0_0067_INTERIOR_MODULE_01	ecoli_bait	15105	14599	15	0	0.5863	ERR12019255	ERR12019255:0.586;SRR15686331:0.583;ERR12331458:0.581;SRR23570605:0.576;ERR12019259:0.576
ECBAIT_0_0067_JUNCTION_01	ecoli_bait	15105	85	0	0	0.4619	SRR641909	SRR641909:0.462;SRR641882:0.462;SRR640112:0.462;SRR640028:0.462;SRR32418916:0.462
ECBAIT_0_0068_INTERIOR_MODULE_01	ecoli_bait	15105	86	0	0	0.1726	SRR23867151	SRR23867151:0.173;SRR11852285:0.173;SRR11852284:0.173;SRR11852281:0.173;SRR11852279:0.173
ECBAIT_0_0068_JUNCTION_01	ecoli_bait	15105	67	0	0	0.3711	SRR23867151	SRR23867151:0.371;SRR11852285:0.371;SRR11852284:0.371;SRR11852283:0.371;SRR11852281:0.371
ECBAIT_0_0068_JUNCTION_02	ecoli_bait	15105	64	9	0	0.5515	SRR23867151	SRR23867151:0.551;SRR11852285:0.551;SRR11852284:0.551;SRR11852281:0.551;SRR11852279:0.551
ECBAIT_0_0091_JUNCTION_01	ecoli_bait	15105	444	27	0	0.6649	SRR25710388	SRR25710388:0.665;SRR8869643:0.660;SRR8869634:0.660;SRR18212098:0.653;ERR13620997:0.635
ECBAIT_0_0094_INTERIOR_MODULE_01	ecoli_bait	15105	167	3	0	0.5641	SRR15686331	SRR15686331:0.564;SRR15686330:0.554;SRR10905745:0.548;SRR15686328:0.493;SRR7812252:0.402
ECBAIT_0_0094_JUNCTION_03	ecoli_bait	15105	820	4	0	0.6433	SRR15686331	SRR15686331:0.643;SRR15686332:0.581;SRR15686328:0.540;SRR15686330:0.530;SRR32515354:0.471
ECBAIT_10_0038_INTERIOR_MODULE_01	ecoli_bait	15105	5542	49	0	0.6966	SRR15686325	SRR15686325:0.697;SRR15686326:0.670;SRR11031366:0.653;SRR5279325:0.649;SRR15686318:0.645
ECBAIT_10_0038_JUNCTION_03	ecoli_bait	15105	2719	10	0	0.6691	SRR15686320	SRR15686320:0.669;SRR15686322:0.637;SRR15686321:0.623;SRR15686317:0.613;SRR15686333:0.603
ECBAIT_10_0044_JUNCTION_01	ecoli_bait	15105	12111	68	0	0.6278	SRR34748689	SRR34748689:0.628;ERR4314130:0.614;SRR15600648:0.606;ERR10711925:0.605;ERR4314129:0.593
ECBAIT_10_0070_JUNCTION_01	ecoli_bait	15105	114	1	0	0.5320	ERR2019148	ERR2019148:0.532;SRR15686330:0.487;SRR15686331:0.468;SRR15686332:0.467;SRR11148638:0.428
ECBAIT_10_0070_JUNCTION_02	ecoli_bait	15105	132	1	0	0.5000	ERR2632223	ERR2632223:0.500;SRR32476178:0.408;SRR30992947:0.408;SRR30178947:0.408;SRR30126925:0.408
ECBAIT_10_0070_JUNCTION_03	ecoli_bait	15105	127	0	0	0.3897	SRR11148639	SRR11148639:0.390;SRR11148638:0.390;SRR11146892:0.390;SRR11146891:0.390;SRR27535589:0.279
ECBAIT_10_0151_INTERIOR_MODULE_01	ecoli_bait	15105	12429	522	0	0.6538	SRR14681369	SRR14681369:0.654;SRR17238043:0.644;ERR13915673:0.642;SRR32362980:0.633;SRR12885741:0.632
ECBAIT_10_0151_JUNCTION_01	ecoli_bait	15105	12293	427	0	0.6722	SRR15686322	SRR15686322:0.672;SRR15686321:0.660;SRR15686332:0.650;SRR15686316:0.644;SRR15686331:0.625
ECBAIT_10_0172_INTERIOR_MODULE_01	ecoli_bait	15105	10711	324	0	0.6726	ERR10712167	ERR10712167:0.673;DRR275248:0.673;DRR275212:0.673;SRR063742:0.662;ERR10712046:0.648
ECBAIT_1_0004_JUNCTION_03	ecoli_bait	15105	13518	418	0	0.6649	SRR933513	SRR933513:0.665;SRR26358915:0.665;SRR18335147:0.665;SRR18212384:0.665;DRR794484:0.665
ECBAIT_1_0022_INTERIOR_MODULE_01	ecoli_bait	15105	3244	3	0	0.5171	ERR11812672	ERR11812672:0.517;SRR24951878:0.513;SRR15686320:0.505;ERR2010956:0.498;SRR15686322:0.497
ECBAIT_1_0026_INTERIOR_MODULE_01	ecoli_bait	15105	71	5	0	0.5838	SRR11046878	SRR11046878:0.584;SRR11046877:0.584;SRR11046875:0.584;SRR11046874:0.584;SRR10541863:0.584
ECBAIT_1_0026_JUNCTION_03	ecoli_bait	15105	374	10	0	0.6711	SRR34504574	SRR34504574:0.671;DRR129837:0.650;ERR10862855:0.639;ERR4172323:0.629;SRR18335123:0.573
ECBAIT_1_0032_INTERIOR_MODULE_01	ecoli_bait	15105	85	0	0	0.1368	SRR18212042	SRR18212042:0.137;ERR4843458:0.122;SRR29636675:0.120;SRR25711042:0.112;SRR18335132:0.106
ECBAIT_1_0032_JUNCTION_01	ecoli_bait	15105	505	0	0	0.2340	ERR4843458	ERR4843458:0.234;SRR18212042:0.167;SRR25710706:0.087;SRR25710377:0.087;SRR18212238:0.085
ECBAIT_1_0032_JUNCTION_02	ecoli_bait	15105	186	0	0	0.4221	ERR4843458	ERR4843458:0.422;SRR25710706:0.127;SRR25710377:0.127;ERR8703633:0.114;SRR18212042:0.096
ECBAIT_1_0032_JUNCTION_03	ecoli_bait	15105	54	0	0	0.3876	ERR4843458	ERR4843458:0.388;ERR13917181:0.076;SRR34585846:0.071;SRR34585845:0.071;SRR34585844:0.071
ECBAIT_POSCON_HK97_02	positive_control	15105	4939	0	0	0.4838	SRR14994018	SRR14994018:0.484;SRR21722754:0.482;SRR21722753:0.482;SRR21722752:0.482;SRR15686332:0.445
ECBAIT_SHUF_CONTROL_01	negative_control	15105	0	0	0	0.0000	SRR999495	-
ECBAIT_SHUF_CONTROL_02	negative_control	15105	0	0	0	0.0000	SRR999495	-
