genome_id	clade_id	length	flag	completeness_pct	host_genes	functional_tier_note	n_accessions_screened	n_screen_hits_ge_0.7_any_bait	n_baits_with_hits	best_kmer_cov	best_accession	sra_evidence_category
ecoli_ml|clade_0_0019_ML	clade_0_0019_ML	108633	host_genes	100.0	22		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0020_ML	clade_0_0020_ML	112150	host_genes	100.0	11		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0021_ML	clade_0_0021_ML	90608	host_genes	96.8	6		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0022_ML	clade_0_0022_ML	131316	host_genes	98.11	14		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0023_ML	clade_0_0023_ML	120187	host_genes	97.84	18		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0024_ML	clade_0_0024_ML	80888	host_genes	100.0	21		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0025_ML	clade_0_0025_ML	72396	ok	95.41	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0026_ML	clade_0_0026_ML	117784	host_genes	98.83	5		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0027_ML	clade_0_0027_ML	79720	contamination;host_genes	100.0	11		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0028_ML	clade_0_0028_ML	71156	host_genes	97.02	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0029_ML	clade_0_0029_ML	55908	host_genes	85.75	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0030_ML	clade_0_0030_ML	46041	host_genes	68.11	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0031_ML	clade_0_0031_ML	15908	missing_core_structural;low_completeness;host_genes	24.32	8		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0032_ML	clade_0_0032_ML	94867	host_genes	97.43	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0033_ML	clade_0_0033_ML	70505	host_genes	93.58	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0034_ML	clade_0_0034_ML	139867	host_genes	98.32	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0035_ML	clade_0_0035_ML	52913	host_genes	80.41	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0036_ML	clade_0_0036_ML	158696	host_genes	100.0	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0037_ML	clade_0_0037_ML	72456	ok	100.0	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0038_ML	clade_0_0038_ML	67540	ok	96.26	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0039_ML	clade_0_0039_ML	147161	host_genes	98.62	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0040_ML	clade_0_0040_ML	142176	host_genes	98.28	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0041_ML	clade_0_0041_ML	153858	ok	97.91	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0042_ML	clade_0_0042_ML	16263	missing_core_structural;low_completeness	25.53	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0043_ML	clade_0_0043_ML	81929	host_genes	100.0	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0044_ML	clade_0_0044_ML	154289	host_genes	96.22	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0045_ML	clade_0_0045_ML	72364	host_genes	100.0	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0046_ML	clade_0_0046_ML	67176	host_genes	100.0	3		15105	472	3	1.0000	SRR8723272	SRA_screen_hit (3 bait(s); see confirm classifications)
ecoli_ml|clade_0_0047_ML	clade_0_0047_ML	24063	missing_core_structural;low_completeness	49.27	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0048_ML	clade_0_0048_ML	29991	ok	64.01	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0049_ML	clade_0_0049_ML	78353	host_genes	95.08	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0050_ML	clade_0_0050_ML	13659	missing_core_structural;low_completeness;host_genes	12.07	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0051_ML	clade_0_0051_ML	68856	ok	97.15	0		15105	5	1	1.0000	SRR21990375	SRA_screen_hit (1 bait(s); see confirm classifications)
ecoli_ml|clade_0_0052_ML	clade_0_0052_ML	68376	ok	100.0	0		15105	349	4	1.0000	SRR25360082	SRA_screen_hit (4 bait(s); see confirm classifications)
ecoli_ml|clade_0_0053_ML	clade_0_0053_ML	71353	host_genes	100.0	8		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0054_ML	clade_0_0054_ML	66064	host_genes	93.63	1		15105	250	1	1.0000	SRR30408859	SRA_screen_hit (1 bait(s); see confirm classifications)
ecoli_ml|clade_0_0055_ML	clade_0_0055_ML	5604	missing_core_structural;low_completeness	9.13	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0056_ML	clade_0_0056_ML	15303	missing_core_structural;low_completeness	35.02	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0057_ML	clade_0_0057_ML	45762	host_genes	100.0	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0058_ML	clade_0_0058_ML	29962	missing_core_structural;low_completeness;host_genes	27.58	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0059_ML	clade_0_0059_ML	32436	ok	91.73	0		15105	146	4	1.0000	SRR9663526	SRA_screen_hit (4 bait(s); see confirm classifications)
ecoli_ml|clade_0_0060_ML	clade_0_0060_ML	6153	missing_core_structural;low_completeness	15.46	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0061_ML	clade_0_0061_ML	20712	missing_core_structural;host_genes	NA	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0062_ML	clade_0_0062_ML	4963	missing_core_structural;low_completeness	4.56	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0063_ML	clade_0_0063_ML	21269	missing_core_structural;low_completeness;host_genes	39.17	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0064_ML	clade_0_0064_ML	12802	missing_core_structural;host_genes	NA	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0065_ML	clade_0_0065_ML	36077	contamination;host_genes	79.92	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0066_ML	clade_0_0066_ML	8400	missing_core_structural;low_completeness	18.89	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0067_ML	clade_0_0067_ML	46334	host_genes	100.0	2		15105	81	2	1.0000	SRR641909	SRA_screen_hit (2 bait(s); see confirm classifications)
ecoli_ml|clade_0_0068_ML	clade_0_0068_ML	45005	host_genes	97.11	1		15105	19	2	1.0000	SRR23867151	SRA_screen_hit (2 bait(s); see confirm classifications)
ecoli_ml|clade_0_0069_ML	clade_0_0069_ML	8113	low_completeness	18.09	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0070_ML	clade_0_0070_ML	1414	missing_core_structural;low_completeness;many_truncated	1.95	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0071_ML	clade_0_0071_ML	26291	ok	59.36	0		15105	55	5	1.0000	SRR18212291	SRA_screen_hit (5 bait(s); see confirm classifications)
ecoli_ml|clade_0_0072_ML	clade_0_0072_ML	13001	missing_core_structural;low_completeness	27.9	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0073_ML	clade_0_0073_ML	6502	missing_core_structural;low_completeness	12.1	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0074_ML	clade_0_0074_ML	9829	missing_core_structural;host_genes;many_truncated	NA	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0075_ML	clade_0_0075_ML	91064	host_genes	100.0	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0076_ML	clade_0_0076_ML	97866	host_genes	100.0	8		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0077_ML	clade_0_0077_ML	93006	host_genes	100.0	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0078_ML	clade_0_0078_ML	48284	host_genes	75.02	5		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0079_ML	clade_0_0079_ML	39239	host_genes	84.5	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0080_ML	clade_0_0080_ML	23096	missing_core_structural;low_completeness	44.15	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0081_ML	clade_0_0081_ML	64215	ok	94.57	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0082_ML	clade_0_0082_ML	85651	ok	100.0	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0083_ML	clade_0_0083_ML	4658	missing_core_structural;low_completeness	7.85	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0084_ML	clade_0_0084_ML	97325	host_genes	99.52	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0085_ML	clade_0_0085_ML	64668	host_genes	100.0	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0086_ML	clade_0_0086_ML	97569	host_genes	96.18	9		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0087_ML	clade_0_0087_ML	31314	host_genes	80.99	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0088_ML	clade_0_0088_ML	6202	missing_core_structural;low_completeness;contamination;host_genes	10.22	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0089_ML	clade_0_0089_ML	16277	missing_core_structural;low_completeness	34.01	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0090_ML	clade_0_0090_ML	82492	host_genes	95.52	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0091_ML	clade_0_0091_ML	41044	ok	93.72	0		15105	77	4	1.0000	SRR25710230	SRA_screen_hit (4 bait(s); see confirm classifications)
ecoli_ml|clade_0_0092_ML	clade_0_0092_ML	54204	host_genes	100.0	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0093_ML	clade_0_0093_ML	26733	ok	64.12	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0094_ML	clade_0_0094_ML	30416	ok	66.04	0		15105	72	3	0.9111	SRR15686331	SRA_screen_hit (3 bait(s); see confirm classifications)
ecoli_ml|clade_0_0095_ML	clade_0_0095_ML	23427	missing_core_structural;low_completeness;contamination;host_genes	29.9	5		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0096_ML	clade_0_0096_ML	102571	host_genes	98.22	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0097_ML	clade_0_0097_ML	5830	missing_core_structural;low_completeness	8.0	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0098_ML	clade_0_0098_ML	49684	ok	79.51	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0099_ML	clade_0_0099_ML	224496	host_genes	100.0	14		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0100_ML	clade_0_0100_ML	50727	ok	100.0	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0101_ML	clade_0_0101_ML	40425	host_genes	79.65	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0000_ML	clade_10_0000_ML	132955	host_genes	100.0	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0001_ML	clade_10_0001_ML	154259	host_genes	100.0	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0002_ML	clade_10_0002_ML	155150	host_genes	99.4	5		15105	5332	5	1.0000	SRR9696922	SRA_screen_hit (5 bait(s); see confirm classifications)
ecoli_ml|clade_10_0003_ML	clade_10_0003_ML	234329	host_genes	99.98	11		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0004_ML	clade_10_0004_ML	162012	host_genes	99.42	10		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0005_ML	clade_10_0005_ML	121208	host_genes	98.86	7		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0006_ML	clade_10_0006_ML	114667	host_genes	97.62	6		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0007_ML	clade_10_0007_ML	147339	host_genes	99.07	14		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0008_ML	clade_10_0008_ML	97028	host_genes	96.28	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0009_ML	clade_10_0009_ML	65856	host_genes	95.3	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0010_ML	clade_10_0010_ML	67124	host_genes	88.96	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0011_ML	clade_10_0011_ML	66787	host_genes	87.91	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0012_ML	clade_10_0012_ML	73000	host_genes	88.73	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0013_ML	clade_10_0013_ML	255419	host_genes	100.0	11		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0014_ML	clade_10_0014_ML	82521	host_genes	94.31	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0015_ML	clade_10_0015_ML	72158	host_genes	90.6	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0016_ML	clade_10_0016_ML	232886	host_genes	99.96	8		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0017_ML	clade_10_0017_ML	93956	missing_core_structural;host_genes	94.65	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0018_ML	clade_10_0018_ML	83638	host_genes	95.03	6		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0019_ML	clade_10_0019_ML	97350	host_genes	100.0	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0020_ML	clade_10_0020_ML	64838	host_genes	89.45	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0021_ML	clade_10_0021_ML	69440	host_genes	89.8	5		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0022_ML	clade_10_0022_ML	86764	host_genes	100.0	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0023_ML	clade_10_0023_ML	61329	host_genes	86.35	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0024_ML	clade_10_0024_ML	87188	host_genes	94.0	7		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0025_ML	clade_10_0025_ML	89067	host_genes	100.0	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0026_ML	clade_10_0026_ML	78907	host_genes	94.51	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0027_ML	clade_10_0027_ML	86203	host_genes	95.67	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0028_ML	clade_10_0028_ML	30000	missing_core_structural	79.36	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0029_ML	clade_10_0029_ML	55353	host_genes	86.66	8		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0030_ML	clade_10_0030_ML	164784	host_genes	100.0	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0031_ML	clade_10_0031_ML	47900	host_genes	65.56	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0032_ML	clade_10_0032_ML	66675	missing_core_structural;host_genes	100.0	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0033_ML	clade_10_0033_ML	58332	host_genes	81.04	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0034_ML	clade_10_0034_ML	67448	missing_core_structural;host_genes	100.0	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0035_ML	clade_10_0035_ML	12905	missing_core_structural;low_completeness;host_genes	18.97	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0036_ML	clade_10_0036_ML	43819	host_genes	73.94	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0037_ML	clade_10_0037_ML	41352	host_genes	68.83	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0038_ML	clade_10_0038_ML	52104	ok	83.79	0		15105	58	2	1.0000	SRR35332975	SRA_screen_hit (2 bait(s); see confirm classifications)
ecoli_ml|clade_10_0039_ML	clade_10_0039_ML	66368	ok	90.78	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0040_ML	clade_10_0040_ML	47129	missing_core_structural	68.73	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0041_ML	clade_10_0041_ML	3353	missing_core_structural;low_completeness	7.38	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0042_ML	clade_10_0042_ML	31383	missing_core_structural;low_completeness;host_genes	44.07	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0043_ML	clade_10_0043_ML	377	missing_core_structural;low_completeness;many_truncated	0.84	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0044_ML	clade_10_0044_ML	37488	ok	57.16	0		15105	674	4	1.0000	SRR8292234	SRA_screen_hit (4 bait(s); see confirm classifications)
ecoli_ml|clade_10_0045_ML	clade_10_0045_ML	38096	missing_core_structural;low_completeness;host_genes	40.98	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0046_ML	clade_10_0046_ML	14567	missing_core_structural;low_completeness;host_genes	30.85	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0047_ML	clade_10_0047_ML	13581	missing_core_structural;low_completeness;host_genes	24.29	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0048_ML	clade_10_0048_ML	3414	missing_core_structural;low_completeness	7.87	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0049_ML	clade_10_0049_ML	20173	missing_core_structural	50.1	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0050_ML	clade_10_0050_ML	51679	host_genes	87.34	5		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0051_ML	clade_10_0051_ML	6494	low_completeness	16.53	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0052_ML	clade_10_0052_ML	24301	missing_core_structural;low_completeness;host_genes	13.66	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0053_ML	clade_10_0053_ML	1104	missing_core_structural;low_completeness;many_truncated	1.59	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0054_ML	clade_10_0054_ML	6315	missing_core_structural;low_completeness	8.09	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0055_ML	clade_10_0055_ML	26308	low_completeness	45.86	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0056_ML	clade_10_0056_ML	228332	host_genes	100.0	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0057_ML	clade_10_0057_ML	26452	ok	62.77	0		15105	8318	3	1.0000	SRR9696922	SRA_screen_hit (3 bait(s); see confirm classifications)
ecoli_ml|clade_10_0058_ML	clade_10_0058_ML	5202	low_completeness	3.28	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0059_ML	clade_10_0059_ML	5275	missing_core_structural;many_truncated	NA	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0060_ML	clade_10_0060_ML	36459	ok	79.48	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0061_ML	clade_10_0061_ML	19703	missing_core_structural;low_completeness	22.22	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0062_ML	clade_10_0062_ML	53408	host_genes	86.74	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0063_ML	clade_10_0063_ML	31219	ok	81.15	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0064_ML	clade_10_0064_ML	9781	missing_core_structural;low_completeness	23.34	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0065_ML	clade_10_0065_ML	14724	low_completeness;host_genes	26.07	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0066_ML	clade_10_0066_ML	12156	missing_core_structural;low_completeness	25.4	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0067_ML	clade_10_0067_ML	29933	missing_core_structural;low_completeness;host_genes	45.14	4		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0068_ML	clade_10_0068_ML	35168	host_genes	78.35	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0069_ML	clade_10_0069_ML	4047	missing_core_structural;low_completeness;many_truncated	3.66	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0070_ML	clade_10_0070_ML	55002	ok	84.14	0		15105	5	2	1.0000	SRR11148639	SRA_screen_hit (2 bait(s); see confirm classifications)
ecoli_ml|clade_10_0071_ML	clade_10_0071_ML	9877	missing_core_structural;low_completeness;host_genes	10.97	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0072_ML	clade_10_0072_ML	90532	host_genes	100.0	5		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0073_ML	clade_10_0073_ML	83969	host_genes	91.61	6		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0074_ML	clade_10_0074_ML	44754	host_genes	76.23	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0075_ML	clade_10_0075_ML	111924	host_genes	98.17	8		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0076_ML	clade_10_0076_ML	79179	host_genes	100.0	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0077_ML	clade_10_0077_ML	43547	host_genes	92.53	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0078_ML	clade_10_0078_ML	94123	host_genes	95.92	3		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0079_ML	clade_10_0079_ML	72870	host_genes	91.34	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0080_ML	clade_10_0080_ML	91315	host_genes	100.0	8		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0081_ML	clade_10_0081_ML	126203	host_genes	98.88	8		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_10_0082_ML	clade_10_0082_ML	71419	host_genes	91.66	3		15105	0	0	0.0000		no hit (not detected in screened subset)
