accession	tier	scientific_name	bioproject	n_baits_ge_0.7	baits_ge_0.7
ERR13916355	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.700
ERR13916357	E1	Escherichia coli	ERP165651	4	ECBAIT_10_0002_JUNCTION_01:0.727;ECBAIT_10_0002_JUNCTION_02:0.762;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916356	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916370	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.849
ERR13916371	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.804
ERR13916372	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916373	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916375	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.891
ERR13916376	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974
ERR13916377	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916378	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.891
ERR13916379	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.831
ERR13916380	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.947;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.717
ERR13916381	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916382	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.828
ERR13916383	E1	Escherichia coli	ERP165651	3	ECBAIT_0_0052_JUNCTION_01:0.720;ECBAIT_0_0052_JUNCTION_03:0.810;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916384	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.763;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916385	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.891
ERR13916387	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916386	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832
ERR13916388	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.762
ERR13916389	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974
ERR13916390	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916391	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916392	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.849
ERR13916393	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.849
ERR13916395	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916394	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974
ERR13916396	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916397	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916399	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916398	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916400	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916401	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916402	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.837
ERR13916403	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.881
ERR13916404	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916405	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916406	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916407	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.849
ERR13916408	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916409	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916410	E1	Escherichia coli	ERP165651	2	ECBAIT_0_0052_JUNCTION_01:0.722;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916411	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_JUNCTION_03:0.709;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.891
ERR13916412	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865;ECBAIT_1_0004_JUNCTION_01:0.735
ERR13916413	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.759;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916414	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916415	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_01:0.727;ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916416	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.757
ERR13916417	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916418	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916419	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916420	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916421	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.849
ERR13916422	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916423	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916424	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916425	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.868
ERR13916426	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.796
ERR13916427	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.849
ERR13916428	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.947
ERR13916431	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916434	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.830;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.707
ERR13916441	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.735
ERR13916444	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916447	E1	Escherichia coli	ERP165651	5	ECBAIT_10_0002_JUNCTION_01:0.727;ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.884;ECBAIT_1_0004_JUNCTION_02:0.702
ERR13916451	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.830
ERR13916457	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916463	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916508	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.849
ERR13916509	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916512	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916513	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916514	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916515	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916516	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.842
ERR13916517	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.891
ERR13916518	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.918
ERR13916519	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.758;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916520	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916521	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916522	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916523	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916524	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916525	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916526	E1	Escherichia coli	ERP165651	4	ECBAIT_10_0002_JUNCTION_01:0.805;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.819
ERR13916528	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832
ERR13916527	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.757
ERR13916529	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916530	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000
ERR13916533	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_01:0.727;ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916532	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.710
ERR13916534	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916535	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_01:0.805;ECBAIT_10_0002_JUNCTION_02:0.901;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974
ERR13916536	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916537	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974
ERR13916538	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.807;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.744
ERR13916542	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.852;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.770
ERR13916539	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916544	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916543	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.947
ERR13916546	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.921
ERR13916545	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916547	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
