accession	tier	scientific_name	bioproject	s3_url	zst_sha256	bait	kmer_cov	qcov	identity	contig	contig_len	target_span	strand	cigar	classification	ntm_strict_rule
DRR051004	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051004/DRR051004.contigs.fa.zst	bc6c12b6b3c056ca591f0526f4afeba0c12687267406f7069ba48da2b3d34f0b	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051004_271	7536	776-1976	+	1200=	near-complete analogue	False
DRR051004	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051004/DRR051004.contigs.fa.zst	bc6c12b6b3c056ca591f0526f4afeba0c12687267406f7069ba48da2b3d34f0b	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8573	1.0	0.995	DRR051004_633	1353	11-1211	+	11=1X60=1X297=1X198=1X45=1X512=1X71=	near-complete analogue	False
DRR051005	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051005/DRR051005.contigs.fa.zst	75f255aca1e9e934054a7cd73964504bfa08e2712f55c7fbf80792a561f3d1d6	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051005_258	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051005	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051005/DRR051005.contigs.fa.zst	75f255aca1e9e934054a7cd73964504bfa08e2712f55c7fbf80792a561f3d1d6	ECBAIT_10_0057_MEMBER_INTERIOR_01	1.0	0.99	1.0	DRR051005_180	1619	431-1619	-	1188=	near-complete analogue	False
DRR051006	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051006/DRR051006.contigs.fa.zst	0775c427ac566bdf2fdf405734b066cbe64420fbf402bae1eed2da3215f6d1b4	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051006_197	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051006	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051006/DRR051006.contigs.fa.zst	0775c427ac566bdf2fdf405734b066cbe64420fbf402bae1eed2da3215f6d1b4	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.865	0.9892	0.9978	DRR051006_411	920	0-920	-	758=1X100=1X60=	near-complete analogue	False
DRR051010	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051010/DRR051010.contigs.fa.zst	fd9ef9abe86497ab1d38fa38225cb32bf3a0c567a8ef06aada780b45735f22bd	ECBAIT_10_0002_JUNCTION_01	0.7268	1.0	0.99	DRR051010_173	13281	7774-8275	-	142=1X269=1X5=1X2=1X2=1X76=	near-complete analogue	False
DRR051010	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051010/DRR051010.contigs.fa.zst	fd9ef9abe86497ab1d38fa38225cb32bf3a0c567a8ef06aada780b45735f22bd	ECBAIT_10_0002_JUNCTION_02	0.7588	0.993	0.99	DRR051010_173	13281	7775-8276	-	141=1X269=1X5=1X2=1X2=1X77=	near-complete analogue	False
DRR051010	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051010/DRR051010.contigs.fa.zst	fd9ef9abe86497ab1d38fa38225cb32bf3a0c567a8ef06aada780b45735f22bd	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051010_223	7536	776-1976	+	1200=	near-complete analogue	False
DRR051010	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051010/DRR051010.contigs.fa.zst	fd9ef9abe86497ab1d38fa38225cb32bf3a0c567a8ef06aada780b45735f22bd	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051010_147	3514	221-1421	+	11=1X60=1X100=1X758=1X79=1X2=1X112=1X71=	near-complete analogue	False
DRR051011	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051011/DRR051011.contigs.fa.zst	5b9572191f633c8d4f872cbcbef53593cf21d8f44b22804c49ed9d5242c234d0	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8282	1.0	0.9933	DRR051011_66	12182	2093-3293	-	71=1X112=1X2=1X79=1X457=1X300=1X100=1X60=1X11=	module-only homology	False
DRR051012	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051012/DRR051012.contigs.fa.zst	6d2d008b35671dfaaf6661233484b72534ceb468d8da432d4b27fd1d127d7296	ECBAIT_0_0000_JUNCTION_02	0.7536	0.996	0.9758	DRR051012_343	2069	1154-1650	-	183=1X160=1X1=1X3=1X5=1X5=1X1=2X2=1X62=1X11=1X26=1X25=	near-complete analogue	False
DRR051012	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051012/DRR051012.contigs.fa.zst	6d2d008b35671dfaaf6661233484b72534ceb468d8da432d4b27fd1d127d7296	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051012_235	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051012	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051012/DRR051012.contigs.fa.zst	6d2d008b35671dfaaf6661233484b72534ceb468d8da432d4b27fd1d127d7296	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.9735	0.99	0.9992	DRR051012_488	1619	0-1188	+	1116=1X71=	near-complete analogue	False
DRR051013	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051013/DRR051013.contigs.fa.zst	8b0b9ef829f39d5f1ae3dce1d9b047ab6b4b0262e982671a68abb3f7764acdc5	ECBAIT_10_0002_JUNCTION_01	0.7134	1.0	0.99	DRR051013_316	8075	5006-5507	+	76=1X2=1X2=1X5=1X269=1X142=	near-complete analogue	False
DRR051013	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051013/DRR051013.contigs.fa.zst	8b0b9ef829f39d5f1ae3dce1d9b047ab6b4b0262e982671a68abb3f7764acdc5	ECBAIT_10_0002_JUNCTION_02	0.8289	0.993	0.99	DRR051013_316	8075	5005-5506	+	77=1X2=1X2=1X5=1X269=1X141=	near-complete analogue	False
DRR051013	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051013/DRR051013.contigs.fa.zst	8b0b9ef829f39d5f1ae3dce1d9b047ab6b4b0262e982671a68abb3f7764acdc5	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051013_234	7536	776-1976	+	1200=	near-complete analogue	False
DRR051013	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051013/DRR051013.contigs.fa.zst	8b0b9ef829f39d5f1ae3dce1d9b047ab6b4b0262e982671a68abb3f7764acdc5	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.9179	0.99	0.9966	DRR051013_150	1619	0-1188	+	60=1X859=1X79=1X2=1X184=	near-complete analogue	False
DRR051014	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051014/DRR051014.contigs.fa.zst	a98ef4f92c3f69075cabc5cb3aa6cb8926aab28c57a33ef5e47207d4820b143d	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051014_299	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051014	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051014/DRR051014.contigs.fa.zst	a98ef4f92c3f69075cabc5cb3aa6cb8926aab28c57a33ef5e47207d4820b143d	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8812	1.0	0.995	DRR051014_112	10520	8889-10089	+	11=1X60=1X859=1X79=1X2=1X112=1X71=	near-complete analogue	False
DRR051017	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051017/DRR051017.contigs.fa.zst	03a17cd5c69c9eb7ed185f50d2c002af81ebc7d5cfa0cd0576024c91b87f1d32	ECBAIT_10_0002_JUNCTION_01	0.7268	1.0	0.99	DRR051017_239	13281	7774-8275	-	142=1X269=1X5=1X2=1X2=1X76=	near-complete analogue	False
DRR051017	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051017/DRR051017.contigs.fa.zst	03a17cd5c69c9eb7ed185f50d2c002af81ebc7d5cfa0cd0576024c91b87f1d32	ECBAIT_10_0002_JUNCTION_02	0.8289	0.993	0.99	DRR051017_239	13281	7775-8276	-	141=1X269=1X5=1X2=1X2=1X77=	near-complete analogue	False
DRR051017	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051017/DRR051017.contigs.fa.zst	03a17cd5c69c9eb7ed185f50d2c002af81ebc7d5cfa0cd0576024c91b87f1d32	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051017_22	7536	776-1976	+	1200=	near-complete analogue	False
DRR051017	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051017/DRR051017.contigs.fa.zst	03a17cd5c69c9eb7ed185f50d2c002af81ebc7d5cfa0cd0576024c91b87f1d32	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051017_257	12182	8889-10089	+	11=1X60=1X100=1X758=1X79=1X2=1X112=1X71=	near-complete analogue	False
DRR051018	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051018/DRR051018.contigs.fa.zst	0dc5290235cee4abee6b97edfe74487b6ec936003fd3200e08c3fef223df5440	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051018_263	6923	4947-6147	-	1200=	near-complete analogue	False
DRR051018	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051018/DRR051018.contigs.fa.zst	0dc5290235cee4abee6b97edfe74487b6ec936003fd3200e08c3fef223df5440	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051018_285	5389	1370-2570	-	71=1X112=1X2=1X79=1X758=1X100=1X60=1X11=	near-complete analogue	False
DRR051018	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051018/DRR051018.contigs.fa.zst	0dc5290235cee4abee6b97edfe74487b6ec936003fd3200e08c3fef223df5440	ECBAIT_10_0172_MEMBER_INTERIOR_01	0.8453	1.0	0.9892	DRR051018_279	10086	5672-6872	-	325=1X236=1X272=1X20=1X17=1X2=1X245=1X2=1X1=2X5=2X1=1X61=	near-complete analogue	False
DRR051019	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051019/DRR051019.contigs.fa.zst	22778830582aa6c352b693a80071ef37acb02aa0e415a9de1863dc374ed806ea	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051019_287	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051019	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051019/DRR051019.contigs.fa.zst	22778830582aa6c352b693a80071ef37acb02aa0e415a9de1863dc374ed806ea	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.865	0.99	0.9949	DRR051019_182	1619	0-1188	+	60=1X100=1X758=1X79=1X2=1X112=1X71=	near-complete analogue	False
DRR051020	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051020/DRR051020.contigs.fa.zst	5f8bdd41971dd66f8a88fa5ec693036abed233efc94f8da202fb7c964e0a5b6b	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051020_310	2586	776-1976	+	1200=	near-complete analogue	False
DRR051020	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051020/DRR051020.contigs.fa.zst	5f8bdd41971dd66f8a88fa5ec693036abed233efc94f8da202fb7c964e0a5b6b	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051020_129	12182	8889-10089	+	11=1X60=1X100=1X758=1X79=1X2=1X112=1X71=	near-complete analogue	False
DRR051021	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051021/DRR051021.contigs.fa.zst	e2339dda5800910f02aef75cd92de504e67843c911f7a3e3a25e2857cf733324	ECBAIT_10_0002_JUNCTION_01	0.7268	1.0	0.99	DRR051021_1	13281	5006-5507	+	76=1X2=1X2=1X5=1X269=1X142=	near-complete analogue	False
DRR051021	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051021/DRR051021.contigs.fa.zst	e2339dda5800910f02aef75cd92de504e67843c911f7a3e3a25e2857cf733324	ECBAIT_10_0002_JUNCTION_02	0.8289	0.993	0.99	DRR051021_1	13281	5005-5506	+	77=1X2=1X2=1X5=1X269=1X141=	near-complete analogue	False
DRR051021	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051021/DRR051021.contigs.fa.zst	e2339dda5800910f02aef75cd92de504e67843c911f7a3e3a25e2857cf733324	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051021_342	7536	776-1976	+	1200=	near-complete analogue	False
DRR051021	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051021/DRR051021.contigs.fa.zst	e2339dda5800910f02aef75cd92de504e67843c911f7a3e3a25e2857cf733324	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051021_165	12182	2093-3293	-	71=1X112=1X2=1X79=1X758=1X100=1X60=1X11=	near-complete analogue	False
DRR051022	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051022/DRR051022.contigs.fa.zst	eb77bcd237564a28ac5cedcc8a49dde9a07f7c69dd797a4c1b7e61ed325464b1	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051022_268	6923	4947-6147	-	1200=	near-complete analogue	False
DRR051022	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051022/DRR051022.contigs.fa.zst	eb77bcd237564a28ac5cedcc8a49dde9a07f7c69dd797a4c1b7e61ed325464b1	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051022_196	5389	2819-4019	+	11=1X60=1X100=1X758=1X79=1X2=1X112=1X71=	near-complete analogue	False
DRR051022	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051022/DRR051022.contigs.fa.zst	eb77bcd237564a28ac5cedcc8a49dde9a07f7c69dd797a4c1b7e61ed325464b1	ECBAIT_10_0172_MEMBER_INTERIOR_01	0.8453	1.0	0.9892	DRR051022_126	9920	3048-4248	+	61=1X1=2X5=2X1=1X2=1X245=1X2=1X17=1X20=1X272=1X236=1X325=	near-complete analogue	False
DRR051027	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051027/DRR051027.contigs.fa.zst	2bd21e68dad2dc16e834df6f9efb52a9720f78759eec0fe11c6476b882ae5bad	ECBAIT_0_0052_JUNCTION_01	0.7082	0.941	0.8364	DRR051027_38	22696	5993-6372	+	217=62I162=	near-complete analogue	False
DRR051027	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051027/DRR051027.contigs.fa.zst	2bd21e68dad2dc16e834df6f9efb52a9720f78759eec0fe11c6476b882ae5bad	ECBAIT_10_0002_JUNCTION_01	0.7268	1.0	0.99	DRR051027_265	13281	5006-5507	+	76=1X2=1X2=1X5=1X269=1X142=	near-complete analogue	False
DRR051027	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051027/DRR051027.contigs.fa.zst	2bd21e68dad2dc16e834df6f9efb52a9720f78759eec0fe11c6476b882ae5bad	ECBAIT_10_0002_JUNCTION_02	0.8289	0.993	0.99	DRR051027_265	13281	5005-5506	+	77=1X2=1X2=1X5=1X269=1X141=	near-complete analogue	False
DRR051027	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051027/DRR051027.contigs.fa.zst	2bd21e68dad2dc16e834df6f9efb52a9720f78759eec0fe11c6476b882ae5bad	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051027_417	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051027	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051027/DRR051027.contigs.fa.zst	2bd21e68dad2dc16e834df6f9efb52a9720f78759eec0fe11c6476b882ae5bad	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051027_126	12182	8889-10089	+	11=1X60=1X100=1X758=1X79=1X2=1X112=1X71=	near-complete analogue	False
DRR051028	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051028/DRR051028.contigs.fa.zst	37895e84cddd70137b73e04de39541c6b4e878c1812760c0bd8841f27721ddb1	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051028_317	7536	776-1976	+	1200=	near-complete analogue	False
DRR051028	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051028/DRR051028.contigs.fa.zst	37895e84cddd70137b73e04de39541c6b4e878c1812760c0bd8841f27721ddb1	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051028_107	12182	2093-3293	-	71=1X112=1X2=1X79=1X758=1X100=1X60=1X11=	near-complete analogue	False
DRR051029	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051029/DRR051029.contigs.fa.zst	d7f1bc38ac6d1f643def46e3d05900e35916c57028edcbed39c2b288d6ea8943	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051029_351	6923	4947-6147	-	1200=	near-complete analogue	False
DRR051029	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051029/DRR051029.contigs.fa.zst	d7f1bc38ac6d1f643def46e3d05900e35916c57028edcbed39c2b288d6ea8943	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8812	1.0	0.995	DRR051029_544	1642	431-1631	-	71=1X112=1X2=1X79=1X362=1X557=1X11=	near-complete analogue	False
DRR051029	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051029/DRR051029.contigs.fa.zst	d7f1bc38ac6d1f643def46e3d05900e35916c57028edcbed39c2b288d6ea8943	ECBAIT_10_0172_MEMBER_INTERIOR_01	0.8453	1.0	0.9892	DRR051029_140	10086	3214-4414	+	61=1X1=2X5=2X1=1X2=1X245=1X2=1X17=1X20=1X272=1X236=1X325=	near-complete analogue	False
DRR051031	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051031/DRR051031.contigs.fa.zst	653f67e50a300b9c6dede0b1d3702616a46f7fe728884e3f57578b20b703e185	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051031_250	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051031	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051031/DRR051031.contigs.fa.zst	653f67e50a300b9c6dede0b1d3702616a46f7fe728884e3f57578b20b703e185	ECBAIT_10_0057_MEMBER_INTERIOR_01	1.0	0.99	1.0	DRR051031_253	1619	0-1188	+	1188=	near-complete analogue	False
DRR051032	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051032/DRR051032.contigs.fa.zst	fbed6cba4f01d53f612d0cbd3473cc135fea7d3355538eeca3a300d03b85b077	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051032_365	3841	776-1976	+	1200=	near-complete analogue	False
DRR051032	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051032/DRR051032.contigs.fa.zst	fbed6cba4f01d53f612d0cbd3473cc135fea7d3355538eeca3a300d03b85b077	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.9179	0.99	0.9966	DRR051032_461	1619	431-1619	-	184=1X2=1X79=1X758=1X161=	near-complete analogue	False
DRR051035	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051035/DRR051035.contigs.fa.zst	ec2ed67f0b468849c075cbd1fa38d58deaa19a0c015c9438f9086dd5a6832b2b	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051035_361	6923	776-1976	+	1200=	near-complete analogue	False
DRR051035	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051035/DRR051035.contigs.fa.zst	ec2ed67f0b468849c075cbd1fa38d58deaa19a0c015c9438f9086dd5a6832b2b	ECBAIT_10_0057_MEMBER_INTERIOR_01	1.0	0.99	1.0	DRR051035_634	1619	0-1188	+	1188=	near-complete analogue	False
DRR051035	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051035/DRR051035.contigs.fa.zst	ec2ed67f0b468849c075cbd1fa38d58deaa19a0c015c9438f9086dd5a6832b2b	ECBAIT_10_0172_MEMBER_INTERIOR_01	0.8453	1.0	0.9892	DRR051035_246	10086	5672-6872	-	325=1X236=1X272=1X20=1X17=1X2=1X245=1X2=1X1=2X5=2X1=1X61=	near-complete analogue	False
