bait_id	bait_class	clade_id	genome_id	member_prophage_id	contig	start	end	length_bp	n_kmers_total	n_ambiguous	n_low_complexity	n_host_like	n_internal_dup	n_usable_kmers	seq_sha256	status	reason
NTMBAIT_0_0025_INTERIOR_MODULE_01	interior_module	0_0025	ntm2_0_0025_ML		ntm2_0_0025_ML	15089	16288	1200	1170	0	0	696	0		b9611f3a39b7895d7244bc5ee0d4ad2004e2472b31fa3d63d1afcf1414965238	rejected	host_like_frac>0.1:0.595
NTMBAIT_0_0025_INTERIOR_MODULE_02	interior_module	0_0025	ntm2_0_0025_ML		ntm2_0_0025_ML	22517	23716	1200	1170	0	0	717	0		31ed072845670ee74be820b3e8781fce6cae1fab3e339d83dede5c4040a9ba19	rejected	host_like_frac>0.1:0.613
NTMBAIT_0_0025_JUNCTION_01	junction	0_0025	ntm2_0_0025_ML		ntm2_0_0025_ML	11140	12139	1000	970	0	0	470	0		b1e8fe78a3337aaa2e04315b67b9af8da077dfeed0857eaafe9bd47a5ed53bb4	rejected	host_like_frac>0.1:0.485
NTMBAIT_0_0025_JUNCTION_02	junction	0_0025	ntm2_0_0025_ML		ntm2_0_0025_ML	4040	5039	1000	970	0	0	818	0		49fec3f42173fa8fe99ef516b767ae65051c9452335ab2b7016657675511932e	rejected	host_like_frac>0.1:0.843
NTMBAIT_0_0025_MEMBER_INTERIOR_02	member_interior	0_0025	ntm2_0_0025_ML	GCA_900133755.1_12163_1_26_genomic_prophage3	GCA_900133755.1_12163_1_26_genomic_prophage3	5437	6636	1200	1170	0	0	1170	0		81a891897b0fe6dce8716ad72bc1449524aa13f1a30550bdb207df747678b472	rejected	host_like_frac>0.1:1.000
NTMBAIT_0_0032_INTERIOR_MODULE_03	interior_module	0_0032	ntm2_0_0032_ML		ntm2_0_0032_ML	37439	38638	1200	1170	0	0	157	0		8c246cbdc3d5302b0df69d45a60f7917034e019271262d55729fbbf6692d941d	rejected	host_like_frac>0.1:0.134
NTMBAIT_0_0032_JUNCTION_01	junction	0_0032	ntm2_0_0032_ML		ntm2_0_0032_ML	919	1918	1000	970	0	0	63	0	907	4909f4a94a7ba26395d711bc41b2a0fad6807051a2023df547847ccd5eefc406	rejected	cross_bait_kmer_dup:0.802
NTMBAIT_0_0032_MEMBER_INTERIOR_02	member_interior	0_0032	ntm2_0_0032_ML	GCA_002801525.1_ASM280152v1_genomic_prophage3	GCA_002801525.1_ASM280152v1_genomic_prophage3	2111	3310	1200	1170	0	0	841	0		7061825211f06d423881213761771293aacae108740b1b7ce4a714d93646bace	rejected	host_like_frac>0.1:0.719
NTMBAIT_0_0038_INTERIOR_MODULE_02	interior_module	0_0038	ntm2_0_0038_ML		ntm2_0_0038_ML	21561	22760	1200	1170	0	0	298	0		8edbb843d3cec3c7735e938e04b60ca720e2b686b8ba3066b5c59b30bbcc0a26	rejected	host_like_frac>0.1:0.255
NTMBAIT_0_0038_JUNCTION_01	junction	0_0038	ntm2_0_0038_ML		ntm2_0_0038_ML	1500	2499	1000	970	0	0	335	0		e314898e430542a32d9345779fb9699bcff3bd646c27b1434d1dbc8566cfd2bb	rejected	host_like_frac>0.1:0.345
NTMBAIT_0_0038_JUNCTION_03	junction	0_0038	ntm2_0_0038_ML		ntm2_0_0038_ML	708	1707	1000	970	0	0	222	0		e0f582f02173bbaa08ee89ff32db3ea33ae72f877683ddbd06ffefea0f1f086c	rejected	host_like_frac>0.1:0.229
NTMBAIT_0_0049_INTERIOR_MODULE_03	interior_module	0_0049	ntm2_0_0049_ML		ntm2_0_0049_ML	1	1200	1200	1170	0	0	250	0		2605f84801bcc9e06a9118cab72e314fe764717c980b37ac148515eb1b75490d	rejected	host_like_frac>0.1:0.214
NTMBAIT_0_0049_JUNCTION_01	junction	0_0049	ntm2_0_0049_ML		ntm2_0_0049_ML	9501	10500	1000	970	0	0	314	0		faee7632fc160ab7e60c7ec56182a34716e0512649eadca16a2f675e243bb75c	rejected	host_like_frac>0.1:0.324
NTMBAIT_0_0049_JUNCTION_02	junction	0_0049	ntm2_0_0049_ML		ntm2_0_0049_ML	6001	7000	1000	970	0	0	314	0		dd0e659bdecc19a131817de5d26bbaa9ea3a6c6026003c50b3a317a12d77e2c6	rejected	host_like_frac>0.1:0.324
NTMBAIT_0_0049_JUNCTION_03	junction	0_0049	ntm2_0_0049_ML		ntm2_0_0049_ML	501	1500	1000	970	0	0	248	0		f462953dc844d657a991234449c5c28613f541a587936b2dbffcd13c7ecedcb3	rejected	dominated_nonphage_markers
NTMBAIT_0_0049_MEMBER_INTERIOR_02	member_interior	0_0049	ntm2_0_0049_ML	GCF_000271005.1_ASM27100v1_genomic_prophage2	GCF_000271005.1_ASM27100v1_genomic_prophage2	19262	20461	1200	1170	0	0	0	0	1170	0762f21e508c6edeec43447be669776b3c2002f5cc2784a9b2632193ed2b4cbd	rejected	duplicate_sequence
NTMBAIT_0_0063_JUNCTION_02	junction	0_0063	ntm2_0_0063_ML		ntm2_0_0063_ML	6001	7000	1000	970	0	0	58	0		e0aa57ce816859b93c59841a441788c57b952648c7931e0a05b64284c01fac18	rejected	dominated_nonphage_markers
NTMBAIT_0_0063_JUNCTION_03	junction	0_0063	ntm2_0_0063_ML		ntm2_0_0063_ML	501	1500	1000	970	0	0	14	0	956	c7ddaebc52b188d0056c700001b15df6a5e9ac1a4e5703bdf3a2ded1ea7c2b17	rejected	cross_bait_kmer_dup:0.691
NTMBAIT_0_0063_MEMBER_INTERIOR_02	member_interior	0_0063	ntm2_0_0063_ML	GCA_900131535.1_11893_6_45_genomic_prophage2	GCA_900131535.1_11893_6_45_genomic_prophage2	19823	21022	1200	1170	0	0	0	0	1170	18182a2aca0d0f1d6f5aeb2b177575b119b5d1c7e3eda48aaa5464491081516e	rejected	duplicate_sequence
NTMBAIT_0_0066_MEMBER_INTERIOR_02	member_interior	0_0066	ntm2_0_0066_ML	GCA_049241375.1_Jessa_Mwolja_1.0_genomic_prophage1	GCA_049241375.1_Jessa_Mwolja_1.0_genomic_prophage1	20006	21205	1200	1170	0	0	0	0	1170	382f290348410ad8677a1e8883e23b9753f185e3a92537d688632ae260e63252	rejected	cross_bait_kmer_dup:0.997
NTMBAIT_0_0073_JUNCTION_02	junction	0_0073	ntm2_0_0073_ML		ntm2_0_0073_ML	33954	34953	1000	970	0	0	98	0		94cb14795057487430855ed3d7eb240a46aaaf63d794099f42de21618fdaacb4	rejected	host_like_frac>0.1:0.101
NTMBAIT_0_0073_JUNCTION_03	junction	0_0073	ntm2_0_0073_ML		ntm2_0_0073_ML	501	1500	1000	970	0	0	25	0		0e3983b86da94be67ac98addb064b5d88a68ac411d20ca221bea5d2adb2d0f36	rejected	dominated_nonphage_markers
NTMBAIT_0_0073_MEMBER_INTERIOR_01	member_interior	0_0073	ntm2_0_0073_ML	GCA_001296325.1_ASM129632v1_genomic_prophage1	GCA_001296325.1_ASM129632v1_genomic_prophage1	18979	20178	1200	1170	0	0	0	0	1170	3aa6edebc61ee3507af747c1499c43dcd9f9f0bbba40de8f60ea1a6b64ddb77a	rejected	cross_bait_kmer_dup:0.536
NTMBAIT_0_0073_MEMBER_INTERIOR_02	member_interior	0_0073	ntm2_0_0073_ML	GCA_001677135.1_ASM167713v1_genomic_prophage3	GCA_001677135.1_ASM167713v1_genomic_prophage3	19627	20826	1200	1170	0	0	0	3	1167	ba71ee2bf0109ac28de97e1d2ae33e641cbe507380028fe364d45112fc4ecfb3	rejected	cross_bait_kmer_dup:0.723
NTMBAIT_0_0077_INTERIOR_GENERIC_01	interior_generic	0_0077	ntm2_0_0077_ML		ntm2_0_0077_ML	8033	9232	1200	1170	0	0	455	0		817c53226f44073df8ffc4ae0a068ddbff676f72a21cb79d0f031284e17f9611	rejected	host_like_frac>0.1:0.389
NTMBAIT_0_0077_JUNCTION_01	junction	0_0077	ntm2_0_0077_ML		ntm2_0_0077_ML	9501	10500	1000	970	0	0	100	0		ca5b611c027196079d39989e19b2ee7934c0ecd12fe0a5524fcdaeca53ef0c2e	rejected	host_like_frac>0.1:0.103
NTMBAIT_0_0077_MEMBER_INTERIOR_02	member_interior	0_0077	ntm2_0_0077_ML	GCA_002013425.1_ASM201342v1_genomic_prophage1	GCA_002013425.1_ASM201342v1_genomic_prophage1	16666	17865	1200	1170	0	0	0	0	1170	4041914a5fa2d67b2982e7d7087ffd5ad8e04e40cd01e236483fc1709301c814	rejected	duplicate_sequence
NTMBAIT_0_0085_MEMBER_INTERIOR_02	member_interior	0_0085	ntm2_0_0085_ML	GCA_900133725.1_12163_1_17_genomic_prophage2	GCA_900133725.1_12163_1_17_genomic_prophage2	21326	22525	1200	1170	0	0	3	0	1167	157670c265e41ab43b5a0403e38a0742b8d92f0133443c0f7f16ebc28afdc1aa	rejected	duplicate_sequence
NTMBAIT_0_0169_MEMBER_INTERIOR_02	member_interior	0_0169	ntm2_0_0169_ML	GCA_002013815.1_ASM201381v1_genomic_prophage2	GCA_002013815.1_ASM201381v1_genomic_prophage2	21979	23178	1200	1170	0	0	0	0	1170	d3d1f746efa90928361c173906f51ef74c3ff5fabfcdcf7ddf3c0f6f23f18895	rejected	cross_bait_kmer_dup:0.911
NTMBAIT_0_0218_MEMBER_INTERIOR_01	member_interior	0_0218	ntm2_0_0218_ML	GCA_046643285.1_ASM4664328v1_genomic_prophage4	GCA_046643285.1_ASM4664328v1_genomic_prophage4	2169	3368	1200	1170	0	0	811	0		fb181c5dbd6d6d12c813e009a40a40058f0d36a6ff99bf01682cec5d7cd6139c	rejected	host_like_frac>0.1:0.693
NTMBAIT_0_0219_MEMBER_INTERIOR_02	member_interior	0_0219	ntm2_0_0219_ML	GCA_053483535.1_ASM5348353v1_genomic_prophage2	GCA_053483535.1_ASM5348353v1_genomic_prophage2	20062	21261	1200	1170	0	0	0	0	1170	843bd389353c2050aa1bf69abb8e5c96ba63e3e2da39e36d0c95184a1fc04436	rejected	cross_bait_kmer_dup:0.702
NTMBAIT_0_0000_INTERIOR_MODULE_02	interior_module	0_0000	ntm2_0_0000_ML		ntm2_0_0000_ML	17561	18760	1200	1170	0	0	0	0	1170	47f0ab667b375279d4c46a3547d8dc6848fdfc8c40e07f05c4b4c79fb38946ec	accepted	accepted
NTMBAIT_0_0000_JUNCTION_02	junction	0_0000	ntm2_0_0000_ML		ntm2_0_0000_ML	106755	107754	1000	970	0	0	51	0	919	ad94e22fe28796ab0c418476704d3a347de82048d5a8df92f19d1417dda1d34c	accepted	accepted
NTMBAIT_0_0000_MEMBER_INTERIOR_01	member_interior	0_0000	ntm2_0_0000_ML	GCA_900138355.1_11893_7_48_genomic_prophage2	GCA_900138355.1_11893_7_48_genomic_prophage2	13227	14426	1200	1170	0	0	0	0	1170	0995d866bc6444c5a1b9c197fbc2dbdeb8c67e0f74b7431bd779151fb0bd0b60	accepted	accepted
NTMBAIT_0_0000_MEMBER_INTERIOR_02	member_interior	0_0000	ntm2_0_0000_ML	GCA_900141045.1_10702_1_66_genomic_prophage6	GCA_900141045.1_10702_1_66_genomic_prophage6	12503	13702	1200	1170	0	0	0	0	1170	51ec814d39aa54853e810921830f7bd1ca2dd5877b6a344bb100fc3811fe2723	accepted	accepted
NTMBAIT_0_0001_INTERIOR_GENERIC_01	interior_generic	0_0001	ntm2_0_0001_ML		ntm2_0_0001_ML	11993	13192	1200	1170	0	0	0	0	1170	9418a624e74bf1d3a5c9242c642d5cd2597a7f4a837370b12766b5e76b763b52	accepted	accepted
NTMBAIT_0_0001_INTERIOR_MODULE_01	interior_module	0_0001	ntm2_0_0001_ML		ntm2_0_0001_ML	27134	28333	1200	1170	0	0	8	0	1162	c0dc593d28cf4dfea493e17c8ff07e0bff88d6f50d270e0b6a9c905d382a505c	accepted	accepted
NTMBAIT_0_0001_INTERIOR_MODULE_02	interior_module	0_0001	ntm2_0_0001_ML		ntm2_0_0001_ML	39936	41135	1200	1170	0	0	86	0	1084	73ba9f998c61870f2281dd3227940d903e0c5085dc1a375b0acf379ba6cca1c0	accepted	accepted
NTMBAIT_0_0001_JUNCTION_01	junction	0_0001	ntm2_0_0001_ML		ntm2_0_0001_ML	24099	25098	1000	970	0	0	0	0	970	2ea8debf41eedc3355350fd5b7e26845411e6e57357e5d2449cd60a3146b475e	accepted	accepted
NTMBAIT_0_0001_JUNCTION_02	junction	0_0001	ntm2_0_0001_ML		ntm2_0_0001_ML	4179	5178	1000	970	0	0	0	0	970	b81a3df8072718b96b71042be602013dd7b3d2b1573bd2522e228cd2034c4989	accepted	accepted
NTMBAIT_0_0001_MEMBER_INTERIOR_01	member_interior	0_0001	ntm2_0_0001_ML	GCA_015023815.1_ASM1502381v1_genomic_prophage1	GCA_015023815.1_ASM1502381v1_genomic_prophage1	13635	14834	1200	1170	0	0	0	0	1170	4afd83870c070f0d1e6fa480c53aad9675c6aa71f29a4ba9b2c5699a437201c6	accepted	accepted
NTMBAIT_0_0001_MEMBER_INTERIOR_02	member_interior	0_0001	ntm2_0_0001_ML	GCA_030341955.1_ASM3034195v1_genomic_prophage1	GCA_030341955.1_ASM3034195v1_genomic_prophage1	5418	6617	1200	1170	0	0	0	0	1170	5c30fb95cda388978bb9fca418a249a3b1ee8bf9e8f833054ce2c1df2c6c2250	accepted	accepted
NTMBAIT_0_0006_INTERIOR_MODULE_01	interior_module	0_0006	ntm2_0_0006_ML		ntm2_0_0006_ML	26695	27894	1200	1170	0	0	20	0	1150	b2b6ae1bc520eafcc02ad9562588d1bdb7de2a3b3a62c2ecfa82fe07bbc6836b	accepted	accepted
NTMBAIT_0_0006_INTERIOR_MODULE_02	interior_module	0_0006	ntm2_0_0006_ML		ntm2_0_0006_ML	7546	8745	1200	1170	0	0	98	0	1072	426f7555a7389fd441f359d935db963313bc1b6e76b08e17d6c71bddfc5390d3	accepted	accepted
NTMBAIT_0_0006_JUNCTION_01	junction	0_0006	ntm2_0_0006_ML		ntm2_0_0006_ML	20413	21412	1000	970	0	0	29	0	941	d583b1bc58c07f5e84cd8bc0bf7f5ce5b99da5eea2892ab061bd176ed369c198	accepted	accepted
NTMBAIT_0_0006_MEMBER_INTERIOR_01	member_interior	0_0006	ntm2_0_0006_ML	GCA_900132875.1_11861_7_83_genomic_prophage1	GCA_900132875.1_11861_7_83_genomic_prophage1	13601	14800	1200	1170	0	0	0	0	1170	f20a0eef20292afe3ef84c3c4cd38440b757f82da64a3e978444d41a663130b3	accepted	accepted
NTMBAIT_0_0006_MEMBER_INTERIOR_02	member_interior	0_0006	ntm2_0_0006_ML	GCA_900141075.1_10702_1_72_genomic_prophage1	GCA_900141075.1_10702_1_72_genomic_prophage1	7195	8394	1200	1170	0	0	78	0	1092	dbd7d3bc4861d4b7ddb11f3764d22db16f16127f3e9e63f6bd0f8b503566bc43	accepted	accepted
NTMBAIT_0_0019_INTERIOR_MODULE_01	interior_module	0_0019	ntm2_0_0019_ML		ntm2_0_0019_ML	60713	61912	1200	1170	0	0	0	0	1170	23d67c5a9032414687217b8a752c42f811a95e2d86740217ee44674f7a31fadf	accepted	accepted
NTMBAIT_0_0019_INTERIOR_MODULE_02	interior_module	0_0019	ntm2_0_0019_ML		ntm2_0_0019_ML	44921	46120	1200	1170	0	0	19	0	1151	48f233cadf98c57e56fe238a930cbb14fdc3c12d31d33c45f71e59478ae772b3	accepted	accepted
NTMBAIT_0_0021_MEMBER_INTERIOR_02	member_interior	0_0021	ntm2_0_0021_ML	GCA_900136475.1_10208_3_69_genomic_prophage3	GCA_900136475.1_10208_3_69_genomic_prophage3	21272	22471	1200	1170	0	0	0	0	1170	b417d94398152f54c99842ff1ff2bcf473ca20f5c48b77238d526f58acf0617f	accepted	accepted
NTMBAIT_0_0023_INTERIOR_MODULE_01	interior_module	0_0023	ntm2_0_0023_ML		ntm2_0_0023_ML	3303	4502	1200	1170	0	0	0	0	1170	789f09d682625719f6522d68d55024f3cba66cea2a386ae4d20e1f966aed0999	accepted	accepted
NTMBAIT_0_0023_INTERIOR_MODULE_02	interior_module	0_0023	ntm2_0_0023_ML		ntm2_0_0023_ML	29317	30516	1200	1170	0	0	0	0	1170	6a4a466aaca3730eca2ed759b04cbd8910ab22e14e70c7e5fb751126994e7883	accepted	accepted
NTMBAIT_0_0023_INTERIOR_MODULE_03	interior_module	0_0023	ntm2_0_0023_ML		ntm2_0_0023_ML	984	2183	1200	1170	0	0	17	0	1153	53d0c8220a88ad2dd6c6831cbe1adf516be4cdc458e266cdb3dc7058f2c66382	accepted	accepted
NTMBAIT_0_0023_JUNCTION_02	junction	0_0023	ntm2_0_0023_ML		ntm2_0_0023_ML	5781	6780	1000	970	0	0	0	0	970	5043ff90b668078ff28bef273183c1c5813a394c9247037742672aa1f2148a55	accepted	accepted
NTMBAIT_0_0023_JUNCTION_03	junction	0_0023	ntm2_0_0023_ML		ntm2_0_0023_ML	7508	8507	1000	970	0	0	2	0	968	86e78a6a84d8d0d0aa6294c17aaf2e727cc8f3be5b874c18dc482cf33ccd5f69	accepted	accepted
NTMBAIT_0_0023_MEMBER_INTERIOR_01	member_interior	0_0023	ntm2_0_0023_ML	GCA_001853945.1_ASM185394v1_genomic_prophage3	GCA_001853945.1_ASM185394v1_genomic_prophage3	9378	10577	1200	1170	0	0	44	0	1126	9054c438d253e542315f5e06989b1fdb6403da0d6fe0903bfd73fc56ab0baba1	accepted	accepted
NTMBAIT_0_0023_MEMBER_INTERIOR_02	member_interior	0_0023	ntm2_0_0023_ML	GCA_016446375.1_ASM1644637v1_genomic_prophage1	GCA_016446375.1_ASM1644637v1_genomic_prophage1	17260	18459	1200	1170	0	0	5	0	1165	bd02fcf2ec280bbe5e6cec265946c8d4dbd1b02492293db6bd657a89e207aec4	accepted	accepted
