cohort_order	accession	annotation_status	failure_reason	storage_release_id	storage_root	row_sha256
295	GCF_002056065.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002056065.1:9058:4594605-4595318	SELF	.	b8485a3b14941c86371767006aeb82804afee85ee37647a7e1e64a0feb954c33
298	GCF_002165115.2	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002165115.2:9936:2187-3155	SELF	.	9d6eab88ff636a3c80a21e018857706a181d9638c2ba99c1df87d556607cdddb
315	GCF_014117345.2	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_014117345.2:10350:95823-96646	SELF	.	53a932e8b4f912f71455b9e00ae140adbaf41c6e1102733c8225f0c336252f2f
317	GCF_017165455.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_017165455.1:11540:34059-36431	SELF	.	06a5e783fc9b854c5ca38ca4bf4fbfed2b8dbceb5ee40208f1d2b34060760d3a
358	GCF_014169415.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_014169415.1:10616:146986-147272	SELF	.	0d3024ee037bed1ec4c20bb70fbe502b2554326f59ac42cd2b5cb59bf664dd17
370	GCF_018884405.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_018884405.1:9808:4871794-4872741	SELF	.	1600d99bd38f01360d1a7ebef93436027d0f04533dc04a019c1df64832cc17b6
372	GCF_017570645.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_017570645.1:10814:97955-98455	SELF	.	43bc6de1f7f6563f362a38cf05bc009f49e942d933133d5efd2bed164bb85fae
377	GCF_001901215.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001901215.1:10011:5101972-5102544	SELF	.	a01f6d424ee22f3b1c289993bd22bc4e68d8a0f762503c3e1728f5a1d210dd17
382	GCF_001558995.2	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001558995.2:11219:5478489-5479837	SELF	.	d2f190869967478ad403ae5bfcbb41b6e50510659ab985c1782504725af1da89
413	GCF_002142675.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002142675.1:10885:92021-92774	SELF	.	f0b50bc701e87b5d2b7c6d624a0c81e32adf3ffa0c2c596737a7ab1c2b201771
441	GCF_002011985.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002011985.1:10100:98344-101187	SELF	.	2134f820d31d763ac9a25ea39c8aea98b864eb1c25d9a8c7c36969213fbe86f3
446	GCF_001860505.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001860505.1:9545:4838959-4839375	SELF	.	09c9ea896d1562418cdb188eeb2a189342c75a155fb021265ff3f5143c72eaef
478	GCF_016126995.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_016126995.1:10174:5172686-5173864	SELF	.	25b819a9b8c4e11bde90b5a3494612b19cd88687e60ec6694431900cde64fe6c
