prophage_id	clade_id	community	host_accession	phylogroup
GCF_000456905.1_prophage_1	0_0000	0	GCF_000456905.1	B2
GCF_000460175.1_prophage_1	0_0000	0	GCF_000460175.1	B2
GCF_000457435.1_prophage_1	0_0000	0	GCF_000457435.1	B2
GCF_000457575.1_prophage_1	0_0000	0	GCF_000457575.1	B2
GCF_000458355.1_prophage_2	0_0000	0	GCF_000458355.1	B2
GCF_000460575.1_prophage_2	0_0000	0	GCF_000460575.1	B2
GCF_000353105.1_prophage_1	0_0000	0	GCF_000353105.1	B2
GCF_000458115.1_prophage_2	0_0000	0	GCF_000458115.1	B2
GCF_000777135.1_prophage_3	0_0000	0	GCF_000777135.1	B2
GCF_001471755.2_prophage_4	0_0000	0	GCF_001471755.2	B2
GCF_001520815.2_prophage_4	0_0000	0	GCF_001520815.2	B2
GCF_000148365.1_prophage_2	0_0000	0	GCF_000148365.1	B2
GCF_000159295.1_prophage_3	0_0000	0	GCF_000159295.1	B2
GCF_000457045.1_prophage_1	0_0000	0	GCF_000457045.1	B2
GCF_000458015.1_prophage_2	0_0000	0	GCF_000458015.1	B2
GCF_000458335.1_prophage_2	0_0000	0	GCF_000458335.1	B2
GCF_000458605.1_prophage_1	0_0000	0	GCF_000458605.1	B2
GCF_000460415.1_prophage_2	0_0000	0	GCF_000460415.1	B2
GCF_000460815.1_prophage_1	0_0000	0	GCF_000460815.1	B2
GCF_000494975.1_prophage_5	0_0000	0	GCF_000494975.1	B2
GCF_000461355.1_prophage_1	0_0000	0	GCF_000461355.1	B2
GCF_000350745.1_prophage_2	0_0000	0	GCF_000350745.1	B2
GCF_000457385.1_prophage_2	0_0000	0	GCF_000457385.1	B2
GCF_000460995.1_prophage_1	0_0000	0	GCF_000460995.1	B2
GCF_000463605.1_prophage_1	0_0000	0	GCF_000463605.1	B2
GCF_000461055.1_prophage_5	0_0000	0	GCF_000461055.1	B2
GCF_000459415.1_prophage_3	0_0000	0	GCF_000459415.1	B2
GCF_000460915.1_prophage_2	0_0000	0	GCF_000460915.1	B2
GCF_001521015.1_prophage_2	0_0000	0	GCF_001521015.1	B2
GCF_001521315.1_prophage_2	0_0001	0	GCF_001521315.1	B2
GCF_000456405.1_prophage_2	0_0001	0	GCF_000456405.1	B2
GCF_000458095.1_prophage_2	0_0001	0	GCF_000458095.1	B2
GCF_000326385.1_prophage_2	0_0001	0	GCF_000326385.1	B2
GCF_000458135.1_prophage_2	0_0001	0	GCF_000458135.1	B2
GCF_000456485.1_prophage_2	0_0001	0	GCF_000456485.1	B2
GCF_000456865.1_prophage_3	0_0001	0	GCF_000456865.1	B2
GCF_000457345.1_prophage_2	0_0001	0	GCF_000457345.1	B2
GCF_000458395.1_prophage_2	0_0001	0	GCF_000458395.1	B2
GCF_000458415.1_prophage_2	0_0001	0	GCF_000458415.1	B2
GCF_000459395.1_prophage_3	0_0001	0	GCF_000459395.1	B2
GCF_001030285.1_prophage_2	0_0001	0	GCF_001030285.1	B2
GCF_000233875.1_prophage_2	0_0001	0	GCF_000233875.1	B2
GCF_000233895.1_prophage_2	0_0001	0	GCF_000233895.1	B2
GCF_000457555.1_prophage_1	0_0001	0	GCF_000457555.1	B2
GCF_000459535.1_prophage_1	0_0001	0	GCF_000459535.1	B2
GCF_000408125.1_prophage_2	0_0001	0	GCF_000408125.1	B2
GCF_000457265.1_prophage_2	0_0001	0	GCF_000457265.1	B2
GCF_000459295.1_prophage_5	0_0001	0	GCF_000459295.1	B2
GCF_000164575.1_prophage_3	0_0001	0	GCF_000164575.1	B2
GCF_000457915.1_prophage_2	0_0001	0	GCF_000457915.1	B2
GCF_000351045.1_prophage_2	0_0001	0	GCF_000351045.1	B2
GCF_000457105.1_prophage_2	0_0001	0	GCF_000457105.1	B2
GCF_000458435.1_prophage_2	0_0001	0	GCF_000458435.1	B2
GCF_000457755.1_prophage_3	0_0001	0	GCF_000457755.1	B2
GCF_000457515.1_prophage_3	0_0001	0	GCF_000457515.1	B2
GCF_000458235.1_prophage_2	0_0001	0	GCF_000458235.1	C
GCF_001030435.1_prophage_2	0_0001	0	GCF_001030435.1	B2
GCF_001030445.1_prophage_5	0_0001	0	GCF_001030445.1	B2
GCF_000457675.1_prophage_2	0_0001	0	GCF_000457675.1	B2
GCF_000194685.1_prophage_3	0_0001	0	GCF_000194685.1	B2
GCF_000351905.1_prophage_8	0_0001	0	GCF_000351905.1	A
GCF_000353025.1_prophage_3	0_0001	0	GCF_000353025.1	B2
GCF_000456565.1_prophage_3	0_0001	0	GCF_000456565.1	B2
GCF_000456625.1_prophage_3	0_0001	0	GCF_000456625.1	B2
GCF_000350965.1_prophage_1	0_0001	0	GCF_000350965.1	B2
GCF_000776915.1_prophage_2	0_0001	0	GCF_000776915.1	B2
GCF_000317395.1_prophage_2	0_0001	0	GCF_000317395.1	B2
GCF_000456065.1_prophage_4	0_0001	0	GCF_000456065.1	B2
GCF_000458535.1_prophage_2	0_0001	0	GCF_000458535.1	B2
GCF_000408085.1_prophage_2	0_0001	0	GCF_000408085.1	B2
GCF_000461635.1_prophage_4	0_0001	0	GCF_000461635.1	B2
GCF_001039205.2_prophage_13	0_0001	0	GCF_001039205.2	B1
GCF_001191315.1_prophage_1	0_0001	0	GCF_001191315.1	B1
GCF_000194725.1_prophage_4	0_0001	0	GCF_000194725.1	B1
GCF_000250095.1_prophage_2	0_0001	0	GCF_000250095.1	B1
GCF_000249895.1_prophage_4	0_0001	0	GCF_000249895.1	B1
GCF_000249915.1_prophage_6	0_0001	0	GCF_000249915.1	B1
GCF_000457695.1_prophage_3	0_0001	0	GCF_000457695.1	B2
GCF_000781045.1_prophage_4	0_0001	0	GCF_000781045.1	B2
GCF_000627195.1_prophage_3	0_0001	0	GCF_000627195.1	B2
GCF_000700545.1_prophage_4	0_0001	0	GCF_000700545.1	B2
GCF_000627075.1_prophage_3	0_0001	0	GCF_000627075.1	B2
GCF_000249955.1_prophage_5	0_0001	0	GCF_000249955.1	B1
GCF_000249975.1_prophage_5	0_0001	0	GCF_000249975.1	B1
GCF_000408105.1_prophage_1	0_0001	0	GCF_000408105.1	B2
GCF_000351825.1_prophage_1	0_0001	0	GCF_000351825.1	B2
GCF_000936635.1_prophage_5	0_0001	0	GCF_000936635.1	B1
GCF_000700485.1_prophage_5	0_0001	0	GCF_000700485.1	A
GCF_000778235.1_prophage_4	0_0001	0	GCF_000778235.1	B2
GCF_001039075.2_prophage_16	0_0001	0	GCF_001039075.2	B1
GCF_000457635.1_prophage_1	0_0001	0	GCF_000457635.1	B1
GCF_000457655.1_prophage_5	0_0001	0	GCF_000457655.1	B1
GCF_001039125.2_prophage_18	0_0001	0	GCF_001039125.2	B1
GCF_000091005.1_prophage_14	0_0001	0	GCF_000091005.1	B1
GCF_000171995.1_prophage_6	0_0001	0	GCF_000171995.1	E
GCF_000249515.1_prophage_7	0_0001	0	GCF_000249515.1	E
GCF_000703325.1_prophage_13	0_0001	0	GCF_000703325.1	B1
GCF_000703245.1_prophage_9	0_0001	0	GCF_000703245.1	B1
GCF_000619105.1_prophage_6	0_0001	0	GCF_000619105.1	B1
GCF_000703205.1_prophage_13	0_0001	0	GCF_000703205.1	B1
GCF_000355175.1_prophage_2	0_0001	0	GCF_000355175.1	B1
GCF_001277395.1_prophage_3	0_0001	0	GCF_001277395.1	B1
GCF_001277475.1_prophage_5	0_0001	0	GCF_001277475.1	B1
GCF_001285325.1_prophage_5	0_0001	0	GCF_001285325.1	B1
GCF_000006665.1_prophage_4	0_0001	0	GCF_000006665.1	E
GCF_000732965.1_prophage_4	0_0001	0	GCF_000732965.1	E
GCF_000687025.1_prophage_3	0_0001	0	GCF_000687025.1	A
GCF_001516935.2_prophage_15	0_0001	0	GCF_001516935.2	E
GCF_000194495.1_prophage_3	0_0001	0	GCF_000194495.1	B1
GCF_001266005.1_prophage_12	0_0001	0	GCF_001266005.1	B1
GCF_000194175.1_prophage_12	0_0001	0	GCF_000194175.1	cladeI
GCF_000171975.1_prophage_6	0_0001	0	GCF_000171975.1	E
GCF_000616285.1_prophage_5	0_0001	0	GCF_000616285.1	B1
GCF_000414155.2_prophage_7	0_0001	0	GCF_000414155.2	B1
GCF_000627155.1_prophage_8	0_0001	0	GCF_000627155.1	A
GCF_000462465.2_prophage_12	0_0001	0	GCF_000462465.2	E
GCF_000951835.2_prophage_7	0_0001	0	GCF_000951835.2	B1
GCF_000951855.1_prophage_7	0_0001	0	GCF_000951855.1	B1
GCF_001284205.1_prophage_6	0_0001	0	GCF_001284205.1	B1
GCF_001285225.1_prophage_6	0_0001	0	GCF_001285225.1	B1
GCF_000703225.1_prophage_21	0_0001	0	GCF_000703225.1	A
GCF_001039135.2_prophage_14	0_0001	0	GCF_001039135.2	B1
GCF_000940655.1_prophage_5	0_0001	0	GCF_000940655.1	B1
GCF_001264215.1_prophage_5	0_0001	0	GCF_001264215.1	A
GCF_000743255.1_prophage_2	0_0001	0	GCF_000743255.1	B2
GCF_000936125.1_prophage_1	0_0001	0	GCF_000936125.1	B1
GCF_000354795.2_prophage_1	0_0001	0	GCF_000354795.2	A
GCF_001283725.1_prophage_3	0_0001	0	GCF_001283725.1	B1
GCF_000008865.2_prophage_4	0_0001	0	GCF_000008865.2	E
GCF_000461775.1_prophage_2	0_0002	0	GCF_000461775.1	B2
GCF_000459375.1_prophage_4	0_0002	0	GCF_000459375.1	B2
GCF_000817345.1_prophage_2	0_0002	0	GCF_000817345.1	B2
GCF_001520195.1_prophage_1	0_0002	0	GCF_001520195.1	B2
GCF_000460195.1_prophage_2	0_0002	0	GCF_000460195.1	B2
GCF_000778465.1_prophage_6	0_0002	0	GCF_000778465.1	B2
GCF_000350645.1_prophage_3	0_0002	0	GCF_000350645.1	B2
GCF_000618905.3_prophage_4	0_0002	0	GCF_000618905.3	B1
GCF_000006665.1_prophage_13	0_0002	0	GCF_000006665.1	E
GCF_000776315.1_prophage_4	0_0002	0	GCF_000776315.1	B2
GCF_000778035.1_prophage_2	0_0002	0	GCF_000778035.1	B2
GCF_000777265.1_prophage_2	0_0002	0	GCF_000777265.1	G
GCF_000176695.2_prophage_3	0_0002	0	GCF_000176695.2	G
GCF_000503655.1_prophage_1	0_0002	0	GCF_000503655.1	G
GCF_001266435.1_prophage_4	0_0002	0	GCF_001266435.1	B1
GCF_000627795.1_prophage_4	0_0002	0	GCF_000627795.1	C
GCF_000687045.1_prophage_1	0_0002	0	GCF_000687045.1	C
GCF_000936635.1_prophage_8	0_0002	0	GCF_000936635.1	B1
GCF_001039135.2_prophage_6	0_0002	0	GCF_001039135.2	B1
GCF_000215205.1_prophage_7	0_0002	0	GCF_000215205.1	B1
GCF_000627855.1_prophage_3	0_0002	0	GCF_000627855.1	C
GCF_000831715.2_prophage_6	0_0002	0	GCF_000831715.2	G
GCF_000215225.1_prophage_6	0_0002	0	GCF_000215225.1	B1
GCF_000167875.2_prophage_2	0_0002	0	GCF_000167875.2	B1
GCF_000358795.2_prophage_3	0_0002	0	GCF_000358795.2	B1
GCF_000026305.1_prophage_9	0_0002	0	GCF_000026305.1	B2
GCF_001519675.1_prophage_1	0_0002	0	GCF_001519675.1	B2
GCF_000091005.1_prophage_2	0_0002	0	GCF_000091005.1	B1
GCF_000351505.1_prophage_3	0_0002	0	GCF_000351505.1	B2
GCF_000459255.1_prophage_1	0_0002	0	GCF_000459255.1	B2
GCF_001462925.1_prophage_7	0_0002	0	GCF_001462925.1	D
GCF_000965545.1_prophage_8	0_0002	0	GCF_000965545.1	B1
GCF_000965575.1_prophage_8	0_0002	0	GCF_000965575.1	B1
GCF_000456505.1_prophage_1	0_0002	0	GCF_000456505.1	B2
GCF_000936475.1_prophage_1	0_0002	0	GCF_000936475.1	B1
GCF_000457835.1_prophage_3	0_0002	0	GCF_000457835.1	B2
GCF_000305175.1_prophage_3	0_0002	0	GCF_000305175.1	A
GCF_000305355.1_prophage_3	0_0002	0	GCF_000305355.1	A
GCF_000352465.1_prophage_4	0_0002	0	GCF_000352465.1	B2
GCF_001283265.1_prophage_4	0_0002	0	GCF_001283265.1	B1
GCF_000193995.1_prophage_7	0_0002	0	GCF_000193995.1	B1
GCF_001268645.1_prophage_2	0_0002	0	GCF_001268645.1	E
GCF_001419895.1_prophage_4	0_0002	0	GCF_001419895.1	A
GCF_000025165.1_prophage_3	0_0002	0	GCF_000025165.1	E
GCF_000752495.1_prophage_5	0_0002	0	GCF_000752495.1	B1
GCF_000353125.1_prophage_1	0_0002	0	GCF_000353125.1	B2
GCF_000951835.2_prophage_10	0_0002	0	GCF_000951835.2	B1
GCF_000157115.2_prophage_5	0_0002	0	GCF_000157115.2	B2
GCF_000350825.1_prophage_1	0_0002	0	GCF_000350825.1	D
GCF_000304035.2_prophage_3	0_0002	0	GCF_000304035.2	E
GCF_000456205.1_prophage_1	0_0002	0	GCF_000456205.1	B2
GCF_000776235.1_prophage_6	0_0002	0	GCF_000776235.1	B2
GCF_001039075.2_prophage_14	0_0002	0	GCF_001039075.2	B1
GCF_000163235.1_prophage_4	0_0002	0	GCF_000163235.1	D
GCF_000167875.2_prophage_9	0_0002	0	GCF_000167875.2	B1
GCF_000460795.1_prophage_1	0_0002	0	GCF_000460795.1	B2
GCF_000465155.1_prophage_1	0_0002	0	GCF_000465155.1	B2
GCF_001262455.1_prophage_1	0_0002	0	GCF_001262455.1	B2
GCF_000457205.1_prophage_4	0_0002	0	GCF_000457205.1	D
GCF_000622875.2_prophage_3	0_0002	0	GCF_000622875.2	B1
GCF_001283365.1_prophage_4	0_0002	0	GCF_001283365.1	B1
GCF_000285375.1_prophage_2	0_0002	0	GCF_000285375.1	B2
GCF_000456085.1_prophage_2	0_0002	0	GCF_000456085.1	B2
GCF_001283185.1_prophage_3	0_0002	0	GCF_001283185.1	B1
GCF_000351745.1_prophage_7	0_0002	0	GCF_000351745.1	D
GCF_000461495.1_prophage_2	0_0002	0	GCF_000461495.1	B2
GCF_001039125.2_prophage_8	0_0002	0	GCF_001039125.2	B1
GCF_000753155.1_prophage_4	0_0002	0	GCF_000753155.1	B1
GCF_001266115.1_prophage_4	0_0002	0	GCF_001266115.1	B2
GCF_000458845.1_prophage_4	0_0002	0	GCF_000458845.1	D
GCF_000446605.2_prophage_2	0_0002	0	GCF_000446605.2	B1
GCF_000457935.1_prophage_4	0_0002	0	GCF_000457935.1	D
GCF_000495055.1_prophage_3	0_0002	0	GCF_000495055.1	B2
GCF_000459075.1_prophage_1	0_0002	0	GCF_000459075.1	B2
GCF_000351105.1_prophage_2	0_0002	0	GCF_000351105.1	B2
GCF_000460775.1_prophage_4	0_0002	0	GCF_000460775.1	B2
GCF_000459475.1_prophage_4	0_0002	0	GCF_000459475.1	D
GCF_000617325.1_prophage_3	0_0002	0	GCF_000617325.1	B1
GCF_000352605.1_prophage_1	0_0002	0	GCF_000352605.1	B1
GCF_000492655.1_prophage_3	0_0002	0	GCF_000492655.1	E
GCF_001269125.1_prophage_4	0_0002	0	GCF_001269125.1	A
GCF_000350845.1_prophage_6	0_0002	0	GCF_000350845.1	B2
GCF_000242035.1_prophage_2	0_0002	0	GCF_000242035.1	B1
GCF_000245515.1_prophage_3	0_0002	0	GCF_000245515.1	E
GCF_000456265.1_prophage_5	0_0002	0	GCF_000456265.1	B2
GCF_000456425.1_prophage_2	0_0002	0	GCF_000456425.1	B2
GCF_000459275.1_prophage_3	0_0002	0	GCF_000459275.1	B2
GCF_000711525.1_prophage_3	0_0002	0	GCF_000711525.1	B2
GCF_001265795.1_prophage_4	0_0002	0	GCF_001265795.1	B2
GCF_000250175.1_prophage_9	0_0002	0	GCF_000250175.1	B1
GCF_000352365.1_prophage_3	0_0002	0	GCF_000352365.1	B2
GCF_000457025.1_prophage_3	0_0002	0	GCF_000457025.1	B2
GCF_000692475.1_prophage_1	0_0002	0	GCF_000692475.1	B2
GCF_000459035.1_prophage_2	0_0002	0	GCF_000459035.1	B2
GCF_000776045.1_prophage_3	0_0002	0	GCF_000776045.1	A
GCF_000457715.1_prophage_1	0_0002	0	GCF_000457715.1	B2
GCF_000503595.1_prophage_5	0_0002	0	GCF_000503595.1	G
GCF_000351245.1_prophage_1	0_0002	0	GCF_000351245.1	B2
GCF_000355195.2_prophage_2	0_0002	0	GCF_000355195.2	B1
GCF_000355215.2_prophage_2	0_0002	0	GCF_000355215.2	B1
GCF_000356065.2_prophage_1	0_0003	0	GCF_000356065.2	B1
GCF_000408285.1_prophage_1	0_0003	0	GCF_000408285.1	B2
GCF_001266075.1_prophage_6	0_0003	0	GCF_001266075.1	B1
GCF_000778315.1_prophage_4	0_0003	0	GCF_000778315.1	A
GCF_001515725.1_prophage_3	0_0003	0	GCF_001515725.1	C
GCF_000946475.1_prophage_1	0_0003	0	GCF_000946475.1	B1
GCF_000241975.1_prophage_4	0_0003	0	GCF_000241975.1	B2
GCF_000352545.1_prophage_1	0_0003	0	GCF_000352545.1	B2
GCF_000456665.1_prophage_2	0_0003	0	GCF_000456665.1	B2
GCF_000250275.1_prophage_13	0_0003	0	GCF_000250275.1	B1
GCF_000353165.1_prophage_6	0_0003	0	GCF_000353165.1	B2
GCF_000461435.1_prophage_3	0_0003	0	GCF_000461435.1	B2
GCF_001286465.1_prophage_2	0_0003	0	GCF_001286465.1	B2
GCF_000026285.1_prophage_2	0_0003	0	GCF_000026285.1	B2
GCF_000190895.1_prophage_1	0_0003	0	GCF_000190895.1	B2
GCF_000313425.1_prophage_1	0_0003	0	GCF_000313425.1	B1
GCF_000456005.1_prophage_4	0_0003	0	GCF_000456005.1	B2
GCF_001021595.1_prophage_2	0_0003	0	GCF_001021595.1	B2
GCF_000172035.1_prophage_10	0_0003	0	GCF_000172035.1	E
GCF_000456765.1_prophage_1	0_0003	0	GCF_000456765.1	B2
GCF_000457145.1_prophage_7	0_0003	0	GCF_000457145.1	B2
GCF_000457455.1_prophage_3	0_0003	0	GCF_000457455.1	B2
GCF_000458685.1_prophage_3	0_0003	0	GCF_000458685.1	B2
GCF_000458895.1_prophage_2	0_0003	0	GCF_000458895.1	B2
GCF_000461035.1_prophage_1	0_0003	0	GCF_000461035.1	B2
GCF_000488095.1_prophage_1	0_0003	0	GCF_000488095.1	B2
GCF_000503255.1_prophage_1	0_0003	0	GCF_000503255.1	G
GCF_000690815.1_prophage_5	0_0003	0	GCF_000690815.1	B2
GCF_000700145.1_prophage_1	0_0003	0	GCF_000700145.1	B2
GCF_000714915.1_prophage_1	0_0003	0	GCF_000714915.1	B2
GCF_000812325.1_prophage_2	0_0003	0	GCF_000812325.1	G
GCF_001021615.1_prophage_1	0_0003	0	GCF_001021615.1	B2
GCF_001182885.1_prophage_2	0_0003	0	GCF_001182885.1	B2
GCF_001519195.1_prophage_2	0_0003	0	GCF_001519195.1	G
GCF_000013265.1_prophage_2	0_0003	0	GCF_000013265.1	B2
GCF_000025745.1_prophage_4	0_0003	0	GCF_000025745.1	B2
GCF_000458575.1_prophage_2	0_0003	0	GCF_000458575.1	B2
GCF_000460655.1_prophage_3	0_0003	0	GCF_000460655.1	B2
GCF_000461155.1_prophage_2	0_0003	0	GCF_000461155.1	B2
GCF_000461835.1_prophage_1	0_0003	0	GCF_000461835.1	B2
GCF_000493595.2_prophage_3	0_0003	0	GCF_000493595.2	B2
GCF_001280325.1_prophage_3	0_0003	0	GCF_001280325.1	B2
GCF_001520775.2_prophage_3	0_0003	0	GCF_001520775.2	B2
GCF_000014845.1_prophage_2	0_0003	0	GCF_000014845.1	B2
GCF_000633655.1_prophage_2	0_0003	0	GCF_000633655.1	B2
GCF_000461595.1_prophage_1	0_0003	0	GCF_000461595.1	B2
GCF_000777025.1_prophage_3	0_0003	0	GCF_000777025.1	B2
GCF_001280345.1_prophage_7	0_0003	0	GCF_001280345.1	B2
GCF_000352265.1_prophage_2	0_0003	0	GCF_000352265.1	B2
GCF_000353145.1_prophage_2	0_0003	0	GCF_000353145.1	B2
GCF_000456045.1_prophage_1	0_0003	0	GCF_000456045.1	B2
GCF_000457065.1_prophage_2	0_0003	0	GCF_000457065.1	B2
GCF_000307205.1_prophage_3	0_0003	0	GCF_000307205.1	C
GCF_000332755.1_prophage_5	0_0003	0	GCF_000332755.1	C
GCF_000458975.1_prophage_2	0_0003	0	GCF_000458975.1	B2
GCF_000461455.1_prophage_2	0_0003	0	GCF_000461455.1	B2
GCF_000352405.1_prophage_3	0_0003	0	GCF_000352405.1	B2
GCF_000163215.1_prophage_7	0_0003	0	GCF_000163215.1	D
GCF_000249855.1_prophage_3	0_0003	0	GCF_000249855.1	B1
GCF_000313425.1_prophage_4	0_0003	0	GCF_000313425.1	B1
GCF_000965665.1_prophage_9	0_0003	0	GCF_000965665.1	B1
GCF_000461255.1_prophage_1	0_0003	0	GCF_000461255.1	A
GCF_000798495.1_prophage_1	0_0003	0	GCF_000798495.1	B1
GCF_000350665.1_prophage_2	0_0003	0	GCF_000350665.1	B2
GCF_001519135.1_prophage_2	0_0003	0	GCF_001519135.1	B2
GCF_001519555.1_prophage_3	0_0003	0	GCF_001519555.1	B2
GCF_001519755.1_prophage_2	0_0003	0	GCF_001519755.1	B2
GCF_001030665.1_prophage_7	0_0003	0	GCF_001030665.1	B2
GCF_001519735.1_prophage_2	0_0003	0	GCF_001519735.1	B2
GCF_000456465.1_prophage_1	0_0003	0	GCF_000456465.1	B2
GCF_000812345.1_prophage_2	0_0003	0	GCF_000812345.1	Unknown
GCF_000812365.1_prophage_1	0_0003	0	GCF_000812365.1	Unknown
GCF_001268305.1_prophage_3	0_0003	0	GCF_001268305.1	B1
GCF_000446945.2_prophage_3	0_0003	0	GCF_000446945.2	B1
GCF_000776655.1_prophage_4	0_0003	0	GCF_000776655.1	B2
GCF_001521155.1_prophage_3	0_0003	0	GCF_001521155.1	B2
GCF_000456725.1_prophage_1	0_0003	0	GCF_000456725.1	D
GCF_000778355.1_prophage_3	0_0003	0	GCF_000778355.1	B2
GCF_000779425.1_prophage_3	0_0003	0	GCF_000779425.1	B2
GCF_001191295.1_prophage_7	0_0003	0	GCF_001191295.1	B1
GCF_001266255.1_prophage_5	0_0003	0	GCF_001266255.1	B2
GCF_001266305.1_prophage_5	0_0003	0	GCF_001266305.1	B2
GCF_000462025.2_prophage_11	0_0003	0	GCF_000462025.2	E
GCF_000148605.1_prophage_4	0_0003	0	GCF_000148605.1	B2
GCF_000356585.2_prophage_1	0_0003	0	GCF_000356585.2	A
GCF_001012535.1_prophage_8	0_0003	0	GCF_001012535.1	B1
GCF_000194295.2_prophage_3	0_0003	0	GCF_000194295.2	B1
GCF_000512625.1_prophage_4	0_0003	0	GCF_000512625.1	B1
GCF_000522385.1_prophage_5	0_0003	0	GCF_000522385.1	B2
