run	sample_accession	pivot_ok	n_analysis	n_hits	analysis_accessions	submitted_ftp	error	has_prophage	assembly_contigs	assembly_length_bp
ERR494885	SAMEA2275751	True	1	1	ERZ3179186	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ317/ERZ3179186/SAMEA2275751.contigs.fa.gz		True	34	4908757
ERR494931	SAMEA2275801	True	1	1	ERZ3179251	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ317/ERZ3179251/SAMEA2275801.contigs.fa.gz		False	78	5290758
ERR5262857	SAMEA7984785	True	1	1	ERZ25411029	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ254/ERZ25411029/SAMEA7984785.fa.gz		True	230	6520762
ERR5384766	SAMEA8158335	True	1	1	ERZ25413804	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ254/ERZ25413804/SAMEA8158335.fa.gz		True	355	5425741
ERR5384787	SAMEA8158356	True	1	1	ERZ25413968	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ254/ERZ25413968/SAMEA8158356.fa.gz		True	75	5165286
ERR5411974	SAMEA8193389	True	0	0				True	106	5245901
ERR5412098	SAMEA8193514	True	0	0				True	94	5204956
ERR5412122	SAMEA8193538	True	0	0				True	115	5118484
ERR5412211	SAMEA8193627	True	0	0				True	113	5127892
ERR5412214	SAMEA8193630	True	0	0				False	90	5050758
ERR5412532	SAMEA8193948	True	0	0				True	98	5274788
ERR5412535	SAMEA8193951	True	0	0				True	66	4989290
ERR5412579	SAMEA8193995	True	0	0				True	133	5264657
ERR5413032	SAMEA8194449	True	0	0				False	100	5235652
ERR5413159	SAMEA8194576	True	0	0				True	75	5054275
ERR5413172	SAMEA8194589	True	0	0				False	127	5450495
ERR5413227	SAMEA8194644	True	0	0				True	98	5167091
ERR5413240	SAMEA8194657	True	0	0				False	118	5451195
ERR5413295	SAMEA8194712	True	0	0				False	106	5143278
ERR5413473	SAMEA8194890	True	0	0				True	60	5056672
ERR5413545	SAMEA8194963	True	0	0				True	62	5112561
ERR5413547	SAMEA8194965	True	0	0				True	73	4899408
ERR5413551	SAMEA8194969	True	0	0				False	69	4891837
ERR5413846	SAMEA8195264	True	0	0				True	111	5185286
ERR5413937	SAMEA8195355	True	0	0				True	76	4974136
ERR567856	SAMEA2649853	True	1	1	ERZ3206109	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ320/ERZ3206109/SAMEA2649853.contigs.fa.gz		True	49	5127535
ERR567870	SAMEA2649867	True	1	1	ERZ3206134	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ320/ERZ3206134/SAMEA2649867.contigs.fa.gz		True	55	5281280
ERR6415236	SAMEA8407343	True	1	1	ERZ25479433	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ254/ERZ25479433/SAMEA8407343.fa.gz		False	164	4786119
ERR8266678	SAMEA12565530	True	1	1	ERZ25362153	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ253/ERZ25362153/SAMEA12565530.fa.gz		True	67	5223235
ERR852853	SAMEA3170714	True	1	1	ERZ3224220	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ322/ERZ3224220/SAMEA3170714.contigs.fa.gz		False	267	5310159
SRR10112072	SAMN07410289	True	1	1	ERZ25476952	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ254/ERZ25476952/SAMN07410289.fa.gz		False	125	5314603
SRR11838929	SAMN14929739	True	1	1	ERZ25762274	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ257/ERZ25762274/SAMN14929739.fa.gz		False	123	4819901
SRR11839001	SAMN14929118	True	1	1	ERZ25761617	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ257/ERZ25761617/SAMN14929118.fa.gz		False	105	4846987
SRR11839050	SAMN14928856	True	0	0				False	106	4805331
SRR11839109	SAMN14929962	True	1	1	ERZ25762524	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ257/ERZ25762524/SAMN14929962.fa.gz		False	110	4864861
SRR12051556	SAMN15310874	True	1	1	ERZ25782707	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ257/ERZ25782707/SAMN15310874.fa.gz		True	47	5239786
SRR12051714	SAMN15310782	True	1	1	ERZ25782262	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ257/ERZ25782262/SAMN15310782.fa.gz		True	53	4927079
SRR12051731	SAMN15310767	True	1	1	ERZ25782188	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ257/ERZ25782188/SAMN15310767.fa.gz		True	59	5324064
SRR12051739	SAMN15310760	True	1	1	ERZ25782153	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ257/ERZ25782153/SAMN15310760.fa.gz		False	45	5218218
SRR12051742	SAMN15310757	True	1	1	ERZ25782140	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ257/ERZ25782140/SAMN15310757.fa.gz		True	53	5220328
SRR12599291	SAMN16069768	True	1	1	ERZ25817346	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ258/ERZ25817346/SAMN16069768.fa.gz		True	267	6589171
SRR12781297	SAMN16377039	True	1	1	ERZ25829688	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ258/ERZ25829688/SAMN16377039.fa.gz		True	198	6321078
SRR12781330	SAMN16377070	True	1	1	ERZ25829988	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ258/ERZ25829988/SAMN16377070.fa.gz		True	194	6516826
SRR13395927	SAMN17119523	True	1	1	ERZ25856797	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ258/ERZ25856797/SAMN17119523.fa.gz		False	125	4773853
SRR13395966	SAMN17119597	True	1	1	ERZ25857255	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ258/ERZ25857255/SAMN17119597.fa.gz		False	183	4785912
SRR13395978	SAMN17119586	True	1	1	ERZ25857187	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ258/ERZ25857187/SAMN17119586.fa.gz		False	272	4781480
SRR13399106	SAMN17266396	True	1	1	ERZ25868991	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ258/ERZ25868991/SAMN17266396.fa.gz		False	220	5312331
SRR14719138	SAMN19517332	True	1	1	ERZ26641033	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ266/ERZ26641033/SAMN19517332.fa.gz		True	30	5154982
SRR14719213	SAMN19517516	True	1	1	ERZ26632694	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ266/ERZ26632694/SAMN19517516.fa.gz		True	81	5081110
SRR14719304	SAMN19517435	True	1	1	ERZ26631735	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ266/ERZ26631735/SAMN19517435.fa.gz		True	47	5271684
SRR14719315	SAMN19517325	True	1	1	ERZ26630439	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ266/ERZ26630439/SAMN19517325.fa.gz		True	48	5326724
SRR14863305	SAMN19774859	True	1	1	ERZ25952597	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ259/ERZ25952597/SAMN19774859.fa.gz		False	96	4779545
SRR315392	SAMN00672660	True	1	1	ERZ9432945	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ943/ERZ9432945/SAMN00672660.contigs.fa.gz		True	45	5245400
SRR350465	SAMN00728602	True	1	1	ERZ9433466	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ943/ERZ9433466/SAMN00728602.contigs.fa.gz		True	60	5236316
SRR6045287	SAMN07660428	True	1	1	ERZ5176302	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ517/ERZ5176302/SAMN07660428.contigs.fa.gz		True	213	6311111
SRR6045468	SAMN07659892	True	1	1	ERZ5175794	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ517/ERZ5175794/SAMN07659892.contigs.fa.gz		True	606	6279206
SRR6045702	SAMN07658913	True	1	1	ERZ5175094	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ517/ERZ5175094/SAMN07658913.contigs.fa.gz		True	207	6224530
SRR6046238	SAMN07658210	True	1	1	ERZ5174438	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ517/ERZ5174438/SAMN07658210.contigs.fa.gz		True	187	6140502
SRR6046274	SAMN07658597	True	1	1	ERZ5174794	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ517/ERZ5174794/SAMN07658597.contigs.fa.gz		True	112	5182500
SRR6046896	SAMN07659497	True	1	1	ERZ5175431	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ517/ERZ5175431/SAMN07659497.contigs.fa.gz		True	158	5160830
SRR6388760	SAMN08203232	True	1	1	ERZ5213580	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ521/ERZ5213580/SAMN08203232.contigs.fa.gz		False	99	5142080
SRR7800440	SAMN09758996	True	1	1	ERZ8999474	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ899/ERZ8999474/SAMN09758996.contigs.fa.gz		True	88	5128504
SRR7800442	SAMN09758829	True	1	1	ERZ9505052	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ950/ERZ9505052/SAMN09758829.contigs.fa.gz		True	592	5837892
SRR7800580	SAMN09758880	True	1	1	ERZ9505069	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ950/ERZ9505069/SAMN09758880.contigs.fa.gz		False	146	5366794
SRR8236425	SAMN10448987	True	1	1	ERZ25509012	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ255/ERZ25509012/SAMN10448987.fa.gz		True	267	6361179
