seq_name	chromosome_score	plasmid_score	virus_score
GCA_001583545.1#1#LNAV01000008	0.8852	0.0975	0.0174
GCA_001583545.1#1#LNAV01000023	0.9932	0.0064	0.0004
GCA_001583545.1#1#LNAV01000084	0.2583	0.6672	0.0745
GCA_001583545.1#1#LNAV01000141	0.9897	0.0093	0.0010
GCA_001583545.1#1#LNAV01000104	0.9955	0.0041	0.0003
GCA_001583545.1#1#LNAV01000124	0.6920	0.2914	0.0165
GCA_001583545.1#1#LNAV01000044	0.5212	0.1127	0.3660
GCA_001583545.1#1#LNAV01000107	0.4680	0.2002	0.3317
GCA_001583545.1#1#LNAV01000054	0.6692	0.1999	0.1309
GCA_001583545.1#1#LNAV01000164	0.9859	0.0134	0.0007
GCA_001583545.1#1#LNAV01000060	0.6928	0.2832	0.0240
GCA_001583545.1#1#LNAV01000041	0.9486	0.0368	0.0146
GCA_001583545.1#1#LNAV01000114	0.5943	0.4034	0.0023
GCA_001583545.1#1#LNAV01000020	0.8992	0.0991	0.0017
GCA_001583545.1#1#LNAV01000069	0.5969	0.2351	0.1681
GCA_001583545.1#1#LNAV01000127	0.7155	0.2813	0.0032
GCA_001583545.1#1#LNAV01000085	0.5983	0.1264	0.2754
GCA_001583545.1#1#LNAV01000010	0.6205	0.3769	0.0026
GCA_001583545.1#1#LNAV01000130	0.5125	0.1366	0.3509
GCA_001583545.1#1#LNAV01000103	0.7141	0.1484	0.1375
GCA_001583545.1#1#LNAV01000157	0.4027	0.5350	0.0623
GCA_001583545.1#1#LNAV01000061	0.8629	0.1334	0.0037
GCA_001583545.1#1#LNAV01000162	0.7654	0.2315	0.0030
GCA_001583545.1#1#LNAV01000089	0.9744	0.0247	0.0009
GCA_001583545.1#1#LNAV01000036	0.6913	0.1684	0.1403
GCA_001583545.1#1#LNAV01000110	0.5431	0.2324	0.2245
GCA_001583545.1#1#LNAV01000155	0.1801	0.7721	0.0478
GCA_001583545.1#1#LNAV01000057	0.8878	0.0978	0.0143
GCA_001583545.1#1#LNAV01000120	0.7755	0.2178	0.0067
GCA_001583545.1#1#LNAV01000142	0.7593	0.2298	0.0109
GCA_001583545.1#1#LNAV01000122	0.9230	0.0471	0.0299
GCA_001583545.1#1#LNAV01000132	0.9425	0.0387	0.0187
GCA_001583545.1#1#LNAV01000048	0.9886	0.0106	0.0007
GCA_001583545.1#1#LNAV01000004	0.5674	0.1685	0.2641
GCA_001583545.1#1#LNAV01000080	0.9876	0.0116	0.0008
GCA_001583545.1#1#LNAV01000169	0.7154	0.1597	0.1249
GCA_001583545.1#1#LNAV01000038	0.9252	0.0716	0.0032
GCA_001583545.1#1#LNAV01000086	0.6676	0.2866	0.0458
GCA_001583545.1#1#LNAV01000040	0.7916	0.2056	0.0028
GCA_001583545.1#1#LNAV01000144	0.8452	0.1383	0.0165
GCA_001583545.1#1#LNAV01000087	0.2828	0.7066	0.0106
GCA_001583545.1#1#LNAV01000106	0.5670	0.2043	0.2287
GCA_001583545.1#1#LNAV01000097	0.7140	0.2711	0.0149
GCA_001583545.1#1#LNAV01000013	0.5378	0.1550	0.3072
GCA_001583545.1#1#LNAV01000074	0.9959	0.0032	0.0010
GCA_001583545.1#1#LNAV01000148	0.9895	0.0091	0.0014
GCA_001583545.1#1#LNAV01000150	0.9670	0.0312	0.0019
GCA_001583545.1#1#LNAV01000045	0.6137	0.2443	0.1420
GCA_001583545.1#1#LNAV01000034	0.4979	0.4694	0.0326
GCA_001583545.1#1#LNAV01000116	0.9957	0.0037	0.0006
GCA_001583545.1#1#LNAV01000017	0.0750	0.9234	0.0016
GCA_001583545.1#1#LNAV01000098	0.0046	0.9932	0.0023
GCA_001583545.1#1#LNAV01000105	0.9954	0.0040	0.0006
GCA_001583545.1#1#LNAV01000153	0.9943	0.0050	0.0006
GCA_001583545.1#1#LNAV01000165	0.2550	0.7415	0.0035
GCA_001583545.1#1#LNAV01000032	0.7533	0.2048	0.0420
GCA_001583545.1#1#LNAV01000121	0.6736	0.3222	0.0041
GCA_001583545.1#1#LNAV01000025	0.9941	0.0054	0.0005
GCA_001583545.1#1#LNAV01000009	0.1673	0.8297	0.0030
GCA_001583545.1#1#LNAV01000063	0.9283	0.0699	0.0017
GCA_001583545.1#1#LNAV01000137	0.9822	0.0171	0.0007
GCA_001583545.1#1#LNAV01000059	0.9582	0.0391	0.0028
GCA_001583545.1#1#LNAV01000149	0.9966	0.0030	0.0004
GCA_001583545.1#1#LNAV01000052	0.1300	0.8676	0.0024
GCA_001583545.1#1#LNAV01000014	0.9937	0.0059	0.0005
GCA_001583545.1#1#LNAV01000100	0.9948	0.0047	0.0005
GCA_001583545.1#1#LNAV01000003	0.9848	0.0146	0.0006
GCA_001583545.1#1#LNAV01000082	0.9916	0.0079	0.0004
GCA_001583545.1#1#LNAV01000026	0.9797	0.0194	0.0009
GCA_001583545.1#1#LNAV01000046	0.9939	0.0053	0.0008
GCA_001583545.1#1#LNAV01000117	0.9794	0.0192	0.0015
GCA_001583545.1#1#LNAV01000006	0.4392	0.2399	0.3209
GCA_001583545.1#1#LNAV01000033	0.5070	0.1510	0.3420
GCA_001583545.1#1#LNAV01000031	0.9938	0.0057	0.0005
GCA_001583545.1#1#LNAV01000139	0.9965	0.0029	0.0006
GCA_001583545.1#1#LNAV01000075	0.0821	0.9147	0.0032
GCA_001583545.1#1#LNAV01000101	0.0615	0.9237	0.0148
GCA_001583545.1#1#LNAV01000002	0.9894	0.0098	0.0008
GCA_001583545.1#1#LNAV01000066	0.9906	0.0087	0.0006
GCA_001583545.1#1#LNAV01000012	0.9806	0.0182	0.0012
GCA_001583545.1#1#LNAV01000094	0.0638	0.5296	0.4066
GCA_001583545.1#1#LNAV01000138	0.9539	0.0448	0.0014
GCA_001583545.1#1#LNAV01000109	0.9043	0.0932	0.0025
GCA_001583545.1#1#LNAV01000027	0.9743	0.0249	0.0008
GCA_001583545.1#1#LNAV01000096	0.6002	0.2157	0.1841
GCA_001583545.1#1#LNAV01000039	0.5915	0.1733	0.2353
GCA_001583545.1#1#LNAV01000035	0.4468	0.2635	0.2896
