seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
GCA_001583545.1#1#LNAV01000140	51	2	0	1	11	0.2600	0.8758	0.4314	0.0000	0.5686	0.0000	0.0588	0.2745	0.0196	0.0980	0.0000	0.0000	0.0000	0.0000	0.0196	0.3529	0.0980	0.0196	0.7422	0.6561	0.0000	0.0000	0.0002	0.0412	0.0000	4.0661	-9.3366	-61.3856
GCA_001583545.1#1#LNAV01000099	74	0	0	0	11	0.3699	0.9264	0.1892	0.0000	0.8108	0.0000	0.0270	0.2027	0.0135	0.0946	0.0000	0.0135	0.0135	0.0000	0.0135	0.2432	0.1081	0.0270	0.6492	0.7499	0.0000	0.0000	0.0000	0.4352	0.0000	-4.5018	-6.2737	-69.2615
GCA_001583545.1#1#LNAV01000058	2	0	0	0	11	0.0000	0.9901	0.5000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000146	146	3	0	0	11	0.2897	0.9401	0.2671	0.0000	0.7329	0.0000	0.0479	0.2534	0.0274	0.0342	0.0000	0.0205	0.0137	0.0000	0.0068	0.3288	0.0548	0.0205	0.8397	0.5014	0.0000	0.0000	0.0000	0.0000	0.0000	24.4383	-45.9257	-137.0661
GCA_001583545.1#1#LNAV01000037	32	0	0	0	11	0.2258	0.9191	0.2812	0.0000	0.7188	0.0000	0.0000	0.3125	0.0000	0.0938	0.0000	0.0000	0.0000	0.0000	0.0000	0.3125	0.0938	0.0000	0.6601	0.7512	0.0000	0.0025	0.0007	0.7820	0.0000	-2.5548	2.5548	-39.4363
GCA_001583545.1#1#LNAV01000115	181	30	0	0	11	0.2389	0.9406	0.2707	0.0000	0.7293	0.0000	0.1215	0.2983	0.0884	0.0387	0.0055	0.0000	0.0000	0.0000	0.0000	0.5083	0.0442	0.0000	0.8279	0.5608	0.0000	0.0000	0.0000	0.0000	0.0000	64.0049	-85.1260	-240.7886
GCA_001583545.1#1#LNAV01000083	32	0	0	0	11	0.3548	0.9402	0.4062	0.0000	0.5938	0.0000	0.0312	0.2188	0.0000	0.1562	0.0625	0.0938	0.0000	0.0000	0.0000	0.2500	0.3125	0.0000	0.5411	0.8410	0.0000	0.0070	0.0000	0.9957	0.0000	-14.9144	9.2339	-43.7151
GCA_001583545.1#1#LNAV01000136	32	0	0	0	11	0.2903	0.9298	0.1875	0.0000	0.8125	0.0000	0.0625	0.4062	0.0000	0.0000	0.0312	0.1250	0.0000	0.0000	0.0000	0.4688	0.1562	0.0000	0.6654	0.7465	0.0000	0.0004	0.0001	0.7303	0.0000	-7.3097	-0.1654	-48.3289
GCA_001583545.1#1#LNAV01000030	35	0	0	0	11	0.3235	0.9272	0.4286	0.0000	0.5714	0.0000	0.0000	0.2857	0.0286	0.0286	0.0000	0.0000	0.0000	0.0000	0.0000	0.3143	0.0286	0.0000	0.8326	0.5527	0.0000	0.0007	0.0163	0.0431	0.0000	5.6205	-7.6051	-33.2155
GCA_001583545.1#1#LNAV01000067	2	0	0	0	11	0.0000	0.9042	0.5000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000024	14	0	0	0	11	0.3077	0.8462	0.2857	0.0000	0.7143	0.0000	0.0000	0.0714	0.0000	0.1429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0714	0.1429	0.0000	0.5341	0.8453	0.0000	0.2346	0.1401	0.6529	0.0000	-1.2975	1.2394	-8.4794
GCA_001583545.1#1#LNAV01000049	22	0	0	0	11	0.4286	0.8860	0.3636	0.0000	0.6364	0.0000	0.1364	0.2727	0.0000	0.1364	0.0000	0.0000	0.0000	0.0455	0.0000	0.4091	0.1364	0.0455	0.6504	0.7543	0.0000	0.0022	0.0081	0.2128	0.0000	0.3792	-3.8563	-31.7940
GCA_001583545.1#1#LNAV01000125	37	0	1	0	11	0.2500	0.9254	0.2432	0.0000	0.7568	0.0000	0.0000	0.2432	0.0000	0.1081	0.0000	0.0270	0.0000	0.0000	0.0270	0.2432	0.1351	0.0270	0.6333	0.7612	0.0000	0.0096	0.0006	0.9385	0.0000	-8.1506	3.3510	-39.1232
GCA_001583545.1#1#LNAV01000079	74	1	0	0	11	0.3151	0.9023	0.2703	0.0000	0.7297	0.0000	0.0541	0.1757	0.0541	0.0676	0.0000	0.0000	0.0000	0.0000	0.0000	0.2838	0.0676	0.0000	0.8152	0.5788	0.0000	0.0000	0.0003	0.0022	0.0000	10.1093	-17.4087	-63.4170
GCA_001583545.1#1#LNAV01000068	22	0	0	0	11	0.1905	0.9164	0.1818	0.0000	0.8182	0.0000	0.0000	0.3182	0.0000	0.0909	0.0000	0.0000	0.0000	0.0000	0.0000	0.3182	0.0909	0.0000	0.6485	0.7612	0.0000	0.0201	0.0050	0.8026	0.0000	-2.8056	2.8056	-27.1319
GCA_001583545.1#1#LNAV01000143	15	0	0	0	11	0.2143	0.9157	0.4667	0.0000	0.5333	0.0000	0.0000	0.5333	0.0000	0.1333	0.0000	0.0000	0.0000	0.0000	0.0000	0.5333	0.1333	0.0000	0.6460	0.7631	0.0000	0.0087	0.0041	0.6787	0.0000	-1.4952	1.4952	-30.3328
GCA_001583545.1#1#LNAV01000076	1	0	0	0	11	0.0000	0.6606	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000158	21	0	0	0	11	0.3500	0.9348	0.3333	0.0000	0.6667	0.0000	0.0000	0.3810	0.0000	0.0952	0.0000	0.0000	0.0000	0.0476	0.0000	0.3810	0.0952	0.0476	0.6528	0.7527	0.0000	0.0205	0.0051	0.8023	0.0000	-5.0714	1.3907	-29.1546
GCA_001583545.1#1#LNAV01000050	18	0	1	0	11	0.5294	0.9088	0.3333	0.0000	0.6667	0.0000	0.0000	0.3333	0.0000	0.2222	0.0000	0.0000	0.0000	0.0000	0.0556	0.3333	0.2222	0.0556	0.6423	0.7421	0.0000	0.0215	0.0092	0.7027	0.0556	-3.4391	0.0025	-28.5070
GCA_001583545.1#1#LNAV01000007	22	1	0	0	11	0.3810	0.9181	0.4091	0.0000	0.5909	0.0000	0.0909	0.2727	0.0000	0.0455	0.0000	0.0000	0.0000	0.0000	0.0000	0.3636	0.0455	0.0000	0.8406	0.5417	0.0000	0.0026	0.0528	0.0445	0.0000	6.1336	-6.1336	-24.2816
GCA_001583545.1#1#LNAV01000053	2	0	0	0	11	1.0000	0.6940	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000029	22	0	0	0	11	0.4286	0.8702	0.4091	0.0000	0.5909	0.0000	0.0000	0.2273	0.0000	0.1364	0.0000	0.0000	0.0455	0.0000	0.0000	0.2273	0.1364	0.0455	0.6343	0.7451	0.0000	0.0331	0.0244	0.5771	0.0000	-1.9741	-1.6481	-22.5312
GCA_001583545.1#1#LNAV01000016	3	0	0	0	11	0.0000	0.8062	0.3333	0.0000	0.6667	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.6469	0.7626	0.0000	0.3882	0.3608	0.5292	0.0000	-0.2342	0.2342	-3.0939
GCA_001583545.1#1#LNAV01000015	19	0	0	0	11	0.3333	0.9276	0.3684	0.0000	0.6316	0.0000	0.1579	0.4737	0.0526	0.0526	0.0000	0.0000	0.0000	0.0000	0.0000	0.6842	0.0526	0.0000	0.7955	0.6058	0.0000	0.0002	0.0147	0.0103	0.0000	8.5757	-10.4885	-36.4787
GCA_001583545.1#1#LNAV01000051	19	0	0	0	11	0.1111	0.8604	0.3684	0.0000	0.6316	0.0000	0.0000	0.1579	0.0000	0.0000	0.0000	0.0526	0.0000	0.0000	0.0000	0.1579	0.0526	0.0000	0.8074	0.5873	0.0000	0.1449	0.1569	0.4767	0.0000	-0.7956	-0.5675	-10.0909
GCA_001583545.1#1#LNAV01000123	19	0	0	0	11	0.6111	0.9110	0.1579	0.0000	0.8421	0.0000	0.1053	0.4211	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5263	0.0000	0.0000	0.7793	0.6265	0.0000	0.0015	0.0327	0.0417	0.0000	6.2685	-6.2685	-27.8714
GCA_001583545.1#1#LNAV01000028	46	0	0	0	11	0.3333	0.9388	0.3261	0.0000	0.6739	0.0000	0.0000	0.3913	0.0217	0.1522	0.0000	0.0000	0.0435	0.0000	0.0000	0.4130	0.1522	0.0435	0.6334	0.7632	0.0000	0.0000	0.0000	0.8684	0.0000	-7.6266	-2.1861	-74.3561
GCA_001583545.1#1#LNAV01000111	18	0	0	0	11	0.2353	0.9442	0.3889	0.0000	0.6111	0.0000	0.1111	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6111	0.0000	0.0000	0.7555	0.6551	0.0000	0.0015	0.0115	0.1161	0.0000	4.0600	-4.0600	-30.9915
GCA_001583545.1#1#LNAV01000166	14	0	0	0	11	0.2308	0.8990	0.5000	0.0000	0.5000	0.0000	0.0000	0.2143	0.0000	0.0000	0.0000	0.0000	0.0714	0.0000	0.0000	0.2143	0.0000	0.0714	0.8155	0.4411	0.0000	0.1923	0.4458	0.2283	0.0000	0.8637	-4.6176	-7.5094
GCA_001583545.1#1#LNAV01000064	61	1	0	0	11	0.4000	0.9203	0.2459	0.0000	0.7541	0.0000	0.0328	0.3934	0.0164	0.0492	0.0000	0.0000	0.0164	0.0000	0.0164	0.4426	0.0492	0.0328	0.7089	0.6530	0.0000	0.0000	0.0000	0.0465	0.0000	2.2421	-11.5799	-83.9145
GCA_001583545.1#1#LNAV01000112	21	0	0	0	11	0.5000	0.9357	0.2857	0.0000	0.7143	0.0000	0.0476	0.4762	0.0000	0.0952	0.0000	0.0000	0.0000	0.0000	0.0000	0.5238	0.0952	0.0000	0.7665	0.6423	0.0000	0.0006	0.0035	0.1374	0.0000	3.6747	-3.6747	-38.1481
GCA_001583545.1#1#LNAV01000070	15	0	0	0	11	0.5000	0.9116	0.3333	0.0000	0.6667	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0667	0.0000	0.0000	0.0000	0.3333	0.0667	0.0000	0.7079	0.6988	0.0000	0.0659	0.0597	0.5264	0.0000	-1.3531	-0.2405	-16.0634
GCA_001583545.1#1#LNAV01000126	6	0	0	0	11	0.4000	0.8329	0.3333	0.0000	0.6667	0.0000	0.1667	0.1667	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	0.0000	0.3333	0.0000	0.1667	0.8166	0.0000	0.0000	0.3050	0.6043	0.2232	0.0000	0.8663	-4.6011	-3.4147
GCA_001583545.1#1#LNAV01000135	1	0	0	0	11	0.0000	0.8353	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.2975	0.5000	0.2975	0.0000	1.7183	-1.7183	-1.7183
GCA_001583545.1#1#LNAV01000167	2	0	0	0	11	1.0000	0.7787	0.5000	0.0000	0.5000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.7407	0.6718	0.0000	0.3662	0.3825	0.4826	0.0000	0.1396	-0.1396	-3.1062
GCA_001583545.1#1#LNAV01000062	3	0	0	0	11	1.0000	0.8290	0.3333	0.0000	0.6667	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.9084	0.4182	0.0000	0.3230	0.4355	0.3821	0.0000	0.9611	-0.9611	-2.7682
GCA_001583545.1#1#LNAV01000090	17	0	0	0	11	0.3125	0.9224	0.3529	0.0000	0.6471	0.0000	0.1765	0.2941	0.0000	0.0588	0.0000	0.0000	0.0000	0.0000	0.0000	0.4706	0.0588	0.0000	0.8296	0.5583	0.0000	0.0027	0.0594	0.0404	0.0000	6.3330	-6.3330	-23.1405
GCA_001583545.1#1#LNAV01000071	11	1	0	0	11	0.5000	0.8751	0.3636	0.0000	0.6364	0.0000	0.0000	0.0909	0.0909	0.0000	0.0000	0.0000	0.0909	0.0909	0.0000	0.1818	0.0000	0.1818	0.7992	0.1281	0.5824	0.4294	0.7469	0.2032	0.0000	-0.9572	-7.9147	-2.5923
GCA_001583545.1#1#LNAV01000001	15	0	0	0	11	0.2857	0.9432	0.2667	0.0000	0.7333	0.0000	0.0000	0.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6000	0.0000	0.0000	0.6664	0.7456	0.0000	0.0075	0.0133	0.3608	0.0000	1.1442	-1.1442	-27.2229
GCA_001583545.1#1#LNAV01000161	12	0	0	0	11	0.0909	0.8889	0.1667	0.0000	0.8333	0.0000	0.0000	0.0833	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0833	0.2500	0.0000	0.5907	0.8068	0.0000	0.1588	0.0810	0.6818	0.0000	-1.5240	1.5240	-12.2288
GCA_001583545.1#1#LNAV01000078	1	0	0	0	11	0.0000	0.9649	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.7877	0.6161	0.0000	0.3545	0.3951	0.4568	0.0000	0.3466	-0.3466	-3.0706
GCA_001583545.1#1#LNAV01000159	7	0	0	0	11	0.5000	0.9808	0.2857	0.0000	0.7143	0.0000	0.0000	0.4286	0.0000	0.2857	0.0000	0.0000	0.0000	0.0000	0.0000	0.4286	0.2857	0.0000	0.6262	0.7796	0.0000	0.1390	0.0398	0.7958	0.0000	-2.7205	2.7205	-14.1309
GCA_001583545.1#1#LNAV01000134	8	0	0	0	11	0.4286	0.8130	0.6250	0.0000	0.3750	0.0000	0.1250	0.3750	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.6285	0.7777	0.0000	0.1025	0.1459	0.4007	0.0000	0.8054	-0.8054	-10.9591
GCA_001583545.1#1#LNAV01000073	1	0	0	0	11	0.0000	0.9972	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000145	37	2	0	1	11	0.1389	0.7990	0.2432	0.0000	0.7568	0.0000	0.0270	0.2973	0.0541	0.0000	0.0000	0.0000	0.0270	0.0000	0.0541	0.3784	0.0000	0.0811	0.8961	0.3534	0.0000	0.0002	0.2902	0.0006	0.0000	9.8940	-21.7387	-32.0926
GCA_001583545.1#1#LNAV01000156	1	0	0	0	11	0.0000	0.9983	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.5781	0.8159	0.0000	0.4034	0.3474	0.5595	0.0000	-0.4786	0.4786	-3.0309
GCA_001583545.1#1#LNAV01000081	7	0	0	0	11	0.6667	0.7910	0.2857	0.0000	0.7143	0.0000	0.0000	0.1429	0.0000	0.1429	0.0000	0.0000	0.0000	0.0000	0.0000	0.1429	0.1429	0.0000	0.5450	0.7909	0.0000	0.3165	0.2257	0.6137	0.0000	-0.9259	0.9259	-5.6258
GCA_001583545.1#1#LNAV01000154	4	0	0	0	11	0.0000	0.9576	0.2500	0.0000	0.7500	0.0000	0.0000	0.5000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.2500	0.0000	0.7548	0.6560	0.0000	0.1848	0.1709	0.5236	0.0000	-0.1893	0.1893	-9.0666
GCA_001583545.1#1#LNAV01000077	3	0	0	0	11	1.0000	0.8187	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000093	1	0	0	0	11	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000152	3	0	0	0	11	0.0000	0.6381	0.3333	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000065	3	0	0	0	11	0.5000	0.8108	0.6667	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000043	5	0	0	0	11	0.0000	0.8646	0.2000	0.0000	0.8000	0.0000	0.0000	0.4000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	0.0000	0.0000	0.8295	0.5585	0.0000	0.2155	0.3212	0.3672	0.0000	1.0882	-1.0882	-6.0137
GCA_001583545.1#1#LNAV01000129	4	0	0	0	11	0.6667	0.8413	0.2500	0.0000	0.7500	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.8787	0.4730	0.0000	0.0591	0.2195	0.1825	0.0000	2.9994	-2.9994	-11.5217
GCA_001583545.1#1#LNAV01000108	3	0	0	0	11	0.0000	0.8147	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.3333	0.0000	0.3333	0.3333	0.0000	0.4515	0.7148	0.7554	0.5972	0.6756	0.0000	-4.5092	-0.7879	0.7879
GCA_001583545.1#1#LNAV01000018	2	0	0	0	11	0.0000	0.9229	0.5000	0.0000	0.5000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.8430	0.5379	0.0000	0.3404	0.4119	0.4242	0.0000	0.6109	-0.6109	-2.9785
GCA_001583545.1#1#LNAV01000119	1	0	0	0	11	0.0000	0.4438	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000131	2	0	0	0	11	1.0000	0.8345	0.5000	0.0000	0.5000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.7686	0.6397	0.0000	0.3593	0.3898	0.4674	0.0000	0.2608	-0.2608	-3.0890
