genome	features	bytes	sha256
ecoli_ml|clade_10_0004_ML	282	75589	bb1cce92bb67705222f6c0137f7907f1abbd0992be0a78c8d95990ebc8b4c6a9
ecoli_ml|clade_10_0005_ML	208	55946	6c6e778ddd12b0a3a518ed1dbc188f77197b1a153ce4ea46fb6b5415e5cda80a
ecoli_ml|clade_10_0006_ML	223	60093	7a2849a262d66992630c70acf5e4d76d55151ccb482d0e15593f5cede09c9f63
ecoli_ml|clade_10_0007_ML	262	70707	a3f640dd3b1474b068fb3c0f8a367e5751a7717759930a9dd4fb69f6eff85d0b
ecoli_ml|clade_10_0008_ML	182	48894	4c8a930f1bff843cdc2fe5d8f65768fa3d53d2e1fab7526bc80c7cf6dc982c56
ecoli_ml|clade_10_0009_ML	106	28833	56fe261ec3771982beb41d7b3b6eafe22d8b9f031415e3567bb4c95346913bb2
ecoli_ml|clade_10_0010_ML	127	34819	4f9b1081e0222fabbef3a4a758c0a68a12c86c812e1a2ad7bfb88c8e48ac9eb2
ecoli_ml|clade_10_0011_ML	125	33617	17b527b7d9516e9ec0673b67bfd7c692b4262668b46218bc7dd9b8c430a0e227
ecoli_ml|clade_10_0012_ML	142	38496	6981bb937dce23dc45dc46b223fba64b2fde32c192a4548f6d13e99cd3e31211
ecoli_ml|clade_10_0013_ML	426	115049	e6c800370252c94536801589f15a00cd2415343279c5936515f99d6c6d3a72de
ecoli_ml|clade_10_0014_ML	146	39787	98ca594f97c34b9348fa3d1250ab16d69def1fac219b760860392c2c1f275c88
ecoli_ml|clade_10_0015_ML	140	38171	08863998f21f1e14ed3d9c7ce2b41d46be634991d7391b092ca5d89a363c0837
ecoli_ml|clade_10_0016_ML	386	102836	55df1d7a9346e440d50e4da056daea75f2392088fb8efc8b71fbf8444d1a1984
ecoli_ml|clade_10_0017_ML	178	48399	d4feeff4faa23aa1cbc6eb753ad49b01c3cccd2010b124a7ff73728f0d5ac2de
ecoli_ml|clade_10_0018_ML	140	37517	22894c0eca0826926ae740695918717d9b043169058ee343fb83ced9f19ea40e
ecoli_ml|clade_10_0019_ML	184	48556	66b13b6d1c129b04bac1c4cdd393e01cc3ea8913fc8eafcc05b78a2b8cfa8773
ecoli_ml|clade_10_0020_ML	115	30512	a1f491d8139a09b3097dddcca4c89a512f15a0cc614ec68b28b56aeeb8f3ef85
ecoli_ml|clade_10_0021_ML	117	30874	7d96875f4920d8385027583cf4b7eaa2495d50d27e01db32910ad32631670741
ecoli_ml|clade_10_0022_ML	169	46241	8ccb749c80ca253e46f8236ed4cb4eef8e6d4865a3dbd9158392623148f10012
ecoli_ml|clade_10_0023_ML	107	28218	8ebe9f357d7da09862ca9651a10ef53e4b46977ca75d1fc0c7a74c5cdd09c292
ecoli_ml|clade_10_0024_ML	156	42541	4727168ee4c758882bc29b18d72238735e4a8faeca95b9fe8446937a1d434f11
ecoli_ml|clade_10_0025_ML	159	42253	4d49fbb284949fddc1c80a5fee63dc1d6d252d5d75e005c82732137857d52644
ecoli_ml|clade_10_0026_ML	133	35314	18b17f2bc908a7aec30719aa1b2cad726d116570d587ac4ee516bfaa9b7ee5f4
ecoli_ml|clade_10_0027_ML	150	39826	5490f48a263767d1385586a36a6a0a5b80cbee3a52798f6861e7e62e3e81d2cd
ecoli_ml|clade_10_0028_ML	57	15710	ffc196367a31794b755b5fda60dff14df4a26e9356a4e671427cd623c67996ef
ecoli_ml|clade_10_0029_ML	98	26440	3cb85caed0505fd3c62e0f1cf01d9cd6e2f0d099ed36475e38c4097663f0fc9d
ecoli_ml|clade_10_0030_ML	289	77658	adf7a33feef2fae6f7e57befdc0674891b181bdfcdf65ef86d12ee4fd9945874
ecoli_ml|clade_10_0031_ML	78	21561	8670ddf384b7612a216856422ca5fd64c0f243c8b37329bb2c2af9be1a271474
ecoli_ml|clade_10_0032_ML	112	30194	ab3b030a6397c7c17711f543fe74b43f0fbab2bfbdbb3d9f95f50298916475ac
ecoli_ml|clade_10_0033_ML	115	30981	1f30ca3d97fd5fc2d3d52019aadf85accd2954565611c983fc89ae6b8660cdb4
ecoli_ml|clade_10_0034_ML	125	34399	a1f7f26bc7cd7e8d8729edc7d92d8b66095a041d63a25e51df433d6fd5072f71
ecoli_ml|clade_10_0035_ML	24	6568	cd49f3c3308df03168d4493c9d3b5cf3bc935ff71012e5d28c7b44aec0a0c41e
ecoli_ml|clade_10_0036_ML	76	20315	725de5e523124d7e3210ff8440819415b13357bb1433306b27d03322864b059b
ecoli_ml|clade_10_0037_ML	76	20140	1ee66d2adff81982e8f3aad9ffbeba27f831565bc062bb313995b7730140e0ae
ecoli_ml|clade_10_0038_ML	98	26129	d1442934cb4546fc0ef08c1ecb6fc1f937d91817ab777973c5dbe71c45ff0972
ecoli_ml|clade_10_0039_ML	135	35689	6548d9d290ef06b9313f24e331de3a8239c36d7934fa0298cb167c2994d52333
ecoli_ml|clade_10_0040_ML	90	25086	822ea9fb9e296c31a153e0c3f45457f0f75840f2d927df75d859739688b1016f
ecoli_ml|clade_10_0041_ML	5	1488	d910c9ff429a51a3c5ea1da95853d079818c8b253c5366ba7d0645701ebe224a
ecoli_ml|clade_10_0042_ML	49	13080	440fc7eaa474802b9b46823ed60d30cfbbfe44fa95bbe98e35634ac4e5ddc68a
ecoli_ml|clade_10_0043_ML	2	590	a878b556246e86d6954a27e27ea76ed114a1d33d71d63c4cd563160eb7bb4b9b
ecoli_ml|clade_10_0044_ML	69	18511	e1bd62cd5d8d7fa20e6cfbaa06bca7c73a3209485810469557959f0c1aa323b7
ecoli_ml|clade_10_0045_ML	67	17674	0d63e3affae48c3162d8a0db73aaaa8b076ce7df96e6c0e4cdd98bee525995bc
ecoli_ml|clade_10_0046_ML	33	8994	84c3fb7003488f9a8c408a2d6c22a3297637cee90a3845ce6db8607be315dd0a
ecoli_ml|clade_10_0047_ML	20	5576	fa93502577ef9ebf7239bd4aeaf24444b1e7c18d82d22b2f1f6415875062b594
ecoli_ml|clade_10_0048_ML	5	1380	9091ef2a245b6a533bab56d5d9a9543d304d61d9f42b7b64e109240cb521c304
ecoli_ml|clade_10_0049_ML	50	13526	c6277462124f6845aca8d6f45fae1af49837f8f9c31ac59983392589ee289efc
ecoli_ml|clade_10_0050_ML	105	28062	38a698cd2390673611363ec82d6e130fc5bfaecb4a5fbccdf1b449e6f1a6d1cc
ecoli_ml|clade_10_0051_ML	6	1701	3e3649e500d4a4e5cd485bbcee75d8a3029477f907d93ac2006de6375e00e982
ecoli_ml|clade_10_0052_ML	46	12532	44a081ec7a1a22d43893331ee4c1a5a2d33f7f80fb399e6040e78698a8126372
ecoli_ml|clade_10_0053_ML	3	854	3160bc66ceb5de81c55f2d40f8b25179f65eb49db0fe3526a3920989f8aa6fcf
ecoli_ml|clade_10_0054_ML	10	2687	005ef36ffeb6fbf103d5f71198ea85a0b07ab547e9eb340eb71d21165404e01e
ecoli_ml|clade_10_0055_ML	47	12541	1280fbc2b7ba53ebb1bf60ed85ff0ae28a1ce7a5ba68a527d9f0d63fb7805f5a
ecoli_ml|clade_10_0056_ML	399	107426	bb273fca08422a27943af8870dbee41d51091de6ceeba9a90135b65cb500d80f
ecoli_ml|clade_10_0057_ML	44	11732	a3107be0670a6a5c8581caf94a30987b6bc06f8583d0cdc12c27f1c89a6809ac
ecoli_ml|clade_10_0058_ML	14	3801	dcbfd091e1d4daa62259e13f35e6997d2430a58fee216907d35b30f6d17a841c
ecoli_ml|clade_10_0059_ML	9	2459	dfe0900823c2585bbd10d8a732c83ef8ae581a75c78066e25cca10fb8cb410b0
ecoli_ml|clade_10_0060_ML	47	12476	7649df3d6168c4d899c7efe33ff7be0cce047893575e12097fa8cd6d3fb6046c
ecoli_ml|clade_10_0061_ML	34	9090	2e0856041a0bcc7aafd53b622cc9fa81c382e9fefede331c8fe962bde8adcbf9
ecoli_ml|clade_10_0062_ML	84	22556	a427cb762b2781abb779b8b85df692b2ee027f5a74c5f3f49c5cca8f8cc590b8
ecoli_ml|clade_10_0063_ML	43	11333	e99af4847109e2fa598bf019b21d633eb9bb3c46b17fbd07f150536c33a82a1a
ecoli_ml|clade_10_0064_ML	15	3834	de16cd30f4671a298e536a951a09668e17077ddf6e77e76d4d51057e95903fb9
ecoli_ml|clade_10_0065_ML	27	7324	702632e4858902e4fd2383071a3a81d186ae8352f525771ee1a64be3d0180914
ecoli_ml|clade_10_0066_ML	15	4208	aedd33503c193e8f4cddbaefbc0f9d5218cc2f391b98e32ac26dcb7fab96e469
ecoli_ml|clade_10_0067_ML	50	13731	a933322ae71688bfa56c2cde32281b78d37849391447cbafa3a92623b86854e1
ecoli_ml|clade_10_0068_ML	56	14794	4fd425da7375afb03530f622fae9778350b316d53979fd862568d40d10f231e4
ecoli_ml|clade_10_0069_ML	2	599	5867a4a15991a050e0173f3c4d41c49c39360dc774383e8143a46d753b68474b
ecoli_ml|clade_10_0070_ML	106	28322	bc7ff1240dfcc4e65f13fb76d9f39feffc4371f1b7968765492d477143d4b4be
ecoli_ml|clade_10_0071_ML	7	1925	f4fca34a92e6ae1a4851aacb37d49cce2eeb20aba620222de051a36480ba3ef1
ecoli_ml|clade_10_0072_ML	149	39883	b23d199c8ba29c1f2f6dbf325daacc61930d1b628127276d5349f61add56062e
ecoli_ml|clade_10_0073_ML	138	36941	518db00741b9f417dd43cf86fb2c4109f9bd6b68a2b67837378fe1b1202cbb3b
ecoli_ml|clade_10_0074_ML	75	19980	9e8c4b1ec706473774c211b9fd56e35b848d60095cf47711b7c89a239b2cd5fb
ecoli_ml|clade_10_0075_ML	184	49523	1f38851cee94fc40e7f5d167c4c2ec5349c63bec447a7f989e5f1446eb274709
ecoli_ml|clade_10_0076_ML	130	34595	09abc1b5dfc8258a88e1d33958a5c31a52f97457b0591caab3e1cba8e828a85f
ecoli_ml|clade_10_0077_ML	76	20277	6044fa7a54ad5c862bc507cb49cb69cb5cd25a4c89bae2063e83fdc736737fd3
ecoli_ml|clade_10_0078_ML	165	44268	c9a0698d548778b2901e4c008e7ab2eda7d84189e484c9865a969492d372fb47
ecoli_ml|clade_10_0079_ML	131	35313	077356bdc97017f1cf6ee189a10ada9415177d8399201e35d1361eed08263022
ecoli_ml|clade_10_0080_ML	165	44045	7d6f3864fb4b33e8745c65f2d80336b2c590eff74b5f603284bad163560fec91
ecoli_ml|clade_10_0081_ML	210	56611	fc4c9133a9ae5e19af8017777da6ae5cbe2b5ab9ed7c52355db7e9fd095ad040
ecoli_ml|clade_10_0082_ML	137	36580	820438c01ff718e2aa68191fc888c6e1330ae9dc270a7b89a2ea9a90f2a345ef
ecoli_ml|clade_10_0083_ML	144	39092	1e82240dd330184ade9aca068db28aab750fa8b1130fc01d1285f20185ed0001
ecoli_ml|clade_10_0084_ML	125	33338	0cccf0d4d3988f219adb5424df61efc8c36c96fe97f716221abe0959a888035a
ecoli_ml|clade_10_0085_ML	185	49293	2139a38c8a645b6ed6dc186efd8618066382d506912b02c4e24fd0f788fe16c5
ecoli_ml|clade_10_0086_ML	33	8770	235d1bca7eae62112531271a13763b0e706b01fb03dcbdb125bcc1d02ab699a3
ecoli_ml|clade_10_0087_ML	103	27995	8e86a963cab2be6ab9c7fc9ce3b24d2c14eecffb6b150fc0025286b8d537a1c1
ecoli_ml|clade_10_0088_ML	71	19304	600af611c7de1b8e0df1214b2d99336a63e79a0d37824e6d84ecb3d75fde7c53
ecoli_ml|clade_10_0089_ML	142	38400	20aaf54d5811bfaa5bfb321f33606fecb064e725cbf25e6f099c13885156a4c5
ecoli_ml|clade_10_0090_ML	120	32189	5bc02947cf60036879eb0993d14ed471fbe60974832f0c7b6c5fc559ed0781ef
ecoli_ml|clade_10_0091_ML	135	36430	a1176bbb2999f4f29ed4de6be9567a860d02215cf67d2d0ba9bb6c6b0127499a
ecoli_ml|clade_10_0092_ML	63	16977	f2925eabb43c0d99456df1d378dd0e6d93403b5ca94e4643acfd2f81e281c58b
ecoli_ml|clade_10_0093_ML	150	40664	18842e611c0a7923f6775d16a3c6747872cfda59aa640bcf455d48755b63e357
ecoli_ml|clade_10_0094_ML	144	38644	2d3a66b09a76e8147dd6c8955cd5a669748de204e369919b15b41a50471f4af0
ecoli_ml|clade_10_0095_ML	126	34046	24795540035a94a5da6e6535ce9cea466d3c565279fac5eace3c71d2bc90e5cf
ecoli_ml|clade_10_0096_ML	142	38155	8ed4f205f49f0e8044edf433b76f1cee451af70268e35d40d3ab686f47ea2147
ecoli_ml|clade_10_0097_ML	30	8227	e460fea6c33d46d41e4985e9a4634d3d948dc8380ee01c4d66e9721a3bf6f30f
ecoli_ml|clade_10_0098_ML	66	17717	a4026e0c0593c1aaa2fd4abf18c8306c7bb47f5faa9b4ac6988fb37a422290e6
ecoli_ml|clade_10_0099_ML	131	35305	02a2250568fb370435f68696a600895afe195d56b6c941e06d088534bf2805bc
ecoli_ml|clade_10_0100_ML	106	28746	d306a4b8b2811f81a3dcbe71925c4c95aad6cb0f40111b26ded60550424eb94a
ecoli_ml|clade_10_0101_ML	100	26837	351af8e5f71ec18206ea71d13f6ee26dc0481d17bd2e23e31dac2fc187e5803d
ecoli_ml|clade_10_0102_ML	180	48575	2d612b1421a4940dc1f4fd252fe4ecf170a32a491144ca626f3ab214a73d80b3
ecoli_ml|clade_10_0103_ML	80	21789	871774e4359e8eea27cf8a8630bd259c19553073baca67bfaeaf7ee7bd21ab51
ecoli_ml|clade_10_0104_ML	104	28201	2db87741823b8a86a97862abd908c5e4c9e2e63ffcfd8f57e227bb958030350e
ecoli_ml|clade_10_0105_ML	38	10310	58af7b1c886c56548a84f8651a2905013e07837298821878d25dfd8d19ea3c6b
