genome_id	source	clade_id	length	gc_perc	cds_density	gene_count	truncated_genes	terminase	portal	capsid	tail	integrase	lysis	n_key_proteins	has_head_packaging	has_tail_cat	has_lysis_cat	has_integration_cat	hypothetical	hypothetical_frac	checkv_miuvig	completeness_pct	contamination	viral_genes	host_genes	flag
ecoli_ml|clade_0_0023_ML	ecoli_ml	clade_0_0023_ML	120187	0.49	67.41	218	1	1	1	1	1	1	1	6	1	1	1	1	126	0.578	High-quality	97.84	0.0	100	18	host_genes
ecoli_ml|clade_0_0024_ML	ecoli_ml	clade_0_0024_ML	80888	0.49	72.37	153	0	1	0	0	1	1	1	4	1	1	1	1	93	0.608	High-quality	100.0	0.0	73	21	host_genes
ecoli_ml|clade_0_0025_ML	ecoli_ml	clade_0_0025_ML	72396	0.47	74.69	141	1	1	1	1	1	0	1	5	1	1	1	0	74	0.525	High-quality	95.41	0.0	95	0	ok
ecoli_ml|clade_0_0026_ML	ecoli_ml	clade_0_0026_ML	117784	0.48	71.23	226	0	1	0	1	1	1	1	5	1	1	1	1	109	0.482	High-quality	98.83	0.0	107	5	host_genes
ecoli_ml|clade_0_0027_ML	ecoli_ml	clade_0_0027_ML	79720	0.49	70.24	165	0	1	1	1	1	1	1	6	1	1	0	1	101	0.612	High-quality	100.0	5.25	69	11	contamination;host_genes
ecoli_ml|clade_0_0028_ML	ecoli_ml	clade_0_0028_ML	71156	0.47	67.19	131	1	1	1	1	1	0	1	5	1	1	1	0	71	0.542	High-quality	97.02	0.0	77	1	host_genes
ecoli_ml|clade_0_0029_ML	ecoli_ml	clade_0_0029_ML	55908	0.49	71.13	116	1	0	0	1	1	1	1	4	1	1	1	1	69	0.595	Medium-quality	85.75	0.0	49	2	host_genes
ecoli_ml|clade_0_0030_ML	ecoli_ml	clade_0_0030_ML	46041	0.48	70.66	81	0	1	0	1	1	1	1	5	1	1	1	1	51	0.63	Medium-quality	68.11	0.0	29	2	host_genes
ecoli_ml|clade_0_0031_ML	ecoli_ml	clade_0_0031_ML	15908	0.46	72.93	33	1	0	0	0	0	1	1	2	0	0	0	1	23	0.697	Low-quality	24.32	0.0	10	8	missing_core_structural;low_completeness;host_genes
ecoli_ml|clade_0_0032_ML	ecoli_ml	clade_0_0032_ML	94867	0.49	72.79	164	1	1	1	1	1	0	1	5	1	1	1	0	111	0.677	High-quality	97.43	0.0	85	1	host_genes
ecoli_ml|clade_0_0033_ML	ecoli_ml	clade_0_0033_ML	70505	0.49	74.74	132	0	1	1	1	1	1	1	6	1	1	1	1	68	0.515	High-quality	93.58	0.0	86	2	host_genes
ecoli_ml|clade_0_0034_ML	ecoli_ml	clade_0_0034_ML	139867	0.47	66.03	275	0	0	0	1	1	1	1	4	1	1	1	1	179	0.651	High-quality	98.32	0.0	139	4	host_genes
ecoli_ml|clade_0_0035_ML	ecoli_ml	clade_0_0035_ML	52913	0.49	71.28	104	1	1	1	1	1	1	1	6	1	1	1	1	56	0.538	Medium-quality	80.41	0.0	57	4	host_genes
ecoli_ml|clade_0_0036_ML	ecoli_ml	clade_0_0036_ML	158696	0.49	72.68	302	1	0	0	1	1	1	1	4	1	1	1	1	216	0.715	High-quality	100.0	0.0	177	3	host_genes
ecoli_ml|clade_0_0037_ML	ecoli_ml	clade_0_0037_ML	72456	0.5	69.4	127	0	1	1	1	1	0	1	5	1	1	0	0	92	0.724	High-quality	100.0	0.0	59	0	ok
ecoli_ml|clade_0_0038_ML	ecoli_ml	clade_0_0038_ML	67540	0.49	78.63	147	1	1	1	1	1	0	1	5	1	1	1	0	69	0.469	High-quality	96.26	0.0	88	0	ok
ecoli_ml|clade_0_0039_ML	ecoli_ml	clade_0_0039_ML	147161	0.47	69.73	289	0	1	0	1	1	1	1	5	1	1	1	1	202	0.699	High-quality	98.62	0.0	147	1	host_genes
ecoli_ml|clade_0_0040_ML	ecoli_ml	clade_0_0040_ML	142176	0.49	72.95	270	2	1	0	1	1	1	1	5	1	1	1	1	179	0.663	High-quality	98.28	0.0	126	1	host_genes
ecoli_ml|clade_0_0041_ML	ecoli_ml	clade_0_0041_ML	153858	0.47	71.22	304	0	0	0	1	1	1	1	4	1	1	1	1	218	0.717	High-quality	97.91	0.0	112	0	ok
ecoli_ml|clade_0_0042_ML	ecoli_ml	clade_0_0042_ML	16263	0.5	74.37	35	1	0	0	0	0	0	1	1	0	0	0	0	24	0.686	Low-quality	25.53	0.0	21	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0043_ML	ecoli_ml	clade_0_0043_ML	81929	0.47	71.73	162	2	0	1	0	0	1	1	3	1	0	1	1	104	0.642	High-quality	100.0	0.0	86	2	host_genes
ecoli_ml|clade_0_0044_ML	ecoli_ml	clade_0_0044_ML	154289	0.47	69.86	295	1	1	1	1	1	0	1	5	1	1	1	0	204	0.692	High-quality	96.22	0.0	59	1	host_genes
ecoli_ml|clade_0_0045_ML	ecoli_ml	clade_0_0045_ML	72364	0.49	70.16	122	1	0	0	1	1	0	1	3	1	1	1	0	71	0.582	High-quality	100.0	0.0	71	3	host_genes
ecoli_ml|clade_0_0046_ML	ecoli_ml	clade_0_0046_ML	67176	0.5	75.07	118	0	1	0	1	1	0	1	4	1	1	1	0	63	0.534	High-quality	100.0	0.0	60	3	host_genes
ecoli_ml|clade_0_0047_ML	ecoli_ml	clade_0_0047_ML	24063	0.47	72.78	55	2	0	0	0	1	0	1	2	0	1	1	0	40	0.727	Low-quality	49.27	0.0	19	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0048_ML	ecoli_ml	clade_0_0048_ML	29991	0.47	66.31	44	0	1	0	1	0	0	1	3	1	0	0	0	25	0.568	Medium-quality	64.01	0.0	23	0	ok
ecoli_ml|clade_0_0049_ML	ecoli_ml	clade_0_0049_ML	78353	0.52	68.57	150	0	1	1	1	1	1	1	6	1	1	1	1	91	0.607	High-quality	95.08	0.0	63	1	host_genes
ecoli_ml|clade_0_0050_ML	ecoli_ml	clade_0_0050_ML	13659	0.43	59.2	20	1	0	0	0	0	1	1	2	0	0	0	1	15	0.75	Low-quality	12.07	0.0	4	1	missing_core_structural;low_completeness;host_genes
ecoli_ml|clade_0_0051_ML	ecoli_ml	clade_0_0051_ML	68856	0.52	80.11	142	1	1	1	0	1	1	1	5	1	1	1	1	75	0.528	High-quality	97.15	0.0	75	0	ok
ecoli_ml|clade_0_0052_ML	ecoli_ml	clade_0_0052_ML	68376	0.49	76.03	133	1	0	0	1	1	0	1	3	1	1	1	0	87	0.654	High-quality	100.0	0.0	76	0	ok
ecoli_ml|clade_0_0053_ML	ecoli_ml	clade_0_0053_ML	71353	0.49	71.27	139	2	0	0	1	1	0	1	3	1	1	1	0	96	0.691	High-quality	100.0	0.0	71	8	host_genes
ecoli_ml|clade_0_0054_ML	ecoli_ml	clade_0_0054_ML	66064	0.49	69.96	112	1	1	1	1	1	1	1	6	1	1	1	1	79	0.705	High-quality	93.63	0.0	55	1	host_genes
ecoli_ml|clade_0_0055_ML	ecoli_ml	clade_0_0055_ML	5604	0.46	65.83	16	2	0	0	0	0	0	1	1	0	0	0	0	12	0.75	Low-quality	9.13	0.0	7	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0056_ML	ecoli_ml	clade_0_0056_ML	15303	0.44	81.13	31	2	0	0	0	1	0	1	2	1	1	0	0	17	0.548	Low-quality	35.02	0.0	19	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0057_ML	ecoli_ml	clade_0_0057_ML	45762	0.49	91.39	74	1	1	1	1	1	1	1	6	1	1	1	1	33	0.446	High-quality	100.0	0.0	53	1	host_genes
ecoli_ml|clade_0_0058_ML	ecoli_ml	clade_0_0058_ML	29962	0.45	65.25	56	2	0	0	0	0	0	1	1	0	0	0	0	34	0.607	Low-quality	27.58	0.0	21	1	missing_core_structural;low_completeness;host_genes
ecoli_ml|clade_0_0059_ML	ecoli_ml	clade_0_0059_ML	32436	0.55	80.07	64	2	1	1	1	1	0	1	5	1	1	1	0	29	0.453	High-quality	91.73	0.0	27	0	ok
ecoli_ml|clade_0_0060_ML	ecoli_ml	clade_0_0060_ML	6153	0.46	66.1	10	2	0	0	0	0	1	1	2	1	0	0	1	7	0.7	Low-quality	15.46	0.0	3	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0061_ML	ecoli_ml	clade_0_0061_ML	20712	0.46	80.94	35	2	0	0	0	0	1	1	2	0	0	0	1	32	0.914	Not-determined	NA	0.0	0	2	missing_core_structural;host_genes
ecoli_ml|clade_0_0062_ML	ecoli_ml	clade_0_0062_ML	4963	0.44	74.39	7	1	0	0	0	0	0	1	1	0	0	0	0	4	0.571	Low-quality	4.56	0.0	1	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0063_ML	ecoli_ml	clade_0_0063_ML	21269	0.45	71.39	30	1	0	0	0	0	1	1	2	0	0	0	1	24	0.8	Low-quality	39.17	0.0	1	3	missing_core_structural;low_completeness;host_genes
ecoli_ml|clade_0_0064_ML	ecoli_ml	clade_0_0064_ML	12802	0.47	79.44	18	2	0	0	0	0	1	1	2	0	0	0	1	15	0.833	Not-determined	NA	0.0	0	2	missing_core_structural;host_genes
ecoli_ml|clade_0_0065_ML	ecoli_ml	clade_0_0065_ML	36077	0.53	97.0	45	1	1	1	1	1	0	1	5	1	1	1	0	18	0.4	Medium-quality	79.92	24.07	24	3	contamination;host_genes
ecoli_ml|clade_0_0066_ML	ecoli_ml	clade_0_0066_ML	8400	0.42	95.9	11	2	0	0	0	1	0	1	2	1	1	0	0	4	0.364	Low-quality	18.89	0.0	8	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0067_ML	ecoli_ml	clade_0_0067_ML	46334	0.51	66.7	86	2	1	0	0	1	0	1	3	1	1	1	0	50	0.581	High-quality	100.0	0.0	37	2	host_genes
ecoli_ml|clade_0_0068_ML	ecoli_ml	clade_0_0068_ML	45005	0.52	83.24	90	1	1	1	0	1	0	1	4	1	1	1	0	52	0.578	High-quality	97.11	0.0	45	1	host_genes
ecoli_ml|clade_0_0069_ML	ecoli_ml	clade_0_0069_ML	8113	0.57	98.48	8	1	1	1	0	0	0	1	3	1	0	0	0	5	0.625	Low-quality	18.09	0.0	3	0	low_completeness
ecoli_ml|clade_0_0070_ML	ecoli_ml	clade_0_0070_ML	1414	0.46	100.14	3	1	0	0	0	1	0	1	2	0	1	0	0	1	0.333	Low-quality	1.95	0.0	1	0	missing_core_structural;low_completeness;many_truncated
ecoli_ml|clade_0_0071_ML	ecoli_ml	clade_0_0071_ML	26291	0.54	90.47	53	1	1	1	1	1	1	1	6	1	1	0	1	23	0.434	Medium-quality	59.36	0.0	31	0	ok
ecoli_ml|clade_0_0072_ML	ecoli_ml	clade_0_0072_ML	13001	0.53	94.41	14	1	0	0	0	1	0	1	2	1	1	0	0	7	0.5	Low-quality	27.9	0.0	9	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0073_ML	ecoli_ml	clade_0_0073_ML	6502	0.46	83.73	10	0	0	0	0	0	0	1	1	0	0	0	0	5	0.5	Low-quality	12.1	0.0	6	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0074_ML	ecoli_ml	clade_0_0074_ML	9829	0.45	90.93	8	2	0	0	0	0	0	1	1	0	0	0	0	5	0.625	Not-determined	NA	0.0	0	1	missing_core_structural;host_genes;many_truncated
ecoli_ml|clade_0_0075_ML	ecoli_ml	clade_0_0075_ML	91064	0.48	71.92	169	0	0	1	1	1	1	1	5	1	1	1	1	90	0.533	High-quality	100.0	0.0	102	4	host_genes
ecoli_ml|clade_0_0076_ML	ecoli_ml	clade_0_0076_ML	97866	0.47	69.85	206	0	1	1	1	1	1	1	6	1	1	1	1	123	0.597	High-quality	100.0	0.0	122	8	host_genes
ecoli_ml|clade_0_0077_ML	ecoli_ml	clade_0_0077_ML	93006	0.49	63.29	173	2	1	1	1	1	0	1	5	1	1	0	0	104	0.601	High-quality	100.0	0.0	104	2	host_genes
ecoli_ml|clade_0_0078_ML	ecoli_ml	clade_0_0078_ML	48284	0.46	60.88	84	0	1	0	1	1	1	1	5	1	1	1	1	53	0.631	Medium-quality	75.02	0.0	29	5	host_genes
ecoli_ml|clade_0_0079_ML	ecoli_ml	clade_0_0079_ML	39239	0.52	91.01	47	1	1	1	1	1	1	1	6	1	1	1	1	20	0.426	Medium-quality	84.5	0.0	28	4	host_genes
ecoli_ml|clade_0_0080_ML	ecoli_ml	clade_0_0080_ML	23096	0.47	75.23	49	2	0	0	0	1	1	1	3	0	1	0	1	27	0.551	Low-quality	44.15	0.0	31	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0081_ML	ecoli_ml	clade_0_0081_ML	64215	0.48	70.07	112	1	1	1	1	1	0	1	5	1	1	1	0	60	0.536	High-quality	94.57	0.0	60	0	ok
ecoli_ml|clade_0_0082_ML	ecoli_ml	clade_0_0082_ML	85651	0.48	68.59	155	1	1	1	1	1	1	1	6	1	1	1	1	107	0.69	High-quality	100.0	0.0	92	0	ok
ecoli_ml|clade_0_0083_ML	ecoli_ml	clade_0_0083_ML	4658	0.47	69.77	11	1	0	0	0	0	0	1	1	0	0	0	0	10	0.909	Low-quality	7.85	0.0	5	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0084_ML	ecoli_ml	clade_0_0084_ML	97325	0.5	60.39	168	1	0	1	1	1	1	1	5	1	1	1	1	118	0.702	High-quality	99.52	0.0	78	1	host_genes
ecoli_ml|clade_0_0085_ML	ecoli_ml	clade_0_0085_ML	64668	0.48	67.31	109	1	1	1	1	1	0	1	5	1	1	1	0	59	0.541	High-quality	100.0	0.0	65	2	host_genes
ecoli_ml|clade_0_0086_ML	ecoli_ml	clade_0_0086_ML	97569	0.49	70.52	163	1	1	1	1	1	1	1	6	1	1	1	1	98	0.601	High-quality	96.18	0.0	75	9	host_genes
ecoli_ml|clade_0_0087_ML	ecoli_ml	clade_0_0087_ML	31314	0.51	95.21	47	1	1	1	1	1	0	1	5	1	1	1	0	13	0.277	Medium-quality	80.99	0.0	34	1	host_genes
ecoli_ml|clade_0_0088_ML	ecoli_ml	clade_0_0088_ML	6202	0.43	76.41	10	1	0	0	0	0	0	1	1	0	0	0	0	6	0.6	Low-quality	10.22	8.47	6	1	missing_core_structural;low_completeness;contamination;host_genes
ecoli_ml|clade_0_0089_ML	ecoli_ml	clade_0_0089_ML	16277	0.49	92.76	30	1	0	0	0	0	0	1	1	0	0	1	0	18	0.6	Low-quality	34.01	0.0	17	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0090_ML	ecoli_ml	clade_0_0090_ML	82492	0.53	75.01	161	1	1	1	1	1	1	1	6	1	1	1	1	83	0.516	High-quality	95.52	0.0	82	2	host_genes
ecoli_ml|clade_0_0091_ML	ecoli_ml	clade_0_0091_ML	41044	0.52	77.52	96	1	1	0	1	1	0	1	4	1	1	1	0	54	0.562	High-quality	93.72	0.0	44	0	ok
ecoli_ml|clade_0_0092_ML	ecoli_ml	clade_0_0092_ML	54204	0.53	80.53	110	1	1	1	0	1	1	1	5	1	1	1	1	65	0.591	High-quality	100.0	0.0	56	1	host_genes
ecoli_ml|clade_0_0093_ML	ecoli_ml	clade_0_0093_ML	26733	0.51	83.59	47	2	0	0	1	1	0	1	3	1	1	1	0	23	0.489	Medium-quality	64.12	0.0	33	0	ok
ecoli_ml|clade_0_0094_ML	ecoli_ml	clade_0_0094_ML	30416	0.52	80.56	60	2	1	1	1	1	0	1	5	1	1	1	0	32	0.533	Medium-quality	66.04	0.0	38	0	ok
ecoli_ml|clade_0_0095_ML	ecoli_ml	clade_0_0095_ML	23427	0.52	88.73	34	0	0	0	0	0	1	1	2	0	0	0	1	21	0.618	Low-quality	29.9	40.97	14	5	missing_core_structural;low_completeness;contamination;host_genes
ecoli_ml|clade_0_0096_ML	ecoli_ml	clade_0_0096_ML	102571	0.49	63.65	183	2	1	1	1	1	1	1	6	1	1	1	1	115	0.628	High-quality	98.22	0.0	92	3	host_genes
ecoli_ml|clade_0_0097_ML	ecoli_ml	clade_0_0097_ML	5830	0.42	73.02	12	0	0	0	0	0	0	1	1	0	0	0	0	10	0.833	Low-quality	8.0	0.0	2	0	missing_core_structural;low_completeness
ecoli_ml|clade_0_0098_ML	ecoli_ml	clade_0_0098_ML	49684	0.49	67.76	87	1	1	1	1	1	0	1	5	1	1	1	0	45	0.517	Medium-quality	79.51	0.0	54	0	ok
ecoli_ml|clade_0_0099_ML	ecoli_ml	clade_0_0099_ML	224496	0.5	66.59	392	1	1	1	1	1	1	1	6	1	1	1	1	200	0.51	High-quality	100.0	0.0	214	14	host_genes
ecoli_ml|clade_0_0100_ML	ecoli_ml	clade_0_0100_ML	50727	0.47	75.71	96	0	1	1	1	1	1	1	6	1	1	1	1	56	0.583	High-quality	100.0	0.0	58	0	ok
ecoli_ml|clade_0_0101_ML	ecoli_ml	clade_0_0101_ML	40425	0.47	68.12	73	1	1	0	0	0	1	1	3	1	0	1	1	44	0.603	Medium-quality	79.65	0.0	52	1	host_genes
ecoli_ml|clade_10_0000_ML	ecoli_ml	clade_10_0000_ML	132955	0.51	64.83	223	0	1	1	1	1	1	1	6	1	1	1	1	117	0.525	High-quality	100.0	0.0	117	3	host_genes
ecoli_ml|clade_10_0001_ML	ecoli_ml	clade_10_0001_ML	154259	0.52	65.86	268	2	1	1	1	1	1	1	6	1	1	1	1	138	0.515	High-quality	100.0	0.0	131	3	host_genes
ecoli_ml|clade_10_0002_ML	ecoli_ml	clade_10_0002_ML	155150	0.51	70.68	273	1	1	1	1	1	1	1	6	1	1	1	1	144	0.527	High-quality	99.4	0.0	163	5	host_genes
ecoli_ml|clade_10_0003_ML	ecoli_ml	clade_10_0003_ML	234329	0.51	71.06	430	1	1	1	1	1	1	1	6	1	1	1	1	226	0.526	High-quality	99.98	0.0	223	11	host_genes
ecoli_ml|clade_10_0004_ML	ecoli_ml	clade_10_0004_ML	162012	0.51	67.93	282	0	1	1	1	1	1	1	6	1	1	1	1	172	0.61	High-quality	99.42	0.0	141	10	host_genes
ecoli_ml|clade_10_0005_ML	ecoli_ml	clade_10_0005_ML	121208	0.5	68.59	208	1	1	1	1	1	1	1	6	1	1	1	1	115	0.553	High-quality	98.86	0.0	87	7	host_genes
ecoli_ml|clade_10_0006_ML	ecoli_ml	clade_10_0006_ML	114667	0.49	70.35	223	1	1	1	1	1	1	1	6	1	1	1	1	127	0.57	High-quality	97.62	0.0	90	6	host_genes
ecoli_ml|clade_10_0007_ML	ecoli_ml	clade_10_0007_ML	147339	0.48	66.36	262	0	1	1	1	1	1	1	6	1	1	1	1	157	0.599	High-quality	99.07	0.0	106	14	host_genes
ecoli_ml|clade_10_0008_ML	ecoli_ml	clade_10_0008_ML	97028	0.49	65.77	182	1	1	1	1	1	1	1	6	1	1	1	1	124	0.681	High-quality	96.28	0.0	83	4	host_genes
ecoli_ml|clade_10_0009_ML	ecoli_ml	clade_10_0009_ML	65856	0.48	61.7	106	1	1	1	1	1	1	1	6	1	1	1	1	65	0.613	High-quality	95.3	0.0	39	3	host_genes
ecoli_ml|clade_10_0010_ML	ecoli_ml	clade_10_0010_ML	67124	0.48	73.19	127	1	1	1	0	1	0	1	4	1	1	1	0	70	0.551	Medium-quality	88.96	0.0	55	2	host_genes
ecoli_ml|clade_10_0011_ML	ecoli_ml	clade_10_0011_ML	66787	0.47	62.02	125	0	1	1	1	1	1	1	6	1	1	1	1	76	0.608	Medium-quality	87.91	0.0	55	4	host_genes
ecoli_ml|clade_10_0012_ML	ecoli_ml	clade_10_0012_ML	73000	0.48	63.85	142	0	1	1	1	1	1	1	6	1	1	1	1	90	0.634	Medium-quality	88.73	0.0	50	4	host_genes
ecoli_ml|clade_10_0013_ML	ecoli_ml	clade_10_0013_ML	255419	0.51	71.87	426	1	1	1	1	1	1	1	6	1	1	1	1	234	0.549	High-quality	100.0	0.0	225	11	host_genes
ecoli_ml|clade_10_0014_ML	ecoli_ml	clade_10_0014_ML	82521	0.48	64.08	146	1	1	0	0	1	1	1	4	1	1	1	1	90	0.616	High-quality	94.31	0.0	57	4	host_genes
ecoli_ml|clade_10_0015_ML	ecoli_ml	clade_10_0015_ML	72158	0.48	64.93	140	1	1	0	0	1	1	1	4	1	1	0	1	80	0.571	High-quality	90.6	0.0	72	2	host_genes
ecoli_ml|clade_10_0016_ML	ecoli_ml	clade_10_0016_ML	232886	0.52	70.23	386	2	1	1	1	1	1	1	6	1	1	1	1	194	0.503	High-quality	99.96	0.0	212	8	host_genes
ecoli_ml|clade_10_0017_ML	ecoli_ml	clade_10_0017_ML	93956	0.48	65.04	178	2	0	0	0	1	1	1	3	1	1	1	1	123	0.691	High-quality	94.65	0.0	65	4	missing_core_structural;host_genes
ecoli_ml|clade_10_0018_ML	ecoli_ml	clade_10_0018_ML	83638	0.53	73.35	140	1	1	1	1	1	0	1	5	1	1	1	0	67	0.479	High-quality	95.03	0.0	81	6	host_genes
ecoli_ml|clade_10_0019_ML	ecoli_ml	clade_10_0019_ML	97350	0.53	77.69	184	0	1	1	1	1	0	1	5	1	1	1	0	86	0.467	High-quality	100.0	0.0	113	2	host_genes
ecoli_ml|clade_10_0020_ML	ecoli_ml	clade_10_0020_ML	64838	0.54	75.07	115	1	1	1	1	1	0	1	5	1	1	1	0	56	0.487	Medium-quality	89.45	0.0	69	3	host_genes
ecoli_ml|clade_10_0021_ML	ecoli_ml	clade_10_0021_ML	69440	0.54	77.15	117	2	1	1	1	1	0	1	5	1	1	0	0	62	0.53	Medium-quality	89.8	0.0	63	5	host_genes
ecoli_ml|clade_10_0022_ML	ecoli_ml	clade_10_0022_ML	86764	0.46	65.82	169	1	0	1	1	1	1	1	5	1	1	1	1	108	0.639	High-quality	100.0	0.0	59	2	host_genes
ecoli_ml|clade_10_0023_ML	ecoli_ml	clade_10_0023_ML	61329	0.54	74.1	107	1	1	1	1	1	0	1	5	1	1	0	0	52	0.486	Medium-quality	86.35	0.0	71	4	host_genes
ecoli_ml|clade_10_0024_ML	ecoli_ml	clade_10_0024_ML	87188	0.48	70.72	156	1	1	1	1	1	1	1	6	1	1	1	1	93	0.596	High-quality	94.0	0.0	56	7	host_genes
ecoli_ml|clade_10_0025_ML	ecoli_ml	clade_10_0025_ML	89067	0.49	75.06	159	1	1	1	1	1	1	1	6	1	1	1	1	98	0.616	High-quality	100.0	0.0	75	1	host_genes
ecoli_ml|clade_10_0026_ML	ecoli_ml	clade_10_0026_ML	78907	0.54	73.95	133	1	1	1	1	1	1	1	6	1	1	0	1	75	0.564	High-quality	94.51	0.0	66	4	host_genes
ecoli_ml|clade_10_0027_ML	ecoli_ml	clade_10_0027_ML	86203	0.54	73.94	150	0	1	1	1	1	1	1	6	1	1	1	1	74	0.493	High-quality	95.67	0.0	94	1	host_genes
