cohort_order	assembly_id	accession	tip_id	biological_host_unit	exact_sequence_class	near_duplicate_class	representative_tip	representative_distance	placement_status	frozen_clade_id	clade_evidence	nearest_neighbor_tips	nearest_neighbor_distance	sampling_partition_k16	sampling_medoid_tip	row_sha256
11	asm-v1-32657c3828727c905b63ff98	GCF_015548345.1	GCF_015548345.1	exact_assembly_revision:GCF_015548345.1	EX0011	ND0011	GCF_015548345.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_900481955.1	0.00458956	L013	GCF_900481955.1	8828f070f52a73d343b68ddcdf967f32cbd128a2f90b515cb67d8b54761ed9b2
12	asm-v1-4ece359b58a18776b323b359	GCF_019926545.1	GCF_019926545.1	exact_assembly_revision:GCF_019926545.1	EX0012	ND0012	GCF_019926545.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_003686895.1	0.00294054	L003	GCF_013391275.1	9f3f8fe0d5b2847f2f6b41da661fe5991115030314f23726340cc1a760d22afb
13	asm-v1-3747cc3492718981db97affc	GCF_001614385.1	GCF_001614385.1	exact_assembly_revision:GCF_001614385.1	EX0013	ND0013	GCF_001614385.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_004664255.1	0.00462085	L003	GCF_013391275.1	b5d310ea1d1d24940c459d314fe7c6de469631aa1e344c1daed13c451f2be0e6
14	asm-v1-719530b887dfd205060a628f	GCF_015551035.1	GCF_015551035.1	exact_assembly_revision:GCF_015551035.1	EX0014	ND0014	GCF_015551035.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_000326185.1	0.00227651	L012	GCF_000807565.1	583126e68187a6323c5b7fe0f6074a76b0d1b191a442e2fd1da93383e0d07866
15	asm-v1-c27bf914b89e27d0dc27992c	GCF_021354235.1	GCF_021354235.1	exact_assembly_revision:GCF_021354235.1	EX0015	ND0015	GCF_021354235.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_021353995.1	0.000153116	L003	GCF_013391275.1	3ae623fcd3589192e0c95d85529b20a3ac942f63783d7fb7f2417cd56635923d
16	asm-v1-929d3c84ca2e4a11e790b999	GCF_002485085.1	GCF_002485085.1	exact_assembly_revision:GCF_002485085.1	EX0016	ND0016	GCF_002485085.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_020023255.1	0.00689587	L003	GCF_013391275.1	20223fcdd0d397f621922a112ecb216cf55365eb5ca8050cec2a3cf4ea41e78c
17	asm-v1-331be33613f5ee0144844f5c	GCF_014712315.1	GCF_014712315.1	exact_assembly_revision:GCF_014712315.1	EX0017	ND0017	GCF_014712315.1	0	SUPPORTED_FIXED	HC004	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_001561835.1	0.00347214	L012	GCF_000807565.1	4c855f62cc28ddb5bc7ec8ae202f8f3eb6a204d90649d30072d8e875c7584982
18	asm-v1-f36d786b0ab3775223cf3d16	GCF_019120745.1	GCF_019120745.1	exact_assembly_revision:GCF_019120745.1	EX0018	ND0018	GCF_019120745.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_003009315.1	0.00594915	L003	GCF_013391275.1	d58ce7e0847e6b9cfeae57438aadc9d90beaed3a680e5014f8b7d1db932554b8
19	asm-v1-b7796a1fc230ab9bd7633b94	GCF_006350715.1	GCF_006350715.1	exact_assembly_revision:GCF_006350715.1	EX0019	ND0019	GCF_006350715.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002327045.1	0.00105035	L003	GCF_013391275.1	bb16378f301d8796581859d6f839306f50492b8375ae95c8a9cef01118a61a55
20	asm-v1-97a929e91ce540241ff20371	GCF_002522525.1	GCF_002522525.1	exact_assembly_revision:GCF_002522525.1	EX0020	ND0020	GCF_002522525.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002511355.1	0.00480339	L003	GCF_013391275.1	028cf3b0619709d5fe15dc5800317bb4e425733ec8ffb14c1f3a125de91204e6
21	asm-v1-0bdf5b05c650023990a68d2d	GCF_018790115.1	GCF_018790115.1	exact_assembly_revision:GCF_018790115.1	EX0021	ND0021	GCF_018790115.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_013374315.1	0.00497183	L003	GCF_013391275.1	e395a6877ebf6fd48d05ba05809f46fcb80fa68cc30c1b0bd6c19aea6a1b6ee7
22	asm-v1-1e2c548ce4eee4bbd7812d4a	GCF_002442365.1	GCF_002442365.1	exact_assembly_revision:GCF_002442365.1	EX0022	ND0022	GCF_002442365.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002796445.1	0.0021484	L003	GCF_013391275.1	41442540648381ede89499e2e3a61f40b9215d5e128c3ab6c73dc843f1e6a30b
23	asm-v1-faddf0606460939e473ac2c5	GCF_005885955.1	GCF_005885955.1	exact_assembly_revision:GCF_005885955.1	EX0023	ND0023	GCF_005885955.1	0	SUPPORTED_FIXED	HC002	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_000462425.2	0.000141101	L008	GCF_002806795.1	a1c757487e9fd1524b03d2d6f1352737d97144111f8f2d0bdc2b45121e28182f
24	asm-v1-90293848c2351417f7baaa74	GCF_002513075.1	GCF_002513075.1	exact_assembly_revision:GCF_002513075.1	EX0024	ND0024	GCF_002513075.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002225785.1	0.00475916	L003	GCF_013391275.1	5b4207cf8bd65f8a349ba0e491f30af8e6e67f5fdbf2aa198a2cb5689d42fce8
25	asm-v1-3b4342f24d54b3c1a9b84d48	GCF_902810185.1	GCF_902810185.1	exact_assembly_revision:GCF_902810185.1	EX0025	ND0025	GCF_902810185.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002232595.1	0.00338142	L011	GCF_009910875.1	a802e13d1679fd264dc0098fd557776d8c158938aae2dfcbf33417791def4b89
26	asm-v1-0beedef08535e20c4790e6bb	GCF_005043025.1	GCF_005043025.1	exact_assembly_revision:GCF_005043025.1	EX0026	ND0026	GCF_005043025.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_001263015.1	0.000735726	L003	GCF_013391275.1	2fd68a3bcc26743aa7df3eacca77c4f7fe0a8474a021648634ae58ff45ae7588
27	asm-v1-48766683d6315460b4013353	GCF_017595115.1	GCF_017595115.1	exact_assembly_revision:GCF_017595115.1	EX0027	ND0027	GCF_017595115.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002154285.1	0.00440918	L013	GCF_900481955.1	c87826691803558aeb90dba2e26024990903b724393ecdb4aabc28c37a44672d
28	asm-v1-b71c4a8ef90f7c49f5f8d546	GCF_014528625.1	GCF_014528625.1	exact_assembly_revision:GCF_014528625.1	EX0028	ND0028	GCF_014528625.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_014529055.1	0.000941429	L003	GCF_013391275.1	a31ea548e1a3928f380817fa2e5758a1d327fada55b36a440e6e7e1296fadc5c
29	asm-v1-31cd9173370fa4123f9ea13b	GCF_008041205.1	GCF_008041205.1	exact_assembly_revision:GCF_008041205.1	EX0029	ND0029	GCF_008041205.1	0	SUPPORTED_FIXED	HC005	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_000459475.1	0.00154832	L009	GCF_001520375.1	b8ffcf7d7bd04389676275582cae5ac65f7a6eb26a1c0a7348856acf19ba18db
30	asm-v1-b419079f0ccf7758946a758e	GCF_009820795.1	GCF_009820795.1	exact_assembly_revision:GCF_009820795.1	EX0030	ND0030	GCF_009820795.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_019120745.1	0.008818	L003	GCF_013391275.1	b52b2fecc61c962691ffb6aa192ec18e46fe68b5c741e3a930398188eda1b91c
31	asm-v1-9416d74da50a26741c416d3a	GCF_900479385.1	GCF_900479385.1	exact_assembly_revision:GCF_900479385.1	EX0031	ND0031	GCF_900479385.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_001749385.1	0.00535911	L003	GCF_013391275.1	d6e0606b665c64941bad0127450b2c1749ed2fbe64f181f09ed1b49d4630b2bf
32	asm-v1-b269b6f553a373270f84ba18	GCF_004767475.1	GCF_004767475.1	exact_assembly_revision:GCF_004767475.1	EX0032	ND0032	GCF_004767475.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_020023255.1	0.00434123	L003	GCF_013391275.1	5c4c8b1000ef9018ff380681c77cd9ec86609e524c647668cb12bbb0465265a1
33	asm-v1-996e1b56b7867eb75e7abe84	GCF_002519245.1	GCF_002519245.1	exact_assembly_revision:GCF_002519245.1	EX0033	ND0033	GCF_002519245.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_000446825.2	0.00478126	L003	GCF_013391275.1	9a61eed934be390c305f76b430883e4d35ba37c538e9f7b2d53adc9abb6b6c0f
34	asm-v1-9f93da8d24e49c1bd9dc1bfb	GCF_015644305.1	GCF_015644305.1	exact_assembly_revision:GCF_015644305.1	EX0034	ND0034	GCF_015644305.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_005397685.1	0.00402957	L004	GCF_015163255.1	b644786e5d3f0fc261a891cdf85f9b72feb5efe0c31b942cf11302e80f20e4e7
35	asm-v1-9bf79301d532e473a6d4d15e	GCF_001616285.1	GCF_001616285.1	exact_assembly_revision:GCF_001616285.1	EX0035	ND0035	GCF_001616285.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_015163255.1	0.00286956	L004	GCF_015163255.1	40e4d3f9f9d5968b730015b7408def96b656ffd8eb030f7eafe7662b8c59fa82
36	asm-v1-7f24d9da61537a483a8edeb9	GCF_001614645.1	GCF_001614645.1	exact_assembly_revision:GCF_001614645.1	EX0036	ND0036	GCF_001614645.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_905330295.1	0.00615579	L003	GCF_013391275.1	fd9737f32f8c37d0dc30b2ca56e8b846a2b95db2b6eacdf714b45f2e42875f3b
37	asm-v1-27d405b112a56b6388ddbef4	GCF_013370625.1	GCF_013370625.1	exact_assembly_revision:GCF_013370625.1	EX0037	ND0037	GCF_013370625.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_020731765.1	0.00650307	L003	GCF_013391275.1	ef5a5b83220a1a323d0218e00c5421c2ca02c48108c1aae51b64ca646b28c96d
38	asm-v1-1373daf306e4c70962bf7651	GCF_013608825.1	GCF_013608825.1	exact_assembly_revision:GCF_013608825.1	EX0038	ND0038	GCF_013608825.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_013608265.1	0.00388479	L011	GCF_009910875.1	9619293b8f2a2fc22c1cd6763ec5c6d2cf138fe8da8fe5ab4319b87c94ef9de2
39	asm-v1-566c3eb2b8feeeb03a029d05	GCF_005043625.1	GCF_005043625.1	exact_assembly_revision:GCF_005043625.1	EX0039	ND0039	GCF_005043625.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_004661505.1	0.00231761	L003	GCF_013391275.1	1c6fd7d32b3be12aaaff6acbdefb7bc3ffd1e6feab99385fdb3eb3b576b23837
40	asm-v1-d8e1422596935b944b73500f	GCF_902163565.1	GCF_902163565.1	exact_assembly_revision:GCF_902163565.1	EX0040	ND0040	GCF_902163565.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_005397685.1	0.00178311	L004	GCF_015163255.1	997169437a00fdddf096b2646c28fa9d3a8c150f120646c3e01fa983b53bfa02
41	asm-v1-62a4d2082d3f90d6cb5304ca	GCF_006351505.1	GCF_006351505.1	exact_assembly_revision:GCF_006351505.1	EX0041	ND0041	GCF_006351505.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_006351305.1	0.000720777	L003	GCF_013391275.1	f87bbafa170d130b7f2be6ac9026129f2e14cff85a5d281f960c4f52240cf913
42	asm-v1-4fad43b6b8ac2a5931873b95	GCF_005039315.1	GCF_005039315.1	exact_assembly_revision:GCF_005039315.1	EX0042	ND0042	GCF_005039315.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_900482245.1	0.00594242	L003	GCF_013391275.1	ce4937ae9fa97c20a35d65b8fcad4018b1a099be50f9950c2a335bdba3d7d377
43	asm-v1-ef21b6ec0b8c832cbedc2d93	GCF_005384385.1	GCF_005384385.1	exact_assembly_revision:GCF_005384385.1	EX0043	ND0043	GCF_005384385.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_005383085.1	0.00171947	L010	GCF_003317605.1	9bed63fc0a6d5bfb7557767c3285cca2f258aef082dffe7e8d69fee0f97e2722
44	asm-v1-dcfffc170c5656770532cfc6	GCF_016530465.1	GCF_016530465.1	exact_assembly_revision:GCF_016530465.1	EX0044	ND0044	GCF_016530465.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002166175.1	0.00166662	L012	GCF_000807565.1	b0478fc7a1dbdcfccf3c28075eb5fa0c03dc4821240ac9939b7a20b59f51ec0b
45	asm-v1-9791d16f22febb6a4da01cdc	GCF_002152015.1	GCF_002152015.1	exact_assembly_revision:GCF_002152015.1	EX0045	ND0045	GCF_002152015.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_005508755.1	0.0039842	L003	GCF_013391275.1	ba0f7297c95c6c9f9d27ea3c90e2755d0fd841a08fc3bf2b0b23a0319cd3b4e1
46	asm-v1-0e401af1329ee20675b75db8	GCF_018344735.1	GCF_018344735.1	exact_assembly_revision:GCF_018344735.1	EX0046	ND0046	GCF_018344735.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_009794305.1	0.00615239	L003	GCF_013391275.1	f36bb90d0093476aaa1efff924c7f6b853ed4acd495c4ba5a932a3e84ea1e128
47	asm-v1-f8561f5b15e76623fe00d768	GCF_002513625.1	GCF_002513625.1	exact_assembly_revision:GCF_002513625.1	EX0047	ND0047	GCF_002513625.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002631495.1	0.00506466	L003	GCF_013391275.1	210a57d34189fc363d6b189d501d534e4a4762370d59358451d6d34144e1ae6d
48	asm-v1-9f5f3eeb65f0f80afca90db7	GCF_002229025.1	GCF_002229025.1	exact_assembly_revision:GCF_002229025.1	EX0048	ND0048	GCF_002229025.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002109645.1	0.0116796	L012	GCF_000807565.1	cce76a532cf9ceed6a4272f9adc68e877775b25b104cae8f7edd252b2932b9bf
49	asm-v1-143198d8a00e3d1908061cae	GCF_000778685.1	GCF_000778685.1	exact_assembly_revision:GCF_000778685.1	EX0049	ND0049	GCF_000778685.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002166175.1	0.00121381	L012	GCF_000807565.1	0b399210517daac36b86a6e317c39a34aebcf416b418235e58d3f7e0332917dc
50	asm-v1-26091108e767413baee190a2	GCF_020037245.1	GCF_020037245.1	exact_assembly_revision:GCF_020037245.1	EX0050	ND0050	GCF_020037245.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_001617075.1	0.00812554	L003	GCF_013391275.1	d7a8ace7e310dcca617bae2f89137ee8d0d1586b82c10064620525984416e205
51	asm-v1-1009a57e9d5acb3b90d6791b	GCF_003731035.1	GCF_003731035.1	exact_assembly_revision:GCF_003731035.1	EX0051	ND0051	GCF_003731035.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_003731535.1	0.000783157	L003	GCF_013391275.1	b821931ad62af3646fdee01f788ac3ed19bb6ec361c28a3085143605a4146f96
52	asm-v1-c5fbc3318d26f8606d4ee374	GCF_000326585.1	GCF_000326585.1	exact_assembly_revision:GCF_000326585.1	EX0052	ND0052	GCF_000326585.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_018069725.1	0.0039299	L012	GCF_000807565.1	a5f87f15e22e6c6ef2501e565a7f470e3c9d365be48dab51bc0b829bf4fa75c0
53	asm-v1-076733fb9cacde0985dcd995	GCF_000780535.1	GCF_000780535.1	exact_assembly_revision:GCF_000780535.1	EX0053	ND0053	GCF_000780535.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_014895175.1	0.00258299	L003	GCF_013391275.1	4f392be243749a50c6a0ac6e0c10bce350453fb21a803cbf2612a49e81506340
54	asm-v1-9577d304b0441e1eebff2e03	GCF_003570445.1	GCF_003570445.1	exact_assembly_revision:GCF_003570445.1	EX0054	ND0054	GCF_003570445.1	0	SUPPORTED_FIXED	HC004	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_016760895.1	0.00255237	L012	GCF_000807565.1	1f8d70b40186a2ca5fcfcd7458e82807e2f94c1aec0a2f817c819d62b83a7d31
55	asm-v1-0d112d76668f2ca96d2d62e5	GCF_000447005.2	GCF_000447005.2	exact_assembly_revision:GCF_000447005.2	EX0055	ND0055	GCF_000447005.2	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_001286545.1	0.00446186	L003	GCF_013391275.1	fdcd5c318c420339824e56eecce343b64831147a008f752c8f913cdafe7a4bec
56	asm-v1-651bbd15909672553530f486	GCF_013073765.1	GCF_013073765.1	exact_assembly_revision:GCF_013073765.1	EX0056	ND0056	GCF_013073765.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_000714105.1	0.00467416	L003	GCF_013391275.1	02340a1f83b20c2627a90a53c93889e9f707f5bbe6d3ac1c66b548e75995452c
57	asm-v1-d23ad41de9f39edda98054bf	GCF_005041275.1	GCF_005041275.1	exact_assembly_revision:GCF_005041275.1	EX0057	ND0057	GCF_005041275.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_005043025.1	0.00136337	L003	GCF_013391275.1	1c20d3c07472eeaae851073512a34ff5b348998f5f6461bf78b45c3dbb2fcf8a
58	asm-v1-78de2c22a7d89d63d5d4271a	GCF_014862465.1	GCF_014862465.1	exact_assembly_revision:GCF_014862465.1	EX0058	ND0058	GCF_014862465.1	0	SUPPORTED_FIXED	HC005	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_014862705.1	0.00343111	L009	GCF_001520375.1	a399f40718a16893070a4facd6f9bdb2957675457f1aa932cdcb610658735d15
59	asm-v1-1ed2c2f97484422a21c26931	GCF_900195795.1	GCF_900195795.1	exact_assembly_revision:GCF_900195795.1	EX0059	ND0059	GCF_900195795.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_017594025.1	0.00805386	L003	GCF_013391275.1	8b37eedba6062a15767b3abb2528b56931030daa82e8416e7abda47e1158499c
60	asm-v1-18ed471aa5e0a0b0ce6eaac3	GCF_014878375.1	GCF_014878375.1	exact_assembly_revision:GCF_014878375.1	EX0060	ND0060	GCF_014878375.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_004566835.1	0.00108596	L010	GCF_003317605.1	bfe06a163b8bea6121e3ad6e6ee066267a8f85ac2912a54e42ddc14a281166a7
61	asm-v1-336f2acfbe62b7b1a4830ea5	GCF_921293415.1	GCF_921293415.1	exact_assembly_revision:GCF_921293415.1	EX0061	ND0061	GCF_921293415.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_000753155.1	0.0033377	L003	GCF_013391275.1	93d99d21dcb72ed8ee0637ba1b0cf8a463597b85fac89488b3a47822ac3fa2f5
62	asm-v1-bddc1aaccbace0b2820ff83b	GCF_006229985.1	GCF_006229985.1	exact_assembly_revision:GCF_006229985.1	EX0062	ND0062	GCF_006229985.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_006230745.1	0.000559703	L004	GCF_015163255.1	48e783ddb25fdf7b561a188b7791cea5cd612718aec04f431b4681ec9a8c5bc4
63	asm-v1-933e0d1ae268d9a3995122ec	GCF_005045505.1	GCF_005045505.1	exact_assembly_revision:GCF_005045505.1	EX0063	ND0063	GCF_005045505.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002144185.1	0.00107832	L003	GCF_013391275.1	7055878fd6103981e32d04f9ed36a5d5e48675b4aeda1ec0d508a737db35b16a
