cohort_order	accession	tip_id	eligible	contig_count	total_bases	n50	ambiguous_bases	content_sha256	sequence_only_sha256	bgzf_sha256	pansn_name_roundtrip	view_path	row_sha256
25	GCF_902810185.1	GCF_902810185.1	PASS	2	5021047	4999711	0	57b8ffc87b315ee95b8317e58fe80628a403f08c2859c2bd47557a12f9f370b7	d8b394175f2690ef7f9688505e9768144b2769faa61f70520997a9d6a9d1686f	f8dbe9973ba5dc441f827879af34b7652c6705c2f564a82ee4b60ebd19232abb	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_902810185.1.fa	f7689b2a6eebfa2d5cb29bbd7461939ddd11053359115f6e6c97c85b678dcb64
26	GCF_005043025.1	GCF_005043025.1	PASS	120	5200889	133733	0	82e9bbc93e74f2e48201b2827018ad981d3607868a49829e85809ec88d488795	f955acf37d72e6c286593ee70cdecbe7ede56cff6da06d8e1d8f31b0b2b43323	b98522e432814ce264810feaa0c499557e25a0db094c715aece2c93a7d598267	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_005043025.1.fa	31f2db44f1d2d8d89193c158db55d8c35612cf2cf7c3a801b05ad21d5c308fbe
27	GCF_017595115.1	GCF_017595115.1	PASS	293	5273534	58385	0	f80175055b1aec1b80f33dd754e6f65c00babc6e1d599d88f313ce6e4cf3cb28	852054e97de7646589be2f87e21c289aee2331b1ec34c2951b42d0e820371853	28a94137304dad6b35dd108ea487afa4e5db67c00f05ff07ea11aff59ac2f56d	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_017595115.1.fa	a0048739f624623d45cb48d33d574c4ba93d92b03d44753a42fc0bc233268284
28	GCF_014528625.1	GCF_014528625.1	PASS	196	5185791	84466	408	a9c79c7756bbbe6c9d516a81a7a9c9e01798ecc3b519afb6bfbd62a13efb4d37	ad263137977c100db4a4d017a240129b9100faa417e9296d2a283f55303fc020	a68ae366c43c0b8854cd0f0280f49651d5c0830a439f4a0ee85451a87aaa5005	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_014528625.1.fa	aa197fb98fd4ac71bf9030f3f49929876a6348facfd9f55b08e8c62075f37fd4
29	GCF_008041205.1	GCF_008041205.1	PASS	171	5323000	151445	0	2b386be3ad5eea4c27011c9668fb08d357d2714a5a667cfb9ef4c52de9aae8f4	1ce6faf922c546c0c8f033200427e3a11f40dd5050c61150570602c925602bdd	415a15651b1ee4264fd88de1822a378ac314b5a222dbe62fa3812c4b855694f1	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_008041205.1.fa	140c2fa4fbc61d36c9b3ca48fd7bfa44636378d7065ceda3b7e478f7495cca48
30	GCF_009820795.1	GCF_009820795.1	PASS	86	4872729	192282	0	bc53fcc78affe56ca2146d668141916f1349330bb9e0b27b442b90baf1656aea	d97ffe7d4eb8140a9ca9cf70eae1a6e12582284ad98f25ff125e45bf4fc0163b	90ab7b2dd5afb8cca83826c32bc5b7532fb802be776a631e42d3a901285241d7	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009820795.1.fa	c7b543f0af87e9281e1ad888672bd2051b1574907bfe89f77ad631af08b08c1f
31	GCF_900479385.1	GCF_900479385.1	PASS	45	5030265	294478	122	c551cf1da2405f62e44b53e93cfe9ee40f85f241b83866b933b52359d8c0a869	774c3c5fff4fdebc5a5e270883da593a54bab0ca9be65878f5dac87581ea1132	4ba4b077daf2f9fe4c2980212959262c63a87735f58fd0dd466194d194f97ca5	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_900479385.1.fa	ae3f2c5694cb780946036859c14aef3582d6dc13c34e5ed76dff068d801bf008
32	GCF_004767475.1	GCF_004767475.1	PASS	119	4664051	210554	0	3ef6ce6b827b7147031b92f3a9f5d7edc78499298a25e9c82b91cefaec4649a4	ff9d84301f7b9a1c728b0aa5ae78a42c490035cd56e8cf81a2b0761ae7433bb7	980536f0bd66b1a7a19e3ee9f8612491357ee3dc36f602e2ed8f4cd659fdd57d	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_004767475.1.fa	98afcde3c626e04f5a41040c06dd8a514de228f914d59440d090d89a16e590f9
33	GCF_002519245.1	GCF_002519245.1	PASS	270	4985995	46586	0	9552fcf9b74e14286e0b53a3380d7abf5650c69a8dc65867692e188f5d7c50f9	6f1c4201baa1a8cc06c9d1698bae1bff238a343f411fb82a516f4b2356fb0593	d8d9dd680ae8b000440e7575167f8d8f53fd3703eafee8c9a9d231d6af5e9a36	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002519245.1.fa	2b9a1351edc2bc517eb1068f0b75f233954b31faccd825ac61f24a7034d76b39
34	GCF_015644305.1	GCF_015644305.1	PASS	135	5354871	155738	0	3eac5080b5ae12c2155e2df58eb0ae2c4705d03417719d7dfc7d1856d4a7e6c8	0496580a8b989283c07caa4bd4adac09f7c018fba9de977885746c43902d3a71	28acf784ebb3d9b896a7a7f10f6b32b202e977884a24decf2faf1d9e53594c42	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_015644305.1.fa	d1089df737ba656435c28a7834874bbdb0d33b3f74b88f60b9afcadb3e265180
35	GCF_001616285.1	GCF_001616285.1	PASS	109	5225138	132028	25	5dcb4d76674c4c65f6edf52aa3cca8f79c3d767bf47634a3fb427377a98759c7	bf244da921cb451475bdc2ec59006894f2709085d5a02e46471bcdd2f9d0d8b2	bd9886a937b48adc685b384d69e17f4d8700573b207402739bd28a34790e51a0	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001616285.1.fa	e1564a30d6f4df32a061680b548b9637f13bb00b61405b988037a8423be0f6ca
36	GCF_001614645.1	GCF_001614645.1	PASS	68	5137717	214914	86	4ac3ad27fef263f6615680575f35729e724d177787b6d24c83fc8e28af88cf7a	5f936f96d82803ccfd2f3e1625586b21b55764d4066cde95f14da084eb241097	3729162a13aeaa0427481b5cb697bae17e4620b3218d31e216a19461e1f3226d	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001614645.1.fa	eb6337a0f1aa9d7344c6680d394a91e57fc6363db5805c45ecddf835438986c6
37	GCF_013370625.1	GCF_013370625.1	PASS	243	5057346	100361	0	ed174136b2380e8e63b6f00fa69a87887e0e77ca6e65c4de7fc1cfe5e9161fcd	d1c4d1f5dbd4137c3de3a206f637a6937f40a26f32275491c88f6e57f087037f	4b8c0c393b3d93b0b54474d85aa5ee90f42083a74a12894051179e204bbf3ef6	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_013370625.1.fa	251d14a270b978b5a1b3e9c52df082f1643015f341822a342c2627f84d5c3a55
38	GCF_013608825.1	GCF_013608825.1	PASS	895	5661677	60752	0	00e689a745be7b6cd981ffbdebc95b417578acced5879cb3a0524ec9997da7b1	3525f4dfc26c771012f717d188975d19ba164bce4fc1c9aea016ce8118ed1000	e96db9f92238687738b13019f80d0f5b59eba9bfedc9ec079834abf1c5bb3c58	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_013608825.1.fa	d9bf72ec646218556876cd8e175737393e8623ed96d1ab607c63e9ed89a64940
39	GCF_005043625.1	GCF_005043625.1	PASS	143	5247426	101206	0	61d0e151988a02410e532d4f8712c67ec94fc51d14e985a081029fbe52d33446	135d8cae3942bd3e2ba023f69c53cd44caa1f32eb972bb22aeaab5388b57a905	33555c084910c9bff0a001652875a3f73b821f44fed3b896c1d4a658695490d7	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_005043625.1.fa	036a078fbcf66d8aaf430c226bdf9f86e4c5a66587346fe997ea5433c0ac8b87
40	GCF_902163565.1	GCF_902163565.1	PASS	209	5167787	163490	443	8f7413f8aaa8ca25cca7bfee445210e577631f85a684fcebe337a58e29bce745	9d4b5461c70d5ff6811489d805cc390cd43630e73ca9a0d9d27f18f6ba1780a5	901f6c75f04238de0bcd2967708e047d6144920cc1b2be86894115101b6327c5	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_902163565.1.fa	3964ae9c0fc6b6db24ed3d9952fabfab67ad8009eeb7015126420d64f7731415
41	GCF_006351505.1	GCF_006351505.1	PASS	558	4644516	16830	7	2bad354c45ac1025b88da5218c71ff44d5b7543830975d6a49f877449489b565	f91e6637290a8665dded2a000e7060e3952caf87ca4ab275dfe86dca239d45ad	323fafbffd12600d86fc44c354b74447e84fb7a8fdc700ce1634db852f183302	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_006351505.1.fa	d6db1a0c228e15eecb71fbf5492a22ddc0e5cd7e16106a91eac262fc9fdba95f
42	GCF_005039315.1	GCF_005039315.1	PASS	117	5052530	151645	0	0798afc80646774c596c0d89465b8fe96e2f7635ba2ac3edbb380e73a2c52d9e	4e6310e373bb49037232993753ba2fa30c9a5d86d9f4f2758c714a0f42812432	2b87d1d12b421e62e04f1d6d3102b7d70dc7e4a793f5719744fefd7ac0bf5363	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_005039315.1.fa	f1cac2a5ea8b35e138bcb106838d626113f3212d4f9ce4407a477e64fa4d9d3b
43	GCF_005384385.1	GCF_005384385.1	PASS	70	4983353	531599	954	031c9100e875e7e94b8b31282cc387f773a6eb551ea98655de9e69d7b4e7f3dc	c7661b2834060a69a4741a2115c4c9d3099cfaebdf81739d55828624a94bcf86	ca8423a7e98c917c4e8b32a899183e242f5cc1a09b0a932af6836ea2d9dcaf0c	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_005384385.1.fa	06c6fef5dcb17e1beaa8754f630c1bb2f1d71932e8a498ecc5a99d578c459244
44	GCF_016530465.1	GCF_016530465.1	PASS	89	4939634	164287	0	b707e6aeacb8a1955ef91282db6bc6587a2977e27a6cf931a6225a3cb5844b04	973143974932702723973ef9683357b0a05b25129a07faed0876a770bc124f04	d87ccf4c783d319040e50c7d3f00c984c4bc9abdb9736a5ba678a28223ee4eb8	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_016530465.1.fa	5f27854f20d2f42ff48b7ab9dde5efa28f65d1f721aad9d690aa7b4e0a02ed9b
45	GCF_002152015.1	GCF_002152015.1	PASS	21	5051955	3282949	155965	3884a382474c6e7ab341a9414f2465b754915974b0a19dc7ca8a0bb4eff0c895	e2a1295b3b653e6a437b35ec2a22b38b60a8c0d653ceaad5e3c31b14dafe9aa0	906eaa921bd9444645b705805a0d2180ae6c8129a4133a5841620c34ea29afc6	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002152015.1.fa	4d10721d2880c0d96a9e36b0b18a67ba4e1f3df647248955bd424b0e518e27ba
46	GCF_018344735.1	GCF_018344735.1	PASS	105	5170649	251014	0	245e6e9eeb951604de77d53fad002feeb824b797761aad11b1ee1d3453e0b477	2b3810ab82bc6452a1d47852551518976c8fc1db4897158993843624a13483fe	aa5d22ecb540ff5010b25ddc4ae760501e4b346477464caf65707c94598f4c3d	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_018344735.1.fa	9de968bebe2c4647b2e747aa18e5af0ae5c661cceb4a42637daf8b38a4bf279e
47	GCF_002513625.1	GCF_002513625.1	PASS	83	4979652	271695	0	e42359ddd3dc39b31065439eeb744563f40eba2b5116b25f317de65f57be6421	e68ce0eb482ebd1bed56ebe098271887f64efcd45276f3f1bdbae25e005b7603	ed3fda238850c21a5812f094da8e40b1a25787911470ab791d9ba8ba77ba5d2b	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002513625.1.fa	bce5d2ba1c18598d8120509bd8426ddce161664bc140f7ad668a04ca3d0d3451
48	GCF_002229025.1	GCF_002229025.1	PASS	172	5114588	118984	0	dd5bd2fa1a7768ab6697ebc9ee9b246f1f0dc34866f96973af7486ba18a71220	781e9de117142e3ec80c5dc1d35b6f3b40880a642214571774d19fa702230e59	734a84dfa8f08149fbf1fec0e3bd8e79b49f3d35e23529232137b80fcb784c0b	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002229025.1.fa	d455f780a298a8291089d9a1e5fcfa1a9842b638a960f7298c5722973fbcabc3
