sampling_partition	lineage_id	medoid_tip	member_count	selected_tip	selection_roles	cohort_order	row_sha256
host_genetic_k16	L004	GCF_015163255.1	39	GCF_011077775.1	QC_FRAGMENTATION_EXTREME,HOST_GENETIC_DIVERSE_CASE	454	453c303820cee8670e5c82a07012fee4f26ae643147b42bccef6080fda689eef
host_genetic_k16	L004	GCF_015163255.1	39	GCF_014862785.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,HOST_GENETIC_DIVERSE_CASE	403	e9d0c29fa8cf4eb8fa117db66bac3ab36c0875cecf77e62ea455be5fcebe91e2
host_genetic_k16	L004	GCF_015163255.1	39	GCF_002223485.1	HOST_GENETIC_DIVERSE_CASE	930	7e8af8d3a8a22183b0a6d48efc09ff55a83f71bd5fa7a0d34e3e890ea83ee07c
host_genetic_k16	L004	GCF_015163255.1	39	GCF_902705595.1	HOST_GENETIC_DIVERSE_CASE	268	49f5567a2bdf31e6a9c736143323ee4a6493f188663513059bfb7b8cd2760ad1
host_genetic_k16	L004	GCF_015163255.1	39	GCF_001616285.1	HOST_GENETIC_DIVERSE_CASE	35	01185ef9989174c2f8b5d5045cd341b1365a73a489539f366137a32a0524a530
host_genetic_k16	L004	GCF_015163255.1	39	GCF_004380655.1	HOST_GENETIC_DIVERSE_CASE	492	5c2daf19cf8be672bf30825bf512a56d48cee0314ca45d7b443f3235e79eef85
host_genetic_k16	L004	GCF_015163255.1	39	GCF_002001975.1	HOST_GENETIC_DIVERSE_CASE	457	8fe773a260e308b91dbc9052b65b3d17bc7b48c803ac7db0f09b48e16345c373
host_genetic_k16	L005	GCF_900499355.1	1	GCF_900499355.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,QC_FRAGMENTATION_EXTREME,SPARSE_BOUNDARY_AMBIGUOUS_NO_TREE,HOST_GENETIC_DIVERSE_CASE	335	077107bd52b013fa9d26c40af5dd6832045a435f051fe46fcaaf94bbc5e0afee
host_genetic_k16	L006	GCF_002534845.1	10	GCF_002534845.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	342	9297840f6d34a5bd3815394d3deecad0734bd47ecde27de554913bffc56c8d1c
host_genetic_k16	L006	GCF_002534845.1	10	GCF_907175235.1	QC_FRAGMENTATION_EXTREME,HOST_GENETIC_DIVERSE_CASE	489	7ecb85a9b66fb5595478955399a24a2a8cad15f1aaa84805768e27a52e1fe452
host_genetic_k16	L006	GCF_002534845.1	10	GCF_019890835.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,HOST_GENETIC_DIVERSE_CASE	791	445d3827eb2e23a890c3851dc4749fefd4d11caaefd79689e6dbb3d637ab3d7b
host_genetic_k16	L006	GCF_002534845.1	10	GCF_007954255.1	HOST_GENETIC_DIVERSE_CASE	978	60a6fc20a9283f2adbe53a1508f2dcbc721a93da302003b1988aed321a68bed6
host_genetic_k16	L006	GCF_002534845.1	10	GCF_002540915.1	HOST_GENETIC_DIVERSE_CASE	608	b1e7d3ddf59626024347b784e337e2cbcabd2f98e095996b824e7fd3aa6cbb02
host_genetic_k16	L006	GCF_002534845.1	10	GCF_005400245.1	HOST_GENETIC_DIVERSE_CASE	825	b2c313c35325effd13ca3e7f58e55f320c8e506ebe5bc5e858871b6a716a18c4
host_genetic_k16	L006	GCF_002534845.1	10	GCF_001058555.1	HOST_GENETIC_DIVERSE_CASE	983	0b24566bbde6cf5cf0e52762b726be5d84c92c2ee42592613b503dd4c5e465aa
host_genetic_k16	L006	GCF_002534845.1	10	GCF_003322245.1	HOST_GENETIC_DIVERSE_CASE	95	b288f565419f134669c1dc59489bdf8e4cac9a64de411b5af804a94c67a7cd6e
host_genetic_k16	L007	GCF_002522165.1	1	GCF_002522165.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,QC_FRAGMENTATION_EXTREME,SPARSE_BOUNDARY_AMBIGUOUS_NO_TREE,HOST_GENETIC_DIVERSE_CASE	546	e042a8241b60983c04d68b530eec988d396a59711aa3a6dea4d4fe75b585c74a
host_genetic_k16	L008	GCF_002806795.1	65	GCF_002806795.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	552	49e984cdd67dbd67ba29f01642027b97b6034d1d08d8cd9fe5d86fb577f63476
host_genetic_k16	L008	GCF_002806795.1	65	GCF_000305415.2	HOST_GENETIC_DIVERSE_CASE	680	d8784507a1e4e0e2c21ec184416746cc9c0a23d2f76a2e3c763e3b2bc48140f6
host_genetic_k16	L008	GCF_002806795.1	65	GCF_003361965.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,HOST_GENETIC_DIVERSE_CASE	332	c8baf3a500e0e228f2e6650e8ef1dfe52294da581fa04b99febbe296912d1d07
host_genetic_k16	L008	GCF_002806795.1	65	GCF_002486525.1	HOST_GENETIC_DIVERSE_CASE	112	e610c5604eda19ede997f4c9790272fc6300aeca45b3e2c8b7746af3234644d6
host_genetic_k16	L008	GCF_002806795.1	65	GCF_002194865.1	HOST_GENETIC_DIVERSE_CASE	119	15a6f0f2e3a1bbac99b9fd3f1d3a408badf38cc6188ebe6a8e8591c0abc5a6fe
host_genetic_k16	L008	GCF_002806795.1	65	GCF_002486725.1	HOST_GENETIC_DIVERSE_CASE	814	8d4c73e39e086979ede473c5633ce93cd32a7c565c37c8b79e1120f8ec4ee8e7
host_genetic_k16	L008	GCF_002806795.1	65	GCF_000006665.1	HOST_GENETIC_DIVERSE_CASE	346	2c0b00d86f550175178c7178d4be2f2daa5dc22d8001b770c541e9246c9fe8b4
host_genetic_k16	L008	GCF_002806795.1	65	GCF_001806265.1	HOST_GENETIC_DIVERSE_CASE	593	f4d32313a7857a413299251fdb21e91cdf2161b5161c15b94145709a223760ec
host_genetic_k16	L009	GCF_001520375.1	24	GCF_001520375.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	607	f4d5830c067a9cf3e7689fd0133750c529f7aadb8d06c7523db4f3f04dd88496
host_genetic_k16	L009	GCF_001520375.1	24	GCF_907177115.1	QC_FRAGMENTATION_EXTREME,HOST_GENETIC_DIVERSE_CASE	793	7ff37b63b43bcf57be6cf0439bb636bbfb932148731ac56f742221de7b080c65
host_genetic_k16	L009	GCF_001520375.1	24	GCF_017162875.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,HOST_GENETIC_DIVERSE_CASE	551	64d553d4854a5c8c2c547694318cf7ae907071db1450b469d05830f4b54952b4
host_genetic_k16	L009	GCF_001520375.1	24	GCF_902668645.1	HOST_GENETIC_DIVERSE_CASE	389	8b87dd34f5b2678cefb445f215e0f5104f53ae4bfc2ec54cb2e74d3a3f4fad88
host_genetic_k16	L009	GCF_001520375.1	24	GCF_000459215.1	HOST_GENETIC_DIVERSE_CASE	80	8b4fefc036ed39cc0a3117a0cb6055da72d50ad7da74cc93d0c42057fd712f31
host_genetic_k16	L009	GCF_001520375.1	24	GCF_000350625.1	HOST_GENETIC_DIVERSE_CASE	970	d762357d51f9e934fe031d6f369349c3d55625da947f686c79779a7ea33ca08d
host_genetic_k16	L009	GCF_001520375.1	24	GCF_000418675.1	HOST_GENETIC_DIVERSE_CASE	209	bc4f2e96aa2fc81ba2a4681048a907a31a2ad549f6697af5dd4bc10adca06dc6
host_genetic_k16	L009	GCF_001520375.1	24	GCF_008041205.1	HOST_GENETIC_DIVERSE_CASE	29	8fae25fc73baf789be36d0703d85949a209c886f4a82c076227f1b6d506e77a9
host_genetic_k16	L010	GCF_003317605.1	73	GCF_003317605.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	760	c8971243993f33221c26c1635b632658125f0ba838793375cd51bd8b56ae5da9
host_genetic_k16	L010	GCF_003317605.1	73	GCF_001621575.1	HOST_GENETIC_DIVERSE_CASE	115	e7a49a830c73aa10b19f81864a25c7f6a0134c78d274f61a393ec8e9705b3467
host_genetic_k16	L010	GCF_003317605.1	73	GCF_006236345.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,HOST_GENETIC_DIVERSE_CASE	355	da0a281b18e339693c1e1544b5822792bb4bf3767559a733caba288c4bdcce82
host_genetic_k16	L010	GCF_003317605.1	73	GCF_004568995.1	HOST_GENETIC_DIVERSE_CASE	630	c4d8c39ee748cf4ac5fb5ba29cf035db434347e539017c6c35352ab58319ff1a
host_genetic_k16	L010	GCF_003317605.1	73	GCF_006542965.1	HOST_GENETIC_DIVERSE_CASE	910	4e506102d0dc9dec3fc819dc046cc9a0be5928fdb4824fbad62452eae356abc7
host_genetic_k16	L010	GCF_003317605.1	73	GCF_003302025.1	HOST_GENETIC_DIVERSE_CASE	121	0dc6f83a62e2ffe77b4852fa80fb1953674ab657a24f66e1f433edf457a390ae
host_genetic_k16	L010	GCF_003317605.1	73	GCF_002244095.1	HOST_GENETIC_DIVERSE_CASE	130	56f2b20b6b2c33a23b263011c7ec78bc18feb10e7f6c17cd337e73c123001536
host_genetic_k16	L010	GCF_003317605.1	73	GCF_002886295.1	HOST_GENETIC_DIVERSE_CASE	994	dd1132cc8bfc31fd5494e0e930427e933772c64344a3466d66f5e6dd2d051345
host_genetic_k16	L011	GCF_009910875.1	20	GCF_009910875.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	777	b42ee5a1ba771197359c5fc0a672f91655462d87fb3e99dd18f9c13df9d4189c
host_genetic_k16	L011	GCF_009910875.1	20	GCF_013608825.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,QC_FRAGMENTATION_EXTREME,HOST_GENETIC_DIVERSE_CASE	38	12b8da1dc27075b9631934ed61166e21f6e873e9d89dbd79cc5be9db5fb9c568
host_genetic_k16	L011	GCF_009910875.1	20	GCF_006233045.1	HOST_GENETIC_DIVERSE_CASE	876	d3f0912efc4ed94ead9af5f5d32fae5764c3bb78da7bf27c4e84bdedfbe01f8f
host_genetic_k16	L011	GCF_009910875.1	20	GCF_006233325.1	HOST_GENETIC_DIVERSE_CASE	855	d035ef9235dcfc7021be5a579455840270ebcc76159f6c75b9b1c96a830dc74f
host_genetic_k16	L011	GCF_009910875.1	20	GCF_003292385.1	HOST_GENETIC_DIVERSE_CASE	772	0272713d8eacdf7b9946076ee11f1d3cea2e0c0842d134bfc817182cba8a29eb
host_genetic_k16	L011	GCF_009910875.1	20	GCF_002155505.1	HOST_GENETIC_DIVERSE_CASE	863	efc4a4ed42bf05ab08a1939728dd517747ee4fdc57cd41202ec6b1deebb0e564
host_genetic_k16	L011	GCF_009910875.1	20	GCF_018444005.1	HOST_GENETIC_DIVERSE_CASE	688	09017ca6cd7718be20973989cb85191c48ed21f9f57e469f7acdc04e55686fa3
host_genetic_k16	L011	GCF_009910875.1	20	GCF_001638135.1	HOST_GENETIC_DIVERSE_CASE	257	ad5eb83516ba8f474ec871d0ff7ebe36ca3fe9155e386b0298add091cd2c315a
host_genetic_k16	L012	GCF_000807565.1	119	GCF_000807565.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	889	5aed0b2ea39f7906f4012d1b8bc16fd212b4a5a7fbf0a25e1bbf2be1b35b723d
host_genetic_k16	L012	GCF_000807565.1	119	GCF_013030915.1	HOST_GENETIC_DIVERSE_CASE	859	0af3c9d299e465abbfa7dae1c3dba5a5cd04ab61575376406539db541d0806b2
host_genetic_k16	L012	GCF_000807565.1	119	GCF_016905495.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,HOST_GENETIC_DIVERSE_CASE	299	96ee52be79bc317283be4a380c4e14066661abb62f9d83796a5156102997bdeb
host_genetic_k16	L012	GCF_000807565.1	119	GCF_002226425.1	HOST_GENETIC_DIVERSE_CASE	915	b9fd28db79af93a2ad9c8e5ee4b509411c44c516a90b9b2c366cd40a8deee588
host_genetic_k16	L012	GCF_000807565.1	119	GCF_014262945.1	HOST_GENETIC_DIVERSE_CASE	673	0ed4dae27679998dfbd902f98d1cbee07417f6b618b0fe971ece84854fd1aae3
host_genetic_k16	L012	GCF_000807565.1	119	GCF_000351485.1	HOST_GENETIC_DIVERSE_CASE	568	36c4078fae4a1ed15b7f7761873867a9f9f7c78f9d04ac48cc30bc5aa0033254
host_genetic_k16	L012	GCF_000807565.1	119	GCF_008389115.1	HOST_GENETIC_DIVERSE_CASE	870	5976b988663780e3b18b6423c7fe21490e71af09cb22ae029f966c53ca498e4a
host_genetic_k16	L012	GCF_000807565.1	119	GCF_000460915.1	HOST_GENETIC_DIVERSE_CASE	705	c7eabe10a7febfac35847ca770c9b851491388aa7e6431b8f5c3e76a72f6616e
host_genetic_k16	L013	GCF_900481955.1	14	GCF_900481955.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	890	04098763770afd0a14fe2d707c07d31a8b3ac1109ad2e927e1b47529b6efe52d
host_genetic_k16	L013	GCF_900481955.1	14	GCF_003318595.1	QC_FRAGMENTATION_EXTREME,HOST_GENETIC_DIVERSE_CASE	309	e4984c54433de78baf0d994250c5a0313098f17d8d7643dbc84d0519f8a2a802
host_genetic_k16	L013	GCF_900481955.1	14	GCF_900480865.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,HOST_GENETIC_DIVERSE_CASE	544	6e1e040824b1fe4d3fa3e6cb1c9c9ea6fff2221e553dc5781fb3d1460eda7c07
host_genetic_k16	L013	GCF_900481955.1	14	GCF_013183145.1	HOST_GENETIC_DIVERSE_CASE	164	70b6b23b22730c85b59bec89fa82919b2b850de6ee60f7a9e22dc1c441a078c7
host_genetic_k16	L013	GCF_900481955.1	14	GCF_900481725.1	HOST_GENETIC_DIVERSE_CASE	675	3d0ccec59b5ef345f03c2fb978290368bd9679d7feafe82c1a50db6fbaf5bbfa
host_genetic_k16	L013	GCF_900481955.1	14	GCF_004960325.1	HOST_GENETIC_DIVERSE_CASE	967	0430a5075895779c1d5930f6b4527fe710ffc56fb88b17fd967f365e9389fbf3
host_genetic_k16	L013	GCF_900481955.1	14	GCF_003014845.1	HOST_GENETIC_DIVERSE_CASE	955	97b93deaddc15d63a41cff1af11a716c4564ac2b801ce9095b8c31150e0d0607
host_genetic_k16	L013	GCF_900481955.1	14	GCF_002154285.1	HOST_GENETIC_DIVERSE_CASE	729	6d724a1942fc4d0c19b22f571a2f4744308c8e866f412c4ddb3c30d3c4c24dce
host_genetic_k16	L014	GCF_009880335.1	26	GCF_009880335.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	903	94d44dfbbde56b44d1f83af066e69b6b8a77e65947658a32e7254469c2d9ed3c
host_genetic_k16	L014	GCF_009880335.1	26	GCF_020216345.1	QC_FRAGMENTATION_EXTREME,HOST_GENETIC_DIVERSE_CASE	933	bd89c9dede83cada6c4f15c2e1df5f622a5043c3f41fe25a2992b8f0bb42c20d
host_genetic_k16	L014	GCF_009880335.1	26	GCF_002456505.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,HOST_GENETIC_DIVERSE_CASE	738	6b7b8992721439f6a7910195df538b327566157ccdd3b1bdabb4429e0f5abdea
host_genetic_k16	L014	GCF_009880335.1	26	GCF_009880525.1	HOST_GENETIC_DIVERSE_CASE	186	7d22337dc82d7b95451d8457edafec7933589c4b6a424c9a642501539ff2ed61
host_genetic_k16	L014	GCF_009880335.1	26	GCF_009910465.1	HOST_GENETIC_DIVERSE_CASE	304	832390c87a558a68161c6bea4ab353fc97449b7d42ac87713cfda6fc98aa6bf5
host_genetic_k16	L014	GCF_009880335.1	26	GCF_009882665.1	HOST_GENETIC_DIVERSE_CASE	874	91f822f0869d2b3c0ceaeecffedb8652b1aa87bf6c4fe3db9190ad69141f7f59
host_genetic_k16	L014	GCF_009880335.1	26	GCF_002226635.1	HOST_GENETIC_DIVERSE_CASE	768	e35742e37e9667c32e028a941a8bec4907173b4f104624d754b831cdc07474c6
host_genetic_k16	L014	GCF_009880335.1	26	GCF_011045235.1	HOST_GENETIC_DIVERSE_CASE	237	022167fd78cc76f35f9b69717a399733e3e97cbc757ac4e6b276b4913100bd46
host_genetic_k16	L015	GCF_900479345.1	3	GCF_001650605.1	SPARSE_BOUNDARY_AMBIGUOUS_NO_TREE,HOST_GENETIC_DIVERSE_CASE	452	9961a7a4532d67583e5b71a02f5daa1fc69701f9166efb34c9673ee35350eb79
host_genetic_k16	L015	GCF_900479345.1	3	GCF_004005115.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,QC_FRAGMENTATION_EXTREME,SPARSE_BOUNDARY_AMBIGUOUS_NO_TREE,HOST_GENETIC_DIVERSE_CASE	786	b2feb60aa566f7614ea72492973b3ccbfe5444ea2b46634a4b8d877151c335b2
host_genetic_k16	L015	GCF_900479345.1	3	GCF_900479345.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,SPARSE_BOUNDARY_AMBIGUOUS_NO_TREE,HOST_GENETIC_DIVERSE_CASE	907	e3c1a4b2c9c7da787ea131d688ca42cdc6346c800bb982ad44703b52bb33896d
host_genetic_k16	L016	GCF_000692515.1	9	GCF_000692515.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	927	4ea66e616c95654d379c4fb3307a5bcb0d2814582660bcdba5932146621ca4e2
host_genetic_k16	L016	GCF_000692515.1	9	GCF_019104435.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,QC_FRAGMENTATION_EXTREME,HOST_GENETIC_DIVERSE_CASE	256	9c68e34230dd69fbdb59edd0d4e62031089cf483d3db75a2818111d8f93ca5fe
host_genetic_k16	L016	GCF_000692515.1	9	GCF_006542825.1	HOST_GENETIC_DIVERSE_CASE	123	c5b8cd661c56528d9d61ce3219192d9438a85ccf2547f0f1936e5eff157f050a
host_genetic_k16	L016	GCF_000692515.1	9	GCF_014169415.1	HOST_GENETIC_DIVERSE_CASE	358	c08b75cd5a9f1e8a03f28da0512687c9341bce93d3643065a25b269ee9e4a955
host_genetic_k16	L016	GCF_000692515.1	9	GCF_009799765.1	HOST_GENETIC_DIVERSE_CASE	665	2a0a4e20257d0c3dad8618cdee01a5e21faf23a23a09a058c71e0a4b526fd439
host_genetic_k16	L016	GCF_000692515.1	9	GCF_003323015.1	HOST_GENETIC_DIVERSE_CASE	573	78166dc0e8901cb81ba80ffbfa3a42e24c869f2bcec3b9f3bc421650cf8019d0
host_genetic_k16	L016	GCF_000692515.1	9	GCF_905330275.1	HOST_GENETIC_DIVERSE_CASE	67	047715f012f03c9ee1537a7096fb85a59062144cdf51cb06ed89e6c5db12604b
host_genetic_k16	L016	GCF_000692515.1	9	GCF_016123895.1	HOST_GENETIC_DIVERSE_CASE	771	35dc68ba178f701aac6f1d42430dae255e85be18c194d675fea4ed0845d00dce
