tip_id	nearest_distance	nearest_tips	tie_count
GCF_003076715.1	6.6807e-05	GCF_003076695.1	1
GCF_002518465.1	0.00713841	GCF_009820835.1	1
GCF_000459215.1	0.00183367	GCF_001520375.1	1
GCF_900010055.1	0.000758176	GCF_003361255.1	1
GCF_002769075.1	0.0013039	GCF_002764815.1	1
GCF_009910015.1	0.00267798	GCF_006230745.1	1
GCF_013370905.1	0.00885328	GCF_009820795.1	1
GCF_000619025.1	0.00251625	GCF_921294225.1	1
GCF_016404105.1	0.00615579	GCF_016403925.1	1
GCF_902859475.1	0.00419389	GCF_902859275.1	1
GCF_019282095.1	0.00181236	GCF_006542965.1	1
GCF_000326905.1	0.00265558	GCF_000460515.1	1
GCF_003357545.1	0.00988389	GCF_013391275.1	1
GCF_001753505.1	0.00029316	GCF_002164525.1	1
GCF_003292995.1	0.00636821	GCF_002228035.1	1
GCF_001713625.1	0.00211043	GCF_006229985.1	1
GCF_010592655.1	0.00522909	GCF_008373355.1	1
GCF_003322245.1	0.004991	GCF_001058555.1	1
GCF_900490675.1	0.00325058	GCF_001519855.1	1
GCF_017896545.1	0.00251625	GCF_000498835.2	1
GCF_900499395.1	0.00295193	GCF_000418675.1	1
GCF_019957265.1	0.00663542	GCF_019879155.1	1
GCF_003730815.1	0.00272848	GCF_008041205.1	1
GCF_002810165.1	0.00440918	GCF_001911755.1	1
GCF_003020885.1	0.00282994	GCF_003569985.1	1
GCF_019585745.1	0.00272848	GCF_004664255.1	1
GCF_001519855.1	0.00325058	GCF_900490675.1,GCF_021168435.1	2
GCF_003361255.1	0.00049081	GCF_005885955.1	1
GCF_020421595.1	0.00435357	GCF_001402805.1	1
GCF_020381905.1	0.00679337	GCF_020733985.1	1
GCF_005384845.1	0.00534606	GCF_003357405.1	1
GCF_020553415.1	0.0111321	GCF_002542255.1	1
GCF_003981865.1	0.00107832	GCF_002302315.1	1
GCF_900482585.1	0.00394798	GCF_009789835.1	1
GCF_002486525.1	1.66754e-05	GCF_002486725.1	1
GCF_900478915.1	0.0079862	GCF_003328195.1	1
GCF_000457675.1	0.00231212	GCF_000460515.1	1
GCF_001621575.1	0.0010656	GCF_003317605.1	1
GCF_009789895.1	0.00465532	GCF_001521415.1	1
GCF_004566835.1	0.000971751	GCF_006230395.1	1
GCF_020023255.1	0.000349035	GCF_000005845.2	1
GCF_002194865.1	0.000194036	GCF_002486525.1	1
GCF_009882745.1	0.00563188	GCF_002229215.1	1
GCF_003302025.1	0.000893534	GCF_004568995.1	1
GCF_002465545.1	0.000397782	GCF_011033255.1	1
GCF_006542825.1	0.00249129	GCF_000692515.1	1
GCF_009931235.1	0.000264084	GCF_009896495.1	1
GCF_000835055.1	0.00356923	GCF_002535195.1	1
GCF_003293975.1	0.0022028	GCF_000617525.2	1
GCF_002116465.1	0.00855351	GCF_013391275.1	1
GCF_002228865.1	0.00391184	GCF_000797675.1	1
GCF_002486585.1	0.000466277	GCF_002486525.1	1
GCF_002244095.1	0.00106814	GCF_003317605.1	1
GCF_001651605.1	0.00359875	GCF_000408485.1	1
GCF_019834335.1	0.00637165	GCF_019879155.1	1
GCF_001266305.1	0.0134329	GCF_017118895.1	1
GCF_000357825.2	0.00765142	GCF_000355215.2	1
GCF_009767495.1	0.00504221	GCF_005393145.1	1
GCF_003988295.1	0.00645801	GCF_020731765.1	1
GCF_016404405.2	0.00116255	GCF_000703265.1	1
GCF_009794305.1	0.00609118	GCF_019120745.1	1
GCF_000355215.2	0.00239458	GCF_003982245.1	1
GCF_001191045.1	0.0101166	GCF_019969625.1	1
GCF_016403925.1	0.00615579	GCF_016404105.1	1
GCF_013391275.1	0.00275379	GCF_002511115.1	1
GCF_003076695.1	6.6807e-05	GCF_003076715.1	1
GCF_013395855.1	0.0021783	GCF_015620665.1	1
GCF_900096855.1	0.000407549	GCF_003172455.1	1
GCF_003731535.1	0.000783157	GCF_003731035.1	1
GCF_016103185.1	0.00100213	GCF_020051575.1	1
GCF_009393955.1	0.00448982	GCF_011404355.1	1
GCF_002227115.1	0.00489854	GCF_001749385.1	1
GCF_002542255.1	0.00636132	GCF_005399985.1	1
GCF_004569685.1	0.000800667	GCF_004567885.1	1
GCF_013395785.1	0.0035162	GCF_006350385.1	1
GCF_011404355.1	0.00401746	GCF_002229155.1	1
GCF_002228265.1	0.00254125	GCF_002228035.1	1
GCF_004523615.1	0.00366389	GCF_000355215.2	1
GCF_019051815.1	0.000441781	GCF_019050495.1	1
GCF_016760895.1	0.00255237	GCF_003570445.1	1
GCF_900500215.1	0.0098385	GCF_001059075.1	1
GCF_001894065.1	0.00549334	GCF_009600715.1	1
GCF_005399985.1	0.00280734	GCF_003357915.1	1
GCF_900520305.1	0.00107323	GCF_000511425.1	1
GCF_000627985.1	0.000121895	GCF_000627925.1	1
GCF_002972665.1	0.00606744	GCF_002972815.1	1
GCF_013183145.1	0.0026948	GCF_900481955.1	1
GCF_000458295.1	0.00112166	GCF_000457285.1	1
GCF_020216385.1	0.000718286	GCF_020216345.1	1
GCF_002464385.1	0.00530048	GCF_002796445.1	1
GCF_004010615.1	0.00036608	GCF_005885955.1	1
GCF_006233005.1	0.00511931	GCF_001521415.1	1
GCF_019104325.1	0.00545395	GCF_001521415.1	1
GCF_000599645.1	0.00395703	GCF_002307525.1	1
GCF_003956205.1	0.000434439	GCF_002302315.1	1
GCF_014169035.1	0.00478758	GCF_005397685.1	1
GCF_900016095.1	0.00493355	GCF_001606755.1	1
GCF_900015375.1	0.000898569	GCF_921380995.1	1
GCF_000351505.1	0.000564635	GCF_000013265.1	1
GCF_904809765.1	0.00408721	GCF_000187285.1	1
GCF_015693755.1	0.000938904	GCF_016587315.1	1
GCF_021341955.1	0.00143866	GCF_003301195.1	1
GCF_003292875.1	0.00452404	GCF_011404355.1	1
GCF_000647475.1	0.011984	GCF_910592755.1	1
GCF_003293265.1	0.00462711	GCF_016889485.1	1
GCF_002467555.1	0.0078218	GCF_003293265.1	1
GCF_904810175.1	0.00501018	GCF_007558585.1	1
GCF_003367575.1	0.00371142	GCF_019050495.1	1
GCF_009880525.1	1.42921e-05	GCF_009880335.1	1
GCF_000752535.1	0.00217286	GCF_000617525.2	1
GCF_011045875.1	0.00629942	GCF_014904535.2	1
GCF_000442065.2	0.000119496	GCF_014117345.2	1
GCF_003686895.1	0.00251903	GCF_001402805.1	1
GCF_010820865.1	0.000616515	GCF_001558995.2	1
GCF_003322845.1	0.0027876	GCF_900480335.1	1
GCF_900499545.1	0.00232309	GCF_020406195.1	1
GCF_003328195.1	0.00682159	GCF_000019385.1	1
GCF_002770195.1	0.0006388	GCF_002458155.1	1
GCF_002016465.1	0.00953169	GCF_020732085.1	1
GCF_002941745.1	0.0107017	GCF_009820835.1,GCF_019879155.1	2
GCF_002190145.1	0.00678632	GCF_002225785.1	1
GCF_003301195.1	0.00118304	GCF_006241135.1	1
GCF_017163155.1	0.00654477	GCF_001617075.1	1
GCF_003145395.1	0.0130686	GCF_006237245.1	1
GCF_003300725.1	0.00195939	GCF_005382185.1	1
GCF_001650275.1	0.00223825	GCF_002286545.1	1
GCF_014494815.1	0.003239	GCF_014862275.1	1
GCF_002535515.1	0.00383979	GCF_002464115.1	1
GCF_000798075.1	0.0057215	GCF_002152015.1	1
GCF_002232295.1	0.00405382	GCF_003388435.1	1
GCF_004569745.1	0.00358398	GCF_019050495.1	1
GCF_000418675.1	0.00196744	GCF_001520375.1	1
GCF_006232215.1	0.00463024	GCF_020421595.1	1
GCF_006238305.1	0.00195939	GCF_004568995.1	1
GCF_000492235.1	0.00588526	GCF_011404355.1	1
GCF_003981055.1	0.000646235	GCF_003981255.1	1
GCF_005395665.1	0.00260808	GCF_015699095.1	1
GCF_015163255.1	0.00281864	GCF_002223485.1	1
GCF_000357005.2	0.000461375	GCF_000357045.2	1
GCF_006349805.1	0.00462398	GCF_003304615.1	1
GCF_013369795.1	0.00514508	GCF_002152015.1	1
GCF_004661505.1	0.00231761	GCF_005043625.1	1
GCF_002465635.1	0.00927356	GCF_013391275.1	1
GCF_016889485.1	0.00462711	GCF_003293265.1	1
GCF_006236075.1	0.00444015	GCF_015644135.1	1
GCF_015160015.1	0.00174596	GCF_015160055.1	1
GCF_001679985.1	0.00926554	GCF_002537165.1	1
GCF_003830805.1	0.00335226	GCF_009789835.1	1
GCF_020422075.1	0.00147774	GCF_020422745.1	1
GCF_900196545.1	0.00731875	GCF_003988355.1	1
GCF_017594025.1	0.00562857	GCF_011404355.1	1
GCF_905219285.1	0.00379789	GCF_000332755.1	1
GCF_000304075.2	0.00476231	GCF_001285345.1	1
GCF_005399365.1	0.00439681	GCF_002228865.1	1
GCF_004767025.1	0.00364314	GCF_002487335.1	1
GCF_019800285.1	0.00742778	GCF_907175915.1	1
GCF_002973095.1	0.00198626	GCF_002972045.1	1
GCF_002916665.1	0.00464905	GCF_002196475.1	1
GCF_021108615.1	0.00178842	GCF_001609735.1	1
GCF_011045235.1	0.0130879	GCF_009880525.1	1
GCF_019841145.1	0.0074935	GCF_001894065.1	1
GCF_002769655.1	0.00118047	GCF_000091005.1	1
GCF_014855895.1	0.00108596	GCF_002166175.1	1
GCF_006350385.1	0.0035162	GCF_013395785.1	1
GCF_009627495.1	0.000680979	GCF_004766845.1	1
GCF_003829865.1	0.00865422	GCF_002467555.1	1
GCF_002810895.1	0.00798995	GCF_017151225.1	1
GCF_014170995.1	0.00359284	GCF_006351305.1	1
GCF_000781295.1	0.0100249	GCF_018069725.1	1
GCF_002767435.1	0.00106814	GCF_002764815.1	1
GCF_003982245.1	0.00140487	GCF_003983885.1	1
GCF_900479215.1	0.00713482	GCF_900096855.1	1
GCF_020089695.1	0.00329408	GCF_016786005.1	1
GCF_003337025.1	0.00519673	GCF_009910875.1	1
GCF_016903995.1	0.00520967	GCF_004767475.1	1
GCF_016761285.1	0.00182301	GCF_003730645.1	1
GCF_001619145.1	0.000419766	GCF_002486725.1	1
GCF_900480335.1	0.0027876	GCF_003322845.1	1
GCF_019104435.1	0.00267798	GCF_002193385.1	1
GCF_001638135.1	0.00427662	GCF_006233325.1	1
GCF_020786115.1	0.00428584	GCF_020089695.1	1
GCF_000773575.1	0.00114209	GCF_000517245.1	1
GCF_000267105.1	0.000770662	GCF_002195625.1	1
GCF_008389185.1	0.00184433	GCF_004568995.1	1
GCF_000753155.1	0.0033377	GCF_921293415.1	1
GCF_902505045.1	0.0047939	GCF_000511425.1	1
GCF_000249175.1	0.00408113	GCF_014117345.2	1
GCF_005393525.1	0.00528423	GCF_009793765.1	1
GCF_020162325.1	0.00635099	GCF_000940035.2	1
GCF_003306715.1	0.00119072	GCF_003317605.1	1
GCF_902705595.1	0.001291	GCF_004380655.1	1
GCF_900500585.1	0.000878438	GCF_006542965.1	1
GCF_004960695.1	0.000114699	GCF_004960345.1	1
GCF_002515365.1	0.0076109	GCF_002469155.1	1
GCF_900479335.1	0.00355743	GCF_017118895.1	1
GCF_015731485.1	0.00362833	GCF_001285345.1	1
GCF_003000615.1	0.00261366	GCF_001860505.1	1
GCF_000781575.1	0.000918724	GCF_000351505.1	1
GCF_009832985.1	0.0008885	GCF_013166855.1	1
GCF_000355295.1	0.00471818	GCF_019351875.1	1
GCF_916160245.1	0.00279042	GCF_008041205.1	1
GCF_003360075.1	0.000688433	GCF_002806795.1	1
GCF_000358855.2	0.00196476	GCF_003981055.1	1
GCF_002535305.1	0.00618989	GCF_002972665.1	1
GCF_000408345.1	0.00429198	GCF_000305355.1	1
GCF_001893525.1	0.00357513	GCF_013073295.1	1
GCF_002231955.1	0.00348681	GCF_003982645.1	1
GCF_014529205.1	0.00597612	GCF_005393645.1	1
GCF_003028135.1	0.00364018	GCF_017776145.1	1
GCF_900479575.1	0.00488264	GCF_009395265.1	1
GCF_005388405.1	0.00945066	GCF_020422745.1	1
GCF_009822305.1	0.00463964	GCF_009789835.1,GCF_001900815.1	2
GCF_020668725.1	0.00485407	GCF_002543285.1	1
GCF_002764815.1	0.000688433	GCF_000091005.1	1
GCF_006230075.1	0.0039842	GCF_009789835.1	1
GCF_009793765.1	0.00528423	GCF_005393525.1	1
GCF_003302995.1	5.96356e-05	GCF_003303085.1	1
GCF_002056065.1	0.00841492	GCF_000599645.1	1
GCF_900195745.1	0.00683219	GCF_002247725.1	1
GCF_001571915.1	0.00028831	GCF_002834415.1	1
GCF_002165115.2	0.0023753	GCF_019051815.1	1
GCF_016905495.1	0.00950329	GCF_002226425.1	1
GCF_002194715.1	0.000232645	GCF_002194865.1	1
GCF_002002235.1	0.00626855	GCF_003469495.1	1
GCF_001402805.1	0.00251903	GCF_003686895.1	1
GCF_000703265.1	0.000795662	GCF_001660345.1	1
GCF_009910465.1	8.35527e-05	GCF_009880525.1	1
GCF_004661495.1	0.00687108	GCF_002511115.1	1
GCF_002233475.1	0.00136596	GCF_009794365.1	1
GCF_021342755.1	0.00188705	GCF_006542965.1	1
GCF_003301875.1	0.00576814	GCF_005389445.1	1
GCF_003318595.1	0.00499419	GCF_900481955.1	1
GCF_008388475.1	0.00219735	GCF_000460915.1	1
GCF_003302895.1	0.00394195	GCF_900536605.1	1
GCF_001942085.1	0.0038908	GCF_016786005.1	1
GCF_014862275.1	0.003239	GCF_014494815.1	1
GCF_017594325.1	0.00404472	GCF_013608265.1	1
GCF_014117345.2	0.000119496	GCF_000442065.2	1
GCF_003328095.1	0.00374119	GCF_003328205.1	1
GCF_017165455.1	0.00109106	GCF_002806795.1	1
GCF_900499255.1	0.00873204	GCF_018790115.1	1
GCF_003469495.1	0.00552952	GCF_017594525.1	1
GCF_017595435.1	0.00627198	GCF_013183745.1	1
GCF_001911755.1	0.00428891	GCF_002485115.1	1
GCF_009600715.1	0.00549334	GCF_001894065.1	1
GCF_002228035.1	0.00254125	GCF_002228265.1	1
GCF_009899125.1	0.0040326	GCF_020732085.1	1
GCF_002469155.1	0.00627198	GCF_009789835.1	1
GCF_006352105.1	0.00159291	GCF_006236395.1	1
GCF_009820835.1	0.00487311	GCF_900482185.1	1
GCF_001506145.1	0.00487629	GCF_002542395.1	1
GCF_002546515.1	0.00834217	GCF_009820835.1	1
GCF_000350765.1	0.00422448	GCF_018069725.1	1
GCF_016123575.1	0.00238907	GCF_002270225.1	1
GCF_003361965.1	0.000317429	GCF_001558995.2	1
GCF_005395245.1	0.00309773	GCF_004523115.1	1
GCF_003018655.1	0.00798245	GCF_019585745.1	1
GCF_900499355.1	0.0206126	GCF_009899475.1	1
GCF_003730645.1	0.0017778	GCF_006239105.1	1
GCF_000819245.1	0.0059795	GCF_014529205.1	1
GCF_011603145.1	0.00304613	GCF_021354495.1	1
GCF_003027835.1	0.00939011	GCF_001059075.1	1
GCF_002485405.1	0.00175656	GCF_000354455.1	1
GCF_003303815.1	0.00214297	GCF_003601935.1	1
GCF_002534845.1	0.00328247	GCF_007954255.1	1
GCF_900482185.1	0.00487311	GCF_009820835.1	1
GCF_001521415.1	0.00446186	GCF_011603175.1	1
GCF_001519485.1	0.00275098	GCF_002166175.1	1
GCF_000006665.1	0.000390461	GCF_002806795.1	1
GCF_015699425.1	0.000818196	GCF_015699215.1	1
GCF_020051575.1	0.00100213	GCF_016103185.1	1
GCF_000797675.1	0.00391184	GCF_002228865.1	1
GCF_016123675.1	0.00562857	GCF_003686895.1	1
GCF_001285365.1	0.00506145	GCF_002229215.1	1
GCF_019202505.1	0.00413894	GCF_015229815.1	1
GCF_003291305.1	0.00957232	GCF_004793095.1	1
GCF_002518045.1	0.00484139	GCF_002522525.1	1
GCF_006236345.1	0.00097934	GCF_004566835.1	1
GCF_000326745.1	0.00115232	GCF_003601935.1	1
GCF_002461055.1	0.0127435	GCF_904810115.1	1
GCF_014169415.1	0.0032361	GCF_003323015.1	1
GCF_000356785.2	0.00495268	GCF_001911695.1	1
GCF_016457665.1	0.00129616	GCF_000326745.1	1
GCF_011306375.1	0.00526151	GCF_011603145.1	1
GCF_002193375.1	0.00537869	GCF_013369795.1	1
GCF_900479985.1	0.00930163	GCF_019969625.1	1
GCF_016735895.1	0.00420918	GCF_003982645.1	1
GCF_020515715.1	0.000705841	GCF_020907565.1	1
GCF_002456795.1	0.00978498	GCF_000446365.2	1
GCF_008033655.1	0.00191648	GCF_004522495.1	1
GCF_019219385.1	0.00633378	GCF_001617075.1	1
GCF_020282125.1	0.00605049	GCF_006350645.1	1
GCF_018884405.1	0.00143606	GCF_000773575.1	1
GCF_004793095.1	0.00957232	GCF_003291305.1	1
GCF_017570645.1	0.00412067	GCF_900480335.1	1
GCF_003362335.1	0.000324718	GCF_005885955.1	1
GCF_005398085.1	0.00474023	GCF_002326945.1	1
GCF_000618345.1	0.000878438	GCF_001619145.1	1
GCF_002537165.1	0.00593905	GCF_009789835.1	1
GCF_001901215.1	0.00643379	GCF_002511355.1	1
GCF_013186555.1	0.00377101	GCF_001402805.1	1
GCF_001606755.1	0.00493355	GCF_900016095.1	1
GCF_006349865.1	0.000765667	GCF_006351305.1	1
GCF_004522495.1	0.00160079	GCF_001521595.1	1
GCF_001558995.2	0.00015552	GCF_000305415.2	1
GCF_003304555.1	0.00364018	GCF_016786205.1	1
GCF_900166865.1	0.00349856	GCF_003730645.1	1
GCF_018683135.1	0.00439062	GCF_002229215.1	1
GCF_002243915.1	0.004924	GCF_004170585.1	1
GCF_002849195.1	0.0044836	GCF_009394435.1	1
GCF_021413285.1	0.00123436	GCF_009395265.1	1
GCF_902668645.1	0.000266505	GCF_000350625.1	1
GCF_002226715.1	0.00574147	GCF_002515965.1	1
GCF_000511425.1	0.00107323	GCF_900520305.1	1
GCF_016761175.1	0.00181236	GCF_006230825.1	1
GCF_002324625.1	0.00934984	GCF_002467555.1	1
GCF_011603175.1	0.00113698	GCF_003730535.1	1
GCF_019879625.1	0.00625485	GCF_014170995.1	1
GCF_003297955.1	0.000835743	GCF_002028745.1	1
GCF_005392285.1	0.00601327	GCF_001285345.1	1
GCF_921294225.1	0.00168774	GCF_002764815.1	1
GCF_015620665.1	0.0021783	GCF_013395855.1	1
GCF_016457315.1	0.000873409	GCF_003601935.1	1
GCF_000357905.2	0.00408417	GCF_003686895.1	1
GCF_009394435.1	0.0044836	GCF_002849195.1	1
GCF_014862785.1	0.00115999	GCF_014863255.1	1
GCF_902859485.1	0.000322288	GCF_902859225.1	1
GCF_005382185.1	0.00179108	GCF_009361825.1	1
GCF_900481275.1	0.00801248	GCF_002474835.1	1
GCF_009393735.1	0.00856897	GCF_002517745.1	1
GCF_904809595.1	0.0108009	GCF_900490675.1	1
GCF_009822935.1	0.00443395	GCF_905330295.1	1
GCF_015699095.1	0.00171417	GCF_003017375.1	1
GCF_002207405.1	0.00315237	GCF_002485115.1	1
GCF_002326895.1	0.000136297	GCF_002327045.1	1
GCF_002142675.1	0.00180438	GCF_002223665.1	1
GCF_000235165.1	0.000114699	GCF_000235265.1	1
GCF_009794435.1	9.07348e-05	GCF_009794365.1	1
GCF_003982645.1	0.00333188	GCF_001900815.1	1
GCF_000013265.1	0.000564635	GCF_000351505.1	1
GCF_900196695.1	0.00669143	GCF_009393595.1	1
GCF_015699215.1	0.000184398	GCF_001558995.2	1
GCF_015620555.1	0.00595926	GCF_001515725.1	1
GCF_003982995.1	0.00224371	GCF_003982245.1	1
GCF_002144185.1	0.00107832	GCF_005045505.1	1
GCF_902505295.1	0.00586848	GCF_009789835.1	1
GCF_003172135.1	0.000295585	GCF_011765445.1	1
GCF_003601935.1	0.000873409	GCF_016457315.1	1
GCF_902807245.1	0.00882584	GCF_013413645.1	1
GCF_001183685.1	0.000327148	GCF_000005845.2	1
GCF_016761155.1	0.00240009	GCF_004522495.1	1
GCF_017118895.1	0.00355743	GCF_900479335.1	1
GCF_902859225.1	0.000259243	GCF_902859095.1	1
GCF_003303085.1	5.96356e-05	GCF_003302995.1	1
GCF_006237245.1	0.00901478	GCF_005044435.1	1
GCF_900607785.1	0.00499739	GCF_002796445.1	1
GCF_004120975.1	0.000720777	GCF_016530575.1	1
GCF_016761275.1	0.00284125	GCF_019148625.1	1
GCF_019050495.1	0.000441781	GCF_019051815.1	1
GCF_013047075.1	0.00358694	GCF_014262945.1	1
GCF_003172455.1	0.000356338	GCF_011765445.1	1
GCF_016530575.1	0.000720777	GCF_004120975.1	1
GCF_015690315.1	0.0017433	GCF_020406195.1	1
GCF_002011985.1	0.00627198	GCF_907177255.1	1
GCF_000408365.1	0.00627541	GCF_907175365.1	1
GCF_002542395.1	0.00296902	GCF_000167895.3	1
GCF_002229875.1	0.00772161	GCF_019219385.1	1
GCF_002195175.1	0.00016033	GCF_001558995.2	1
GCF_001860505.1	0.00261366	GCF_003000615.1	1
GCF_001617075.1	0.00633378	GCF_019219385.1	1
GCF_002229215.1	0.00439062	GCF_018683135.1	1
GCF_001692795.1	0.00996255	GCF_002109645.1	1
GCF_000700625.1	0.00570819	GCF_011404355.1	1
GCF_005043925.1	0.00534606	GCF_900016095.1	1
GCF_001650605.1	0.00486676	GCF_900479345.1	1
GCF_009767245.1	0.00409025	GCF_002485405.1	1
GCF_011077775.1	0.00281299	GCF_009909875.1	1
GCF_000354455.1	0.00175656	GCF_002485405.1	1
GCF_005394825.1	0.00190845	GCF_020051575.1	1
GCF_002001975.1	0.00312072	GCF_015163255.1	1
GCF_005381345.1	0.000750689	GCF_005044435.1	1
GCF_000352925.1	0.015828	GCF_011045235.1	1
GCF_001749125.1	0.00611496	GCF_900096855.1	1
GCF_002573065.1	0.00422755	GCF_005396605.1	1
GCF_002514845.1	0.00108342	GCF_002764815.1	1
GCF_019587525.1	0.00389981	GCF_000458115.1	1
GCF_002233095.1	0.00364018	GCF_006351505.1	1
GCF_003361455.1	0.00160605	GCF_003361825.1	1
GCF_004170625.1	0.00521614	GCF_013395855.1	1
GCF_018069725.1	0.0039299	GCF_000326585.1	1
GCF_001412975.1	0.00834217	GCF_003328195.1	1
GCF_002319515.1	0.00476231	GCF_002233095.1	1
GCF_021109055.1	0.00347507	GCF_017639005.1	1
GCF_001749065.1	0.00522909	GCF_002516905.1	1
GCF_003981665.1	0.00530699	GCF_009767245.1	1
GCF_005391865.1	0.00548677	GCF_002193375.1	1
GCF_005396145.1	0.00285823	GCF_008373355.1	1
GCF_003388915.1	0.00401746	GCF_000777675.1	1
GCF_014494025.1	0.00233956	GCF_002223665.1	1
GCF_002226735.1	0.00665291	GCF_003357405.1	1
GCF_016126995.1	0.00552952	GCF_014895175.1	1
GCF_009822095.1	0.00787396	GCF_002486895.1	1
GCF_004767245.1	0.00415724	GCF_005396605.1	1
GCF_002511275.1	0.00486042	GCF_001283925.1	1
GCF_021353995.1	0.000153116	GCF_021354235.1	1
GCF_000091005.1	0.000688433	GCF_002764815.1	1
GCF_003981255.1	0.000646235	GCF_003981055.1	1
GCF_003304855.1	0.00413894	GCF_002487335.1	1
GCF_000457285.1	0.00112166	GCF_000458295.1	1
GCF_004284265.1	0.00618989	GCF_003304615.1	1
GCF_900195505.1	0.00388479	GCF_002249645.1	1
GCF_907175235.1	0.0127151	GCF_002534845.1	1
GCF_000397705.1	0.00252735	GCF_002226425.1	1
GCF_002268255.1	0.00195939	GCF_000458115.1	1
GCF_004380655.1	0.001291	GCF_902705595.1	1
GCF_003980755.1	0.00555259	GCF_001749385.1	1
GCF_001285325.1	0.00449914	GCF_001285985.1	1
GCF_001614905.1	0.00861543	GCF_002511115.1	1
GCF_009794365.1	6.6807e-05	GCF_009794605.1	1
