bait_id	role	bait_class	clade_id	tier	module	length_bp	seq_sha256	source
NTMBAIT_0_0085_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0085	A_strong_candidate	portal	1200	3669051cbafe14b747ec7c5550bc757de8ebf243d6647a4d0ae2e234504d1829	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0169_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0169	A_strong_candidate	capsid	1200	851d98c74ec4c70f9ce5ea4f49c6ff72922ca2a120eb320dd618b9dea8f35d97	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0218_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0218	A_strong_candidate	portal	1200	9a9991cd738a7ff089aa7556c214ddd251ad8f980000aded63e64260e9b40349	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0219_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0219	A_strong_candidate	terminase	1200	a0d0e7f2a36658eb9b4bf69ee63db78566210d520d124b27dcf71eb7ae3f3365	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0021_MEMBER_INTERIOR_02	ntm_bait	member_interior	0_0021	A_strong_candidate	member_midpoint	1200	b417d94398152f54c99842ff1ff2bcf473ca20f5c48b77238d526f58acf0617f	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0024_JUNCTION_02	ntm_bait	junction	0_0024	B_moderate_candidate	partition_junction	1000	6bc77aaab707c5fdf63c584a024b2fc25318912b0f369132cac4337e0d1c55a9	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0073_JUNCTION_01	ntm_bait	junction	0_0073	A_strong_candidate	partition_junction	1000	a1d09af972042fca832b70472a8447312bf691cbcd162c582b0dd653ee6dc13c	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0000_JUNCTION_02	ntm_bait	junction	0_0000	A_strong_candidate	partition_junction	1000	ad94e22fe28796ab0c418476704d3a347de82048d5a8df92f19d1417dda1d34c	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0032_JUNCTION_02	ntm_bait	junction	0_0032	B_moderate_candidate	partition_junction	1000	dc018ea7ed8fbd5db64fef884a289774111733bf06343df632992d27249f30fd	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0032_JUNCTION_03	ntm_bait	junction	0_0032	B_moderate_candidate	partition_junction	1000	f1d630674a6e1a6d8b235cbc7f757b7e6b1641c1ef511228aaa3fd995f6159c8	ntm/v2/bait/panel/baits.fa
POSCON_D29_AF022214_2_MID1200	positive_control	control_public_reference				1200	89747507e6a93f08819efa0d7a1b0da4d32af3de8d7f3af22194109767136bb3	ext_panel:PHPUB-000587:AF022214.2[23963:25163] len=49127
POSCON_L5_NC_001335_1_MID1200	positive_control	control_public_reference				1200	d12a3cfa8459cd49528555933e6dc31dbe9b07e8fa2c61a02197e0a2182bb43d	ext_panel:PHPUB-001403:NC_001335.1[25548:26748] len=52297
NTMBAIT_SHUF_CONTROL_01	negative_control	control_shuffled_negative				1200	8db03e834792aeefcbd71d8cbff0633e585d1c0da485b8efa6ce7af972dd4199	ntm/v2/bait/panel/baits.fa
NTMBAIT_SHUF_CONTROL_02	negative_control	control_shuffled_negative				1200	061d93f71189825f93c0ba7994c0a2e03fb0926253f17b97763e90e2433d3f76	ntm/v2/bait/panel/baits.fa
