clade_id	community	n_members	status	length_bp	gc_content	max_n_run	completeness	n_members_aligned	identity_median	identity_min	identity_max	flags
clade_2_0078_ML	clade	0	ml	8126	0.4475	0		0				too_short
clade_2_0079_ML	clade	0	ml	5858	0.4667	0		0				too_short
clade_2_0080_ML	clade	0	ml	7848	0.4945	0		0				too_short
clade_3_0012_ML	clade	0	ml	2719	0.5116	0		0				too_short
clade_3_0017_ML	clade	0	ml	502	0.5139	0		0				too_short
clade_3_0018_ML	clade	0	ml	1128	0.4752	0		0				too_short
clade_3_0021_ML	clade	0	ml	6782	0.4502	0		0				too_short
clade_3_0029_ML	clade	0	ml	8477	0.5388	0		0				too_short
clade_3_0033_ML	clade	0	ml	5224	0.5145	0		0				too_short
clade_3_0034_ML	clade	0	ml	7252	0.5281	0		0				too_short
clade_3_0035_ML	clade	0	ml	9795	0.5113	0		0				too_short
clade_4_0009_ML	clade	0	ml	5884	0.5398	0		0				too_short
clade_4_0013_ML	clade	0	ml	2562	0.5234	0		0				too_short
clade_4_0014_ML	clade	0	ml	929	0.5867	0		0				too_short
clade_4_0015_ML	clade	0	ml	221588	0.5378	0		0				too_long
clade_4_0038_ML	clade	0	ml	7116	0.4677	0		0				too_short
clade_4_0040_ML	clade	0	ml	1114	0.4767	0		0				too_short
clade_4_0043_ML	clade	0	ml	8846	0.5157	0		0				too_short
clade_4_0045_ML	clade	0	ml	9007	0.5071	0		0				too_short
clade_4_0048_ML	clade	0	ml	2646	0.5336	0		0				too_short
clade_4_0050_ML	clade	0	ml	6619	0.477	0		0				too_short
clade_4_0054_ML	clade	0	ml	416	0.5096	0		0				too_short
clade_4_0056_ML	clade	0	ml	3115	0.522	0		0				too_short
clade_4_0058_ML	clade	0	ml	4253	0.4811	0		0				too_short
clade_4_0065_ML	clade	0	ml	845	0.5207	0		0				too_short
clade_4_0066_ML	clade	0	ml	8110	0.4894	0		0				too_short
clade_4_0067_ML	clade	0	ml	7903	0.481	216		0				too_short,long_n_run
clade_4_0068_ML	clade	0	ml	7884	0.5398	0		0				too_short
clade_4_0083_ML	clade	0	ml	415	0.5157	0		0				too_short
clade_4_0090_ML	clade	0	ml	4873	0.5288	0		0				too_short
