clade_id	community	n_members	status	length_bp	gc_content	max_n_run	completeness	n_members_aligned	identity_median	identity_min	identity_max	flags
clade_10_0028_ML	clade	0	ml	30000	0.461	0		0				
clade_10_0029_ML	clade	0	ml	55353	0.5108	0		0				
clade_10_0030_ML	clade	0	ml	164784	0.4767	0		0				
clade_10_0031_ML	clade	0	ml	47900	0.4498	0		0				
clade_10_0032_ML	clade	0	ml	66675	0.4781	0		0				
clade_10_0033_ML	clade	0	ml	58332	0.4745	0		0				
clade_10_0034_ML	clade	0	ml	67448	0.4601	0		0				
clade_10_0035_ML	clade	0	ml	12905	0.4787	0		0				
clade_10_0036_ML	clade	0	ml	43819	0.5227	0		0				
clade_10_0037_ML	clade	0	ml	41352	0.4918	0		0				
clade_10_0038_ML	clade	0	ml	52104	0.4967	0		0				
clade_10_0039_ML	clade	0	ml	66368	0.5496	0		0				
clade_10_0040_ML	clade	0	ml	47129	0.4649	0		0				
clade_10_0041_ML	clade	0	ml	3353	0.4888	0		0				too_short
clade_10_0042_ML	clade	0	ml	31383	0.5311	0		0				
clade_10_0043_ML	clade	0	ml	377	0.4775	0		0				too_short
clade_10_0044_ML	clade	0	ml	37488	0.5065	0		0				
clade_10_0045_ML	clade	0	ml	38096	0.4733	0		0				
clade_10_0046_ML	clade	0	ml	14567	0.4623	0		0				
clade_10_0047_ML	clade	0	ml	13581	0.4699	0		0				
clade_10_0048_ML	clade	0	ml	3414	0.4341	0		0				too_short
clade_10_0049_ML	clade	0	ml	20173	0.484	0		0				
clade_10_0050_ML	clade	0	ml	51679	0.5363	0		0				
clade_10_0051_ML	clade	0	ml	6494	0.4875	0		0				too_short
clade_10_0052_ML	clade	0	ml	24301	0.4599	0		0				
clade_10_0053_ML	clade	0	ml	1104	0.4402	0		0				too_short
clade_10_0054_ML	clade	0	ml	6315	0.4187	0		0				too_short
clade_10_0055_ML	clade	0	ml	26308	0.5252	0		0				
clade_10_0056_ML	clade	0	ml	228332	0.4736	0		0				too_long
clade_10_0057_ML	clade	0	ml	26452	0.5275	0		0				
clade_10_0058_ML	clade	0	ml	5202	0.4604	0		0				too_short
clade_10_0059_ML	clade	0	ml	5275	0.483	0		0				too_short
clade_10_0060_ML	clade	0	ml	36459	0.5071	0		0				
clade_10_0061_ML	clade	0	ml	19703	0.4197	0		0				
clade_10_0062_ML	clade	0	ml	53408	0.5219	0		0				
clade_10_0063_ML	clade	0	ml	31219	0.542	0		0				
clade_10_0064_ML	clade	0	ml	9781	0.5162	10		0				too_short
clade_10_0065_ML	clade	0	ml	14724	0.4537	0		0				
clade_10_0066_ML	clade	0	ml	12156	0.5183	0		0				
clade_10_0067_ML	clade	0	ml	29933	0.4641	0		0				
clade_10_0068_ML	clade	0	ml	35168	0.5148	0		0				
clade_10_0069_ML	clade	0	ml	4047	0.1483	2400		0				too_short,long_n_run
clade_10_0070_ML	clade	0	ml	55002	0.5033	0		0				
clade_10_0071_ML	clade	0	ml	9877	0.4608	0		0				too_short
clade_10_0072_ML	clade	0	ml	90532	0.5085	0		0				
clade_10_0073_ML	clade	0	ml	83969	0.4751	0		0				
clade_10_0074_ML	clade	0	ml	44754	0.5061	0		0				
clade_10_0075_ML	clade	0	ml	111924	0.5247	0		0				
clade_10_0076_ML	clade	0	ml	79179	0.5099	0		0				
clade_10_0077_ML	clade	0	ml	43547	0.5006	0		0				
clade_10_0078_ML	clade	0	ml	94123	0.5023	0		0				
clade_10_0079_ML	clade	0	ml	72870	0.4744	0		0				
clade_10_0080_ML	clade	0	ml	91315	0.5016	0		0				
clade_10_0081_ML	clade	0	ml	126203	0.5215	0		0				
clade_10_0082_ML	clade	0	ml	71419	0.4966	0		0				
clade_10_0083_ML	clade	0	ml	79621	0.4666	0		0				
clade_10_0084_ML	clade	0	ml	72310	0.4862	0		0				
clade_10_0085_ML	clade	0	ml	101331	0.5128	0		0				
clade_10_0086_ML	clade	0	ml	23875	0.5117	0		0				
clade_10_0087_ML	clade	0	ml	54924	0.4526	0		0				
clade_10_0088_ML	clade	0	ml	38616	0.4546	0		0				
clade_10_0089_ML	clade	0	ml	79671	0.4605	0		0				
clade_10_0090_ML	clade	0	ml	70365	0.5118	0		0				
clade_10_0091_ML	clade	0	ml	77034	0.5029	0		0				
clade_10_0092_ML	clade	0	ml	40895	0.5059	0		0				
clade_10_0093_ML	clade	0	ml	83481	0.4925	0		0				
clade_10_0094_ML	clade	0	ml	77841	0.5089	0		0				
clade_10_0095_ML	clade	0	ml	74446	0.5119	0		0				
clade_10_0096_ML	clade	0	ml	76791	0.4743	0		0				
clade_10_0097_ML	clade	0	ml	24577	0.4566	0		0				
clade_10_0098_ML	clade	0	ml	50753	0.5065	20		0				
clade_10_0099_ML	clade	0	ml	66838	0.472	0		0				
clade_10_0100_ML	clade	0	ml	59772	0.45	0		0				
clade_10_0101_ML	clade	0	ml	55969	0.4914	0		0				
clade_10_0102_ML	clade	0	ml	98054	0.4728	0		0				
clade_10_0103_ML	clade	0	ml	45658	0.4803	0		0				
clade_10_0104_ML	clade	0	ml	57908	0.4875	0		0				
clade_10_0105_ML	clade	0	ml	17959	0.4913	0		0				
clade_10_0106_ML	clade	0	ml	64952	0.4767	0		0				
clade_10_0107_ML	clade	0	ml	48518	0.4973	0		0				
clade_10_0108_ML	clade	0	ml	29098	0.547	100		0				long_n_run
clade_10_0109_ML	clade	0	ml	18402	0.4929	0		0				
clade_10_0110_ML	clade	0	ml	74647	0.516	0		0				
clade_10_0111_ML	clade	0	ml	31812	0.5196	0		0				
clade_10_0112_ML	clade	0	ml	15851	0.4814	0		0				
clade_10_0113_ML	clade	0	ml	23260	0.4738	246		0				long_n_run
clade_10_0114_ML	clade	0	ml	18542	0.5118	0		0				
clade_10_0115_ML	clade	0	ml	8893	0.4802	0		0				too_short
clade_10_0116_ML	clade	0	ml	14362	0.4561	0		0				
clade_10_0117_ML	clade	0	ml	82230	0.5083	0		0				
clade_10_0118_ML	clade	0	ml	18507	0.475	0		0				
clade_10_0119_ML	clade	0	ml	22735	0.4967	0		0				
clade_10_0120_ML	clade	0	ml	36099	0.4879	0		0				
clade_10_0121_ML	clade	0	ml	19627	0.47	0		0				
clade_10_0122_ML	clade	0	ml	62775	0.5464	0		0				
clade_10_0123_ML	clade	0	ml	17505	0.4603	0		0				
clade_10_0124_ML	clade	0	ml	8124	0.4782	0		0				too_short
clade_10_0125_ML	clade	0	ml	7107	0.3454	1400		0				too_short,long_n_run
clade_10_0126_ML	clade	0	ml	59479	0.4662	0		0				
clade_10_0127_ML	clade	0	ml	57802	0.4929	0		0				
clade_10_0128_ML	clade	0	ml	22618	0.4745	0		0				
clade_10_0129_ML	clade	0	ml	28187	0.5088	0		0				
clade_10_0130_ML	clade	0	ml	42927	0.4774	0		0				
clade_10_0131_ML	clade	0	ml	41881	0.5424	0		0				
clade_10_0132_ML	clade	0	ml	30453	0.4778	0		0				
clade_10_0133_ML	clade	0	ml	16831	0.5341	0		0				
clade_10_0134_ML	clade	0	ml	4699	0.4541	0		0				too_short
clade_10_0135_ML	clade	0	ml	15191	0.4828	0		0				
clade_10_0136_ML	clade	0	ml	6426	0.5584	0		0				too_short
clade_10_0137_ML	clade	0	ml	43016	0.4943	990		0				long_n_run
clade_10_0138_ML	clade	0	ml	5346	0.5385	0		0				too_short
clade_10_0139_ML	clade	0	ml	15379	0.4733	78		0				
clade_10_0140_ML	clade	0	ml	70788	0.5273	0		0				
clade_10_0141_ML	clade	0	ml	88763	0.52	0		0				
clade_10_0142_ML	clade	0	ml	92624	0.505	0		0				
clade_10_0143_ML	clade	0	ml	91427	0.4949	0		0				
clade_10_0144_ML	clade	0	ml	82798	0.5045	0		0				
clade_10_0145_ML	clade	0	ml	88923	0.4874	0		0				
clade_10_0146_ML	clade	0	ml	88201	0.5046	0		0				
clade_10_0147_ML	clade	0	ml	53036	0.4902	0		0				
clade_10_0148_ML	clade	0	ml	31516	0.4709	0		0				
clade_10_0149_ML	clade	0	ml	32218	0.494	0		0				
clade_10_0150_ML	clade	0	ml	54622	0.54	0		0				
clade_10_0151_ML	clade	0	ml	60479	0.5153	0		0				
clade_10_0152_ML	clade	0	ml	43273	0.5418	0		0				
clade_10_0153_ML	clade	0	ml	29833	0.4964	0		0				
clade_10_0154_ML	clade	0	ml	33432	0.5368	0		0				
clade_10_0155_ML	clade	0	ml	151989	0.5121	0		0				
clade_10_0156_ML	clade	0	ml	66483	0.511	0		0				
clade_10_0157_ML	clade	0	ml	129976	0.5126	0		0				
clade_10_0158_ML	clade	0	ml	92633	0.5029	0		0				
clade_10_0159_ML	clade	0	ml	81639	0.5165	0		0				
clade_10_0160_ML	clade	0	ml	82779	0.4702	0		0				
clade_10_0161_ML	clade	0	ml	95510	0.5034	0		0				
clade_10_0162_ML	clade	0	ml	23859	0.4736	262		0				long_n_run
clade_10_0163_ML	clade	0	ml	68131	0.5039	0		0				
clade_10_0164_ML	clade	0	ml	80028	0.5172	0		0				
clade_10_0165_ML	clade	0	ml	78634	0.5123	0		0				
clade_10_0166_ML	clade	0	ml	63606	0.5203	0		0				
clade_10_0167_ML	clade	0	ml	51851	0.505	0		0				
clade_10_0168_ML	clade	0	ml	18516	0.4662	0		0				
clade_10_0169_ML	clade	0	ml	21115	0.5081	0		0				
clade_10_0170_ML	clade	0	ml	35350	0.5205	0		0				
clade_10_0171_ML	clade	0	ml	29288	0.5061	0		0				
clade_10_0172_ML	clade	0	ml	44050	0.538	0		0				
clade_10_0173_ML	clade	0	ml	84066	0.5216	0		0				
clade_10_0174_ML	clade	0	ml	96416	0.4988	0		0				
clade_10_0175_ML	clade	0	ml	69117	0.4987	0		0				
clade_10_0176_ML	clade	0	ml	77748	0.4952	0		0				
clade_10_0177_ML	clade	0	ml	93825	0.4997	0		0				
clade_10_0178_ML	clade	0	ml	62058	0.5034	0		0				
clade_10_0179_ML	clade	0	ml	57801	0.4968	0		0				
clade_10_0180_ML	clade	0	ml	22073	0.4906	0		0				
clade_10_0181_ML	clade	0	ml	44227	0.5135	0		0				
clade_10_0182_ML	clade	0	ml	19566	0.48	0		0				
clade_10_0183_ML	clade	0	ml	29736	0.4717	0		0				
clade_10_0184_ML	clade	0	ml	7738	0.48	0		0				too_short
clade_10_0185_ML	clade	0	ml	63318	0.5104	0		0				
clade_10_0186_ML	clade	0	ml	29371	0.4915	0		0				
clade_10_0187_ML	clade	0	ml	49096	0.4967	0		0				
clade_10_0188_ML	clade	0	ml	53923	0.5087	0		0				
clade_10_0189_ML	clade	0	ml	87547	0.5001	0		0				
clade_10_0190_ML	clade	0	ml	57748	0.5025	0		0				
clade_10_0191_ML	clade	0	ml	34629	0.4893	0		0				
clade_10_0192_ML	clade	0	ml	47964	0.5242	25		0				
clade_10_0193_ML	clade	0	ml	46617	0.5269	0		0				
clade_10_0194_ML	clade	0	ml	43812	0.5257	0		0				
clade_10_0195_ML	clade	0	ml	74735	0.5196	0		0				
clade_10_0196_ML	clade	0	ml	71789	0.532	0		0				
clade_10_0197_ML	clade	0	ml	72615	0.5098	0		0				
clade_10_0198_ML	clade	0	ml	67913	0.5174	0		0				
clade_10_0199_ML	clade	0	ml	35118	0.5133	0		0				
clade_11_0000_ML	clade	0	ml	31357	0.4711	0		0				
clade_1_0000_ML	clade	0	ml	106624	0.5008	0		0				
clade_1_0001_ML	clade	0	ml	92462	0.5178	0		0				
clade_1_0002_ML	clade	0	ml	92872	0.5076	0		0				
clade_1_0003_ML	clade	0	ml	100707	0.5017	0		0				
clade_1_0004_ML	clade	0	ml	84238	0.4961	0		0				
clade_1_0005_ML	clade	0	ml	119331	0.5001	0		0				
clade_1_0006_ML	clade	0	ml	119430	0.5015	0		0				
clade_1_0007_ML	clade	0	ml	124046	0.4963	0		0				
clade_1_0008_ML	clade	0	ml	120408	0.5011	0		0				
clade_1_0009_ML	clade	0	ml	96064	0.494	0		0				
clade_1_0010_ML	clade	0	ml	134816	0.5095	0		0				
clade_1_0011_ML	clade	0	ml	118436	0.4985	0		0				
clade_1_0012_ML	clade	0	ml	71804	0.4779	0		0				
clade_1_0013_ML	clade	0	ml	110163	0.496	0		0				
clade_1_0014_ML	clade	0	ml	115117	0.457	0		0				
clade_1_0015_ML	clade	0	ml	78177	0.4832	0		0				
clade_1_0016_ML	clade	0	ml	52268	0.4913	0		0				
clade_1_0017_ML	clade	0	ml	55331	0.5197	0		0				
clade_1_0018_ML	clade	0	ml	9891	0.4926	0		0				too_short
clade_1_0019_ML	clade	0	ml	59828	0.47	0		0				
clade_1_0020_ML	clade	0	ml	6452	0.463	0		0				too_short
clade_1_0021_ML	clade	0	ml	66948	0.5204	0		0				
clade_1_0022_ML	clade	0	ml	43137	0.4904	0		0				
clade_1_0023_ML	clade	0	ml	152544	0.4689	0		0				
clade_1_0024_ML	clade	0	ml	2382	0.4782	0		0				too_short
clade_1_0025_ML	clade	0	ml	73891	0.5129	0		0				
clade_1_0026_ML	clade	0	ml	51736	0.4931	0		0				
clade_1_0027_ML	clade	0	ml	25334	0.4779	0		0				
clade_1_0028_ML	clade	0	ml	1068	0.4616	0		0				too_short
clade_1_0029_ML	clade	0	ml	7264	0.4426	0		0				too_short
clade_1_0030_ML	clade	0	ml	43663	0.4927	0		0				
clade_1_0031_ML	clade	0	ml	57698	0.5001	0		0				
clade_1_0032_ML	clade	0	ml	51860	0.4927	0		0				
clade_1_0033_ML	clade	0	ml	13672	0.4631	0		0				
clade_1_0034_ML	clade	0	ml	3129	0.4206	70		0				too_short
clade_1_0035_ML	clade	0	ml	10172	0.4214	0		0				
clade_1_0036_ML	clade	0	ml	45869	0.4688	0		0				
clade_1_0037_ML	clade	0	ml	15162	0.5183	0		0				
clade_1_0038_ML	clade	0	ml	25875	0.5113	1		0				
clade_1_0039_ML	clade	0	ml	93665	0.5027	0		0				
clade_1_0040_ML	clade	0	ml	30000	0.4865	0		0				
clade_1_0041_ML	clade	0	ml	68207	0.5143	0		0				
clade_1_0042_ML	clade	0	ml	5206	0.4962	0		0				too_short
clade_1_0043_ML	clade	0	ml	7734	0.4369	0		0				too_short
clade_1_0044_ML	clade	0	ml	20625	0.4911	0		0				
clade_1_0045_ML	clade	0	ml	33639	0.4719	0		0				
clade_1_0046_ML	clade	0	ml	17476	0.4784	0		0				
clade_1_0047_ML	clade	0	ml	10365	0.4673	0		0				
clade_1_0048_ML	clade	0	ml	88458	0.5111	0		0				
clade_1_0049_ML	clade	0	ml	31130	0.4752	0		0				
clade_1_0050_ML	clade	0	ml	24141	0.4928	0		0				
clade_1_0051_ML	clade	0	ml	88620	0.4864	0		0				
clade_1_0052_ML	clade	0	ml	40266	0.491	0		0				
clade_1_0053_ML	clade	0	ml	47458	0.5012	0		0				
clade_1_0054_ML	clade	0	ml	26935	0.4848	0		0				
clade_1_0055_ML	clade	0	ml	15062	0.4932	0		0				
clade_1_0056_ML	clade	0	ml	15619	0.4792	0		0				
clade_1_0057_ML	clade	0	ml	30269	0.4935	0		0				
clade_2_0000_ML	clade	0	ml	79609	0.5278	0		0				
clade_2_0001_ML	clade	0	ml	107545	0.5199	0		0				
clade_2_0002_ML	clade	0	ml	80950	0.5088	0		0				
clade_2_0003_ML	clade	0	ml	132345	0.5117	0		0				
clade_2_0004_ML	clade	0	ml	121580	0.5083	0		0				
clade_2_0005_ML	clade	0	ml	75379	0.5117	0		0				
clade_2_0006_ML	clade	0	ml	61848	0.5049	0		0				
clade_2_0007_ML	clade	0	ml	123564	0.5193	0		0				
clade_2_0008_ML	clade	0	ml	97120	0.5045	0		0				
clade_2_0009_ML	clade	0	ml	60812	0.5117	0		0				
clade_2_0010_ML	clade	0	ml	58963	0.52	0		0				
clade_2_0011_ML	clade	0	ml	74764	0.5031	0		0				
clade_2_0012_ML	clade	0	ml	31672	0.5267	0		0				
clade_2_0013_ML	clade	0	ml	39460	0.5453	0		0				
clade_2_0014_ML	clade	0	ml	66811	0.5121	0		0				
clade_2_0015_ML	clade	0	ml	60846	0.4961	0		0				
clade_2_0016_ML	clade	0	ml	7152	0.5611	0		0				too_short
clade_2_0017_ML	clade	0	ml	83116	0.4928	0		0				
clade_2_0018_ML	clade	0	ml	75486	0.503	0		0				
clade_2_0019_ML	clade	0	ml	63371	0.5115	0		0				
clade_2_0020_ML	clade	0	ml	29956	0.5433	0		0				
clade_2_0021_ML	clade	0	ml	4015	0.5646	0		0				too_short
clade_2_0022_ML	clade	0	ml	73467	0.5091	0		0				
clade_2_0023_ML	clade	0	ml	75910	0.5059	0		0				
clade_2_0024_ML	clade	0	ml	46609	0.506	0		0				
clade_2_0025_ML	clade	0	ml	47654	0.5112	0		0				
clade_2_0026_ML	clade	0	ml	71433	0.5258	0		0				
clade_2_0027_ML	clade	0	ml	74540	0.519	0		0				
clade_2_0028_ML	clade	0	ml	36401	0.5176	0		0				
clade_2_0029_ML	clade	0	ml	21991	0.5083	0		0				
clade_2_0030_ML	clade	0	ml	78500	0.5315	0		0				
clade_2_0031_ML	clade	0	ml	41544	0.4885	0		0				
clade_2_0032_ML	clade	0	ml	52086	0.4904	0		0				
clade_2_0033_ML	clade	0	ml	98500	0.4858	0		0				
clade_2_0034_ML	clade	0	ml	31955	0.494	0		0				
clade_2_0035_ML	clade	0	ml	8261	0.4052	0		0				too_short
clade_2_0036_ML	clade	0	ml	41886	0.5259	0		0				
clade_2_0037_ML	clade	0	ml	890	0.436	10		0				too_short
clade_2_0038_ML	clade	0	ml	4321	0.4754	0		0				too_short
clade_2_0039_ML	clade	0	ml	29341	0.4736	0		0				
clade_2_0040_ML	clade	0	ml	44328	0.4875	0		0				
clade_2_0041_ML	clade	0	ml	5835	0.5124	0		0				too_short
clade_2_0042_ML	clade	0	ml	4047	0.5562	0		0				too_short
clade_2_0043_ML	clade	0	ml	37810	0.5074	0		0				
clade_2_0044_ML	clade	0	ml	20545	0.5011	0		0				
clade_2_0045_ML	clade	0	ml	7959	0.4948	0		0				too_short
clade_2_0046_ML	clade	0	ml	38498	0.5433	0		0				
clade_2_0047_ML	clade	0	ml	31538	0.4936	1910		0				long_n_run
clade_2_0048_ML	clade	0	ml	31044	0.5432	0		0				
clade_2_0049_ML	clade	0	ml	44911	0.4957	0		0				
clade_2_0050_ML	clade	0	ml	34255	0.5017	0		0				
clade_2_0051_ML	clade	0	ml	44936	0.5045	0		0				
clade_2_0052_ML	clade	0	ml	30902	0.4714	0		0				
clade_2_0053_ML	clade	0	ml	3581	0.4381	0		0				too_short
clade_2_0054_ML	clade	0	ml	54639	0.5065	0		0				
clade_2_0055_ML	clade	0	ml	53772	0.5238	0		0				
clade_2_0056_ML	clade	0	ml	19900	0.4927	0		0				
clade_2_0057_ML	clade	0	ml	28727	0.5164	0		0				
clade_2_0058_ML	clade	0	ml	30463	0.5296	0		0				
clade_2_0059_ML	clade	0	ml	58600	0.5486	0		0				
clade_2_0060_ML	clade	0	ml	40325	0.4926	0		0				
clade_2_0061_ML	clade	0	ml	29266	0.5414	0		0				
clade_2_0062_ML	clade	0	ml	39244	0.5153	0		0				
clade_2_0063_ML	clade	0	ml	56020	0.5151	0		0				
clade_2_0064_ML	clade	0	ml	18053	0.5144	0		0				
clade_2_0065_ML	clade	0	ml	32000	0.5372	0		0				
clade_2_0066_ML	clade	0	ml	29796	0.5438	0		0				
