seq_name	chromosome_score	plasmid_score	virus_score
GCA_001583545.1#1#LNAV01000111	0.8000	0.1957	0.0043
GCA_001583545.1#1#LNAV01000166	0.3490	0.4996	0.1513
GCA_001583545.1#1#LNAV01000064	0.5993	0.3900	0.0107
GCA_001583545.1#1#LNAV01000112	0.6609	0.3282	0.0109
GCA_001583545.1#1#LNAV01000070	0.6505	0.3464	0.0031
GCA_001583545.1#1#LNAV01000126	0.8081	0.1824	0.0095
GCA_001583545.1#1#LNAV01000135	0.5824	0.3326	0.0850
GCA_001583545.1#1#LNAV01000167	0.5431	0.4145	0.0424
GCA_001583545.1#1#LNAV01000062	0.5258	0.3472	0.1270
GCA_001583545.1#1#LNAV01000090	0.4853	0.5078	0.0069
GCA_001583545.1#1#LNAV01000071	0.4514	0.5041	0.0444
GCA_001583545.1#1#LNAV01000001	0.7247	0.2164	0.0589
GCA_001583545.1#1#LNAV01000161	0.3052	0.6583	0.0364
GCA_001583545.1#1#LNAV01000078	0.4623	0.4581	0.0796
GCA_001583545.1#1#LNAV01000159	0.6103	0.3843	0.0054
GCA_001583545.1#1#LNAV01000134	0.6584	0.2989	0.0427
GCA_001583545.1#1#LNAV01000073	0.7250	0.2246	0.0504
GCA_001583545.1#1#LNAV01000145	0.5028	0.3765	0.1207
GCA_001583545.1#1#LNAV01000156	0.8056	0.1439	0.0505
GCA_001583545.1#1#LNAV01000081	0.4286	0.5337	0.0377
GCA_001583545.1#1#LNAV01000154	0.8450	0.1501	0.0048
GCA_001583545.1#1#LNAV01000077	0.5560	0.3223	0.1216
GCA_001583545.1#1#LNAV01000093	0.8510	0.1276	0.0214
GCA_001583545.1#1#LNAV01000152	0.5937	0.3797	0.0266
GCA_001583545.1#1#LNAV01000065	0.7947	0.2002	0.0052
GCA_001583545.1#1#LNAV01000043	0.7188	0.2499	0.0313
GCA_001583545.1#1#LNAV01000129	0.5811	0.3912	0.0277
GCA_001583545.1#1#LNAV01000108	0.7370	0.2108	0.0523
GCA_001583545.1#1#LNAV01000018	0.5780	0.4127	0.0094
GCA_001583545.1#1#LNAV01000119	0.4083	0.4696	0.1221
GCA_001583545.1#1#LNAV01000131	0.7668	0.1901	0.0432
GCA_001583545.1#1#LNAV01000151	0.7467	0.2371	0.0162
GCA_001583545.1#1#LNAV01000055	0.6099	0.3464	0.0437
GCA_001583545.1#1#LNAV01000128	0.5332	0.3752	0.0916
GCA_001583545.1#1#LNAV01000021	0.6281	0.1971	0.1748
GCA_001583545.1#1#LNAV01000163	0.6261	0.3574	0.0165
GCA_001583545.1#1#LNAV01000088	0.5452	0.2668	0.1880
GCA_001583545.1#1#LNAV01000008	0.4681	0.2631	0.2688
GCA_001583545.1#1#LNAV01000023	0.5735	0.3846	0.0419
GCA_001583545.1#1#LNAV01000084	0.4999	0.3902	0.1099
GCA_001583545.1#1#LNAV01000141	0.5857	0.4010	0.0133
GCA_001583545.1#1#LNAV01000104	0.4022	0.5392	0.0586
GCA_001583545.1#1#LNAV01000124	0.7764	0.1959	0.0277
GCA_001583545.1#1#LNAV01000044	0.7936	0.2062	0.0002
GCA_001583545.1#1#LNAV01000107	0.6208	0.3468	0.0324
GCA_001583545.1#1#LNAV01000054	0.4747	0.3541	0.1712
GCA_001583545.1#1#LNAV01000164	0.6382	0.3576	0.0042
GCA_001583545.1#1#LNAV01000060	0.2611	0.6028	0.1361
GCA_001583545.1#1#LNAV01000041	0.7757	0.1987	0.0256
GCA_001583545.1#1#LNAV01000114	0.5127	0.4782	0.0091
GCA_001583545.1#1#LNAV01000020	0.6366	0.3220	0.0414
GCA_001583545.1#1#LNAV01000069	0.2899	0.6972	0.0129
GCA_001583545.1#1#LNAV01000127	0.6676	0.3230	0.0094
GCA_001583545.1#1#LNAV01000085	0.2902	0.4994	0.2104
GCA_001583545.1#1#LNAV01000010	0.2872	0.5119	0.2009
GCA_001583545.1#1#LNAV01000130	0.7773	0.2201	0.0026
GCA_001583545.1#1#LNAV01000103	0.7232	0.2647	0.0121
GCA_001583545.1#1#LNAV01000157	0.5603	0.2657	0.1739
GCA_001583545.1#1#LNAV01000061	0.4790	0.5129	0.0081
GCA_001583545.1#1#LNAV01000162	0.5974	0.3119	0.0907
GCA_001583545.1#1#LNAV01000089	0.6480	0.3402	0.0118
GCA_001583545.1#1#LNAV01000036	0.4446	0.3340	0.2215
GCA_001583545.1#1#LNAV01000110	0.4051	0.3798	0.2152
GCA_001583545.1#1#LNAV01000155	0.3689	0.5100	0.1210
GCA_001583545.1#1#LNAV01000057	0.5331	0.4267	0.0402
GCA_001583545.1#1#LNAV01000120	0.3432	0.6483	0.0086
GCA_001583545.1#1#LNAV01000142	0.8073	0.1908	0.0019
GCA_001583545.1#1#LNAV01000122	0.3842	0.5129	0.1028
GCA_001583545.1#1#LNAV01000132	0.7605	0.2354	0.0041
GCA_001583545.1#1#LNAV01000048	0.5992	0.3830	0.0178
GCA_001583545.1#1#LNAV01000004	0.6761	0.2808	0.0431
GCA_001583545.1#1#LNAV01000080	0.6439	0.3256	0.0304
GCA_001583545.1#1#LNAV01000169	0.8226	0.1745	0.0029
GCA_001583545.1#1#LNAV01000038	0.2860	0.7120	0.0019
GCA_001583545.1#1#LNAV01000086	0.8078	0.1870	0.0052
GCA_001583545.1#1#LNAV01000040	0.1376	0.7821	0.0803
GCA_001583545.1#1#LNAV01000144	0.4371	0.4933	0.0695
GCA_001583545.1#1#LNAV01000087	0.6324	0.3609	0.0067
GCA_001583545.1#1#LNAV01000106	0.4591	0.4439	0.0970
GCA_001583545.1#1#LNAV01000097	0.3092	0.6797	0.0111
GCA_001583545.1#1#LNAV01000013	0.5915	0.3585	0.0501
GCA_001583545.1#1#LNAV01000074	0.7701	0.2284	0.0015
GCA_001583545.1#1#LNAV01000148	0.6709	0.3112	0.0180
GCA_001583545.1#1#LNAV01000150	0.5999	0.3801	0.0200
GCA_001583545.1#1#LNAV01000045	0.7179	0.2591	0.0230
GCA_001583545.1#1#LNAV01000034	0.5675	0.4223	0.0102
GCA_001583545.1#1#LNAV01000116	0.5182	0.4444	0.0374
GCA_001583545.1#1#LNAV01000017	0.6365	0.3474	0.0161
GCA_001583545.1#1#LNAV01000098	0.3548	0.5498	0.0954
GCA_001583545.1#1#LNAV01000105	0.5195	0.3986	0.0819
GCA_001583545.1#1#LNAV01000153	0.5421	0.4025	0.0554
GCA_001583545.1#1#LNAV01000165	0.6123	0.3722	0.0154
GCA_001583545.1#1#LNAV01000032	0.6886	0.3037	0.0077
GCA_001583545.1#1#LNAV01000121	0.3747	0.6157	0.0096
GCA_001583545.1#1#LNAV01000025	0.6572	0.3296	0.0133
GCA_001583545.1#1#LNAV01000009	0.5792	0.4099	0.0110
GCA_001583545.1#1#LNAV01000063	0.5924	0.4064	0.0012
GCA_001583545.1#1#LNAV01000137	0.5824	0.2277	0.1899
GCA_001583545.1#1#LNAV01000059	0.4633	0.5279	0.0088
GCA_001583545.1#1#LNAV01000149	0.6364	0.3244	0.0392
GCA_001583545.1#1#LNAV01000052	0.4267	0.5328	0.0405
GCA_001583545.1#1#LNAV01000014	0.6306	0.3599	0.0095
GCA_001583545.1#1#LNAV01000100	0.5520	0.4352	0.0128
GCA_001583545.1#1#LNAV01000003	0.5487	0.4412	0.0101
GCA_001583545.1#1#LNAV01000082	0.6279	0.3661	0.0060
GCA_001583545.1#1#LNAV01000026	0.6910	0.3029	0.0061
GCA_001583545.1#1#LNAV01000046	0.7009	0.2792	0.0199
GCA_001583545.1#1#LNAV01000117	0.5662	0.4036	0.0302
GCA_001583545.1#1#LNAV01000006	0.5238	0.3600	0.1162
GCA_001583545.1#1#LNAV01000033	0.7383	0.2561	0.0056
GCA_001583545.1#1#LNAV01000031	0.6575	0.3302	0.0122
GCA_001583545.1#1#LNAV01000139	0.6365	0.3484	0.0151
GCA_001583545.1#1#LNAV01000075	0.2364	0.4533	0.3103
GCA_001583545.1#1#LNAV01000101	0.1608	0.8291	0.0101
GCA_001583545.1#1#LNAV01000002	0.5805	0.4165	0.0030
GCA_001583545.1#1#LNAV01000066	0.6886	0.3016	0.0098
GCA_001583545.1#1#LNAV01000012	0.5540	0.4370	0.0089
GCA_001583545.1#1#LNAV01000094	0.0636	0.2993	0.6372
GCA_001583545.1#1#LNAV01000138	0.5551	0.4222	0.0227
GCA_001583545.1#1#LNAV01000109	0.5913	0.3879	0.0208
GCA_001583545.1#1#LNAV01000027	0.6284	0.3302	0.0414
GCA_001583545.1#1#LNAV01000096	0.5674	0.4129	0.0197
GCA_001583545.1#1#LNAV01000039	0.5408	0.2827	0.1765
GCA_001583545.1#1#LNAV01000035	0.3820	0.4982	0.1198
