clade_id	n_members	status	ancestral	length	n_source_genomes	host_clades	species
0_0098	27	ml	yes	84794	27	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0099	6	ml	yes	16218	6	host_clade_0032,host_clade_0049,host_clade_0060	Mycobacterium gordonae,Mycobacterium sp.,Mycolicibacterium chlorophenolicum
0_0100	7	ml	yes	149709	7	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0101	12	ml	yes	150000	12	host_clade_0001,host_clade_0097	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides salmoniphilum
0_0102	65	ml	yes	150000	65	host_clade_0001,host_clade_0692	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycolicibacterium sp. XJ1819
0_0103	43	ml	yes	149891	43	host_clade_0001,host_clade_0097	Mycobacteroides abscessus,Mycobacteroides salmoniphilum
0_0104	1	singleton	n/a	30320	1	host_clade_0001	Mycobacteroides chelonae
0_0105	19	ml	yes	31382	18	host_clade_0001,host_clade_0059,host_clade_0097	Mycobacterium sp.,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0106	1	singleton	n/a	22676	1	host_clade_0001	Mycobacteroides abscessus
0_0107	11	ml	yes	116878	8	host_clade_0001	Mycobacteroides abscessus
0_0108	3	ml	yes	62067	3	host_clade_0047,host_clade_0496	Mycobacterium sp.,Mycolicibacter virginiensis
0_0109	21	ml	yes	111276	21	host_clade_0001,host_clade_0003,host_clade_0007,host_clade_0048,host_clade_0112,host_clade_0167	Mycobacterium avium,Mycolicibacter kumamotonensis,Mycolicibacterium houstonense
0_0110	10	ml	yes	149938	10	host_clade_0001,host_clade_0006,host_clade_0013	Mycobacteroides abscessus,Mycolicibacterium fortuitum,Mycolicibacterium senegalense
0_0111	4	ml	yes	122399	4	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides immunogenum
0_0112	5	ml	yes	150000	5	host_clade_0027,host_clade_0079,host_clade_0326	Mycobacterium polyniensis,Mycolicibacter algericus,[Mycobacterium] crassicus
0_0113	12	ml	yes	150000	12	host_clade_0001	Mycobacteroides abscessus
0_0114	42	ml	yes	149624	42	host_clade_0001,host_clade_0108	Mycobacterium sp. D16Q20,Mycobacterium sp. D16R24,Mycobacterium sp. D17A2
0_0115	67	ml	yes	150000	38	host_clade_0006,host_clade_0008,host_clade_0013,host_clade_0020,host_clade_0026,host_clade_0058,host_clade_0127,host_clade_0294,host_clade_0437,host_clade_0602	Mycobacterium dioxanotrophicus,Mycobacterium sp. 48b,Mycobacterium syngnathidarum
0_0116	1	singleton	n/a	13324	1	host_clade_0001	Mycobacteroides abscessus
0_0117	20	ml	yes	150000	20	host_clade_0006,host_clade_0008,host_clade_0013,host_clade_0058,host_clade_0217,host_clade_0408,host_clade_0437,host_clade_0627,host_clade_0846	Mycobacterium aquaticum,Mycobacterium dioxanotrophicus,Mycobacterium sp. 852013-50091_SCH5140682
0_0118	12	ml	yes	38165	12	host_clade_0001,host_clade_0798,host_clade_0850	Mycobacterium sp.,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0119	20	ml	yes	150000	20	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides immunogenum
0_0120	2	ml	yes	10557	2	host_clade_0108	Mycobacterium sp. D16R24,Mycobacterium sp. D17A2
0_0121	35	ml	yes	150000	35	host_clade_0006,host_clade_0008,host_clade_0013,host_clade_0020,host_clade_0602	Mycobacterium sp. 48b,Mycolicibacterium fortuitum,Mycolicibacterium nivoides
0_0122	52	ml	yes	149934	52	host_clade_0001,host_clade_0003,host_clade_0005,host_clade_0010,host_clade_0104,host_clade_0117,host_clade_0155,host_clade_0163,host_clade_0263,host_clade_0514	Mycobacterium avium,Mycobacterium intracellulare,Mycobacterium saskatchewanense
0_0123	51	ml	yes	149993	36	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0124	48	ml	yes	149999	48	host_clade_0002,host_clade_0003,host_clade_0004,host_clade_0005,host_clade_0015,host_clade_0023,host_clade_0030,host_clade_0063,host_clade_0066,host_clade_0076,host_clade_0136,host_clade_0202,host_clade_0759	Mycobacterium avium,Mycobacterium colombiense,Mycobacterium marinum
0_0125	32	ml	yes	149755	31	host_clade_0005,host_clade_0010,host_clade_0056,host_clade_0057,host_clade_0069,host_clade_0109,host_clade_0163,host_clade_0358,host_clade_0480	Mycobacterium gallinarum,Mycobacterium intracellulare,Mycobacterium malmoense
0_0126	20	ml	yes	118861	20	host_clade_0001	Mycobacteroides abscessus
0_0127	15	ml	yes	103520	13	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0128	31	ml	yes	149994	31	host_clade_0001	Mycobacterium sp. MHSD3,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0129	45	ml	yes	150000	45	host_clade_0001,host_clade_0006,host_clade_0008,host_clade_0013,host_clade_0015,host_clade_0020,host_clade_0289	Mycobacterium sp. RTGN6,Mycobacteroides abscessus,Mycolicibacterium fortuitum
0_0130	19	ml	yes	149974	18	host_clade_0003,host_clade_0005,host_clade_0092,host_clade_0121,host_clade_0174,host_clade_0233,host_clade_0317	Mycobacterium avium,Mycobacterium branderi,Mycobacterium celatum
0_0131	7	ml	yes	41299	7	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0132	14	ml	yes	149879	11	host_clade_0013,host_clade_0015,host_clade_0020,host_clade_0058,host_clade_0437,host_clade_0602	Mycobacterium dioxanotrophicus,Mycobacterium sp. 48b,Mycobacterium syngnathidarum
0_0133	4	ml	yes	97060	4	host_clade_0001,host_clade_0081,host_clade_0170	Mycobacterium sp. TY815,Mycobacteroides abscessus,Mycolicibacterium gilvum
0_0134	26	ml	yes	150000	23	host_clade_0006,host_clade_0008,host_clade_0013,host_clade_0015,host_clade_0602	Mycobacterium sp. 48b,Mycobacterium sp. NPDC049093,Mycolicibacterium arcueilense
0_0135	4	ml	yes	149971	4	host_clade_0001	Mycobacteroides abscessus
0_0136	21	ml	yes	38965	21	host_clade_0003,host_clade_0005,host_clade_0010,host_clade_0121,host_clade_0714	Mycobacterium avium,Mycobacterium europaeum,Mycobacterium paraintracellulare
0_0137	38	ml	yes	150000	38	host_clade_0001,host_clade_0004	Mycobacterium kansasii,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0138	2	ml	yes	72217	2	host_clade_0015,host_clade_0026	Mycobacterium sp. NPDC051198,Mycolicibacterium mageritense
0_0139	31	ml	yes	149981	31	host_clade_0007,host_clade_0008,host_clade_0029,host_clade_0165,host_clade_0194	Mycobacterium lentiflavum,Mycobacterium sp.,Mycolicibacterium nivoides
0_0140	2	ml	yes	149899	2	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides immunogenum
0_0141	1	singleton	n/a	27036	1	host_clade_0001	Mycobacteroides abscessus
0_0142	3	ml	yes	23352	3	host_clade_0015,host_clade_0063	Mycolicibacterium peregrinum,Mycolicibacterium wolinskyi
0_0143	38	ml	yes	149985	38	host_clade_0006,host_clade_0107,host_clade_0126,host_clade_0145,host_clade_0229	Mycobacterium sp. SMC-8,Mycolicibacterium boenickei,Mycolicibacterium fortuitum
0_0144	11	ml	yes	149379	7	host_clade_0054,host_clade_0092,host_clade_0754	Mycobacterium botniense,Mycobacterium heckeshornense,Mycobacterium xenopi
0_0145	26	ml	yes	95183	25	host_clade_0001	Mycobacterium sp.,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0146	13	ml	yes	147977	13	host_clade_0001,host_clade_0006,host_clade_0020,host_clade_0026,host_clade_0038	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides franklinii
0_0147	8	ml	yes	27703	8	host_clade_0001	Mycobacteroides abscessus
0_0148	2	ml	yes	23298	2	host_clade_0179,host_clade_0313	Mycobacterium sp. D16Q16,Mycobacterium sp. NPDC050853
0_0149	7	ml	yes	55704	7	host_clade_0001	Mycobacteroides abscessus
0_0150	31	ml	yes	149996	30	host_clade_0003,host_clade_0004,host_clade_0005,host_clade_0022,host_clade_0050,host_clade_0066,host_clade_0070,host_clade_0080	Mycobacterium avium,Mycobacterium intracellulare,Mycobacterium kansasii
0_0151	8	ml	yes	24660	8	host_clade_0002	Mycobacterium marinum
0_0152	26	ml	yes	56403	26	host_clade_0006,host_clade_0008,host_clade_0020,host_clade_0103,host_clade_0759	Mycolicibacterium fortuitum,Mycolicibacterium porcinum,Mycolicibacterium septicum
0_0153	5	ml	yes	18748	5	host_clade_0141,host_clade_0260	Mycolicibacterium arabiense,[Mycobacterium] bulgaricum
0_0154	3	ml	yes	29939	3	host_clade_0001	Mycobacteroides abscessus
0_0155	5	ml	yes	26604	5	host_clade_0022,host_clade_0049,host_clade_0183,host_clade_0204	Mycobacterium gordonae,Mycobacterium kiyosense,Mycobacterium sp.
0_0156	15	ml	yes	44642	15	host_clade_0003,host_clade_0004,host_clade_0005,host_clade_0054,host_clade_0056,host_clade_0070,host_clade_0167,host_clade_0335	Mycobacterium avium,Mycobacterium intracellulare,Mycobacterium kansasii
0_0157	29	ml	yes	149989	29	host_clade_0003,host_clade_0008,host_clade_0027,host_clade_0274,host_clade_0299,host_clade_0326	Mycobacterium avium,Mycolicibacter longobardus,Mycolicibacter senuensis
0_0158	2	ml	yes	27017	2	host_clade_0001	Mycobacteroides abscessus
0_0159	19	ml	yes	108176	19	host_clade_0002	Mycobacterium marinum
0_0160	16	ml	yes	150000	13	host_clade_0032,host_clade_0049,host_clade_0066,host_clade_0170,host_clade_0361	Mycobacterium asiaticum,Mycobacterium gordonae,Mycobacterium paragordonae
0_0161	1	singleton	n/a	11994	1	host_clade_0036	Mycobacterium colombiense
0_0162	18	ml	yes	29049	18	host_clade_0005	Mycobacterium intracellulare
0_0163	12	ml	yes	58026	12	host_clade_0003,host_clade_0004,host_clade_0005,host_clade_0033,host_clade_0042,host_clade_0162,host_clade_0361	Mycobacterium asiaticum,Mycobacterium avium,Mycobacterium kansasii
0_0164	1	singleton	n/a	30763	1	host_clade_0771	[Mycobacterium] burgundiense
0_0165	19	ml	yes	30354	19	host_clade_0027,host_clade_0065,host_clade_0134,host_clade_0215	Mycobacterium novum,Mycolicibacter algericus,Mycolicibacter arupensis
0_0166	1	singleton	n/a	6532	1	host_clade_0001	Mycobacteroides abscessus
0_0167	15	ml	yes	27946	15	host_clade_0003,host_clade_0022,host_clade_0087,host_clade_0432	Mycobacterium avium,Mycobacterium kiyosense,Mycobacterium sp. WMMD1722
0_0168	8	ml	yes	10044	8	host_clade_0013,host_clade_0020,host_clade_0026	Mycobacterium sp. SWH-M3,Mycolicibacterium mageritense,Mycolicibacterium porcinum
0_0169	19	ml	yes	149956	18	host_clade_0003,host_clade_0005,host_clade_0229	Mycobacterium avium,Mycobacterium bouchedurhonense,Mycobacterium intracellulare
0_0170	1	singleton	n/a	11199	1	host_clade_0033	Mycolicibacterium acapulense
0_0171	9	ml	yes	78059	8	host_clade_0001,host_clade_0013,host_clade_0108	Mycobacterium farcinogenes,Mycobacterium sp. D16R24,Mycobacterium sp. D17A2
0_0172	12	ml	yes	149993	12	host_clade_0001,host_clade_0003,host_clade_0005,host_clade_0117,host_clade_0155,host_clade_0163	Mycobacterium avium,Mycobacterium intracellulare,Mycobacterium servetii
0_0173	2	ml	yes	78029	2	host_clade_0026,host_clade_0103	Mycolicibacterium mageritense,Mycolicibacterium setense
0_0174	12	ml	yes	57144	12	host_clade_0001,host_clade_0003,host_clade_0005,host_clade_0064,host_clade_0066,host_clade_0081,host_clade_0195,host_clade_0229,host_clade_0301,host_clade_0677	Mycobacterium avium,Mycobacterium gordonae,Mycobacterium paraintracellulare
0_0175	20	ml	yes	29948	20	host_clade_0008	Mycolicibacterium septicum
0_0176	20	ml	yes	149846	20	host_clade_0006,host_clade_0015,host_clade_0152	Mycolicibacterium alvei,Mycolicibacterium fortuitum,Mycolicibacterium peregrinum
0_0177	19	ml	yes	35760	19	host_clade_0019	Mycobacterium sp.,Mycobacteroides immunogenum
0_0178	18	ml	yes	63306	18	host_clade_0003,host_clade_0005,host_clade_0069,host_clade_0654	Mycobacterium avium,Mycobacterium colombiense,Mycobacterium intracellulare
0_0179	4	ml	yes	102925	4	host_clade_0055	Mycolicibacterium goodii
0_0180	3	ml	yes	50145	3	host_clade_0020,host_clade_0177	Mycobacterium sp. NPDC004974,Mycolicibacterium vulneris
0_0181	1	singleton	n/a	40787	1	host_clade_0155	Mycolicibacterium brisbanense
0_0182	6	ml	yes	64544	6	host_clade_0001,host_clade_0097	Mycobacteroides abscessus,Mycobacteroides salmoniphilum
0_0183	13	ml	yes	5348	13	host_clade_0003,host_clade_0036,host_clade_0575	Mycobacterium avium,Mycobacterium colombiense,Mycobacterium sp. MUNTM1
0_0184	6	ml	yes	150000	5	host_clade_0041,host_clade_0285	Mycolicibacterium llatzerense,Mycolicibacterium mucogenicum
0_0185	16	ml	yes	76772	10	host_clade_0007,host_clade_0066	Mycobacterium sp. TY813,Mycolicibacterium smegmatis
0_0186	10	ml	yes	149761	10	host_clade_0001,host_clade_0003,host_clade_0041,host_clade_0130	Mycobacterium avium,Mycobacterium sp. UNC280MFTsu5.1,Mycolicibacterium aubagnense
0_0187	6	ml	yes	28670	6	host_clade_0006,host_clade_0013,host_clade_0026,host_clade_0058	Mycobacterium sp. DBP42,Mycolicibacterium fortuitum,Mycolicibacterium mageritense
0_0188	9	ml	yes	115289	9	host_clade_0001,host_clade_0003,host_clade_0005	Mycobacterium avium,Mycobacterium intracellulare,Mycobacteroides abscessus
0_0189	14	ml	yes	83205	13	host_clade_0003,host_clade_0006,host_clade_0009,host_clade_0060,host_clade_0081,host_clade_0129,host_clade_0235,host_clade_0260,host_clade_0514	Mycobacterium avium,Mycobacterium sp. BK558,Mycobacterium sp. PYR10
0_0190	1	singleton	n/a	46601	1	host_clade_0001	Mycobacteroides chelonae
0_0191	7	ml	yes	13537	7	host_clade_0001,host_clade_0015,host_clade_0613	Mycobacterium sp.,Mycobacterium toneyamaense,Mycobacteroides abscessus
0_0192	1	singleton	n/a	51348	1	host_clade_0042	Mycolicibacterium obuense
0_0193	13	ml	yes	93091	13	host_clade_0004,host_clade_0032,host_clade_0128	Mycobacterium gordonae,Mycobacterium kansasii,Mycobacterium ostraviense
0_0194	4	ml	yes	126512	3	host_clade_0058,host_clade_0103	Mycobacterium sp. CnD-18-1,Mycolicibacterium setense,Mycolicibacterium sp. (ex Dasyatis americana)
0_0195	3	ml	yes	60289	3	host_clade_0001	Mycobacteroides abscessus
0_0196	5	ml	yes	142478	5	host_clade_0001,host_clade_0059	Mycobacterium sp.,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0197	2	ml	yes	59612	2	host_clade_0026,host_clade_0695	Mycolicibacterium frederiksbergense,Mycolicibacterium mageritense
0_0198	7	ml	yes	149819	7	host_clade_0003,host_clade_0006,host_clade_0013,host_clade_0049,host_clade_0055,host_clade_0299,host_clade_0326	Mycobacterium avium,Mycobacterium paragordonae,Mycolicibacterium fortuitum
0_0199	9	ml	yes	17946	9	host_clade_0030	Mycobacterium sp. NGS12,Mycobacterium sp. NGS13,Mycobacterium sp. NGS19
0_0200	14	ml	yes	11546	14	host_clade_0022,host_clade_0135	Mycobacterium asiaticum,Mycobacterium kiyosense
0_0201	14	ml	yes	23739	14	host_clade_0001,host_clade_0006,host_clade_0020	Mycobacteroides abscessus,Mycolicibacterium fortuitum,Mycolicibacterium vulneris
0_0202	1	singleton	n/a	9305	1	host_clade_0006	Mycolicibacterium fortuitum
0_0203	7	ml	yes	149690	6	host_clade_0005,host_clade_0056	Mycobacterium intracellulare,Mycobacterium malmoense,Mycobacterium paraintracellulare
0_0204	8	ml	yes	50661	8	host_clade_0001,host_clade_0064,host_clade_0081,host_clade_0229	Mycobacterium sp. PYR10,Mycobacterium sp. SMC-8,Mycobacteroides abscessus
0_0205	2	ml	yes	15459	2	host_clade_0064	Mycolicibacterium iranicum
0_0206	5	ml	yes	131556	5	host_clade_0001	Mycobacteroides abscessus
