selection_rank	clade_id	genome_id	tier	n_members	n_partitions	length_bp	medoid_member	selection_basis
25	3_0007	clade_3_0007_ML	A	100	589	48779	GCF_000459535.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
26	3_0027	clade_3_0027_ML	A	3	48	28273	GCF_001262775.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
27	4_0011	clade_4_0011_ML	A	100	1001	65050	GCF_000780015.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
28	4_0023	clade_4_0023_ML	A	79	1161	59059	GCF_001266385.1_prophage_4	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
29	4_0027	clade_4_0027_ML	A	100	4122	69604	GCF_000779265.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
30	4_0029	clade_4_0029_ML	A	25	124	18926	GCF_000407805.1_prophage_9	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
31	4_0033	clade_4_0033_ML	A	87	1203	79812	GCF_000235225.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
32	4_0044	clade_4_0044_ML	A	3	45	24705	GCF_000281775.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
33	4_0098	clade_4_0098_ML	A	5	53	30115	GCF_000818995.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
34	6_0000	clade_6_0000_ML	A	50	503	45239	GCF_000164355.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
35	4_0055	clade_4_0055_ML	A	2	81	57174	GCF_001265355.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
36	2_0050	clade_2_0050_ML	A	2	68	34255	GCF_000782275.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
37	4_0018	clade_4_0018_ML	A	6	58	30406	GCF_000355095.2_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
38	10_0120	clade_10_0120_ML	A	2	67	36099	GCF_000703865.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
39	1_0017	clade_1_0017_ML	A	74	917	55331	GCF_000776675.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
40	0_0098	clade_0_0098_ML	A	8	133	49684	GCF_000965635.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
41	0_0041	clade_0_0041_ML	A	91	1104	153858	GCF_001265235.1_prophage_4	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
42	10_0095	clade_10_0095_ML	A	19	279	74446	GCF_000627135.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
43	2_0039	clade_2_0039_ML	A	3	55	29341	GCF_000704325.1_prophage_7	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
44	3_0025	clade_3_0025_ML	A	2	94	51094	GCF_000696835.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
45	10_0170	clade_10_0170_ML	A	19	109	35350	GCF_000249955.1_prophage_11	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
46	0_0048	clade_0_0048_ML	A	44	273	29991	GCF_001521675.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
47	1_0030	clade_1_0030_ML	A	3	74	43663	GCF_000781955.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
48	3_0026	clade_3_0026_ML	A	12	170	64289	GCF_000714215.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
49	10_0185	clade_10_0185_ML	A	3	101	63318	GCF_000245515.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
50	0_0081	clade_0_0081_ML	A	9	185	64215	GCF_000496995.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
51	3_0023	clade_3_0023_ML	A	3	20	12640	GCF_001286685.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
52	0_0100	clade_0_0100_ML	A	6	100	50727	GCF_001039215.2_prophage_19	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
53	10_0166	clade_10_0166_ML	A	4	156	63606	GCF_000703885.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
54	1_0031	clade_1_0031_ML	A	2	99	57698	GCF_000408365.1_prophage_7	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
55	1_0053	clade_1_0053_ML	A	15	100	47458	GCF_001283605.2_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
56	0_0082	clade_0_0082_ML	A	15	306	85651	GCF_000462085.2_prophage_13	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
57	0_0037	clade_0_0037_ML	A	35	445	72456	GCF_000351025.1_prophage_12	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
58	10_0152	clade_10_0152_ML	A	39	391	43273	GCF_000507665.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
59	0_0038	clade_0_0038_ML	A	100	1320	67540	GCF_000619465.2_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
60	2_0023	clade_2_0023_ML	A	73	1321	75910	GCF_001286625.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
61	0_0000	clade_0_0000_ML	B	100	2401	106696	GCF_000460615.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
62	0_0046	clade_0_0046_ML	B	64	989	67176	GCF_000354455.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
63	0_0054	clade_0_0054_ML	B	29	318	66064	GCF_000408745.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
64	0_0067	clade_0_0067_ML	B	4	95	46334	GCF_000408365.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
65	0_0068	clade_0_0068_ML	B	2	80	45005	GCF_000753115.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
66	10_0002	clade_10_0002_ML	B	100	2806	155150	GCF_000692595.1_prophage_4	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
67	10_0037	clade_10_0037_ML	B	48	482	41352	GCF_000714255.1_prophage_9	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
68	10_0056	clade_10_0056_ML	B	4	426	228332	GCF_000268205.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
69	1_0001	clade_1_0001_ML	B	100	2039	92462	GCF_000782695.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
70	2_0000	clade_2_0000_ML	B	100	2385	79609	GCF_000021125.1_prophage_14	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
71	2_0014	clade_2_0014_ML	B	100	1765	66811	GCF_000017765.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
72	2_0025	clade_2_0025_ML	B	50	579	47654	GCF_000616345.2_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
73	2_0032	clade_2_0032_ML	B	3	103	52086	GCF_000408145.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
74	2_0043	clade_2_0043_ML	B	3	59	37810	GCF_000954045.1_prophage_4	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
75	2_0048	clade_2_0048_ML	B	3	62	31044	GCF_000304095.2_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
76	3_0000	clade_3_0000_ML	B	100	932	43078	GCF_001520935.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
77	4_0002	clade_4_0002_ML	B	100	1425	79992	GCF_000234295.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
78	4_0015	clade_4_0015_ML	B	100	2673	221588	GCF_000779265.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
79	4_0032	clade_4_0032_ML	B	100	1884	77369	GCF_000303915.2_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
80	4_0035	clade_4_0035_ML	B	7	115	48410	GCF_000488115.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
81	4_0100	clade_4_0100_ML	B	2	57	44239	GCF_000220005.1_prophage_8	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
82	8_0000	clade_8_0000_ML	B	5	47	24807	GCF_000797605.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
83	0_0043	clade_0_0043_ML	B	100	979	81929	GCF_000951955.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
84	0_0053	clade_0_0053_ML	B	65	538	71353	GCF_001269285.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
85	10_0068	clade_10_0068_ML	B	2	66	35168	GCF_000704025.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
86	10_0153	clade_10_0153_ML	B	25	82	29833	GCF_000356145.2_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
87	2_0030	clade_2_0030_ML	B	16	157	78500	GCF_000461015.1_prophage_7	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
88	2_0031	clade_2_0031_ML	B	29	136	41544	GCF_001280345.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
89	2_0040	clade_2_0040_ML	B	27	93	44328	GCF_000188875.1_prophage_10	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
90	4_0031	clade_4_0031_ML	B	18	95	61464	GCF_000691065.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
91	10_0024	clade_10_0024_ML	B	100	868	87188	GCF_000951835.2_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
92	10_0065	clade_10_0065_ML	B	6	26	14724	GCF_000354455.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
93	2_0028	clade_2_0028_ML	B	6	89	36401	GCF_000408025.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
94	4_0010	clade_4_0010_ML	B	100	481	53562	GCF_000267345.2_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
95	0_0033	clade_0_0033_ML	B	100	1859	70505	GCF_000446505.2_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
96	10_0055	clade_10_0055_ML	B	2	46	26308	GCF_000194535.1_prophage_18	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
97	10_0062	clade_10_0062_ML	B	2	82	53408	GCF_000352725.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
98	2_0026	clade_2_0026_ML	B	8	156	71433	GCF_000797915.1_prophage_4	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
99	3_0016	clade_3_0016_ML	B	13	35	14463	GCF_000250195.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
100	2_0027	clade_2_0027_ML	B	20	381	74540	GCF_000408345.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
