bait_id	bait_class	clade_id	genome_id	member_prophage_id	contig	start	end	length_bp	n_kmers_total	n_ambiguous	n_low_complexity	n_host_like	n_host_like_raw	n_internal_dup	n_usable_kmers	seq_sha256	status	reason
ECBAIT_10_0178_JUNCTION_01	junction	10_0178	clade_10_0178_ML		clade_10_0178_ML	5160	6159	1000	970	0	0	0	766	0	970	665eaf63ab04d18d2086eb3f5204c39a0a266b5351cd9ec5c0d8b418281f58b4	rejected	cross_bait_kmer_dup:0.771
ECBAIT_1_0022_JUNCTION_01	junction	1_0022	clade_1_0022_ML		clade_1_0022_ML	4028	5027	1000	970	0	30	0	940	0		cffb09b0196e523f0dcdd305c22927bc1505e474a4541788f4439513efce6e26	rejected	dominated_nonphage_markers
ECBAIT_1_0026_JUNCTION_02	junction	1_0026	clade_1_0026_ML		clade_1_0026_ML	1465	2464	1000	970	0	0	0	812	0	970	4f28ed79d42b1f676a51ea8e94b4c1a3285e7b1598b565de8fdf015b889968c7	rejected	cross_bait_kmer_dup:0.558
ECBAIT_0_0000_INTERIOR_MODULE_01	interior_module	0_0000	clade_0_0000_ML		clade_0_0000_ML	39992	41191	1200	1170	0	0	0	1031	0	1170	ab7f97f92b2bceee044e505f2aa917cd4fd57539f925fdc7205fbd5167dbbee1	accepted	accepted
ECBAIT_0_0000_JUNCTION_01	junction	0_0000	clade_0_0000_ML		clade_0_0000_ML	35554	36553	1000	970	0	38	0	945	0	932	1c8818ef6d95819b94bfc0c6513aff93e1503a85978ad39cfa6096240dabfd45	accepted	accepted
ECBAIT_0_0000_JUNCTION_02	junction	0_0000	clade_0_0000_ML		clade_0_0000_ML	43208	44207	1000	970	0	0	0	938	0	970	b498caa3805000d5e677bf03feac894207d2a7aaea27c91007787f8ff8381c7b	accepted	accepted
ECBAIT_0_0000_MEMBER_INTERIOR_01	member_interior	0_0000	clade_0_0000_ML	GCF_000460615.1_prophage_5	GCF_000460615.1_prophage_5	12659	13858	1200	1170	0	37	0	1170	0	1133	8f386ec38315da4e3cf9c7c85be7939536b9e69fdc59e988eecaea7a0ea7f399	accepted	accepted
ECBAIT_0_0014_INTERIOR_MODULE_01	interior_module	0_0014	clade_0_0014_ML		clade_0_0014_ML	3290	4489	1200	1170	0	0	0	1054	0	1170	2e5e8daea5d2b22af6dd6a3ce58006490f3f57b6c50773cb2f8a55eaeb844099	accepted	accepted
ECBAIT_0_0014_JUNCTION_01	junction	0_0014	clade_0_0014_ML		clade_0_0014_ML	25652	26651	1000	970	0	0	0	940	0	970	311c65c0f9d8d1d716d2142fea26e004b36aebb41010acb01486aaa229d5ae75	accepted	accepted
ECBAIT_0_0014_JUNCTION_02	junction	0_0014	clade_0_0014_ML		clade_0_0014_ML	44747	45746	1000	970	0	37	0	943	0	933	4c40f921f1dea9abbfcbc918f54ac0b14c9ccab8a4bf4eb24c9b208b9f7ebdd9	accepted	accepted
ECBAIT_0_0014_MEMBER_INTERIOR_01	member_interior	0_0014	clade_0_0014_ML	GCF_000776235.1_prophage_4	GCF_000776235.1_prophage_4	15946	17145	1200	1170	0	0	0	1170	0	1170	82f46072384832496feded2669c16f7b4131ddc1c7c81477d18cb332aeb43c9f	accepted	accepted
ECBAIT_0_0046_INTERIOR_MODULE_01	interior_module	0_0046	clade_0_0046_ML		clade_0_0046_ML	31456	32655	1200	1170	0	0	0	999	0	1170	74aab8237ee4b5845f9f8c784988a8801f4ca779616cc752cb89d1b95bd44a07	accepted	accepted
ECBAIT_0_0046_JUNCTION_01	junction	0_0046	clade_0_0046_ML		clade_0_0046_ML	2536	3535	1000	970	0	0	0	940	0	970	c822f8d5c6c8b374bf2cb4ce735b99bdf668964184ccf212806560bcc294f313	accepted	accepted
ECBAIT_0_0046_JUNCTION_02	junction	0_0046	clade_0_0046_ML		clade_0_0046_ML	25422	26421	1000	970	0	0	0	931	0	970	758be90629eafdbbbaf8001bab5c945f9416d53777dcd8c701dbf77223f4d211	accepted	accepted
ECBAIT_0_0046_MEMBER_INTERIOR_01	member_interior	0_0046	clade_0_0046_ML	GCF_000354455.1_prophage_5	GCF_000354455.1_prophage_5	15753	16952	1200	1170	0	0	0	1170	0	1170	015907715bc6b93747edc098bab7f0ac2e824916b75f9568a03c021cae79daca	accepted	accepted
ECBAIT_0_0051_INTERIOR_MODULE_01	interior_module	0_0051	clade_0_0051_ML		clade_0_0051_ML	42999	44198	1200	1170	0	0	0	1088	0	1170	578482261e5e0f951bd7181fa3acad982550c36d778b77320f5db000760f5dda	accepted	accepted
ECBAIT_0_0051_JUNCTION_02	junction	0_0051	clade_0_0051_ML		clade_0_0051_ML	36661	37660	1000	970	0	0	0	837	0	970	b4e418f9a2761d19d9b7eb9ebbfe6bf7d0423284d6ba985f0b2e64db3f612688	accepted	accepted
ECBAIT_0_0051_MEMBER_INTERIOR_01	member_interior	0_0051	clade_0_0051_ML	GCF_000692395.1_prophage_4	GCF_000692395.1_prophage_4	18551	19750	1200	1170	0	0	0	1170	0	1170	6886e32b5436496e6653820ca3a16b18a2fc6eaab97555104cc3d4bfdf10d88a	accepted	accepted
ECBAIT_0_0052_INTERIOR_MODULE_01	interior_module	0_0052	clade_0_0052_ML		clade_0_0052_ML	3072	4271	1200	1170	0	0	0	1026	0	1170	13769742a0167e4c4cb705ff8d0144f28a3ae2973642290c905d2e512310442e	accepted	accepted
ECBAIT_0_0052_JUNCTION_01	junction	0_0052	clade_0_0052_ML		clade_0_0052_ML	44836	45835	1000	970	0	0	0	765	0	970	0801fb7402eafcc83615c025fe144262ec87451ead503beb2892a8e18ec54279	accepted	accepted
ECBAIT_0_0052_JUNCTION_03	junction	0_0052	clade_0_0052_ML		clade_0_0052_ML	9139	10138	1000	970	0	0	0	940	0	970	b3017af709abef12c75aebe47780b02f3a9c185cacb5f3ad57b652cca26b1c82	accepted	accepted
ECBAIT_0_0052_MEMBER_INTERIOR_01	member_interior	0_0052	clade_0_0052_ML	GCF_000622535.2_prophage_3	GCF_000622535.2_prophage_3	9005	10204	1200	1170	0	0	0	1170	0	1170	847f1c95b6139c0295ed36a27385953bfb2bd60b28d355aa06383e0297b667ab	accepted	accepted
ECBAIT_0_0054_INTERIOR_MODULE_01	interior_module	0_0054	clade_0_0054_ML		clade_0_0054_ML	45023	46222	1200	1170	0	0	0	995	0	1170	9e88cb40b272ce2322b4352a59745db0545c91d0b4c842618debbe70e9254b9a	accepted	accepted
ECBAIT_0_0054_JUNCTION_01	junction	0_0054	clade_0_0054_ML		clade_0_0054_ML	22751	23750	1000	970	0	0	0	690	0	970	3d44d7b4cd916d4633d0d6ac641e62c8b439e1015a3bd945d1146658dfa053ec	accepted	accepted
ECBAIT_0_0054_JUNCTION_02	junction	0_0054	clade_0_0054_ML		clade_0_0054_ML	10094	11093	1000	970	0	37	0	779	0	933	5127546b64ac94ed99c62ecd8732edae78a492598a62f8e7b1901b6d20149dec	accepted	accepted
ECBAIT_0_0054_JUNCTION_03	junction	0_0054	clade_0_0054_ML		clade_0_0054_ML	1	1000	1000	970	0	0	0	824	0	970	14907fe18c7fd0da26dcf2e98a00939ecfbc212e548ea8c0ed13e393159cbb05	accepted	accepted
ECBAIT_0_0054_MEMBER_INTERIOR_01	member_interior	0_0054	clade_0_0054_ML	GCF_000408745.1_prophage_6	GCF_000408745.1_prophage_6	6152	7351	1200	1170	0	0	0	1170	0	1170	513599d337d58d5d5eb77bfc74fec9643a7f0d20bf2631335efe319625535ac8	accepted	accepted
ECBAIT_0_0059_INTERIOR_MODULE_01	interior_module	0_0059	clade_0_0059_ML		clade_0_0059_ML	2612	3811	1200	1170	0	0	0	1054	25	1145	7b53ebbd2d366d56d9ca0dba6925a7b01257536ec48b11cd63fbfa662cbd61ea	accepted	accepted
ECBAIT_0_0059_JUNCTION_01	junction	0_0059	clade_0_0059_ML		clade_0_0059_ML	730	1729	1000	970	0	0	0	873	0	970	2d7b041fd3cf495c70cdae0ea404e3fcb6800ec03a9a487349561ce651eba77f	accepted	accepted
ECBAIT_0_0059_JUNCTION_02	junction	0_0059	clade_0_0059_ML		clade_0_0059_ML	5861	6860	1000	970	0	0	0	882	0	970	02186e0ec3044b296f3f1ee9e143a10ad2f54085486b488b8f67090d980c14b2	accepted	accepted
ECBAIT_0_0059_JUNCTION_03	junction	0_0059	clade_0_0059_ML		clade_0_0059_ML	7361	8360	1000	970	0	0	0	892	0	970	2fc2bbeb64cf7b6f36b0bdd04834cbe8784bdbb2925bea00e9c8b7be154a2a20	accepted	accepted
ECBAIT_0_0059_MEMBER_INTERIOR_01	member_interior	0_0059	clade_0_0059_ML	GCF_000503395.1_prophage_1	GCF_000503395.1_prophage_1	12738	13937	1200	1170	0	0	0	1170	0	1170	6da316e2a475b782a40d73eff92bf7609c8e0b1748633a610381d943adf78980	accepted	accepted
ECBAIT_0_0067_INTERIOR_MODULE_01	interior_module	0_0067	clade_0_0067_ML		clade_0_0067_ML	4928	6127	1200	1170	0	0	0	904	0	1170	9aab673d35459b0a702f667580085ba90b4a2a1e47926de79e7ab2bfcb93492a	accepted	accepted
ECBAIT_0_0067_JUNCTION_01	junction	0_0067	clade_0_0067_ML		clade_0_0067_ML	20015	21014	1000	970	0	0	0	861	0	970	652f8d7213f8d711ccb30f8510bcab82d0276d9d1ee1a533cb70fda76d59f412	accepted	accepted
ECBAIT_0_0067_JUNCTION_02	junction	0_0067	clade_0_0067_ML		clade_0_0067_ML	21971	22970	1000	970	0	0	0	818	0	970	4c2f02b5d92745307e2a856ba97785d109848bd59350e9db8940cb9625310ab5	accepted	accepted
ECBAIT_0_0067_MEMBER_INTERIOR_01	member_interior	0_0067	clade_0_0067_ML	GCF_000408365.1_prophage_6	GCF_000408365.1_prophage_6	21860	23059	1200	1170	0	37	0	1170	0	1133	492f9ce90c73e43117ee2929de96380ccb28c8b5b833fcebb243846a3e47cbb3	accepted	accepted
ECBAIT_0_0068_INTERIOR_MODULE_01	interior_module	0_0068	clade_0_0068_ML		clade_0_0068_ML	8323	9522	1200	1170	0	37	0	1111	0	1133	c6c7a02b9d60dda275a73f922d8c3aad2b9170aa7cd90c63e579df3f0978305e	accepted	accepted
ECBAIT_0_0068_JUNCTION_01	junction	0_0068	clade_0_0068_ML		clade_0_0068_ML	519	1518	1000	970	0	37	0	879	0	933	5f2336029655beeb6357a6c6a7727c68215c854ddee082fe180503015a772579	accepted	accepted
ECBAIT_0_0068_JUNCTION_02	junction	0_0068	clade_0_0068_ML		clade_0_0068_ML	5008	6007	1000	970	0	0	0	848	0	970	a90993b566e6192cb57424c0b85edcf004a95ad379b9f124d5648e90dae03946	accepted	accepted
ECBAIT_0_0068_JUNCTION_03	junction	0_0068	clade_0_0068_ML		clade_0_0068_ML	6760	7759	1000	970	0	37	0	882	0	933	601120194bb521088762cbb360423a943c6d42494023d3267d58e487140b8a57	accepted	accepted
ECBAIT_0_0068_MEMBER_INTERIOR_01	member_interior	0_0068	clade_0_0068_ML	GCF_000753115.1_prophage_3	GCF_000753115.1_prophage_3	5328	6527	1200	1170	0	74	0	1170	0	1096	dfc24d352dcd6ba1cca20201f3c11c59c331e85cc6577e33c34c98e26f1d9057	accepted	accepted
ECBAIT_0_0071_INTERIOR_MODULE_01	interior_module	0_0071	clade_0_0071_ML		clade_0_0071_ML	2605	3804	1200	1170	0	0	0	1111	0	1170	798d65c91cf373b7cc4b8db9bf1bca8822a9001b1355320a52e2d2a6bfbe50a1	accepted	accepted
ECBAIT_0_0071_JUNCTION_01	junction	0_0071	clade_0_0071_ML		clade_0_0071_ML	9501	10500	1000	970	0	0	0	942	0	970	6012b81e1a5832e10a5ecb8049ee81810765cc6df5b4d886a773268f0137c943	accepted	accepted
ECBAIT_0_0071_JUNCTION_02	junction	0_0071	clade_0_0071_ML		clade_0_0071_ML	501	1500	1000	970	0	0	0	940	0	970	0dc94a3dc6784b3b9c0c0abafb26f7d2716e73850209892904b108ac5b7e7641	accepted	accepted
ECBAIT_0_0071_JUNCTION_03	junction	0_0071	clade_0_0071_ML		clade_0_0071_ML	4501	5500	1000	970	0	0	0	940	0	970	a75a7d8fe8f04291bb343e2ce4bf18a7e042ae5659026bac4b1eabf688289e19	accepted	accepted
ECBAIT_0_0071_MEMBER_INTERIOR_01	member_interior	0_0071	clade_0_0071_ML	GCF_000780535.1_prophage_2	GCF_000780535.1_prophage_2	12546	13745	1200	1170	0	38	0	1170	0	1132	2afeac17139c2cc06577cc0b464586b1dbe0516ee39ec0f9553ca303cf7741e3	accepted	accepted
ECBAIT_0_0091_INTERIOR_MODULE_01	interior_module	0_0091	clade_0_0091_ML		clade_0_0091_ML	6869	8068	1200	1170	0	111	0	1080	0	1059	ec4479ad68ca2301d542e86bea31721443a820747222a0e576dcb4cb9502f6bd	accepted	accepted
ECBAIT_0_0091_JUNCTION_01	junction	0_0091	clade_0_0091_ML		clade_0_0091_ML	1693	2692	1000	970	0	0	0	886	0	970	17577bdf58df511f77810b259a9cdd0158a55320e0816a3eeb69efdb9f96700d	accepted	accepted
ECBAIT_0_0091_JUNCTION_02	junction	0_0091	clade_0_0091_ML		clade_0_0091_ML	22970	23969	1000	970	0	3	0	862	0	967	94708a618ea72bcf226502758dbacdc1a8741e5b85e163060245528322b0c745	accepted	accepted
ECBAIT_0_0091_JUNCTION_03	junction	0_0091	clade_0_0091_ML		clade_0_0091_ML	2786	3785	1000	970	0	37	0	856	0	933	de5a7486845762eb480c4207f15c49b1e9131b9491a6cd7b6989968c7831ce9c	accepted	accepted
ECBAIT_0_0091_MEMBER_INTERIOR_01	member_interior	0_0091	clade_0_0091_ML	GCF_000597845.1_prophage_4	GCF_000597845.1_prophage_4	3228	4427	1200	1170	0	0	0	1170	0	1170	e0b37c1e21e6e886b01e4cacad2fe9310a4fa4737846c313aa300dd9bfd90406	accepted	accepted
ECBAIT_0_0094_INTERIOR_MODULE_01	interior_module	0_0094	clade_0_0094_ML		clade_0_0094_ML	16862	18061	1200	1170	0	0	0	1111	0	1170	6a6d596dcd2d699e2ba46468a1d67c6c95b851f446b42ebb7c398ee2a7defd8e	accepted	accepted
ECBAIT_0_0094_JUNCTION_01	junction	0_0094	clade_0_0094_ML		clade_0_0094_ML	4608	5607	1000	970	0	0	0	862	0	970	6980c866a5b450eafc3acf3003f0b97045d8cd73c510bf4584ce8d994957323d	accepted	accepted
ECBAIT_0_0094_JUNCTION_02	junction	0_0094	clade_0_0094_ML		clade_0_0094_ML	16165	17164	1000	970	0	0	0	940	0	970	4a9a4073dc30bbf73e3c75730f0f22ad89d65725c94ff9c4c80e14006b469e0e	accepted	accepted
ECBAIT_0_0094_JUNCTION_03	junction	0_0094	clade_0_0094_ML		clade_0_0094_ML	1001	2000	1000	970	0	0	0	911	0	970	9eb86798c396c79f057f7f75f9ce5807fd758e24a2b71f15a3997b249e1185f7	accepted	accepted
ECBAIT_0_0094_MEMBER_INTERIOR_01	member_interior	0_0094	clade_0_0094_ML	GCF_000164235.1_prophage_3	GCF_000164235.1_prophage_3	8417	9616	1200	1170	0	37	0	1170	0	1133	746b60ef923157b39432a281ff8da22101dcdb15450a65682ce16919e0bcf9b3	accepted	accepted
ECBAIT_10_0002_INTERIOR_MODULE_01	interior_module	10_0002	clade_10_0002_ML		clade_10_0002_ML	3643	4842	1200	1170	0	0	0	1003	0	1170	2ee9ddbcccf891ad2746dc0ec1ceb70daf759a1e21b951c5a13ea948924aea14	accepted	accepted
ECBAIT_10_0002_JUNCTION_01	junction	10_0002	clade_10_0002_ML		clade_10_0002_ML	140793	141792	1000	970	0	74	0	940	0	896	a8206eb55428962d77a3ea7f90e0baa8e03243e88d67122c748cb90367e28860	accepted	accepted
ECBAIT_10_0002_JUNCTION_02	junction	10_0002	clade_10_0002_ML		clade_10_0002_ML	140293	141292	1000	970	0	37	0	928	0	933	de5117ae549f80bd060ab7ec3a9cf5dd29c6a21c671525ea05006b034fc38890	accepted	accepted
ECBAIT_10_0002_JUNCTION_03	junction	10_0002	clade_10_0002_ML		clade_10_0002_ML	57192	58191	1000	970	0	0	0	804	0	970	1aa56810445a181d6a815613ffe53e960e27bf88fbd4808ef63779428834f6fb	accepted	accepted
ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	10_0002	clade_10_0002_ML	GCF_000692595.1_prophage_4	GCF_000692595.1_prophage_4	23682	24881	1200	1170	0	37	0	1170	0	1133	8cc0d6bbd4d60b66169044bb102cfe2c48e8da81fc0f248039fe5d131c0a804a	accepted	accepted
ECBAIT_10_0038_INTERIOR_MODULE_01	interior_module	10_0038	clade_10_0038_ML		clade_10_0038_ML	37601	38800	1200	1170	0	75	1	1113	0	1094	c9aae2f46e5a5603c1d48eef7b6a3e93cb43f12f726bd65d06461029bbe72e6d	accepted	accepted
ECBAIT_10_0038_JUNCTION_01	junction	10_0038	clade_10_0038_ML		clade_10_0038_ML	9869	10868	1000	970	0	75	0	862	0	895	28656c3d6d2ad1bed6f03ebd68dfe4ca5ee59cf053352b47a3f260d3de17bd0e	accepted	accepted
ECBAIT_10_0038_JUNCTION_03	junction	10_0038	clade_10_0038_ML		clade_10_0038_ML	23748	24747	1000	970	0	0	0	868	0	970	181b8e8e422922dad854524760abbdd4d4c4c5aaf331cb4cf442a02cf2b9f38e	accepted	accepted
ECBAIT_10_0038_MEMBER_INTERIOR_01	member_interior	10_0038	clade_10_0038_ML	GCF_001265465.1_prophage_1	GCF_001265465.1_prophage_1	11577	12776	1200	1170	0	0	0	1170	0	1170	b2f820d7debbb6e0a3228d85ca8a71778287bb2736ee0c5c7cb517cbe758752e	accepted	accepted
ECBAIT_10_0044_INTERIOR_MODULE_01	interior_module	10_0044	clade_10_0044_ML		clade_10_0044_ML	26339	27538	1200	1170	0	0	0	1074	0	1170	0878f372147db1fe0560148f7854b779ce354daa7dab5f87d0d637ad89b13a74	accepted	accepted
ECBAIT_10_0044_JUNCTION_01	junction	10_0044	clade_10_0044_ML		clade_10_0044_ML	7726	8725	1000	970	0	0	0	826	0	970	f6ee2edc0cf0af6e2ff81ceff21d0bea59c9372cb07a7f5752e03373d743bc66	accepted	accepted
ECBAIT_10_0044_JUNCTION_02	junction	10_0044	clade_10_0044_ML		clade_10_0044_ML	932	1931	1000	970	0	37	0	912	0	933	18dce8213e75e1bbc8146ac9e50c2af5a08edf234829f176b60979f835244c39	accepted	accepted
ECBAIT_10_0044_JUNCTION_03	junction	10_0044	clade_10_0044_ML		clade_10_0044_ML	6163	7162	1000	970	0	37	0	883	0	933	27cfa3a4b0f881b9cb410ab6cf711f2d08bd40bb5fe2f93737c27855c23870c7	accepted	accepted
ECBAIT_10_0044_MEMBER_INTERIOR_01	member_interior	10_0044	clade_10_0044_ML	GCF_000618185.1_prophage_3	GCF_000618185.1_prophage_3	8608	9807	1200	1170	0	74	0	1170	0	1096	1d60b1e09f49ffb3e9105c7bc72355d7ab356b3c00a201557601460fde16c7d5	accepted	accepted
ECBAIT_10_0057_INTERIOR_MODULE_01	interior_module	10_0057	clade_10_0057_ML		clade_10_0057_ML	10006	11205	1200	1170	0	0	0	1111	0	1170	18ccd2419eb531a4197b132b301ad918f32853ef198d21a10106b3ce443a0989	accepted	accepted
ECBAIT_10_0057_JUNCTION_03	junction	10_0057	clade_10_0057_ML		clade_10_0057_ML	4501	5500	1000	970	0	0	0	943	0	970	5909464f9be6262f0377a3af85aabb4c04b477f2b99494cfc8928e5aa3f0f2bb	accepted	accepted
ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	10_0057	clade_10_0057_ML	GCF_000157115.2_prophage_2	GCF_000157115.2_prophage_2	1353	2552	1200	1170	0	0	0	1170	0	1170	56fe3bd6f7e5af29dc714c9cd7f16bbf5471223ce9bf6646dc5e2285bcc0156b	accepted	accepted
ECBAIT_10_0070_INTERIOR_MODULE_01	interior_module	10_0070	clade_10_0070_ML		clade_10_0070_ML	51929	53128	1200	1170	0	0	0	1084	0	1170	80c1c05d6d72f2b497fbf1b7e9de53db4ac2ca57e5afd3e5ee3b74dbe93d5e9b	accepted	accepted
ECBAIT_10_0070_JUNCTION_01	junction	10_0070	clade_10_0070_ML		clade_10_0070_ML	501	1500	1000	970	0	0	0	885	0	970	afaa161aeefb854978e585fbf3a8d868c40e199317bdeed09145ac0ca2258be4	accepted	accepted
ECBAIT_10_0070_JUNCTION_02	junction	10_0070	clade_10_0070_ML		clade_10_0070_ML	5433	6432	1000	970	0	0	0	911	0	970	bb6b1db7abfd73f8bbe9bea813a17fc1313d760a64786231929b97398152f72e	accepted	accepted
ECBAIT_10_0070_JUNCTION_03	junction	10_0070	clade_10_0070_ML		clade_10_0070_ML	7820	8819	1000	970	0	37	0	861	0	933	9889779ad10fbb80cd1cc7f60c5c9883bc7b60b8905c48e879a1d1288e4c04b1	accepted	accepted
ECBAIT_10_0070_MEMBER_INTERIOR_01	member_interior	10_0070	clade_10_0070_ML	GCF_000781915.1_prophage_1	GCF_000781915.1_prophage_1	12216	13415	1200	1170	0	75	0	1170	0	1095	a3440ad9fcf8d5e58dc006f4630a664f6f65ea1bb86daf4667209a0ee72fb022	accepted	accepted
ECBAIT_10_0151_INTERIOR_MODULE_01	interior_module	10_0151	clade_10_0151_ML		clade_10_0151_ML	59280	60479	1200	1170	0	0	0	1028	0	1170	804dfdb5fcece9480e136dfdeec36029641f642d110f5ec67f2e36fa24da66a7	accepted	accepted
ECBAIT_10_0151_JUNCTION_01	junction	10_0151	clade_10_0151_ML		clade_10_0151_ML	29935	30934	1000	970	0	0	0	742	0	970	257268c19d48b77e6a1ed358e9687aa9baf3038748386ab1a8b3be4d8a8c9260	accepted	accepted
ECBAIT_10_0151_JUNCTION_02	junction	10_0151	clade_10_0151_ML		clade_10_0151_ML	19507	20506	1000	970	0	0	0	836	0	970	71d05b54d9d9a00fe8af2cde863d1279a3378b4280f8661d45dfe9388e60fec1	accepted	accepted
ECBAIT_10_0151_JUNCTION_03	junction	10_0151	clade_10_0151_ML		clade_10_0151_ML	52886	53885	1000	970	0	0	0	940	0	970	cb767c3a5c6cdcf5cebd2f2e9581bec898357a932c6cdec83993974404fa9769	accepted	accepted
ECBAIT_10_0151_MEMBER_INTERIOR_01	member_interior	10_0151	clade_10_0151_ML	GCF_000781355.1_prophage_3	GCF_000781355.1_prophage_3	4524	5723	1200	1170	0	0	0	1170	0	1170	e541104692d89dde35bcc6189580682b1aeb29068f449d2e2fac63348999b92d	accepted	accepted
ECBAIT_10_0172_INTERIOR_MODULE_01	interior_module	10_0172	clade_10_0172_ML		clade_10_0172_ML	2472	3671	1200	1170	0	0	0	1081	0	1170	241601adca681f2a7727287689994a4ac1095db13b34304f680dd2c1ee6b1c16	accepted	accepted
ECBAIT_10_0172_JUNCTION_01	junction	10_0172	clade_10_0172_ML		clade_10_0172_ML	10205	11204	1000	970	0	0	0	725	0	970	a265bf940701f08b28a1f80a5355dcd8afdc6eb9e21252081eb27e2de61857ed	accepted	accepted
ECBAIT_10_0172_JUNCTION_02	junction	10_0172	clade_10_0172_ML		clade_10_0172_ML	9236	10235	1000	970	0	38	0	861	0	932	cc5758a1e9b4e061fd92be4ec7e35b9a3ce2ee89d360b3855a6936e98b01f50a	accepted	accepted
ECBAIT_10_0172_JUNCTION_03	junction	10_0172	clade_10_0172_ML		clade_10_0172_ML	266	1265	1000	970	0	37	0	906	0	933	47f4b234dfdd7f6f5ced5c393075c9709d90d2e3f856238c815e8fc771c11be4	accepted	accepted
ECBAIT_10_0172_MEMBER_INTERIOR_01	member_interior	10_0172	clade_10_0172_ML	GCF_000713235.1_prophage_5	GCF_000713235.1_prophage_5	3003	4202	1200	1170	0	0	0	1170	0	1170	3852faae95a5ffb5e4206d1be9087bcece16d93dbfda532e8e24bc33afba535b	accepted	accepted
ECBAIT_10_0178_INTERIOR_MODULE_01	interior_module	10_0178	clade_10_0178_ML		clade_10_0178_ML	5382	6581	1200	1170	0	0	0	872	0	1170	285f5f7dc74ae9892f1903a4074c7b8a5e4656dfe15be6f430bc1829af4ca280	accepted	accepted
ECBAIT_10_0178_JUNCTION_02	junction	10_0178	clade_10_0178_ML		clade_10_0178_ML	8529	9528	1000	970	0	37	0	804	0	933	252d5d76e5b5c06242ceb63e1f52bd6af20bda6f8000b99c4124b773c9fe7975	accepted	accepted
ECBAIT_10_0178_JUNCTION_03	junction	10_0178	clade_10_0178_ML		clade_10_0178_ML	10597	11596	1000	970	0	0	0	852	0	970	0e55fb1cb6316098865550ec5b2b56dab65b2faf2a28d262cf5736dcf9b12034	accepted	accepted
ECBAIT_10_0178_MEMBER_INTERIOR_01	member_interior	10_0178	clade_10_0178_ML	GCF_000752815.1_prophage_7	GCF_000752815.1_prophage_7	14077	15276	1200	1170	40	0	0	1130	54	1076	9af3e0a1c7ee77776d2a95d53f9a769198c1ce3c6bf2381d730a44a81ac7ec18	accepted	accepted
