prophage_id	host_accession
GCF_003333875.1_prophage_1	GCF_003333875.1
GCF_003333875.1_prophage_2	GCF_003333875.1
GCF_003333875.1_prophage_3	GCF_003333875.1
GCF_003333865.1_prophage_2	GCF_003333865.1
GCF_003333865.1_prophage_1	GCF_003333865.1
GCF_003333865.1_prophage_3	GCF_003333865.1
GCF_003333865.1_prophage_4	GCF_003333865.1
GCF_003333865.1_prophage_5	GCF_003333865.1
GCF_003333865.1_prophage_6	GCF_003333865.1
GCF_003334605.1_prophage_1	GCF_003334605.1
GCF_003334605.1_prophage_2	GCF_003334605.1
GCF_003334605.1_prophage_3	GCF_003334605.1
GCF_003334605.1_prophage_4	GCF_003334605.1
GCF_003334605.1_prophage_5	GCF_003334605.1
GCF_003334605.1_prophage_6	GCF_003334605.1
GCF_003333855.1_prophage_1	GCF_003333855.1
GCF_003333855.1_prophage_2	GCF_003333855.1
GCF_003333855.1_prophage_3	GCF_003333855.1
GCF_003333855.1_prophage_4	GCF_003333855.1
GCF_003333855.1_prophage_5	GCF_003333855.1
GCF_003333855.1_prophage_6	GCF_003333855.1
GCF_003333855.1_prophage_7	GCF_003333855.1
GCF_003333855.1_prophage_8	GCF_003333855.1
GCF_003333845.1_prophage_9	GCF_003333845.1
GCF_003333845.1_prophage_1	GCF_003333845.1
GCF_003333845.1_prophage_2	GCF_003333845.1
GCF_003333845.1_prophage_3	GCF_003333845.1
GCF_003333845.1_prophage_4	GCF_003333845.1
GCF_003333845.1_prophage_5	GCF_003333845.1
GCF_003333845.1_prophage_6	GCF_003333845.1
GCF_003333845.1_prophage_7	GCF_003333845.1
GCF_003333845.1_prophage_8	GCF_003333845.1
GCF_003333795.1_prophage_1	GCF_003333795.1
GCF_003333795.1_prophage_4	GCF_003333795.1
GCF_003333795.1_prophage_5	GCF_003333795.1
GCF_003333795.1_prophage_2	GCF_003333795.1
GCF_003333795.1_prophage_3	GCF_003333795.1
GCF_003333795.1_prophage_6	GCF_003333795.1
GCF_003333795.1_prophage_7	GCF_003333795.1
GCF_003333795.1_prophage_8	GCF_003333795.1
GCF_003333785.1_prophage_2	GCF_003333785.1
GCF_003333785.1_prophage_3	GCF_003333785.1
GCF_003333785.1_prophage_4	GCF_003333785.1
GCF_003333785.1_prophage_1	GCF_003333785.1
GCF_003333775.1_prophage_6	GCF_003333775.1
GCF_003333775.1_prophage_1	GCF_003333775.1
GCF_003333775.1_prophage_2	GCF_003333775.1
GCF_003333775.1_prophage_3	GCF_003333775.1
GCF_003333775.1_prophage_4	GCF_003333775.1
GCF_003333775.1_prophage_5	GCF_003333775.1
GCF_003333775.1_prophage_7	GCF_003333775.1
GCF_003333765.1_prophage_2	GCF_003333765.1
GCF_003333765.1_prophage_6	GCF_003333765.1
GCF_003333765.1_prophage_1	GCF_003333765.1
GCF_003333765.1_prophage_3	GCF_003333765.1
GCF_003333765.1_prophage_4	GCF_003333765.1
GCF_003333765.1_prophage_5	GCF_003333765.1
GCF_003333765.1_prophage_7	GCF_003333765.1
GCF_003333735.1_prophage_1	GCF_003333735.1
GCF_003334585.1_prophage_7	GCF_003334585.1
GCF_003334585.1_prophage_1	GCF_003334585.1
GCF_003334585.1_prophage_2	GCF_003334585.1
GCF_003334585.1_prophage_3	GCF_003334585.1
GCF_003334585.1_prophage_4	GCF_003334585.1
GCF_003334585.1_prophage_5	GCF_003334585.1
GCF_003334585.1_prophage_6	GCF_003334585.1
GCF_003333715.1_prophage_3	GCF_003333715.1
GCF_003333715.1_prophage_4	GCF_003333715.1
GCF_003333715.1_prophage_1	GCF_003333715.1
GCF_003333715.1_prophage_2	GCF_003333715.1
GCF_003334535.1_prophage_5	GCF_003334535.1
GCF_003334535.1_prophage_6	GCF_003334535.1
GCF_003334535.1_prophage_1	GCF_003334535.1
GCF_003334535.1_prophage_2	GCF_003334535.1
GCF_003334535.1_prophage_3	GCF_003334535.1
GCF_003334535.1_prophage_4	GCF_003334535.1
GCF_003333685.1_prophage_1	GCF_003333685.1
GCF_003333685.1_prophage_2	GCF_003333685.1
GCF_003333685.1_prophage_3	GCF_003333685.1
GCF_003333675.1_prophage_5	GCF_003333675.1
GCF_003333675.1_prophage_8	GCF_003333675.1
GCF_003333675.1_prophage_1	GCF_003333675.1
GCF_003333675.1_prophage_2	GCF_003333675.1
GCF_003333675.1_prophage_3	GCF_003333675.1
GCF_003333675.1_prophage_4	GCF_003333675.1
GCF_003333675.1_prophage_6	GCF_003333675.1
GCF_003333675.1_prophage_7	GCF_003333675.1
GCF_003334615.1_prophage_2	GCF_003334615.1
GCF_003334615.1_prophage_3	GCF_003334615.1
GCF_003334615.1_prophage_4	GCF_003334615.1
GCF_003334615.1_prophage_1	GCF_003334615.1
GCF_003334495.1_prophage_5	GCF_003334495.1
GCF_003334495.1_prophage_1	GCF_003334495.1
GCF_003334495.1_prophage_2	GCF_003334495.1
GCF_003334495.1_prophage_3	GCF_003334495.1
GCF_003334495.1_prophage_4	GCF_003334495.1
GCF_003333655.1_prophage_1	GCF_003333655.1
GCF_003333655.1_prophage_2	GCF_003333655.1
GCF_003333615.1_prophage_3	GCF_003333615.1
GCF_003333615.1_prophage_4	GCF_003333615.1
GCF_003333615.1_prophage_1	GCF_003333615.1
GCF_003333615.1_prophage_2	GCF_003333615.1
GCF_003333605.1_prophage_3	GCF_003333605.1
GCF_003333605.1_prophage_4	GCF_003333605.1
GCF_003333605.1_prophage_1	GCF_003333605.1
GCF_003333605.1_prophage_2	GCF_003333605.1
GCF_003334485.1_prophage_1	GCF_003334485.1
GCF_003334555.1_prophage_1	GCF_003334555.1
GCF_003334555.1_prophage_2	GCF_003334555.1
GCF_003334555.1_prophage_3	GCF_003334555.1
GCF_003334555.1_prophage_4	GCF_003334555.1
GCF_003334555.1_prophage_5	GCF_003334555.1
GCF_003334555.1_prophage_6	GCF_003334555.1
GCF_003333645.1_prophage_1	GCF_003333645.1
GCF_003333645.1_prophage_4	GCF_003333645.1
GCF_003333645.1_prophage_2	GCF_003333645.1
GCF_003333645.1_prophage_3	GCF_003333645.1
GCF_003335465.1_prophage_1	GCF_003335465.1
GCF_003335465.1_prophage_2	GCF_003335465.1
GCF_003333585.1_prophage_1	GCF_003333585.1
GCF_003333565.1_prophage_1	GCF_003333565.1
GCF_003333565.1_prophage_4	GCF_003333565.1
GCF_003333565.1_prophage_2	GCF_003333565.1
GCF_003333565.1_prophage_3	GCF_003333565.1
GCF_003333545.1_prophage_2	GCF_003333545.1
GCF_003333545.1_prophage_5	GCF_003333545.1
GCF_003333545.1_prophage_6	GCF_003333545.1
GCF_003333545.1_prophage_1	GCF_003333545.1
GCF_003333545.1_prophage_3	GCF_003333545.1
GCF_003333545.1_prophage_4	GCF_003333545.1
GCF_003333505.1_prophage_4	GCF_003333505.1
GCF_003333505.1_prophage_1	GCF_003333505.1
GCF_003333505.1_prophage_2	GCF_003333505.1
GCF_003333505.1_prophage_3	GCF_003333505.1
GCF_003334525.1_prophage_1	GCF_003334525.1
GCF_003334525.1_prophage_2	GCF_003334525.1
GCF_003333495.1_prophage_1	GCF_003333495.1
GCF_003333495.1_prophage_2	GCF_003333495.1
GCF_003333495.1_prophage_3	GCF_003333495.1
GCF_003333435.1_prophage_1	GCF_003333435.1
GCF_003333435.1_prophage_2	GCF_003333435.1
GCF_003334465.1_prophage_1	GCF_003334465.1
GCF_003334465.1_prophage_2	GCF_003334465.1
GCF_003334465.1_prophage_3	GCF_003334465.1
GCF_003334465.1_prophage_4	GCF_003334465.1
GCF_003333425.1_prophage_1	GCF_003333425.1
GCF_003333425.1_prophage_4	GCF_003333425.1
GCF_003333425.1_prophage_5	GCF_003333425.1
GCF_003333425.1_prophage_2	GCF_003333425.1
GCF_003333425.1_prophage_3	GCF_003333425.1
GCF_003334435.1_prophage_3	GCF_003334435.1
GCF_003334435.1_prophage_1	GCF_003334435.1
GCF_003334435.1_prophage_2	GCF_003334435.1
GCF_003333475.1_prophage_4	GCF_003333475.1
GCF_003333475.1_prophage_1	GCF_003333475.1
GCF_003333475.1_prophage_2	GCF_003333475.1
GCF_003333475.1_prophage_3	GCF_003333475.1
GCF_003333385.1_prophage_7	GCF_003333385.1
GCF_003333385.1_prophage_1	GCF_003333385.1
GCF_003333385.1_prophage_2	GCF_003333385.1
GCF_003333385.1_prophage_3	GCF_003333385.1
GCF_003333385.1_prophage_4	GCF_003333385.1
GCF_003333385.1_prophage_5	GCF_003333385.1
GCF_003333385.1_prophage_6	GCF_003333385.1
GCF_003334425.1_prophage_5	GCF_003334425.1
GCF_003334425.1_prophage_6	GCF_003334425.1
GCF_003334425.1_prophage_1	GCF_003334425.1
GCF_003334425.1_prophage_2	GCF_003334425.1
GCF_003334425.1_prophage_3	GCF_003334425.1
GCF_003334425.1_prophage_4	GCF_003334425.1
