genome_accession	accession_no_version	assembly_version	accession_source_line	all_record_count	all_unique_locus_count	all_valid_coordinate_locus_count	all_hit_scaffold_count	all_total_bp_1based_closed	all_total_bp_end_minus_begin	transposable_flag_positive_record_count	transposable_flag_positive_unique_locus_count	transposable_flag_positive_valid_coordinate_locus_count	transposable_flag_positive_hit_scaffold_count	transposable_flag_positive_total_bp_1based_closed	transposable_flag_positive_total_bp_end_minus_begin	taxonomy_assigned_record_count	taxonomy_assigned_unique_locus_count	taxonomy_assigned_valid_coordinate_locus_count	taxonomy_assigned_hit_scaffold_count	taxonomy_assigned_total_bp_1based_closed	taxonomy_assigned_total_bp_end_minus_begin
GCF_000023665.1	GCF_000023665	1	25	5	5	5	1	90439	90434	1	1	1	1	13317	13316	4	4	4	1	85371	85367
GCF_000025165.1	GCF_000025165	1	26	11	11	11	1	479355	479344	0	0	0	0	0	0	11	11	11	1	479355	479344
GCF_000025745.1	GCF_000025745	1	27	11	11	11	1	392021	392010	0	0	0	0	0	0	10	10	10	1	387581	387571
GCF_000026245.1	GCF_000026245	1	28	7	7	7	1	247418	247411	1	1	1	1	5152	5151	6	6	6	1	242266	242260
GCF_000026265.1	GCF_000026265	1	29	3	3	3	1	130697	130694	1	1	1	1	41594	41593	3	3	3	1	130697	130694
GCF_000026285.1	GCF_000026285	1	30	7	7	7	1	323384	323377	2	2	2	1	114380	114378	7	7	7	1	323384	323377
GCF_000026305.1	GCF_000026305	1	31	10	10	10	1	404238	404228	1	1	1	1	41923	41922	10	10	10	1	404238	404228
GCF_000026325.1	GCF_000026325	1	32	6	6	6	1	244261	244255	0	0	0	0	0	0	6	6	6	1	244261	244255
GCF_000026345.1	GCF_000026345	1	33	12	12	12	1	353202	353190	9	9	9	1	297512	297503	11	11	11	1	343677	343666
GCF_000026545.1	GCF_000026545	1	34	11	11	11	1	385251	385240	1	1	1	1	41602	41601	11	11	11	1	385251	385240
GCF_000027125.1	GCF_000027125	1	35	8	8	8	1	245840	245832	0	0	0	0	0	0	6	6	6	1	234416	234410
GCF_000091005.1	GCF_000091005	1	36	17	17	17	2	715286	715269	4	4	4	2	243731	243727	17	17	17	2	715286	715269
GCF_000146735.1	GCF_000146735	1	37	5	5	5	1	66798	66793	1	1	1	1	16480	16479	3	3	3	1	45874	45871
GCF_000147755.1	GCF_000147755	1	38	5	5	5	5	136493	136488	0	0	0	0	0	0	5	5	5	5	136493	136488
GCF_000148365.1	GCF_000148365	1	39	3	3	3	1	128303	128300	0	0	0	0	0	0	3	3	3	1	128303	128300
GCF_000148605.1	GCF_000148605	1	40	5	5	5	1	158569	158564	0	0	0	0	0	0	4	4	4	1	154131	154127
GCF_000155125.1	GCF_000155125	1	41	18	18	18	1	622089	622071	2	2	2	1	69699	69697	16	16	16	1	606352	606336
GCF_000157115.2	GCF_000157115	2	42	6	6	6	3	158455	158449	0	0	0	0	0	0	4	4	4	2	150110	150106
GCF_000158395.1	GCF_000158395	1	43	3	3	3	3	89894	89891	2	2	2	2	52009	52007	2	2	2	2	80611	80609
GCF_000159295.1	GCF_000159295	1	44	3	3	3	2	127216	127213	0	0	0	0	0	0	3	3	3	2	127216	127213
GCF_000163155.1	GCF_000163155	1	45	6	6	6	3	225464	225458	0	0	0	0	0	0	6	6	6	3	225464	225458
GCF_000163175.1	GCF_000163175	1	46	4	4	4	2	143919	143915	0	0	0	0	0	0	4	4	4	2	143919	143915
GCF_000163195.1	GCF_000163195	1	47	6	6	6	2	130551	130545	0	0	0	0	0	0	5	5	5	2	124870	124865
GCF_000163215.1	GCF_000163215	1	48	9	9	9	4	276020	276011	1	1	1	1	12854	12853	8	8	8	3	263166	263158
GCF_000163235.1	GCF_000163235	1	49	5	5	5	3	160972	160967	0	0	0	0	0	0	5	5	5	3	160972	160967
GCF_000164195.1	GCF_000164195	1	50	3	3	3	3	69758	69755	0	0	0	0	0	0	2	2	2	2	64059	64057
GCF_000164215.1	GCF_000164215	1	51	4	4	4	4	86739	86735	0	0	0	0	0	0	4	4	4	4	86739	86735
GCF_000164235.1	GCF_000164235	1	52	5	5	5	5	111718	111713	0	0	0	0	0	0	5	5	5	5	111718	111713
GCF_000164255.1	GCF_000164255	1	53	4	4	4	4	47108	47104	0	0	0	0	0	0	4	4	4	4	47108	47104
GCF_000164275.1	GCF_000164275	1	54	1	1	1	1	19514	19513	0	0	0	0	0	0	1	1	1	1	19514	19513
GCF_000164295.1	GCF_000164295	1	55	1	1	1	1	24819	24818	0	0	0	0	0	0	1	1	1	1	24819	24818
GCF_000164315.1	GCF_000164315	1	56	7	7	7	7	189630	189623	1	1	1	1	39932	39931	7	7	7	7	189630	189623
GCF_000164335.1	GCF_000164335	1	57	1	1	1	1	37591	37590	0	0	0	0	0	0	1	1	1	1	37591	37590
GCF_000164355.1	GCF_000164355	1	58	6	6	6	4	64433	64427	0	0	0	0	0	0	4	4	4	3	50691	50687
GCF_000164375.1	GCF_000164375	1	59	3	3	3	3	82415	82412	0	0	0	0	0	0	2	2	2	2	75920	75918
GCF_000164415.1	GCF_000164415	1	60	5	5	5	4	114948	114943	0	0	0	0	0	0	3	3	3	3	87674	87671
GCF_000164435.1	GCF_000164435	1	61	2	2	2	2	24826	24824	0	0	0	0	0	0	1	1	1	1	20060	20059
GCF_000164455.1	GCF_000164455	1	62	2	2	2	2	34074	34072	0	0	0	0	0	0	2	2	2	2	34074	34072
GCF_000164475.1	GCF_000164475	1	63	2	2	2	2	31329	31327	0	0	0	0	0	0	2	2	2	2	31329	31327
GCF_000164495.1	GCF_000164495	1	64	2	2	2	2	67850	67848	0	0	0	0	0	0	2	2	2	2	67850	67848
GCF_000164515.1	GCF_000164515	1	65	2	2	2	2	40421	40419	0	0	0	0	0	0	2	2	2	2	40421	40419
GCF_000164535.1	GCF_000164535	1	66	2	2	2	2	23561	23559	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000164555.1	GCF_000164555	1	67	2	2	2	2	16502	16500	0	0	0	0	0	0	1	1	1	1	10839	10838
GCF_000164575.1	GCF_000164575	1	68	4	4	4	4	125765	125761	0	0	0	0	0	0	4	4	4	4	125765	125761
GCF_000164595.1	GCF_000164595	1	69	5	5	5	5	82752	82747	0	0	0	0	0	0	5	5	5	5	82752	82747
GCF_000164615.1	GCF_000164615	1	70	5	5	5	5	156889	156884	0	0	0	0	0	0	5	5	5	5	156889	156884
GCF_000166535.2	GCF_000166535	2	71	11	11	11	1	193007	192996	4	4	4	1	76281	76277	8	8	8	1	151071	151063
GCF_000166555.1	GCF_000166555	1	72	7	7	7	7	169555	169548	0	0	0	0	0	0	7	7	7	7	169555	169548
GCF_000166575.1	GCF_000166575	1	73	5	5	5	5	90337	90332	1	1	1	1	42747	42746	5	5	5	5	90337	90332
GCF_000166595.1	GCF_000166595	1	74	8	8	8	8	131983	131975	0	0	0	0	0	0	7	7	7	7	121393	121386
GCF_000166615.1	GCF_000166615	1	75	10	10	10	8	220243	220233	2	2	2	2	48252	48250	9	9	9	7	205640	205631
GCF_000167815.1	GCF_000167815	1	76	7	7	7	6	95842	95835	2	2	2	2	10709	10707	5	5	5	4	85133	85128
GCF_000167835.1	GCF_000167835	1	77	4	4	4	4	78346	78342	1	1	1	1	6243	6242	3	3	3	3	72103	72100
GCF_000167855.1	GCF_000167855	1	78	11	11	11	9	290489	290478	0	0	0	0	0	0	10	10	10	8	285779	285769
GCF_000167875.2	GCF_000167875	2	79	12	12	12	2	488177	488165	3	3	3	1	144545	144542	12	12	12	2	488177	488165
GCF_000167895.3	GCF_000167895	3	80	10	10	10	10	187183	187173	0	0	0	0	0	0	8	8	8	8	173257	173249
GCF_000167915.2	GCF_000167915	2	81	13	13	13	1	376805	376792	2	2	2	1	59256	59254	12	12	12	1	365143	365131
GCF_000168095.1	GCF_000168095	1	82	11	11	11	9	187669	187658	1	1	1	1	24175	24174	9	9	9	8	174949	174940
GCF_000171915.1	GCF_000171915	1	83	17	17	17	16	370357	370340	1	1	1	1	58764	58763	15	15	15	14	360345	360330
GCF_000171935.1	GCF_000171935	1	84	20	20	20	16	422214	422194	3	3	3	3	83609	83606	18	18	18	16	420316	420298
GCF_000171955.1	GCF_000171955	1	85	16	16	16	14	418477	418461	2	2	2	2	96754	96752	13	13	13	12	407523	407510
GCF_000171975.1	GCF_000171975	1	86	14	14	14	13	292816	292802	3	3	3	3	59767	59764	11	11	11	10	277727	277716
GCF_000171995.1	GCF_000171995	1	87	16	16	16	13	333170	333154	2	2	2	2	57145	57143	14	14	14	12	325229	325215
GCF_000172015.1	GCF_000172015	1	88	21	21	21	19	472315	472294	1	1	1	1	20192	20191	20	20	20	18	466436	466416
GCF_000172035.1	GCF_000172035	1	89	19	19	19	15	375676	375657	1	1	1	1	8523	8522	17	17	17	13	364172	364155
GCF_000172055.1	GCF_000172055	1	90	15	15	15	14	331819	331804	1	1	1	1	24508	24507	13	13	13	13	322029	322016
GCF_000175735.1	GCF_000175735	1	91	3	3	3	3	43873	43870	0	0	0	0	0	0	3	3	3	3	43873	43870
GCF_000175755.1	GCF_000175755	1	92	5	5	5	5	80160	80155	0	0	0	0	0	0	4	4	4	4	66847	66843
GCF_000176535.2	GCF_000176535	2	93	4	4	4	1	67983	67979	0	0	0	0	0	0	3	3	3	1	60195	60192
GCF_000176555.2	GCF_000176555	2	94	12	12	12	9	362403	362391	0	0	0	0	0	0	12	12	12	9	362403	362391
GCF_000176575.2	GCF_000176575	2	95	6	6	6	6	242441	242435	0	0	0	0	0	0	6	6	6	6	242441	242435
GCF_000176595.2	GCF_000176595	2	96	3	3	3	2	82594	82591	0	0	0	0	0	0	3	3	3	2	82594	82591
GCF_000176615.2	GCF_000176615	2	97	4	4	4	3	114628	114624	0	0	0	0	0	0	4	4	4	3	114628	114624
GCF_000176675.2	GCF_000176675	2	98	5	5	5	3	172075	172070	1	1	1	1	46244	46243	5	5	5	3	172075	172070
GCF_000176695.2	GCF_000176695	2	99	9	9	9	8	205797	205788	0	0	0	0	0	0	5	5	5	4	154389	154384
GCF_000178315.1	GCF_000178315	1	100	2	2	2	2	12993	12991	0	0	0	0	0	0	2	2	2	2	12993	12991
GCF_000178695.1	GCF_000178695	1	101	3	3	3	3	32029	32026	0	0	0	0	0	0	3	3	3	3	32029	32026
GCF_000178735.1	GCF_000178735	1	102	2	2	2	2	12050	12048	0	0	0	0	0	0	2	2	2	2	12050	12048
GCF_000178755.1	GCF_000178755	1	103	3	3	3	3	35400	35397	0	0	0	0	0	0	3	3	3	3	35400	35397
GCF_000178795.1	GCF_000178795	1	104	2	2	2	2	26194	26192	0	0	0	0	0	0	2	2	2	2	26194	26192
GCF_000179075.1	GCF_000179075	1	105	5	5	5	4	137867	137862	0	0	0	0	0	0	5	5	5	4	137867	137862
GCF_000179095.1	GCF_000179095	1	106	2	2	2	2	23670	23668	0	0	0	0	0	0	2	2	2	2	23670	23668
GCF_000179115.1	GCF_000179115	1	107	6	6	6	6	141390	141384	0	0	0	0	0	0	5	5	5	5	134941	134936
GCF_000179135.1	GCF_000179135	1	108	6	6	6	6	180635	180629	0	0	0	0	0	0	6	6	6	6	180635	180629
GCF_000179155.1	GCF_000179155	1	109	2	2	2	2	32552	32550	0	0	0	0	0	0	1	1	1	1	23132	23131
GCF_000179175.1	GCF_000179175	1	110	3	3	3	3	61470	61467	1	1	1	1	23982	23981	3	3	3	3	61470	61467
GCF_000179795.1	GCF_000179795	1	111	2	2	2	2	82309	82307	0	0	0	0	0	0	2	2	2	2	82309	82307
GCF_000181735.1	GCF_000181735	1	112	19	19	19	3	585825	585806	3	3	3	2	90690	90687	16	16	16	3	563088	563072
GCF_000181755.1	GCF_000181755	1	113	19	19	19	5	538805	538786	4	4	4	3	89650	89646	15	15	15	5	517106	517091
GCF_000181775.1	GCF_000181775	1	114	19	19	19	3	597336	597317	4	4	4	2	91712	91708	15	15	15	2	573577	573562
GCF_000183005.1	GCF_000183005	1	115	11	11	11	10	221592	221581	0	0	0	0	0	0	8	8	8	7	204679	204671
GCF_000183345.1	GCF_000183345	1	116	3	3	3	1	131590	131587	0	0	0	0	0	0	3	3	3	1	131590	131587
GCF_000184185.1	GCF_000184185	1	117	8	8	8	2	243789	243781	1	1	1	1	5484	5483	8	8	8	2	243789	243781
GCF_000184765.1	GCF_000184765	1	118	8	8	8	8	156316	156308	2	2	2	2	42730	42728	7	7	7	7	146312	146305
GCF_000187285.1	GCF_000187285	1	119	2	2	2	2	11433	11431	0	0	0	0	0	0	2	2	2	2	11433	11431
GCF_000187305.2	GCF_000187305	2	120	2	2	2	2	17159	17157	0	0	0	0	0	0	2	2	2	2	17159	17157
GCF_000187325.2	GCF_000187325	2	121	2	2	2	2	9702	9700	0	0	0	0	0	0	1	1	1	1	6225	6224
GCF_000187345.1	GCF_000187345	1	122	1	1	1	1	9062	9061	0	0	0	0	0	0	1	1	1	1	9062	9061
GCF_000187365.1	GCF_000187365	1	123	2	2	2	1	18990	18988	0	0	0	0	0	0	2	2	2	1	18990	18988
GCF_000187385.1	GCF_000187385	1	124	1	1	1	1	9520	9519	0	0	0	0	0	0	1	1	1	1	9520	9519
GCF_000188775.1	GCF_000188775	1	125	6	6	6	6	105336	105330	0	0	0	0	0	0	5	5	5	5	102252	102247
GCF_000188835.1	GCF_000188835	1	126	19	19	19	13	326761	326742	1	1	1	1	19299	19298	16	16	16	12	303099	303083
GCF_000188855.1	GCF_000188855	1	127	8	8	8	8	237587	237579	0	0	0	0	0	0	8	8	8	8	237587	237579
GCF_000188875.1	GCF_000188875	1	128	11	11	11	9	214563	214552	0	0	0	0	0	0	8	8	8	6	193203	193195
GCF_000190795.1	GCF_000190795	1	129	8	8	8	5	204912	204904	0	0	0	0	0	0	8	8	8	5	204912	204904
GCF_000190815.1	GCF_000190815	1	130	10	10	10	3	253865	253855	3	3	3	1	54839	54836	9	9	9	3	244954	244945
GCF_000190835.1	GCF_000190835	1	131	4	4	4	2	145739	145735	0	0	0	0	0	0	4	4	4	2	145739	145735
GCF_000190855.1	GCF_000190855	1	132	7	7	7	5	181180	181173	1	1	1	1	43256	43255	7	7	7	5	181180	181173
GCF_000190895.1	GCF_000190895	1	133	11	11	11	8	331604	331593	0	0	0	0	0	0	10	10	10	8	317067	317057
GCF_000190915.1	GCF_000190915	1	134	5	5	5	4	115567	115562	0	0	0	0	0	0	2	2	2	2	84479	84477
GCF_000190955.1	GCF_000190955	1	135	7	7	7	5	125825	125818	1	1	1	1	7903	7902	5	5	5	4	111978	111973
GCF_000190995.1	GCF_000190995	1	136	6	6	6	1	188212	188206	0	0	0	0	0	0	6	6	6	1	188212	188206
GCF_000191015.1	GCF_000191015	1	137	5	5	5	1	117425	117420	2	2	2	1	57570	57568	4	4	4	1	105184	105180
GCF_000192665.1	GCF_000192665	1	138	9	9	9	8	217691	217682	0	0	0	0	0	0	9	9	9	8	217691	217682
GCF_000192685.1	GCF_000192685	1	139	15	15	15	13	204773	204758	2	2	2	2	46512	46510	10	10	10	9	172276	172266
GCF_000193955.1	GCF_000193955	1	140	16	16	16	14	262164	262148	0	0	0	0	0	0	13	13	13	13	249928	249915
GCF_000193975.1	GCF_000193975	1	141	8	8	8	7	157320	157312	2	2	2	2	17373	17371	6	6	6	5	139947	139941
GCF_000193995.1	GCF_000193995	1	142	8	8	8	7	210257	210249	0	0	0	0	0	0	6	6	6	5	185644	185638
GCF_000194175.1	GCF_000194175	1	143	14	14	14	8	343222	343208	1	1	1	1	37805	37804	12	12	12	7	323118	323106
GCF_000194215.1	GCF_000194215	1	144	17	17	17	12	375266	375249	6	6	6	5	162088	162082	13	13	13	11	357844	357831
GCF_000194235.1	GCF_000194235	1	145	4	4	4	4	162476	162472	0	0	0	0	0	0	4	4	4	4	162476	162472
GCF_000194255.1	GCF_000194255	1	146	2	2	2	1	77086	77084	1	1	1	1	42708	42707	2	2	2	1	77086	77084
GCF_000194295.2	GCF_000194295	2	147	4	4	4	2	170637	170633	1	1	1	1	46739	46738	4	4	4	2	170637	170633
GCF_000194335.1	GCF_000194335	1	148	25	25	25	14	402376	402351	6	6	6	6	109141	109135	22	22	22	13	376904	376882
GCF_000194355.1	GCF_000194355	1	149	12	12	12	11	208451	208439	2	2	2	2	36768	36766	9	9	9	8	163885	163876
GCF_000194395.1	GCF_000194395	1	150	14	14	14	9	356154	356140	6	6	6	6	188515	188509	11	11	11	9	342490	342479
GCF_000194415.1	GCF_000194415	1	151	10	10	10	8	292831	292821	0	0	0	0	0	0	10	10	10	8	292831	292821
GCF_000194435.1	GCF_000194435	1	152	10	10	10	8	254197	254187	0	0	0	0	0	0	9	9	9	7	235704	235695
GCF_000194475.2	GCF_000194475	2	153	3	3	3	2	122184	122181	0	0	0	0	0	0	3	3	3	2	122184	122181
GCF_000194495.1	GCF_000194495	1	154	17	17	17	8	488974	488957	0	0	0	0	0	0	16	16	16	8	487575	487559
GCF_000194535.1	GCF_000194535	1	155	20	20	20	16	380228	380208	3	3	3	3	56313	56310	19	19	19	16	368281	368262
GCF_000194555.1	GCF_000194555	1	156	4	4	4	3	110214	110210	1	1	1	1	44404	44403	4	4	4	3	110214	110210
GCF_000194575.1	GCF_000194575	1	157	11	11	11	8	239956	239945	0	0	0	0	0	0	10	10	10	7	217742	217732
GCF_000194645.1	GCF_000194645	1	158	11	11	11	8	134562	134551	1	1	1	1	12376	12375	9	9	9	7	119645	119636
GCF_000194665.1	GCF_000194665	1	159	10	10	10	4	334327	334317	2	2	2	1	84648	84646	9	9	9	4	330914	330905
GCF_000194685.1	GCF_000194685	1	160	3	3	3	3	139631	139628	2	2	2	2	119128	119126	3	3	3	3	139631	139628
GCF_000194705.1	GCF_000194705	1	161	4	4	4	3	174305	174301	1	1	1	1	48016	48015	4	4	4	3	174305	174301
GCF_000194725.1	GCF_000194725	1	162	14	14	14	11	335468	335454	2	2	2	2	62243	62241	12	12	12	9	307854	307842
GCF_000210475.1	GCF_000210475	1	163	8	8	8	1	358817	358809	3	3	3	1	127536	127533	8	8	8	1	358817	358809
GCF_000211395.1	GCF_000211395	1	164	5	5	5	2	199902	199897	0	0	0	0	0	0	5	5	5	2	199902	199897
GCF_000212715.2	GCF_000212715	2	165	12	12	12	1	345147	345135	0	0	0	0	0	0	11	11	11	1	342358	342347
GCF_000214765.2	GCF_000214765	2	166	4	4	4	4	105170	105166	0	0	0	0	0	0	4	4	4	4	105170	105166
GCF_000215145.1	GCF_000215145	1	167	5	5	5	2	162852	162847	0	0	0	0	0	0	5	5	5	2	162852	162847
GCF_000215165.1	GCF_000215165	1	168	15	15	15	4	382835	382820	1	1	1	1	13654	13653	12	12	12	4	354918	354906
GCF_000215185.1	GCF_000215185	1	169	6	6	6	3	230603	230597	0	0	0	0	0	0	6	6	6	3	230603	230597
GCF_000215205.1	GCF_000215205	1	170	14	14	14	6	326162	326148	2	2	2	2	55424	55422	13	13	13	6	324672	324659
GCF_000215225.1	GCF_000215225	1	171	7	7	7	6	188672	188665	0	0	0	0	0	0	7	7	7	6	188672	188665
GCF_000215245.1	GCF_000215245	1	172	4	4	4	2	163330	163326	0	0	0	0	0	0	4	4	4	2	163330	163326
GCF_000215285.1	GCF_000215285	1	173	8	8	8	4	306179	306171	0	0	0	0	0	0	8	8	8	4	306179	306171
GCF_000217695.1	GCF_000217695	1	174	4	4	4	4	37905	37901	1	1	1	1	10089	10088	3	3	3	3	33476	33473
GCF_000217975.1	GCF_000217975	1	175	8	8	8	1	315701	315693	1	1	1	1	9601	9600	8	8	8	1	315701	315693
GCF_000219515.2	GCF_000219515	2	176	6	6	6	1	196650	196644	0	0	0	0	0	0	6	6	6	1	196650	196644
GCF_000220005.1	GCF_000220005	1	177	20	20	20	2	607462	607442	3	3	3	2	156386	156383	20	20	20	2	607462	607442
GCF_000221885.1	GCF_000221885	1	178	8	8	8	6	240572	240564	1	1	1	1	9601	9600	8	8	8	6	240572	240564
GCF_000222505.1	GCF_000222505	1	179	8	8	8	5	266159	266151	1	1	1	1	9794	9793	7	7	7	4	264094	264087
GCF_000223015.1	GCF_000223015	1	180	11	11	11	11	206806	206795	1	1	1	1	10089	10088	8	8	8	8	180290	180282
GCF_000223035.1	GCF_000223035	1	181	9	9	9	9	167490	167481	1	1	1	1	10125	10124	7	7	7	7	147813	147806
GCF_000224395.1	GCF_000224395	1	182	4	4	4	4	48873	48869	0	0	0	0	0	0	3	3	3	3	43497	43494
GCF_000225025.1	GCF_000225025	1	183	5	5	5	4	149623	149618	0	0	0	0	0	0	5	5	5	4	149623	149618
GCF_000225045.1	GCF_000225045	1	184	8	8	8	8	199909	199901	0	0	0	0	0	0	6	6	6	6	152722	152716
GCF_000225145.1	GCF_000225145	1	185	10	10	10	7	208987	208977	1	1	1	1	45221	45220	10	10	10	7	208987	208977
GCF_000225185.2	GCF_000225185	2	186	14	14	14	13	301089	301075	0	0	0	0	0	0	12	12	12	12	293151	293139
GCF_000225205.1	GCF_000225205	1	187	7	7	7	7	174001	173994	0	0	0	0	0	0	6	6	6	6	172655	172649
GCF_000225225.1	GCF_000225225	1	188	10	10	10	8	226300	226290	0	0	0	0	0	0	10	10	10	8	226300	226290
GCF_000227625.1	GCF_000227625	1	189	14	14	14	1	450113	450099	4	4	4	1	149924	149920	13	13	13	1	446281	446268
GCF_000233675.1	GCF_000233675	1	190	4	4	4	4	77536	77532	0	0	0	0	0	0	4	4	4	4	77536	77532
GCF_000233875.1	GCF_000233875	1	191	2	2	2	1	90321	90319	0	0	0	0	0	0	2	2	2	1	90321	90319
GCF_000233895.1	GCF_000233895	1	192	2	2	2	1	90321	90319	0	0	0	0	0	0	2	2	2	1	90321	90319
GCF_000234215.1	GCF_000234215	1	193	5	5	5	5	85501	85496	0	0	0	0	0	0	3	3	3	3	64029	64026
GCF_000234235.1	GCF_000234235	1	194	2	2	2	2	40079	40077	0	0	0	0	0	0	2	2	2	2	40079	40077
GCF_000234255.2	GCF_000234255	2	195	4	4	4	4	91046	91042	0	0	0	0	0	0	4	4	4	4	91046	91042
GCF_000234275.2	GCF_000234275	2	196	1	1	1	1	33650	33649	0	0	0	0	0	0	1	1	1	1	33650	33649
GCF_000234295.1	GCF_000234295	1	197	6	6	6	6	151310	151304	1	1	1	1	44828	44827	5	5	5	5	134040	134035
GCF_000234315.1	GCF_000234315	1	198	3	3	3	3	63086	63083	0	0	0	0	0	0	3	3	3	3	63086	63083
GCF_000234605.1	GCF_000234605	1	199	7	7	7	7	101262	101255	0	0	0	0	0	0	7	7	7	7	101262	101255
GCF_000235045.1	GCF_000235045	1	200	8	8	8	1	321534	321526	1	1	1	1	9601	9600	8	8	8	1	321534	321526
GCF_000235065.1	GCF_000235065	1	201	8	8	8	2	288121	288113	1	1	1	1	9601	9600	7	7	7	2	272264	272257
GCF_000235085.1	GCF_000235085	1	202	8	8	8	3	255120	255112	1	1	1	1	9794	9793	7	7	7	3	240644	240637
GCF_000235105.1	GCF_000235105	1	203	8	8	8	1	321617	321609	1	1	1	1	9794	9793	8	8	8	1	321617	321609
GCF_000235125.1	GCF_000235125	1	204	8	8	8	1	325539	325531	1	1	1	1	9794	9793	8	8	8	1	325539	325531
GCF_000235145.1	GCF_000235145	1	205	9	9	9	2	322119	322110	1	1	1	1	9601	9600	9	9	9	2	322119	322110
GCF_000235165.1	GCF_000235165	1	206	8	8	8	2	300110	300102	1	1	1	1	9794	9793	8	8	8	2	300110	300102
GCF_000235185.1	GCF_000235185	1	207	9	9	9	2	311988	311979	1	1	1	1	9601	9600	9	9	9	2	311988	311979
GCF_000235205.1	GCF_000235205	1	208	8	8	8	2	286799	286791	1	1	1	1	9601	9600	7	7	7	2	269331	269324
GCF_000235225.1	GCF_000235225	1	209	9	9	9	2	285549	285540	1	1	1	1	9794	9793	8	8	8	2	281997	281989
GCF_000235245.1	GCF_000235245	1	210	9	9	9	2	364539	364530	0	0	0	0	0	0	9	9	9	2	364539	364530
GCF_000235265.1	GCF_000235265	1	211	9	9	9	1	325994	325985	1	1	1	1	9601	9600	8	8	8	1	319095	319087
