prophage_id,ecor_strain,strain_index,assembly_accession,gca_accession,wgs_master,source_contig,contig_start,contig_end,length_bp,transposable,taxonomy,community,in_connected_component,cluster,genome,in_tree,tree_leaf_id,neighborhood_size,nearest_neighbor,nearest_neighbor_dist,contig_url,contig_fasta_url,assembly_url,neighborhood_png
GCF_003333425.1_prophage_4,ECOR-68,68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,NZ_QOZA01000004.1,210012,252847,42836,0.0,Siphoviridae,36322,0,,GCF_003333425.1,1,GCF_003333425.1_prophage_4,16,GCF_002190025.1_prophage_1,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000004.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000004.1?report=fasta&from=210012&to=252847,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333425.1,ecor_neighborhoods/GCF_003333425.1_prophage_4.png
GCF_003333425.1_prophage_5,ECOR-68,68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,NZ_QOZA01000006.1,50222,82748,32527,0.0,Myoviridae,36323,0,,GCF_003333425.1,1,GCF_003333425.1_prophage_5,17,GCF_000779715.1_prophage_6,0.004706,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000006.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000006.1?report=fasta&from=50222&to=82748,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333425.1,ecor_neighborhoods/GCF_003333425.1_prophage_5.png
GCF_003333435.1_prophage_1,ECOR-66,66,GCF_003333435.1,GCA_003333435.1,QOYY00000000.1,NZ_QOYY01000003.1,105701,141178,35478,0.0,Myoviridae,36324,0,,GCF_003333435.1,1,GCF_003333435.1_prophage_1,17,GCF_013366875.1_prophage_3,0.00102,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYY01000003.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYY01000003.1?report=fasta&from=105701&to=141178,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333435.1,ecor_neighborhoods/GCF_003333435.1_prophage_1.png
GCF_003333435.1_prophage_2,ECOR-66,66,GCF_003333435.1,GCA_003333435.1,QOYY00000000.1,NZ_QOYY01000004.1,101308,148794,47487,0.0,Siphoviridae,36325,0,,GCF_003333435.1,1,GCF_003333435.1_prophage_2,15,GCF_002189985.1_prophage_2,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYY01000004.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYY01000004.1?report=fasta&from=101308&to=148794,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333435.1,ecor_neighborhoods/GCF_003333435.1_prophage_2.png
GCF_003333475.1_prophage_1,ECOR-70,70,GCF_003333475.1,GCA_003333475.1,QOZC00000000.1,NZ_QOZC01000013.1,96831,129508,32678,0.0,Siphoviridae,36326,0,,GCF_003333475.1,1,GCF_003333475.1_prophage_1,18,GCF_011812915.1_prophage_1,0.002244,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZC01000013.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZC01000013.1?report=fasta&from=96831&to=129508,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333475.1,ecor_neighborhoods/GCF_003333475.1_prophage_1.png
GCF_003333475.1_prophage_2,ECOR-70,70,GCF_003333475.1,GCA_003333475.1,QOZC00000000.1,NZ_QOZC01000025.1,1151,20823,19673,0.0,Podoviridae,36327,0,,GCF_003333475.1,1,GCF_003333475.1_prophage_2,38,GCF_002511815.1_prophage_3,0.00116,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZC01000025.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZC01000025.1?report=fasta&from=1151&to=20823,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333475.1,ecor_neighborhoods/GCF_003333475.1_prophage_2.png
GCF_003333475.1_prophage_3,ECOR-70,70,GCF_003333475.1,GCA_003333475.1,QOZC00000000.1,NZ_QOZC01000029.1,1,39146,39146,0.0,Siphoviridae,36328,0,,GCF_003333475.1,1,GCF_003333475.1_prophage_3,4,GCF_005388965.1_prophage_5,0.0195,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZC01000029.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZC01000029.1?report=fasta&from=1&to=39146,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333475.1,ecor_neighborhoods/GCF_003333475.1_prophage_3.png
GCF_003333475.1_prophage_4,ECOR-70,70,GCF_003333475.1,GCA_003333475.1,QOZC00000000.1,NZ_QOZC01000004.1,87668,122305,34638,0.0,Myoviridae,36329,0,,GCF_003333475.1,1,GCF_003333475.1_prophage_4,12,GCF_002263065.1_prophage_2,0.001892,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZC01000004.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZC01000004.1?report=fasta&from=87668&to=122305,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333475.1,ecor_neighborhoods/GCF_003333475.1_prophage_4.png
GCF_003333495.1_prophage_1,ECOR-65,65,GCF_003333495.1,GCA_003333495.1,QOYX00000000.1,NZ_QOYX01000004.1,99673,150114,50442,0.0,Siphoviridae,36330,0,,GCF_003333495.1,1,GCF_003333495.1_prophage_1,17,GCF_006540865.2_prophage_2,0.000558,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYX01000004.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYX01000004.1?report=fasta&from=99673&to=150114,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333495.1,ecor_neighborhoods/GCF_003333495.1_prophage_1.png
GCF_003333495.1_prophage_2,ECOR-65,65,GCF_003333495.1,GCA_003333495.1,QOYX00000000.1,NZ_QOYX01000006.1,170729,206900,36172,0.0,Myoviridae,36331,0,,GCF_003333495.1,1,GCF_003333495.1_prophage_2,14,GCF_002115565.1_prophage_3,0.009099,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYX01000006.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYX01000006.1?report=fasta&from=170729&to=206900,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333495.1,ecor_neighborhoods/GCF_003333495.1_prophage_2.png
GCF_003333495.1_prophage_3,ECOR-65,65,GCF_003333495.1,GCA_003333495.1,QOYX00000000.1,NZ_QOYX01000008.1,27911,68281,40371,0.0,Myoviridae,36332,0,,GCF_003333495.1,1,GCF_003333495.1_prophage_3,24,GCF_002189935.1_prophage_3,0.003578,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYX01000008.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYX01000008.1?report=fasta&from=27911&to=68281,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333495.1,ecor_neighborhoods/GCF_003333495.1_prophage_3.png
GCF_003333505.1_prophage_1,ECOR-63,63,GCF_003333505.1,GCA_003333505.1,QOYV00000000.1,NZ_QOYV01000015.1,1,21986,21986,0.0,Siphoviridae,36333,0,5,GCF_003333505.1,1,GCF_003333505.1_prophage_1,29,GCF_000776715.1_prophage_1,0.013817,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYV01000015.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYV01000015.1?report=fasta&from=1&to=21986,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333505.1,ecor_neighborhoods/GCF_003333505.1_prophage_1.png
GCF_003333505.1_prophage_2,ECOR-63,63,GCF_003333505.1,GCA_003333505.1,QOYV00000000.1,NZ_QOYV01000035.1,1489,14003,12515,0.0,Podoviridae,36334,0,,GCF_003333505.1,1,GCF_003333505.1_prophage_2,12,GCF_001648715.1_prophage_3,0.024942,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYV01000035.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYV01000035.1?report=fasta&from=1489&to=14003,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333505.1,ecor_neighborhoods/GCF_003333505.1_prophage_2.png
GCF_003333505.1_prophage_3,ECOR-63,63,GCF_003333505.1,GCA_003333505.1,QOYV00000000.1,NZ_QOYV01000041.1,17079,31608,14530,0.0,Myoviridae,36335,0,,GCF_003333505.1,1,GCF_003333505.1_prophage_3,21,GCF_002189905.1_prophage_2,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYV01000041.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYV01000041.1?report=fasta&from=17079&to=31608,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333505.1,ecor_neighborhoods/GCF_003333505.1_prophage_3.png
GCF_003333505.1_prophage_4,ECOR-63,63,GCF_003333505.1,GCA_003333505.1,QOYV00000000.1,NZ_QOYV01000006.1,100480,145548,45069,0.0,Podoviridae,36336,0,,GCF_003333505.1,1,GCF_003333505.1_prophage_4,50,GCF_000753035.1_prophage_1,0.001654,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYV01000006.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYV01000006.1?report=fasta&from=100480&to=145548,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333505.1,ecor_neighborhoods/GCF_003333505.1_prophage_4.png
GCF_003333545.1_prophage_1,ECOR-62,62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,NZ_QOYU01000047.1,18378,37200,18823,0.0,Unknown,36337,0,,GCF_003333545.1,1,GCF_003333545.1_prophage_1,12,GCF_004100655.1_prophage_4,0.000156,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000047.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000047.1?report=fasta&from=18378&to=37200,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333545.1,ecor_neighborhoods/GCF_003333545.1_prophage_1.png
GCF_003333545.1_prophage_2,ECOR-62,62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,NZ_QOYU01000004.1,3752,13831,10080,0.0,Podoviridae,36338,0,,GCF_003333545.1,1,GCF_003333545.1_prophage_2,42,GCF_003333565.1_prophage_3,0.000144,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000004.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000004.1?report=fasta&from=3752&to=13831,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333545.1,ecor_neighborhoods/GCF_003333545.1_prophage_2.png
GCF_003333545.1_prophage_3,ECOR-62,62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,NZ_QOYU01000058.1,2,22402,22401,0.0,Myoviridae / Siphoviridae,36339,0,,GCF_003333545.1,1,GCF_003333545.1_prophage_3,4,GCF_003333565.1_prophage_4,4.8e-05,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000058.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000058.1?report=fasta&from=2&to=22402,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333545.1,ecor_neighborhoods/GCF_003333545.1_prophage_3.png
GCF_003333545.1_prophage_4,ECOR-62,62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,NZ_QOYU01000065.1,1513,27225,25713,0.0,Podoviridae,36340,0,,GCF_003333545.1,1,GCF_003333545.1_prophage_4,33,GCF_002189895.1_prophage_4,0.006946,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000065.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000065.1?report=fasta&from=1513&to=27225,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333545.1,ecor_neighborhoods/GCF_003333545.1_prophage_4.png
GCF_003333545.1_prophage_5,ECOR-62,62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,NZ_QOYU01000006.1,484,14508,14025,0.0,Podoviridae,36341,0,,GCF_003333545.1,1,GCF_003333545.1_prophage_5,29,GCF_002189875.1_prophage_3,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000006.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000006.1?report=fasta&from=484&to=14508,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333545.1,ecor_neighborhoods/GCF_003333545.1_prophage_5.png
GCF_003333545.1_prophage_6,ECOR-62,62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,NZ_QOYU01000007.1,15782,48208,32427,0.0,Myoviridae,36342,0,,GCF_003333545.1,1,GCF_003333545.1_prophage_6,46,GCF_003333565.1_prophage_2,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000007.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYU01000007.1?report=fasta&from=15782&to=48208,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333545.1,ecor_neighborhoods/GCF_003333545.1_prophage_6.png
GCF_003333565.1_prophage_1,ECOR-61,61,GCF_003333565.1,GCA_003333565.1,QOYT00000000.1,NZ_QOYT01000001.1,4171,8834,4664,0.0,Myoviridae,36343,0,,GCF_003333565.1,1,GCF_003333565.1_prophage_1,10,GCF_002189875.1_prophage_1,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYT01000001.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYT01000001.1?report=fasta&from=4171&to=8834,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333565.1,ecor_neighborhoods/GCF_003333565.1_prophage_1.png
GCF_003333565.1_prophage_2,ECOR-61,61,GCF_003333565.1,GCA_003333565.1,QOYT00000000.1,NZ_QOYT01000028.1,70625,103051,32427,0.0,Myoviridae,36344,0,,GCF_003333565.1,1,GCF_003333565.1_prophage_2,46,GCF_002189895.1_prophage_2,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYT01000028.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYT01000028.1?report=fasta&from=70625&to=103051,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333565.1,ecor_neighborhoods/GCF_003333565.1_prophage_2.png
GCF_003333565.1_prophage_3,ECOR-61,61,GCF_003333565.1,GCA_003333565.1,QOYT00000000.1,NZ_QOYT01000054.1,41036,51115,10080,0.0,Podoviridae,36345,0,,GCF_003333565.1,1,GCF_003333565.1_prophage_3,42,GCF_003333545.1_prophage_2,0.000144,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYT01000054.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYT01000054.1?report=fasta&from=41036&to=51115,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333565.1,ecor_neighborhoods/GCF_003333565.1_prophage_3.png
GCF_003333565.1_prophage_4,ECOR-61,61,GCF_003333565.1,GCA_003333565.1,QOYT00000000.1,NZ_QOYT01000008.1,2,22381,22380,0.0,Myoviridae / Siphoviridae,36346,0,,GCF_003333565.1,1,GCF_003333565.1_prophage_4,4,GCF_003333545.1_prophage_3,4.8e-05,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYT01000008.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYT01000008.1?report=fasta&from=2&to=22381,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333565.1,ecor_neighborhoods/GCF_003333565.1_prophage_4.png
GCF_003333585.1_prophage_1,ECOR-60,60,GCF_003333585.1,GCA_003333585.1,QOYS00000000.1,NZ_QOYS01000007.1,17116,64913,47798,0.0,Siphoviridae,36347,0,,GCF_003333585.1,1,GCF_003333585.1_prophage_1,57,GCF_002888475.1_prophage_2,9.6e-05,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYS01000007.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYS01000007.1?report=fasta&from=17116&to=64913,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333585.1,ecor_neighborhoods/GCF_003333585.1_prophage_1.png
GCF_003333605.1_prophage_1,ECOR-55,55,GCF_003333605.1,GCA_003333605.1,QOYO00000000.1,NZ_QOYO01000018.1,3,30759,30757,0.0,Siphoviridae,36348,0,,GCF_003333605.1,1,GCF_003333605.1_prophage_1,59,GCF_001647315.1_prophage_6,0.002385,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYO01000018.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYO01000018.1?report=fasta&from=3&to=30759,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333605.1,ecor_neighborhoods/GCF_003333605.1_prophage_1.png
GCF_003333605.1_prophage_2,ECOR-55,55,GCF_003333605.1,GCA_003333605.1,QOYO00000000.1,NZ_QOYO01000022.1,1,20079,20079,0.0,Siphoviridae,36349,0,,GCF_003333605.1,1,GCF_003333605.1_prophage_2,4,GCF_900448985.1_prophage_3,0.011,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYO01000022.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYO01000022.1?report=fasta&from=1&to=20079,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333605.1,ecor_neighborhoods/GCF_003333605.1_prophage_2.png
GCF_003333605.1_prophage_3,ECOR-55,55,GCF_003333605.1,GCA_003333605.1,QOYO00000000.1,NZ_QOYO01000007.1,217038,221519,4482,0.0,Unknown,36350,0,,GCF_003333605.1,1,GCF_003333605.1_prophage_3,60,GCF_002189735.1_prophage_3,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYO01000007.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYO01000007.1?report=fasta&from=217038&to=221519,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333605.1,ecor_neighborhoods/GCF_003333605.1_prophage_3.png
GCF_003333605.1_prophage_4,ECOR-55,55,GCF_003333605.1,GCA_003333605.1,QOYO00000000.1,NZ_QOYO01000007.1,235535,261714,26180,0.0,Siphoviridae,36351,0,,GCF_003333605.1,1,GCF_003333605.1_prophage_4,59,GCF_003334615.1_prophage_4,0.002988,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYO01000007.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYO01000007.1?report=fasta&from=235535&to=261714,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333605.1,ecor_neighborhoods/GCF_003333605.1_prophage_4.png
GCF_003333615.1_prophage_1,ECOR-54,54,GCF_003333615.1,GCA_003333615.1,QOYN00000000.1,NZ_QOYN01000014.1,798,21658,20861,0.0,Podoviridae,36352,0,,GCF_003333615.1,1,GCF_003333615.1_prophage_1,52,GCF_002189715.1_prophage_2,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYN01000014.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYN01000014.1?report=fasta&from=798&to=21658,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333615.1,ecor_neighborhoods/GCF_003333615.1_prophage_1.png
GCF_003333615.1_prophage_2,ECOR-54,54,GCF_003333615.1,GCA_003333615.1,QOYN00000000.1,NZ_QOYN01000026.1,2669,20078,17410,0.0,Siphoviridae,36353,0,,GCF_003333615.1,1,GCF_003333615.1_prophage_2,58,GCF_003334095.1_prophage_4,2.4e-05,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYN01000026.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYN01000026.1?report=fasta&from=2669&to=20078,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333615.1,ecor_neighborhoods/GCF_003333615.1_prophage_2.png
GCF_003333615.1_prophage_3,ECOR-54,54,GCF_003333615.1,GCA_003333615.1,QOYN00000000.1,NZ_QOYN01000002.1,3,35078,35076,0.0,Siphoviridae,36354,0,,GCF_003333615.1,1,GCF_003333615.1_prophage_3,46,GCF_000781175.1_prophage_3,0.001866,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYN01000002.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYN01000002.1?report=fasta&from=3&to=35078,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333615.1,ecor_neighborhoods/GCF_003333615.1_prophage_3.png
GCF_003333615.1_prophage_4,ECOR-54,54,GCF_003333615.1,GCA_003333615.1,QOYN00000000.1,NZ_QOYN01000009.1,1491,17319,15829,0.0,Siphoviridae / Podoviridae / Bicaudaviridae,36355,0,,GCF_003333615.1,1,GCF_003333615.1_prophage_4,20,GCF_002189715.1_prophage_1,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYN01000009.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYN01000009.1?report=fasta&from=1491&to=17319,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333615.1,ecor_neighborhoods/GCF_003333615.1_prophage_4.png
GCF_003333645.1_prophage_1,ECOR-58,58,GCF_003333645.1,GCA_003333645.1,QOYR00000000.1,NZ_QOYR01000001.1,87277,133596,46320,0.0,Siphoviridae,36356,0,,GCF_003333645.1,1,GCF_003333645.1_prophage_1,42,GCF_013369575.1_prophage_5,0.000144,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYR01000001.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOYR01000001.1?report=fasta&from=87277&to=133596,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333645.1,ecor_neighborhoods/GCF_003333645.1_prophage_1.png
