ecor_strain,assembly_accession,gca_accession,wgs_master,prophage_id,source_contig,start,end,length,transposable,taxonomy
ECOR-8,GCF_003334765.1,GCA_003334765.1,QOWT00000000.1,GCF_003334765.1_prophage_2,NZ_QOWT01000026.1,51452,56822,5371,0.0,Unknown
ECOR-8,GCF_003334765.1,GCA_003334765.1,QOWT00000000.1,GCF_003334765.1_prophage_4,NZ_QOWT01000031.1,1136,8092,6957,0.0,Unknown
ECOR-8,GCF_003334765.1,GCA_003334765.1,QOWT00000000.1,GCF_003334765.1_prophage_5,NZ_QOWT01000046.1,3657,22930,19274,0.0,Podoviridae
ECOR-9,GCF_003334255.1,GCA_003334255.1,QOWU00000000.1,GCF_003334255.1_prophage_1,NZ_QOWU01000010.1,77719,90011,12293,0.0,Siphoviridae
ECOR-9,GCF_003334255.1,GCA_003334255.1,QOWU00000000.1,GCF_003334255.1_prophage_2,NZ_QOWU01000026.1,38024,61355,23332,0.0,Podoviridae
ECOR-9,GCF_003334255.1,GCA_003334255.1,QOWU00000000.1,GCF_003334255.1_prophage_3,NZ_QOWU01000037.1,305,46400,46096,0.0,Myoviridae
ECOR-10,GCF_003334785.1,GCA_003334785.1,QOWV00000000.1,GCF_003334785.1_prophage_2,NZ_QOWV01000001.1,107675,119882,12208,0.0,Myoviridae
ECOR-10,GCF_003334785.1,GCA_003334785.1,QOWV00000000.1,GCF_003334785.1_prophage_3,NZ_QOWV01000002.1,544470,579325,34856,0.0,Myoviridae
ECOR-10,GCF_003334785.1,GCA_003334785.1,QOWV00000000.1,GCF_003334785.1_prophage_1,NZ_QOWV01000019.1,2248,10497,8250,0.0,Unknown
ECOR-11,GCF_003334245.1,GCA_003334245.1,QOWW00000000.1,GCF_003334245.1_prophage_4,NZ_QOWW01000007.1,95010,105221,10212,0.0,Unknown
ECOR-11,GCF_003334245.1,GCA_003334245.1,QOWW00000000.1,GCF_003334245.1_prophage_5,NZ_QOWW01000008.1,133135,168689,35555,0.0,Myoviridae
ECOR-11,GCF_003334245.1,GCA_003334245.1,QOWW00000000.1,GCF_003334245.1_prophage_1,NZ_QOWW01000015.1,103814,112365,8552,0.0,Siphoviridae
ECOR-11,GCF_003334245.1,GCA_003334245.1,QOWW00000000.1,GCF_003334245.1_prophage_2,NZ_QOWW01000028.1,26115,43135,17021,0.0,Podoviridae
ECOR-11,GCF_003334245.1,GCA_003334245.1,QOWW00000000.1,GCF_003334245.1_prophage_3,NZ_QOWW01000047.1,2672,20083,17412,0.0,Siphoviridae
ECOR-12,GCF_003334775.1,GCA_003334775.1,QOWX00000000.1,GCF_003334775.1_prophage_5,NZ_QOWX01000003.1,65,16104,16040,0.0,Myoviridae
ECOR-12,GCF_003334775.1,GCA_003334775.1,QOWX00000000.1,GCF_003334775.1_prophage_1,NZ_QOWX01000017.1,89876,99250,9375,0.0,Siphoviridae
ECOR-12,GCF_003334775.1,GCA_003334775.1,QOWX00000000.1,GCF_003334775.1_prophage_2,NZ_QOWX01000022.1,39176,67170,27995,0.0,Podoviridae
ECOR-12,GCF_003334775.1,GCA_003334775.1,QOWX00000000.1,GCF_003334775.1_prophage_3,NZ_QOWX01000027.1,977,38129,37153,0.0,Myoviridae
ECOR-12,GCF_003334775.1,GCA_003334775.1,QOWX00000000.1,GCF_003334775.1_prophage_4,NZ_QOWX01000039.1,792,13106,12315,0.0,Siphoviridae
ECOR-12,GCF_003334775.1,GCA_003334775.1,QOWX00000000.1,GCF_003334775.1_prophage_6,NZ_QOWX01000041.1,3,17736,17734,0.0,Podoviridae
ECOR-12,GCF_003334775.1,GCA_003334775.1,QOWX00000000.1,GCF_003334775.1_prophage_7,NZ_QOWX01000043.1,4220,8841,4622,0.0,Unknown
ECOR-13,GCF_003334235.1,GCA_003334235.1,QOWY00000000.1,GCF_003334235.1_prophage_2,NZ_QOWY01000001.1,174867,208462,33596,0.0,Myoviridae
ECOR-13,GCF_003334235.1,GCA_003334235.1,QOWY00000000.1,GCF_003334235.1_prophage_1,NZ_QOWY01000018.1,61,34981,34921,0.0,Siphoviridae
ECOR-13,GCF_003334235.1,GCA_003334235.1,QOWY00000000.1,GCF_003334235.1_prophage_3,NZ_QOWY01000029.1,18880,50913,32034,0.0,Podoviridae
ECOR-14,GCF_003334705.1,GCA_003334705.1,QOWZ00000000.1,GCF_003334705.1_prophage_1,NZ_QOWZ01000001.1,241624,278818,37195,0.0,Podoviridae
ECOR-14,GCF_003334705.1,GCA_003334705.1,QOWZ00000000.1,GCF_003334705.1_prophage_3,NZ_QOWZ01000008.1,40203,83249,43047,0.0,Siphoviridae
ECOR-14,GCF_003334705.1,GCA_003334705.1,QOWZ00000000.1,GCF_003334705.1_prophage_4,NZ_QOWZ01000009.1,23175,52334,29160,0.0,Myoviridae
ECOR-14,GCF_003334705.1,GCA_003334705.1,QOWZ00000000.1,GCF_003334705.1_prophage_2,NZ_QOWZ01000021.1,45608,87379,41772,0.0,Myoviridae
ECOR-15,GCF_003334225.1,GCA_003334225.1,QOXA00000000.1,GCF_003334225.1_prophage_4,NZ_QOXA01000003.1,300999,302386,1388,0.0,Unknown
ECOR-15,GCF_003334225.1,GCA_003334225.1,QOXA00000000.1,GCF_003334225.1_prophage_6,NZ_QOXA01000005.1,67947,103413,35467,0.0,Myoviridae
ECOR-15,GCF_003334225.1,GCA_003334225.1,QOXA00000000.1,GCF_003334225.1_prophage_1,NZ_QOXA01000012.1,86989,115868,28880,0.0,Myoviridae
ECOR-15,GCF_003334225.1,GCA_003334225.1,QOXA00000000.1,GCF_003334225.1_prophage_2,NZ_QOXA01000031.1,2,31586,31585,0.0,Myoviridae
ECOR-15,GCF_003334225.1,GCA_003334225.1,QOXA00000000.1,GCF_003334225.1_prophage_3,NZ_QOXA01000039.1,531,34900,34370,0.0,Myoviridae / Siphoviridae
ECOR-15,GCF_003334225.1,GCA_003334225.1,QOXA00000000.1,GCF_003334225.1_prophage_5,NZ_QOXA01000041.1,29,27239,27211,0.0,Siphoviridae
ECOR-16,GCF_003334675.1,GCA_003334675.1,QOXB00000000.1,GCF_003334675.1_prophage_3,NZ_QOXB01000009.1,127477,133574,6098,0.0,Unknown
ECOR-16,GCF_003334675.1,GCA_003334675.1,QOXB00000000.1,GCF_003334675.1_prophage_1,NZ_QOXB01000013.1,6077,17831,11755,0.0,Siphoviridae / Podoviridae
ECOR-16,GCF_003334675.1,GCA_003334675.1,QOXB00000000.1,GCF_003334675.1_prophage_2,NZ_QOXB01000023.1,48426,64801,16376,0.0,Myoviridae / Podoviridae
ECOR-17,GCF_003334175.1,GCA_003334175.1,QOXC00000000.1,GCF_003334175.1_prophage_4,NZ_QOXC01000007.1,62330,79451,17122,0.0,Myoviridae
ECOR-17,GCF_003334175.1,GCA_003334175.1,QOXC00000000.1,GCF_003334175.1_prophage_1,NZ_QOXC01000016.1,5019,20651,15633,0.0,Siphoviridae
ECOR-17,GCF_003334175.1,GCA_003334175.1,QOXC00000000.1,GCF_003334175.1_prophage_2,NZ_QOXC01000033.1,40202,50354,10153,0.0,Siphoviridae / Podoviridae
ECOR-17,GCF_003334175.1,GCA_003334175.1,QOXC00000000.1,GCF_003334175.1_prophage_3,NZ_QOXC01000035.1,21814,33435,11622,0.0,Podoviridae
ECOR-18,GCF_003334715.1,GCA_003334715.1,QOXD00000000.1,GCF_003334715.1_prophage_1,NZ_QOXD01000001.1,84798,120779,35982,0.0,Myoviridae
ECOR-18,GCF_003334715.1,GCA_003334715.1,QOXD00000000.1,GCF_003334715.1_prophage_2,NZ_QOXD01000041.1,3,12917,12915,0.0,Myoviridae
ECOR-19,GCF_003334165.1,GCA_003334165.1,QOXE00000000.1,GCF_003334165.1_prophage_1,NZ_QOXE01000004.1,583,29225,28643,0.0,Myoviridae
ECOR-20,GCF_003334155.1,GCA_003334155.1,QOXF00000000.1,GCF_003334155.1_prophage_1,NZ_QOXF01000001.1,93395,133473,40079,0.0,Podoviridae
ECOR-20,GCF_003334155.1,GCA_003334155.1,QOXF00000000.1,GCF_003334155.1_prophage_3,NZ_QOXF01000003.1,10932,15325,4394,0.0,Unknown
ECOR-20,GCF_003334155.1,GCA_003334155.1,QOXF00000000.1,GCF_003334155.1_prophage_2,NZ_QOXF01000036.1,24631,39532,14902,0.0,Siphoviridae / Podoviridae
ECOR-21,GCF_003334145.1,GCA_003334145.1,QOXG00000000.1,GCF_003334145.1_prophage_2,NZ_QOXG01000002.1,10932,15325,4394,0.0,Unknown
ECOR-21,GCF_003334145.1,GCA_003334145.1,QOXG00000000.1,GCF_003334145.1_prophage_6,NZ_QOXG01000009.1,93440,119993,26554,0.0,Podoviridae
ECOR-21,GCF_003334145.1,GCA_003334145.1,QOXG00000000.1,GCF_003334145.1_prophage_1,NZ_QOXG01000015.1,5801,10884,5084,0.0,Unknown
ECOR-21,GCF_003334145.1,GCA_003334145.1,QOXG00000000.1,GCF_003334145.1_prophage_3,NZ_QOXG01000035.1,3491,18392,14902,0.0,Siphoviridae / Podoviridae
ECOR-21,GCF_003334145.1,GCA_003334145.1,QOXG00000000.1,GCF_003334145.1_prophage_4,NZ_QOXG01000051.1,50,27076,27027,0.0,Siphoviridae
ECOR-21,GCF_003334145.1,GCA_003334145.1,QOXG00000000.1,GCF_003334145.1_prophage_5,NZ_QOXG01000055.1,17828,22788,4961,0.0,Unknown
ECOR-22,GCF_003334115.1,GCA_003334115.1,QOXH00000000.1,GCF_003334115.1_prophage_1,NZ_QOXH01000016.1,606,10382,9777,0.0,Myoviridae
ECOR-22,GCF_003334115.1,GCA_003334115.1,QOXH00000000.1,GCF_003334115.1_prophage_2,NZ_QOXH01000018.1,41440,56089,14650,0.0,Myoviridae
ECOR-22,GCF_003334115.1,GCA_003334115.1,QOXH00000000.1,GCF_003334115.1_prophage_3,NZ_QOXH01000020.1,48,38462,38415,0.0,Myoviridae
ECOR-23,GCF_003334095.1,GCA_003334095.1,QOXI00000000.1,GCF_003334095.1_prophage_5,NZ_QOXI01000008.1,370,17682,17313,0.0,Siphoviridae / Podoviridae / Bicaudaviridae
ECOR-23,GCF_003334095.1,GCA_003334095.1,QOXI00000000.1,GCF_003334095.1_prophage_1,NZ_QOXI01000012.1,101618,130901,29284,0.0,Podoviridae
ECOR-23,GCF_003334095.1,GCA_003334095.1,QOXI00000000.1,GCF_003334095.1_prophage_2,NZ_QOXI01000013.1,99948,115802,15855,0.0,Myoviridae
ECOR-23,GCF_003334095.1,GCA_003334095.1,QOXI00000000.1,GCF_003334095.1_prophage_3,NZ_QOXI01000022.1,562,16405,15844,0.0,Myoviridae / Siphoviridae
ECOR-23,GCF_003334095.1,GCA_003334095.1,QOXI00000000.1,GCF_003334095.1_prophage_4,NZ_QOXI01000028.1,2669,20078,17410,0.0,Siphoviridae
ECOR-24,GCF_003334085.1,GCA_003334085.1,QOXJ00000000.1,GCF_003334085.1_prophage_1,NZ_QOXJ01000002.1,244668,246071,1404,0.0,Unknown
ECOR-24,GCF_003334085.1,GCA_003334085.1,QOXJ00000000.1,GCF_003334085.1_prophage_4,NZ_QOXJ01000005.1,233899,240558,6660,0.0,Unknown
ECOR-24,GCF_003334085.1,GCA_003334085.1,QOXJ00000000.1,GCF_003334085.1_prophage_5,NZ_QOXJ01000008.1,158689,191954,33266,0.0,Myoviridae
ECOR-24,GCF_003334085.1,GCA_003334085.1,QOXJ00000000.1,GCF_003334085.1_prophage_2,NZ_QOXJ01000032.1,2314,11871,9558,0.0,Unknown
ECOR-24,GCF_003334085.1,GCA_003334085.1,QOXJ00000000.1,GCF_003334085.1_prophage_3,NZ_QOXJ01000038.1,102,31364,31263,0.0,Siphoviridae
ECOR-25,GCF_003334065.1,GCA_003334065.1,QOXK00000000.1,GCF_003334065.1_prophage_1,NZ_QOXK01000001.1,149084,169486,20403,0.0,Myoviridae
ECOR-25,GCF_003334065.1,GCA_003334065.1,QOXK00000000.1,GCF_003334065.1_prophage_2,NZ_QOXK01000003.1,48383,60238,11856,0.0,Podoviridae
ECOR-26,GCF_003334035.1,GCA_003334035.1,QOXL00000000.1,GCF_003334035.1_prophage_4,NZ_QOXL01000004.1,1007,17924,16918,0.0,Siphoviridae / Podoviridae
ECOR-26,GCF_003334035.1,GCA_003334035.1,QOXL00000000.1,GCF_003334035.1_prophage_1,NZ_QOXL01000011.1,2758,16176,13419,1.0,Siphoviridae / Podoviridae
ECOR-26,GCF_003334035.1,GCA_003334035.1,QOXL00000000.1,GCF_003334035.1_prophage_2,NZ_QOXL01000020.1,38421,54796,16376,0.0,Myoviridae / Podoviridae
ECOR-26,GCF_003334035.1,GCA_003334035.1,QOXL00000000.1,GCF_003334035.1_prophage_3,NZ_QOXL01000033.1,2669,20080,17412,0.0,Siphoviridae
ECOR-27,GCF_003334665.1,GCA_003334665.1,QOXM00000000.1,GCF_003334665.1_prophage_4,NZ_QOXM01000003.1,1282,36375,35094,0.0,Siphoviridae
ECOR-27,GCF_003334665.1,GCA_003334665.1,QOXM00000000.1,GCF_003334665.1_prophage_1,NZ_QOXM01000010.1,2746,15976,13231,1.0,Siphoviridae / Podoviridae
ECOR-27,GCF_003334665.1,GCA_003334665.1,QOXM00000000.1,GCF_003334665.1_prophage_2,NZ_QOXM01000015.1,27442,65114,37673,0.0,Podoviridae
ECOR-27,GCF_003334665.1,GCA_003334665.1,QOXM00000000.1,GCF_003334665.1_prophage_3,NZ_QOXM01000023.1,828,20565,19738,0.0,Podoviridae
ECOR-28,GCF_003334015.1,GCA_003334015.1,QOXN00000000.1,GCF_003334015.1_prophage_2,NZ_QOXN01000003.1,112162,152293,40132,0.0,Siphoviridae
ECOR-28,GCF_003334015.1,GCA_003334015.1,QOXN00000000.1,GCF_003334015.1_prophage_3,NZ_QOXN01000005.1,203021,238194,35174,0.0,Myoviridae
ECOR-28,GCF_003334015.1,GCA_003334015.1,QOXN00000000.1,GCF_003334015.1_prophage_1,NZ_QOXN01000027.1,645,2341,1697,0.0,Podoviridae
ECOR-29,GCF_003334005.1,GCA_003334005.1,QOXO00000000.1,GCF_003334005.1_prophage_1,NZ_QOXO01000016.1,1776,24577,22802,0.0,Myoviridae
ECOR-29,GCF_003334005.1,GCA_003334005.1,QOXO00000000.1,GCF_003334005.1_prophage_2,NZ_QOXO01000019.1,60056,104528,44473,0.0,Siphoviridae
ECOR-29,GCF_003334005.1,GCA_003334005.1,QOXO00000000.1,GCF_003334005.1_prophage_3,NZ_QOXO01000027.1,40271,44719,4449,0.0,Unknown
ECOR-30,GCF_003333975.1,GCA_003333975.1,QOXP00000000.1,GCF_003333975.1_prophage_1,NZ_QOXP01000001.1,262784,298172,35389,0.0,Myoviridae
ECOR-30,GCF_003333975.1,GCA_003333975.1,QOXP00000000.1,GCF_003333975.1_prophage_2,NZ_QOXP01000005.1,2310,17474,15165,1.0,Siphoviridae / Podoviridae
ECOR-31,GCF_003333945.1,GCA_003333945.1,QOXQ00000000.1,GCF_003333945.1_prophage_4,NZ_QOXQ01000007.1,146530,185235,38706,0.0,Siphoviridae
ECOR-31,GCF_003333945.1,GCA_003333945.1,QOXQ00000000.1,GCF_003333945.1_prophage_1,NZ_QOXQ01000011.1,88697,123027,34331,0.0,Myoviridae
ECOR-31,GCF_003333945.1,GCA_003333945.1,QOXQ00000000.1,GCF_003333945.1_prophage_2,NZ_QOXQ01000031.1,42979,64251,21273,0.0,Siphoviridae
ECOR-31,GCF_003333945.1,GCA_003333945.1,QOXQ00000000.1,GCF_003333945.1_prophage_3,NZ_QOXQ01000032.1,3118,60678,57561,0.0,Myoviridae
ECOR-32,GCF_003333935.1,GCA_003333935.1,QOXR00000000.1,GCF_003333935.1_prophage_2,NZ_QOXR01000004.1,30600,68848,38249,0.0,Myoviridae
ECOR-32,GCF_003333935.1,GCA_003333935.1,QOXR00000000.1,GCF_003333935.1_prophage_3,NZ_QOXR01000006.1,222736,237054,14319,1.0,Siphoviridae / Podoviridae
ECOR-32,GCF_003333935.1,GCA_003333935.1,QOXR00000000.1,GCF_003333935.1_prophage_1,NZ_QOXR01000024.1,38517,57724,19208,0.0,Podoviridae
ECOR-33,GCF_003333925.1,GCA_003333925.1,QOXS00000000.1,GCF_003333925.1_prophage_2,NZ_QOXS01000004.1,30600,68848,38249,0.0,Myoviridae
ECOR-33,GCF_003333925.1,GCA_003333925.1,QOXS00000000.1,GCF_003333925.1_prophage_3,NZ_QOXS01000006.1,222736,237054,14319,1.0,Siphoviridae / Podoviridae
ECOR-33,GCF_003333925.1,GCA_003333925.1,QOXS00000000.1,GCF_003333925.1_prophage_1,NZ_QOXS01000024.1,38517,57724,19208,0.0,Podoviridae
ECOR-34,GCF_003334625.1,GCA_003334625.1,QOXT00000000.1,GCF_003334625.1_prophage_3,NZ_QOXT01000007.1,100892,143133,42242,0.0,Podoviridae
ECOR-34,GCF_003334625.1,GCA_003334625.1,QOXT00000000.1,GCF_003334625.1_prophage_1,NZ_QOXT01000013.1,65955,105099,39145,0.0,Myoviridae
ECOR-34,GCF_003334625.1,GCA_003334625.1,QOXT00000000.1,GCF_003334625.1_prophage_2,NZ_QOXT01000032.1,21473,36047,14575,1.0,Siphoviridae / Podoviridae
ECOR-35,GCF_003334735.1,GCA_003334735.1,QOXU00000000.1,GCF_003334735.1_prophage_4,NZ_QOXU01000005.1,111932,148331,36400,0.0,Myoviridae
ECOR-35,GCF_003334735.1,GCA_003334735.1,QOXU00000000.1,GCF_003334735.1_prophage_1,NZ_QOXU01000011.1,2868,37068,34201,0.0,Myoviridae
ECOR-35,GCF_003334735.1,GCA_003334735.1,QOXU00000000.1,GCF_003334735.1_prophage_2,NZ_QOXU01000019.1,23031,56574,33544,0.0,Myoviridae
ECOR-35,GCF_003334735.1,GCA_003334735.1,QOXU00000000.1,GCF_003334735.1_prophage_3,NZ_QOXU01000058.1,16036,28611,12576,0.0,Unknown
ECOR-36,GCF_003333875.1,GCA_003333875.1,QOXV00000000.1,GCF_003333875.1_prophage_1,NZ_QOXV01000010.1,1670,20664,18995,0.0,Podoviridae
ECOR-36,GCF_003333875.1,GCA_003333875.1,QOXV00000000.1,GCF_003333875.1_prophage_2,NZ_QOXV01000025.1,2839,37345,34507,0.0,Myoviridae
ECOR-36,GCF_003333875.1,GCA_003333875.1,QOXV00000000.1,GCF_003333875.1_prophage_3,NZ_QOXV01000044.1,3008,31216,28209,0.0,Myoviridae
ECOR-37,GCF_003333865.1,GCA_003333865.1,QOXW00000000.1,GCF_003333865.1_prophage_2,NZ_QOXW01000002.1,26618,71865,45248,0.0,Myoviridae
ECOR-37,GCF_003333865.1,GCA_003333865.1,QOXW00000000.1,GCF_003333865.1_prophage_1,NZ_QOXW01000021.1,470,87757,87288,0.0,Myoviridae
ECOR-37,GCF_003333865.1,GCA_003333865.1,QOXW00000000.1,GCF_003333865.1_prophage_3,NZ_QOXW01000044.1,1,21500,21500,0.0,Myoviridae
ECOR-37,GCF_003333865.1,GCA_003333865.1,QOXW00000000.1,GCF_003333865.1_prophage_4,NZ_QOXW01000048.1,782,3904,3123,0.0,Podoviridae
ECOR-37,GCF_003333865.1,GCA_003333865.1,QOXW00000000.1,GCF_003333865.1_prophage_5,NZ_QOXW01000049.1,23124,28223,5100,0.0,Myoviridae
ECOR-37,GCF_003333865.1,GCA_003333865.1,QOXW00000000.1,GCF_003333865.1_prophage_6,NZ_QOXW01000055.1,3,24014,24012,0.0,Siphoviridae
ECOR-38,GCF_003334605.1,GCA_003334605.1,QOXX00000000.1,GCF_003334605.1_prophage_1,NZ_QOXX01000001.1,46981,83409,36429,0.0,Myoviridae
ECOR-38,GCF_003334605.1,GCA_003334605.1,QOXX00000000.1,GCF_003334605.1_prophage_2,NZ_QOXX01000002.1,8154,24601,16448,0.0,Siphoviridae
ECOR-38,GCF_003334605.1,GCA_003334605.1,QOXX00000000.1,GCF_003334605.1_prophage_3,NZ_QOXX01000031.1,15991,53905,37915,0.0,Siphoviridae
ECOR-38,GCF_003334605.1,GCA_003334605.1,QOXX00000000.1,GCF_003334605.1_prophage_4,NZ_QOXX01000040.1,678,17929,17252,0.0,Myoviridae
ECOR-38,GCF_003334605.1,GCA_003334605.1,QOXX00000000.1,GCF_003334605.1_prophage_5,NZ_QOXX01000043.1,117,21803,21687,0.0,Myoviridae
ECOR-38,GCF_003334605.1,GCA_003334605.1,QOXX00000000.1,GCF_003334605.1_prophage_6,NZ_QOXX01000045.1,2,31058,31057,0.0,Myoviridae
ECOR-39,GCF_003333855.1,GCA_003333855.1,QOXY00000000.1,GCF_003333855.1_prophage_1,NZ_QOXY01000001.1,46981,83409,36429,0.0,Myoviridae
ECOR-39,GCF_003333855.1,GCA_003333855.1,QOXY00000000.1,GCF_003333855.1_prophage_2,NZ_QOXY01000002.1,8171,24618,16448,0.0,Siphoviridae
ECOR-39,GCF_003333855.1,GCA_003333855.1,QOXY00000000.1,GCF_003333855.1_prophage_3,NZ_QOXY01000032.1,15991,53905,37915,0.0,Siphoviridae
ECOR-39,GCF_003333855.1,GCA_003333855.1,QOXY00000000.1,GCF_003333855.1_prophage_4,NZ_QOXY01000035.1,9693,42227,32535,0.0,Myoviridae
ECOR-39,GCF_003333855.1,GCA_003333855.1,QOXY00000000.1,GCF_003333855.1_prophage_5,NZ_QOXY01000042.1,678,17929,17252,0.0,Myoviridae
ECOR-39,GCF_003333855.1,GCA_003333855.1,QOXY00000000.1,GCF_003333855.1_prophage_6,NZ_QOXY01000044.1,117,21803,21687,0.0,Myoviridae
ECOR-39,GCF_003333855.1,GCA_003333855.1,QOXY00000000.1,GCF_003333855.1_prophage_7,NZ_QOXY01000047.1,1,30988,30988,0.0,Myoviridae
ECOR-39,GCF_003333855.1,GCA_003333855.1,QOXY00000000.1,GCF_003333855.1_prophage_8,NZ_QOXY01000057.1,3443,18585,15143,0.0,Podoviridae
ECOR-40,GCF_003333845.1,GCA_003333845.1,QOXZ00000000.1,GCF_003333845.1_prophage_9,NZ_QOXZ01000006.1,129972,159516,29545,0.0,Siphoviridae
ECOR-40,GCF_003333845.1,GCA_003333845.1,QOXZ00000000.1,GCF_003333845.1_prophage_1,NZ_QOXZ01000030.1,15991,53408,37418,0.0,Siphoviridae / Podoviridae
ECOR-40,GCF_003333845.1,GCA_003333845.1,QOXZ00000000.1,GCF_003333845.1_prophage_2,NZ_QOXZ01000037.1,29381,44552,15172,0.0,Unknown
ECOR-40,GCF_003333845.1,GCA_003333845.1,QOXZ00000000.1,GCF_003333845.1_prophage_3,NZ_QOXZ01000038.1,153,22863,22711,0.0,Myoviridae
