ecor_strain	wgs_master	gca	gcf	in_cohort	n_prophage_records	n_in_full_prophages_fa	tag_merge_rate	status	notes
ECOR-16	QOXB00000000.1	GCA_003334675.1	GCF_003334675.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-17	QOXC00000000.1	GCA_003334175.1	GCF_003334175.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-18	QOXD00000000.1	GCA_003334715.1	GCF_003334715.1	True	2	2	1.0	matched	paired_comp=identical; level=Contig
ECOR-19	QOXE00000000.1	GCA_003334165.1	GCF_003334165.1	True	1	1	1.0	matched	paired_comp=identical; level=Contig
ECOR-20	QOXF00000000.1	GCA_003334155.1	GCF_003334155.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-21	QOXG00000000.1	GCA_003334145.1	GCF_003334145.1	True	6	6	1.0	matched	paired_comp=identical; level=Contig
ECOR-22	QOXH00000000.1	GCA_003334115.1	GCF_003334115.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-23	QOXI00000000.1	GCA_003334095.1	GCF_003334095.1	True	5	5	1.0	matched	paired_comp=identical; level=Contig
ECOR-24	QOXJ00000000.1	GCA_003334085.1	GCF_003334085.1	True	5	5	1.0	matched	paired_comp=identical; level=Contig
ECOR-25	QOXK00000000.1	GCA_003334065.1	GCF_003334065.1	True	2	2	1.0	matched	paired_comp=identical; level=Contig
ECOR-26	QOXL00000000.1	GCA_003334035.1	GCF_003334035.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-27	QOXM00000000.1	GCA_003334665.1	GCF_003334665.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-28	QOXN00000000.1	GCA_003334015.1	GCF_003334015.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-29	QOXO00000000.1	GCA_003334005.1	GCF_003334005.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-30	QOXP00000000.1	GCA_003333975.1	GCF_003333975.1	True	2	2	1.0	matched	paired_comp=identical; level=Contig
ECOR-31	QOXQ00000000.1	GCA_003333945.1	GCF_003333945.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-32	QOXR00000000.1	GCA_003333935.1	GCF_003333935.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-33	QOXS00000000.1	GCA_003333925.1	GCF_003333925.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-34	QOXT00000000.1	GCA_003334625.1	GCF_003334625.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-35	QOXU00000000.1	GCA_003334735.1	GCF_003334735.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-36	QOXV00000000.1	GCA_003333875.1	GCF_003333875.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-37	QOXW00000000.1	GCA_003333865.1	GCF_003333865.1	True	6	6	1.0	matched	paired_comp=identical; level=Contig
ECOR-38	QOXX00000000.1	GCA_003334605.1	GCF_003334605.1	True	6	6	1.0	matched	paired_comp=identical; level=Contig
ECOR-39	QOXY00000000.1	GCA_003333855.1	GCF_003333855.1	True	8	8	1.0	matched	paired_comp=identical; level=Contig
ECOR-40	QOXZ00000000.1	GCA_003333845.1	GCF_003333845.1	True	9	9	1.0	matched	paired_comp=identical; level=Contig
ECOR-41	QOYA00000000.1	GCA_003333795.1	GCF_003333795.1	True	8	8	1.0	matched	paired_comp=identical; level=Contig
ECOR-42	QOYB00000000.1	GCA_003333785.1	GCF_003333785.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-43	QOYC00000000.1	GCA_003333775.1	GCF_003333775.1	True	7	7	1.0	matched	paired_comp=identical; level=Contig
ECOR-44	QOYD00000000.1	GCA_003333765.1	GCF_003333765.1	True	7	7	1.0	matched	paired_comp=identical; level=Contig
ECOR-45	QOYE00000000.1	GCA_003333735.1	GCF_003333735.1	True	1	1	1.0	matched	paired_comp=identical; level=Contig
ECOR-46	QOYF00000000.1	GCA_003334585.1	GCF_003334585.1	True	7	7	1.0	matched	paired_comp=identical; level=Contig
ECOR-47	QOYG00000000.1	GCA_003333715.1	GCF_003333715.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-48	QOYH00000000.1	GCA_003334535.1	GCF_003334535.1	True	6	6	1.0	matched	paired_comp=identical; level=Contig
ECOR-49	QOYI00000000.1	GCA_003333685.1	GCF_003333685.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-50	QOYJ00000000.1	GCA_003333675.1	GCF_003333675.1	True	8	8	1.0	matched	paired_comp=identical; level=Contig
ECOR-51	QOYK00000000.1	GCA_003334615.1	GCF_003334615.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-52	QOYL00000000.1	GCA_003334495.1	GCF_003334495.1	True	5	5	1.0	matched	paired_comp=identical; level=Contig
ECOR-53	QOYM00000000.1	GCA_003333655.1	GCF_003333655.1	True	2	2	1.0	matched	paired_comp=identical; level=Contig
ECOR-54	QOYN00000000.1	GCA_003333615.1	GCF_003333615.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-55	QOYO00000000.1	GCA_003333605.1	GCF_003333605.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-56	QOYP00000000.1	GCA_003334485.1	GCF_003334485.1	True	1	1	1.0	matched	paired_comp=identical; level=Contig
ECOR-57	QOYQ00000000.1	GCA_003334555.1	GCF_003334555.1	True	6	6	1.0	matched	paired_comp=identical; level=Contig
ECOR-58	QOYR00000000.1	GCA_003333645.1	GCF_003333645.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-59	QOZF00000000.1	GCA_003335465.1	GCF_003335465.1	True	2	2	1.0	matched	paired_comp=identical; level=Contig
ECOR-60	QOYS00000000.1	GCA_003333585.1	GCF_003333585.1	True	1	1	1.0	matched	paired_comp=identical; level=Contig
ECOR-61	QOYT00000000.1	GCA_003333565.1	GCF_003333565.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-62	QOYU00000000.1	GCA_003333545.1	GCF_003333545.1	True	6	6	1.0	matched	paired_comp=identical; level=Contig
ECOR-63	QOYV00000000.1	GCA_003333505.1	GCF_003333505.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-64	QOYW00000000.1	GCA_003334525.1	GCF_003334525.1	True	2	2	1.0	matched	paired_comp=identical; level=Contig
ECOR-65	QOYX00000000.1	GCA_003333495.1	GCF_003333495.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-66	QOYY00000000.1	GCA_003333435.1	GCF_003333435.1	True	2	2	1.0	matched	paired_comp=identical; level=Contig
ECOR-67	QOYZ00000000.1	GCA_003334465.1	GCF_003334465.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-68	QOZA00000000.1	GCA_003333425.1	GCF_003333425.1	True	5	5	1.0	matched	paired_comp=identical; level=Contig
ECOR-69	QOZB00000000.1	GCA_003334435.1	GCF_003334435.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-70	QOZC00000000.1	GCA_003333475.1	GCF_003333475.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-71	QOZD00000000.1	GCA_003333385.1	GCF_003333385.1	True	7	7	1.0	matched	paired_comp=identical; level=Contig
ECOR-72	QOZE00000000.1	GCA_003334425.1	GCF_003334425.1	True	6	6	1.0	matched	paired_comp=identical; level=Contig
