seq_name	chromosome_score	plasmid_score	virus_score
GCA_001583545.1#1#LNAV01000049	0.8888	0.0854	0.0258
GCA_001583545.1#1#LNAV01000125	0.0375	0.9518	0.0107
GCA_001583545.1#1#LNAV01000079	0.8874	0.0855	0.0271
GCA_001583545.1#1#LNAV01000068	0.1246	0.8452	0.0303
GCA_001583545.1#1#LNAV01000143	0.5572	0.4171	0.0256
GCA_001583545.1#1#LNAV01000076	0.6107	0.2455	0.1438
GCA_001583545.1#1#LNAV01000158	0.2218	0.7477	0.0305
GCA_001583545.1#1#LNAV01000050	0.5645	0.3999	0.0355
GCA_001583545.1#1#LNAV01000007	0.8967	0.0782	0.0252
GCA_001583545.1#1#LNAV01000053	0.5849	0.3115	0.1036
GCA_001583545.1#1#LNAV01000029	0.5555	0.3942	0.0503
GCA_001583545.1#1#LNAV01000016	0.3227	0.5907	0.0866
GCA_001583545.1#1#LNAV01000015	0.8986	0.0699	0.0315
GCA_001583545.1#1#LNAV01000051	0.4718	0.4804	0.0478
GCA_001583545.1#1#LNAV01000123	0.9032	0.0729	0.0240
GCA_001583545.1#1#LNAV01000028	0.8106	0.1591	0.0303
GCA_001583545.1#1#LNAV01000111	0.9543	0.0334	0.0122
GCA_001583545.1#1#LNAV01000166	0.6471	0.2723	0.0805
GCA_001583545.1#1#LNAV01000064	0.8821	0.0897	0.0282
GCA_001583545.1#1#LNAV01000112	0.9103	0.0683	0.0214
GCA_001583545.1#1#LNAV01000070	0.6752	0.2884	0.0364
GCA_001583545.1#1#LNAV01000126	0.9495	0.0366	0.0140
GCA_001583545.1#1#LNAV01000135	0.9157	0.0598	0.0245
GCA_001583545.1#1#LNAV01000167	0.7213	0.2312	0.0475
GCA_001583545.1#1#LNAV01000062	0.7747	0.1705	0.0548
GCA_001583545.1#1#LNAV01000090	0.8242	0.1358	0.0400
GCA_001583545.1#1#LNAV01000071	0.7490	0.1951	0.0558
GCA_001583545.1#1#LNAV01000001	0.9165	0.0640	0.0194
GCA_001583545.1#1#LNAV01000161	0.0775	0.8915	0.0310
GCA_001583545.1#1#LNAV01000078	0.8329	0.1295	0.0376
GCA_001583545.1#1#LNAV01000159	0.3683	0.6042	0.0275
GCA_001583545.1#1#LNAV01000134	0.8789	0.0941	0.0270
GCA_001583545.1#1#LNAV01000073	0.6119	0.2015	0.1866
GCA_001583545.1#1#LNAV01000145	0.8401	0.1155	0.0445
GCA_001583545.1#1#LNAV01000156	0.8884	0.0977	0.0139
GCA_001583545.1#1#LNAV01000081	0.1597	0.8012	0.0391
GCA_001583545.1#1#LNAV01000154	0.8785	0.1076	0.0139
GCA_001583545.1#1#LNAV01000077	0.5622	0.3090	0.1288
GCA_001583545.1#1#LNAV01000093	0.7445	0.1269	0.1286
GCA_001583545.1#1#LNAV01000152	0.4123	0.4494	0.1383
GCA_001583545.1#1#LNAV01000065	0.7514	0.1831	0.0655
GCA_001583545.1#1#LNAV01000043	0.8867	0.0882	0.0252
GCA_001583545.1#1#LNAV01000129	0.9306	0.0504	0.0190
GCA_001583545.1#1#LNAV01000108	0.2141	0.6378	0.1482
GCA_001583545.1#1#LNAV01000018	0.8095	0.1545	0.0360
GCA_001583545.1#1#LNAV01000119	0.3728	0.4505	0.1767
GCA_001583545.1#1#LNAV01000131	0.9030	0.0759	0.0211
GCA_001583545.1#1#LNAV01000151	0.7366	0.1942	0.0692
GCA_001583545.1#1#LNAV01000055	0.8578	0.1073	0.0349
GCA_001583545.1#1#LNAV01000128	0.9104	0.0616	0.0279
GCA_001583545.1#1#LNAV01000021	0.8879	0.0767	0.0355
GCA_001583545.1#1#LNAV01000163	0.8911	0.0820	0.0269
GCA_001583545.1#1#LNAV01000088	0.8703	0.0880	0.0418
GCA_001583545.1#1#LNAV01000008	0.7729	0.1615	0.0656
GCA_001583545.1#1#LNAV01000023	0.8735	0.0946	0.0318
GCA_001583545.1#1#LNAV01000084	0.0883	0.8798	0.0318
GCA_001583545.1#1#LNAV01000141	0.8632	0.1049	0.0319
GCA_001583545.1#1#LNAV01000104	0.7775	0.1692	0.0533
GCA_001583545.1#1#LNAV01000124	0.7691	0.2038	0.0271
GCA_001583545.1#1#LNAV01000044	0.6727	0.1777	0.1497
GCA_001583545.1#1#LNAV01000107	0.4376	0.3809	0.1816
GCA_001583545.1#1#LNAV01000054	0.4555	0.4096	0.1349
GCA_001583545.1#1#LNAV01000164	0.8775	0.0942	0.0283
GCA_001583545.1#1#LNAV01000060	0.2344	0.6881	0.0775
GCA_001583545.1#1#LNAV01000041	0.9323	0.0498	0.0179
GCA_001583545.1#1#LNAV01000114	0.3311	0.6299	0.0390
GCA_001583545.1#1#LNAV01000020	0.8404	0.1280	0.0315
GCA_001583545.1#1#LNAV01000069	0.1448	0.7662	0.0890
GCA_001583545.1#1#LNAV01000127	0.6880	0.2805	0.0315
GCA_001583545.1#1#LNAV01000085	0.2454	0.5091	0.2455
GCA_001583545.1#1#LNAV01000010	0.2301	0.7065	0.0635
GCA_001583545.1#1#LNAV01000130	0.6492	0.2017	0.1490
GCA_001583545.1#1#LNAV01000103	0.7129	0.2142	0.0730
GCA_001583545.1#1#LNAV01000157	0.2500	0.6994	0.0506
GCA_001583545.1#1#LNAV01000061	0.6772	0.2748	0.0480
GCA_001583545.1#1#LNAV01000162	0.6913	0.2650	0.0437
GCA_001583545.1#1#LNAV01000089	0.8784	0.0936	0.0280
GCA_001583545.1#1#LNAV01000036	0.4672	0.3746	0.1582
GCA_001583545.1#1#LNAV01000110	0.3116	0.4851	0.2033
GCA_001583545.1#1#LNAV01000155	0.0391	0.9311	0.0298
GCA_001583545.1#1#LNAV01000057	0.7707	0.1853	0.0440
GCA_001583545.1#1#LNAV01000120	0.4639	0.4762	0.0598
GCA_001583545.1#1#LNAV01000142	0.8253	0.1484	0.0263
GCA_001583545.1#1#LNAV01000122	0.7024	0.2260	0.0716
GCA_001583545.1#1#LNAV01000132	0.9058	0.0707	0.0235
GCA_001583545.1#1#LNAV01000048	0.8574	0.1098	0.0328
GCA_001583545.1#1#LNAV01000004	0.5833	0.2790	0.1376
GCA_001583545.1#1#LNAV01000080	0.8886	0.0837	0.0277
GCA_001583545.1#1#LNAV01000169	0.7992	0.1452	0.0556
GCA_001583545.1#1#LNAV01000038	0.4650	0.4653	0.0698
GCA_001583545.1#1#LNAV01000086	0.7586	0.2050	0.0364
GCA_001583545.1#1#LNAV01000040	0.3396	0.5707	0.0897
GCA_001583545.1#1#LNAV01000144	0.6423	0.2975	0.0602
GCA_001583545.1#1#LNAV01000087	0.0781	0.9133	0.0086
GCA_001583545.1#1#LNAV01000106	0.3365	0.5053	0.1582
GCA_001583545.1#1#LNAV01000097	0.2200	0.7242	0.0558
GCA_001583545.1#1#LNAV01000013	0.4664	0.3564	0.1772
GCA_001583545.1#1#LNAV01000074	0.9377	0.0457	0.0166
GCA_001583545.1#1#LNAV01000148	0.9386	0.0447	0.0167
GCA_001583545.1#1#LNAV01000150	0.8717	0.0987	0.0296
GCA_001583545.1#1#LNAV01000045	0.6304	0.2880	0.0816
GCA_001583545.1#1#LNAV01000034	0.2785	0.6741	0.0475
GCA_001583545.1#1#LNAV01000116	0.8570	0.1072	0.0358
GCA_001583545.1#1#LNAV01000017	0.0284	0.9651	0.0065
GCA_001583545.1#1#LNAV01000098	0.0030	0.9947	0.0023
GCA_001583545.1#1#LNAV01000105	0.8387	0.1198	0.0415
GCA_001583545.1#1#LNAV01000153	0.8552	0.1083	0.0365
GCA_001583545.1#1#LNAV01000165	0.0862	0.8992	0.0147
GCA_001583545.1#1#LNAV01000032	0.8428	0.1351	0.0221
GCA_001583545.1#1#LNAV01000121	0.2836	0.6666	0.0498
GCA_001583545.1#1#LNAV01000025	0.8956	0.0786	0.0257
GCA_001583545.1#1#LNAV01000009	0.0509	0.9361	0.0130
GCA_001583545.1#1#LNAV01000063	0.8248	0.1417	0.0336
GCA_001583545.1#1#LNAV01000137	0.9057	0.0639	0.0304
GCA_001583545.1#1#LNAV01000059	0.7540	0.1984	0.0476
GCA_001583545.1#1#LNAV01000149	0.8958	0.0771	0.0271
GCA_001583545.1#1#LNAV01000052	0.0170	0.9750	0.0080
GCA_001583545.1#1#LNAV01000014	0.8951	0.0791	0.0258
GCA_001583545.1#1#LNAV01000100	0.8683	0.0998	0.0319
GCA_001583545.1#1#LNAV01000003	0.8631	0.1047	0.0322
GCA_001583545.1#1#LNAV01000082	0.8765	0.0946	0.0288
GCA_001583545.1#1#LNAV01000026	0.9064	0.0709	0.0226
GCA_001583545.1#1#LNAV01000046	0.9108	0.0662	0.0230
GCA_001583545.1#1#LNAV01000117	0.8710	0.0977	0.0313
GCA_001583545.1#1#LNAV01000006	0.3361	0.4490	0.2149
GCA_001583545.1#1#LNAV01000033	0.6020	0.2421	0.1559
GCA_001583545.1#1#LNAV01000031	0.8961	0.0783	0.0256
GCA_001583545.1#1#LNAV01000139	0.8955	0.0785	0.0260
GCA_001583545.1#1#LNAV01000075	0.0056	0.9877	0.0067
GCA_001583545.1#1#LNAV01000101	0.0049	0.9868	0.0083
GCA_001583545.1#1#LNAV01000002	0.8609	0.1074	0.0317
GCA_001583545.1#1#LNAV01000066	0.9185	0.0607	0.0207
GCA_001583545.1#1#LNAV01000012	0.8384	0.1261	0.0355
GCA_001583545.1#1#LNAV01000094	0.0326	0.5548	0.4126
GCA_001583545.1#1#LNAV01000138	0.8032	0.1569	0.0399
GCA_001583545.1#1#LNAV01000109	0.8012	0.1621	0.0367
GCA_001583545.1#1#LNAV01000027	0.8910	0.0820	0.0270
GCA_001583545.1#1#LNAV01000096	0.4401	0.4500	0.1099
GCA_001583545.1#1#LNAV01000039	0.4954	0.3202	0.1844
GCA_001583545.1#1#LNAV01000035	0.1990	0.6145	0.1866
