cohort_order	rung_n	assembly_id	exact_assembly_accession_version	input_line_number	input_occurrence_id	resolution_status	assembly_status	selection_stratum	stage_b_order	random_key	inclusion_probability	inference_weight	engineering_control_membership	collection_row_sha256	row_sha256
18	100	asm-v1-f36d786b0ab3775223cf3d16	GCF_019120745.1	21756	occ-v1-f8608df19bd1df42cdb95daa	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0012c5b5b7a48e1a2a63fa352be09c98faf589d999dd39beeca318cddbaf6438	90/25353	25353/90	.	249f6d3f8e521378fa51865e423aacdcd7c0d7e432a507e2602fffee82fd15f5	57a5f62c410886ca2b53bd803404a5481e472a32f71fed8ae0f94810c7ca3291
19	100	asm-v1-b7796a1fc230ab9bd7633b94	GCF_006350715.1	15345	occ-v1-9916a3f03fd073df22c99c32	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0014655bbd24999bf489f224f1389375dbe7193b0e6fcd1b3a179fa767caa1d2	90/25353	25353/90	.	f238ccd6e6e5f36b24b7b67715e4eaf6b730b8c16488ff4cf2f68c745dade665	76abf4089b6eb787c766c1b91af9eaad259ab77157cd8556c95ae06bfc5a3ecb
20	100	asm-v1-97a929e91ce540241ff20371	GCF_002522525.1	8212	occ-v1-5716c4ca68e7339791659475	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0014b200b2ef2e412ff3767828f7915cd4c5df8193b665480c01b3b8f111018a	90/25353	25353/90	.	49c6d48dab41949bce4563a18a8aac8389328c69a36cff5ca69bb02e050a1f34	e79cecbeef09f23f32bf0bd953dfedb0ef78a4558034b2530b8a6afc95431bcf
21	100	asm-v1-0bdf5b05c650023990a68d2d	GCF_018790115.1	21556	occ-v1-22620663e12ddee5a8eee893	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	001502eef44124a6b85f16b91026acd65fe2893fc0b146b1a169873af0bbc7f2	90/25353	25353/90	.	903ac68ca74d94c037deed988bbffa2e9aa0ce4f2de3a8f41f5bfc66ac3d09c3	cb8897697824293b4f0336d82a24a9dce3f9b09e461b24548b3755259dbc457e
22	100	asm-v1-1e2c548ce4eee4bbd7812d4a	GCF_002442365.1	6690	occ-v1-9f375f0d6dbd43d1938c42d6	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0015b2e44968a26f229daea5f5fcbcf98a10136c5ae005f48b62859e6cc72cc5	90/25353	25353/90	.	e066c4268d74f563f01591734b74270304f5034969029262c1885adee0e1757e	23e0f93828cd7f93db483e559b94bc1c1d6a6f80ba23650104d809fe304f2e08
23	100	asm-v1-faddf0606460939e473ac2c5	GCF_005885955.1	14805	occ-v1-8be38d36a99ca529af337d89	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00163c6c2427e4359d9a23803605eece60a823bcabe411d7a3f0a07c20774050	90/25353	25353/90	.	223ce2fa3743ee07357e7dcfd79ac9b7d588da8db4ad4b5755c70584b19f08f9	6deb2d6a4765f2ce1a46d7661275e70b121e1483f091fce236b0fff515a1f391
24	100	asm-v1-90293848c2351417f7baaa74	GCF_002513075.1	7747	occ-v1-837b025b489e8d5bc0c3c44a	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	001647f12fe2ff9af86a0c9c5428cbc7f490ac36b077ccaca633a45ed2c07189	90/25353	25353/90	.	0c00b2fbf2ea51e69350fa51efba55b1a8e31e1bab3859bdbc2cf252c9ba5f31	ac64c653bce0087992b2f6cad2baf551b636cb582e38a019e0586cc5b7b83b28
25	100	asm-v1-3b4342f24d54b3c1a9b84d48	GCF_902810185.1	25435	occ-v1-91c1ea61153440814f3167a8	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0019b299e5f2608dc022a0f631c496f15d8bc0eaa581665a2e536b855f934c21	90/25353	25353/90	.	6e94aab97b62bc66a74df475b0d78cf97ae1814aa55bbe419f9c6ee7a8ebfeec	75c3ad996a9644c57cbd05f8b0a67dc336fc3ee106d887f1f8e8c2383dd8e92a
26	100	asm-v1-0beedef08535e20c4790e6bb	GCF_005043025.1	13558	occ-v1-3d14671e582a529b71f2b16c	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0024ed29c76b0df51696c6838dfd80e76fd18afa6b64706abcb45a2268fc5caf	90/25353	25353/90	.	5fe16931cff4ec3fe5c5a05d07af13536178f105ddca3dda28cd07412a2c1498	9fddc265163ff614e1536fa1d12427233a5e1328c065ec5ade8ec4b7f058fa4c
27	100	asm-v1-48766683d6315460b4013353	GCF_017595115.1	20944	occ-v1-b8bfb356e96f507a3c42d0fc	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0029422e84638d16abf17cf201e50c0320246397570f4bc3d63a5c978b62ce65	90/25353	25353/90	.	b7ffaf5e597e66366be4952caaaa575f6cf576f6aff8c332734ee9bc94855ed8	3bcb16dddbac9dfa2cff904f59c1917f526975c72a9de20f4641b762c0fbe3f1
28	100	asm-v1-b71c4a8ef90f7c49f5f8d546	GCF_014528625.1	18814	occ-v1-0a6f81f387bdc814648ddb05	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0030c9bc766e23d533a9eade624c02ad9a5d4893d1b404dae10bba9f9e5c32b6	90/25353	25353/90	.	2f794330d688f9d086937b9882eae9529ed3f0c69f24c628d748572c286c679e	8bcc5f6359bdefb7d8cefeaf235c4878fe0d86a7901c557273f437165dca723c
29	100	asm-v1-31cd9173370fa4123f9ea13b	GCF_008041205.1	15581	occ-v1-491c68ddd16b1a82aa17f1d1	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0030f2409313f4a00cdc83ca78c90063b00cf10f621178ac989b160d2398c7ac	90/25353	25353/90	.	fee5d7d31116174c3948278c565acc6ac89edfacd691b619454109d1b28aa50c	43c94dd3ec65e4a890985ee18476546ab3e2f2931d3a0ad69bd14f5dc2ba4b7a
30	100	asm-v1-b419079f0ccf7758946a758e	GCF_009820795.1	16690	occ-v1-f3ec9eabe50a47fa8f13b4c7	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0035b3c5aa9581d55a656baf683671fd6f5fcea18444f51c8091b72a1deebc14	90/25353	25353/90	.	4cb837ea707006168b2a9ee131d19a84a3c65db12403b243e4092c5f56901eef	6d89be623bc5051efb06c08757ac9f0ce9b9a46abb4036ef3af291778c77c11f
31	100	asm-v1-9416d74da50a26741c416d3a	GCF_900479385.1	24540	occ-v1-c60424f2d98036423d1ffe49	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0036254a869f52e4b5e4baf7c2a2af713d78816da3cc91f4f00abe7585384748	90/25353	25353/90	.	47d21c64da48992d440fa55a25cb70ae0f3f2a33497af4e3c882102f03ecc650	844a08df3b42d3dabdc538935cecd10060e4baff706a31454108d54d895132ea
32	100	asm-v1-b269b6f553a373270f84ba18	GCF_004767475.1	13116	occ-v1-3d626a06c5cd172dff9d10ff	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00367500358dc4d5944333bfc58e8eb74abf0427acb88c7323a96e3f4eddf698	90/25353	25353/90	.	ea4d2d0ff66d211aa546e700912539f671bdd10525542bb812ca78ddaa26d1d4	ffb15409f90422b753484210e0e59f13a201d77e1d0411fa322ad26dec6a0b31
33	100	asm-v1-996e1b56b7867eb75e7abe84	GCF_002519245.1	8050	occ-v1-0c586d8040c668df2d38cd6d	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0039af5b2d40b0914e8af313456e865ae2e4455c9cc61ba4d96a3e8415b04d57	90/25353	25353/90	.	c4f722934c466df0ce0bfae4d86daae073d83e5b61350577d5bcea5cc6a55e55	8673e24e10436786d66ba0352ec6dc11ef86803f90dc4d446e0fb87b63ce2329
34	100	asm-v1-9f93da8d24e49c1bd9dc1bfb	GCF_015644305.1	19555	occ-v1-cb64eb31566547c2fe5186e7	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0043195895b060d62cfdc4b21ce919414b9e6839e2408b94b6ddf701a8d08668	90/25353	25353/90	.	a49c0bd51a7a3bc8541485078825ed437fc6a1ece04418f0ac8f624528a77364	46edcbbef47604ae95f7429f82f5a859c70837558e144942484acf75fc546bc0
35	100	asm-v1-9bf79301d532e473a6d4d15e	GCF_001616285.1	4103	occ-v1-12fa9ce86ab42c5bd1cef05c	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0044ea4d63ffb89fc89192f16bdc235d420da3ed49b9500c7f78685b2ff68efc	90/25353	25353/90	.	fab32ea1c00a3e5a8caba8918b349a687d1f9c0fd2289e263e97a5c00764977c	5ac8a4196f09af30d7f6cc56d87169cf15575b572e786d5d0ffeb443976b9190
36	100	asm-v1-7f24d9da61537a483a8edeb9	GCF_001614645.1	4025	occ-v1-63be57a8eb2d2c84e2e30aef	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0045913553ba16ac04907cda3bd4e569dda9450c52b00cfe67d85b4d206ac890	90/25353	25353/90	.	10330c73920740e3cc0e99a1c19c0b55a8de620dbe56e9b73205331fa776dd28	02e99227422e1b8abfc2a9a0662932ae9da405ba66bffe7a4c927b6dba88c6f5
37	100	asm-v1-27d405b112a56b6388ddbef4	GCF_013370625.1	17983	occ-v1-9acb81f90ffeabd2adc635e1	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0046976c3cb0e6406771d36ea84143b40afe4d0852ab581762ed9e5c8fd70783	90/25353	25353/90	.	e65f499430fbe584bbf6c881c7fb6c9d94f3cbeb3090e0e51ecd365cb2e6850f	f1471dfeaa36d7e9fe12c958628b0ac6aed558244edeb2f4a531af280bd1606d
38	100	asm-v1-1373daf306e4c70962bf7651	GCF_013608825.1	18414	occ-v1-d09fc8a4e14fd324a2a3648d	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	004745ee1c9e093be95fff1c99c29fa899dddc6279ced7897fa96789d408c23d	90/25353	25353/90	.	b81d970cefcfd6393364fcc3739311a2787f410c43b8331e9e3c8abc5aee9dfe	eb9c46bdca1230667bf66ac11530dd55adf7efb4f1f07a57fd1cf5ca2a71c6cc
39	100	asm-v1-566c3eb2b8feeeb03a029d05	GCF_005043625.1	13587	occ-v1-ee3020f31ce144b24d0e3fff	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	004c63aa4bc2ad4e28e357a0fea617e344dc4880cc65b76fadb7764cc7e05ed0	90/25353	25353/90	.	7a06a94bc295154e2595cd28c0fdf4db246469473185cc61a6cc3d0965abce00	99d858e09040229c652afca6d6eb564d133ff2972b092fc398894c5b0ecad1e8
40	100	asm-v1-d8e1422596935b944b73500f	GCF_902163565.1	25194	occ-v1-3a9e0e5f353206d4ed7efaa6	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	004d0fe539075f59054c285cbe06fc232eb6dbfddab19dff123c0bf7492bb409	90/25353	25353/90	.	7c09983c8e9eb3de8303b2fdfdc85847529524556fad8e3bc93b3a6fdc1e4846	66eeed65a2486c2d83f3be27dc6b786c2f009b67c47cc14fb9ef984e354f2462
41	100	asm-v1-62a4d2082d3f90d6cb5304ca	GCF_006351505.1	15367	occ-v1-a03b9f253db56077a7a6fbe4	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	004ff71f8b071d96ebe4f54ae65fb35989db6b55fafe210e5ebb68087a679692	90/25353	25353/90	.	bf701084fb79628ef4167d137980d6b21ed9e9b9238bc2450d43bffd801048bc	98c85d2b0b553a57ed961cddd5fd6d7142ae3057838f5eec2ea691958c3b0776
42	100	asm-v1-4fad43b6b8ac2a5931873b95	GCF_005039315.1	13415	occ-v1-1078cbd3caf8cbd47de68537	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00502bd8c06025808e79608aa73e628ef20305070d4d3b02fadb0aa65f08f643	90/25353	25353/90	.	2be61ba4ecdc690ab8de83cd300f39f1771d428a1a0215596c09e007acd44beb	a472ab3209f55ffe73e15bdf0a2eab98a976133683a59a8b7d0b0ec863c2236a
43	100	asm-v1-ef21b6ec0b8c832cbedc2d93	GCF_005384385.1	13972	occ-v1-5f6f03c1a9a7bcb438e6dfa5	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0051e3ac3daf86de5d20a8ef4e0fca176397a68fc1201c43ecdee113ec1f2adb	90/25353	25353/90	.	c1293393c2012af0653fcbeb7d9e11cd02ee070bdcc670f4e96a71326ae906f9	ec594a41af72ac0b02cc113ff447838f60bb71e04a7edd97fe6267229e74a756
44	100	asm-v1-dcfffc170c5656770532cfc6	GCF_016530465.1	20033	occ-v1-6fa4156dcc49668ee42d058d	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0058635f5f3b1a1a2ed4b7e2c5f36e6635765a023748d9f76e74c8ed44322e25	90/25353	25353/90	.	9f4fbecd8431b8d4e057bfcfe9326e3b577b07e4df2bf2f3f35334d124e59c7a	fe54fe06589b905651f953e5ac36fe857f51cd4fd7fefdc86ba37edfaa186954
45	100	asm-v1-9791d16f22febb6a4da01cdc	GCF_002152015.1	5360	occ-v1-a78f31168e5bd55ba56951a4	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0059c63bfe7c80e82a556b6589b40b1c158933b82582273913a981542db3d2d7	90/25353	25353/90	.	24892dda4fd058efea057ea99d6c64cbb45d53eddb7a120e36f32d208f19cc34	c08e1150d9e6b3d450956420f2c28d136cbd1c4b676c72322a07c1b78aa1b0f6
46	100	asm-v1-0e401af1329ee20675b75db8	GCF_018344735.1	21298	occ-v1-b3792623aeac76d6f01c912d	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005a00819b89f9bdb3af65de2b5ecd3c38b3a1dc795ca46afacf769ace0829e5	90/25353	25353/90	.	0eaf51c33721a51114334f6a5e5ac5b9dd7d2cfcfc05fab77353112598ff5913	2575df2c0617ca655adb9fe54729a6823b53571064d27d30867da5f7b72dc046
47	100	asm-v1-f8561f5b15e76623fe00d768	GCF_002513625.1	7774	occ-v1-19356397c5e3bc00551e7532	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005c2c4b769ad13707904708a26c9fae936a72a0f32bb33e3a27ff982472c280	90/25353	25353/90	.	82acd3f699266c57f88f2a503f9eaea043f02edae8224bd3f58524c296742741	c04b000e1fe08e885336bd1265542b9c248cc61334171e13fbb6bb4608235326
48	100	asm-v1-9f5f3eeb65f0f80afca90db7	GCF_002229025.1	6082	occ-v1-afd0a9240dab3b337257c3e8	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005ed0f89961f28d3e0a849130d756aa390eb44bf38e259f65adcbac39bbba38	90/25353	25353/90	.	b751fee7ae96fa42c472416a336ecc6c2a1141d84f6970852954e09c31f4e446	529318f5d9e827ab109c5c31c1b8a0ad80fefbdfb14d7aea6bf235e4735b4d3e
49	100	asm-v1-143198d8a00e3d1908061cae	GCF_000778685.1	2336	occ-v1-d14d6d29c5dbdc9e6e445c01	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005f2442395824dad2aaa47b8dd36107bfd1ede4317c4ef4c7bfd52c8b99d52a	90/25353	25353/90	.	02e4cf402724174f740d8bbbdd1ab91776982ed1df88272bd9adb591599aad67	2f14352a291476c81c236a91c90ea30b45ee018d4dba2348a8e27209895e00f8
50	100	asm-v1-26091108e767413baee190a2	GCF_020037245.1	22700	occ-v1-2276d8d7e874bd8145052e5b	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005f5637ecf5ea991b0b2c1b47cc419f54e1491e4ec81003ece0a597e5d29c72	90/25353	25353/90	.	a56e26e3123087ab4bb82b5ce9f5ba6bf4eba0c2608b5eb9fe8f35b962ff0ebd	7dfa5de6e2868b1502a6339336f90f979444ee221112bd4a5c542c4265a1643d
51	100	asm-v1-1009a57e9d5acb3b90d6791b	GCF_003731035.1	11783	occ-v1-9f263daf2eb13ea3b6a0744f	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00613c798d420551b00ff206f57792583e1f0de9a2e8053b1f1fd64c0996de0b	90/25353	25353/90	.	f15e2949f76516b851c0292f5ec02ccb2b4d4bc4bac60505bc96b9a4971ca4be	aafda3345c31db16e291806a441f1b03d2ec557f306d41cd8956eece7c0ffdad
52	100	asm-v1-c5fbc3318d26f8606d4ee374	GCF_000326585.1	508	occ-v1-67c5bae98bad0e1cef2f9be7	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00648e55845d960ea59abe6b83e4a4110f25d4d590bead700a74fc07da17da19	90/25353	25353/90	.	615283297d1122aebdb55d1acab6178ea4c29d9912c5eff00bc752d79290e7c6	79f9c717a88c526cd4067a92c191c559a5c590ee96c1bfb4aff51121ad29f4bb
53	100	asm-v1-076733fb9cacde0985dcd995	GCF_000780535.1	2413	occ-v1-664f9a2a7a558f940c7f40aa	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00654350618746213d1de46b87c3d2996d00c9fa4c57903aa29e1f3678604a95	90/25353	25353/90	.	50219c8d40cea6901bb39543c8a9f691fa20cf9750d1e7379c31854e92e9428f	6a973d581c0b8458aabce56446b0ebedf79728e88d0e616d8b3d5e8c58794866
54	100	asm-v1-9577d304b0441e1eebff2e03	GCF_003570445.1	11601	occ-v1-d3b36c00d160ca10879fb7e1	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0067cb89c1283c1a2310e365819bab34efb77e998a8052cba801a23ae6ab7797	90/25353	25353/90	.	4ef4ab1d25a78e91720bd6f8e0d5b57b3044c9f21115429915530a7d3013c66b	52a7697ad2737bf4c03681747196d8003414febeef0a231e70fecd50a49edadb
55	100	asm-v1-0d112d76668f2ca96d2d62e5	GCF_000447005.2	1047	occ-v1-eb919fb76b799d72ad345d66	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0069408a378cf752a0237a18553524ead3a65eff39e5adff80017b1efca4773b	90/25353	25353/90	.	63e2200146b9607bcbb5544316a50ebbacc4606eb3a02afd5b272d967c8dafb3	2c878b83f529f30e9f442d136f7cd6d3d133d524b8172d38ee64484511688ab1
56	100	asm-v1-651bbd15909672553530f486	GCF_013073765.1	17541	occ-v1-de5aead60133584e91f029d8	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	006d187f4e3bc870d297f5427f5cc2e711e7bf801ddc2ad2dc1b100c33ab8f7b	90/25353	25353/90	.	5fa2753c22ec6ef9e0e3dec5e4a4e2e9f5a14f51c3f38ed7157c3f2bb474b8f2	a4727f4fa63e8d4583f451c71ddfe8e009521719f1099470c7b102cfa7d2509f
57	100	asm-v1-d23ad41de9f39edda98054bf	GCF_005041275.1	13479	occ-v1-2ac246bcd0cf6271381269fb	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0070a4e68d9feb99d3d7ce8557a30abb1e064479547f20aeb3c11116f7dcd139	90/25353	25353/90	.	8ce2ebead8619e3132831244812c217c4f1e12014afd0989962c6a4a0109db49	a9687266929ef4c2fa39c77110c21854c200168e116b6cd58bffab5b388f8988
58	100	asm-v1-78de2c22a7d89d63d5d4271a	GCF_014862465.1	18976	occ-v1-c0b5876e39cfadf19e3ec273	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0070ed517dfa67cb56485ca604f2e86f39aa6cdcc075fa9f92a01b2bdb0271c9	90/25353	25353/90	.	526ea4048a59f79075046f6a24ba6671a295fd556fe5c05dede75224e73f24e5	0e873f83527b8118d857edc1f329b79439a2ae64d49efb6f5c76e2e599d7ca2f
