genome_key	origin	source_ns	accession	numeric	species	prophage_count	canonical_acc	plan	resolution_method	link_gz	bvbrc_contigs	notes
1185650.1329	export	BV-BRC	1185650.1329		Mycobacteroides abscessus ATCC 19977	2	GCA_047738245.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738245.1/GCA_047738245.1.pansn.fa.gz	JBLLSW010000011,JBLLSW010000008,JBLLSW010000006,JBLLSW010000001,JBLLSW010000007,JBLLSW010000003,JBLLSW010000004,JBLLSW010000002,JBLLSW010000005,JBLLSW010000009,JBLLSW010000010	all BV-BRC sequence accessions present in local object
1185650.1330	export	BV-BRC	1185650.1330		Mycobacteroides abscessus ATCC 19977	0	GCA_047738285.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738285.1/GCA_047738285.1.pansn.fa.gz	JBLLSZ010000002,JBLLSZ010000003,JBLLSZ010000007,JBLLSZ010000006,JBLLSZ010000005,JBLLSZ010000004,JBLLSZ010000001	all BV-BRC sequence accessions present in local object
1185650.1331	export	BV-BRC	1185650.1331		Mycobacteroides abscessus ATCC 19977	1	GCA_047738315.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738315.1/GCA_047738315.1.pansn.fa.gz	JBLLTA010000011,JBLLTA010000017,JBLLTA010000002,JBLLTA010000014,JBLLTA010000003,JBLLTA010000013,JBLLTA010000007,JBLLTA010000018,JBLLTA010000008,JBLLTA010000020,JBLLTA010000022,JBLLTA010000010,JBLLTA010000012,JBLLTA010000021,JBLLTA010000015,JBLLTA010000016,JBLLTA010000019,JBLLTA010000001,JBLLTA010000004,JBLLTA010000005,JBLLTA010000006,JBLLTA010000009	all BV-BRC sequence accessions present in local object
1185650.1336	export	BV-BRC	1185650.1336		Mycobacteroides abscessus ATCC 19977	0	GCA_047738365.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738365.1/GCA_047738365.1.pansn.fa.gz	JBLLTD010000010,JBLLTD010000013,JBLLTD010000012,JBLLTD010000011,JBLLTD010000021,JBLLTD010000003,JBLLTD010000018,JBLLTD010000014,JBLLTD010000022,JBLLTD010000002,JBLLTD010000006,JBLLTD010000005,JBLLTD010000020,JBLLTD010000009,JBLLTD010000019,JBLLTD010000017,JBLLTD010000024,JBLLTD010000001,JBLLTD010000007,JBLLTD010000004,JBLLTD010000008,JBLLTD010000015,JBLLTD010000016,JBLLTD010000023	all BV-BRC sequence accessions present in local object
1185650.1341	export	BV-BRC	1185650.1341		Mycobacteroides abscessus ATCC 19977	3	GCA_047738595.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738595.1/GCA_047738595.1.pansn.fa.gz	JBLLTO010000010,JBLLTO010000006,JBLLTO010000005,JBLLTO010000008,JBLLTO010000003,JBLLTO010000015,JBLLTO010000012,JBLLTO010000018,JBLLTO010000009,JBLLTO010000022,JBLLTO010000023,JBLLTO010000007,JBLLTO010000011,JBLLTO010000017,JBLLTO010000002,JBLLTO010000016,JBLLTO010000019,JBLLTO010000004,JBLLTO010000013,JBLLTO010000021,JBLLTO010000001,JBLLTO010000014,JBLLTO010000020	all BV-BRC sequence accessions present in local object
1185650.1343	export	BV-BRC	1185650.1343		Mycobacteroides abscessus ATCC 19977	4	GCA_047738505.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738505.1/GCA_047738505.1.pansn.fa.gz	JBLLTI010000017,JBLLTI010000013,JBLLTI010000010,JBLLTI010000001,JBLLTI010000009,JBLLTI010000006,JBLLTI010000011,JBLLTI010000003,JBLLTI010000014,JBLLTI010000004,JBLLTI010000015,JBLLTI010000018,JBLLTI010000019,JBLLTI010000002,JBLLTI010000007,JBLLTI010000012,JBLLTI010000005,JBLLTI010000008,JBLLTI010000016	all BV-BRC sequence accessions present in local object
1185650.1344	export	BV-BRC	1185650.1344		Mycobacteroides abscessus ATCC 19977	2	GCA_047738515.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738515.1/GCA_047738515.1.pansn.fa.gz	JBLLTL010000013,JBLLTL010000009,JBLLTL010000015,JBLLTL010000007,JBLLTL010000021,JBLLTL010000002,JBLLTL010000020,JBLLTL010000001,JBLLTL010000012,JBLLTL010000014,JBLLTL010000016,JBLLTL010000019,JBLLTL010000008,JBLLTL010000017,JBLLTL010000018,JBLLTL010000004,JBLLTL010000005,JBLLTL010000011,JBLLTL010000003,JBLLTL010000006,JBLLTL010000010,JBLLTL010000022	all BV-BRC sequence accessions present in local object
1185650.1345	export	BV-BRC	1185650.1345		Mycobacteroides abscessus ATCC 19977	0	GCA_047738535.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738535.1/GCA_047738535.1.pansn.fa.gz	JBLLTN010000005,JBLLTN010000024,JBLLTN010000020,JBLLTN010000001,JBLLTN010000014,JBLLTN010000022,JBLLTN010000008,JBLLTN010000019,JBLLTN010000025,JBLLTN010000012,JBLLTN010000017,JBLLTN010000021,JBLLTN010000013,JBLLTN010000016,JBLLTN010000018,JBLLTN010000003,JBLLTN010000006,JBLLTN010000011,JBLLTN010000026,JBLLTN010000002,JBLLTN010000004,JBLLTN010000009,JBLLTN010000027,JBLLTN010000007,JBLLTN010000010	all BV-BRC sequence accessions present in local object
1185650.1365	export	BV-BRC	1185650.1365		Mycobacteroides abscessus ATCC 19977	0	GCA_047738975.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738975.1/GCA_047738975.1.pansn.fa.gz	JBLLUH010000013,JBLLUH010000008,JBLLUH010000005,JBLLUH010000002,JBLLUH010000009,JBLLUH010000012,JBLLUH010000003,JBLLUH010000004,JBLLUH010000006,JBLLUH010000007,JBLLUH010000010,JBLLUH010000001,JBLLUH010000011,JBLLUH010000014,JBLLUH010000015	all BV-BRC sequence accessions present in local object
1185650.1371	export	BV-BRC	1185650.1371		Mycobacteroides abscessus ATCC 19977	1	GCA_047739095.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047739095.1/GCA_047739095.1.pansn.fa.gz	JBLLUO010000028,JBLLUO010000015,JBLLUO010000011,JBLLUO010000010,JBLLUO010000017,JBLLUO010000012,JBLLUO010000027,JBLLUO010000003,JBLLUO010000008,JBLLUO010000021,JBLLUO010000013,JBLLUO010000014,JBLLUO010000024,JBLLUO010000001,JBLLUO010000002,JBLLUO010000006,JBLLUO010000007,JBLLUO010000026,JBLLUO010000005,JBLLUO010000018,JBLLUO010000019,JBLLUO010000020,JBLLUO010000022,JBLLUO010000004,JBLLUO010000009	all BV-BRC sequence accessions present in local object
1185650.1374	export	BV-BRC	1185650.1374		Mycobacteroides abscessus ATCC 19977	1	GCA_047739165.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047739165.1/GCA_047739165.1.pansn.fa.gz	JBLLUR010000015,JBLLUR010000011,JBLLUR010000007,JBLLUR010000010,JBLLUR010000008,JBLLUR010000013,JBLLUR010000014,JBLLUR010000001,JBLLUR010000002,JBLLUR010000003,JBLLUR010000004,JBLLUR010000009,JBLLUR010000005,JBLLUR010000006,JBLLUR010000012	all BV-BRC sequence accessions present in local object
1430326.7	export	BV-BRC	1430326.7		Mycobacterium decipiens	0	GCA_963853665.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_963853665.1/GCA_963853665.1.pansn.fa.gz	OY970459	all BV-BRC sequence accessions present in local object
144549.17	export	BV-BRC	144549.17		Mycolicibacterium fortuitum subsp. fortuitum	0	144549.17	download_bvbrc	bvbrc_api_sequence		CP194182	
146020.13	export	BV-BRC	146020.13		Mycolicibacterium brisbanense	2	146020.13	download_bvbrc	bvbrc_api_sequence		JBTGPB010000001,JBTGPB010000002,JBTGPB010000003	
169765.18	export	BV-BRC	169765.18		Mycobacterium lacus	1	GCA_963853655.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_963853655.1/GCA_963853655.1.pansn.fa.gz	OY970455	all BV-BRC sequence accessions present in local object
1764.589	export	BV-BRC	1764.589		Mycobacterium timonense	3	GCA_055386175.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_055386175.1/GCA_055386175.1.pansn.fa.gz	AP043789,AP043788,AP043787	all BV-BRC sequence accessions present in local object
1766.141	export	BV-BRC	1766.141		Mycolicibacterium fortuitum subsp. fortuitum	1	GCA_048286955.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_048286955.1/GCA_048286955.1.pansn.fa.gz	JBLVUS010000002,JBLVUS010000001,JBLVUS010000003	all BV-BRC sequence accessions present in local object
1766.142	export	BV-BRC	1766.142		Mycolicibacterium fortuitum subsp. fortuitum	2	GCA_048286935.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_048286935.1/GCA_048286935.1.pansn.fa.gz	JBLVUR010000006,JBLVUR010000002,JBLVUR010000003,JBLVUR010000005,JBLVUR010000004,JBLVUR010000007,JBLVUR010000001,JBLVUR010000009,JBLVUR010000008	all BV-BRC sequence accessions present in local object
1766.166	export	BV-BRC	1766.166		Mycolicibacterium fortuitum subsp. acetamidolyticum ATCC 35931	2	GCA_965210375.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_965210375.1/GCA_965210375.1.pansn.fa.gz	CBDBSO010000007,CBDBSO010000001,CBDBSO010000002,CBDBSO010000003,CBDBSO010000011,CBDBSO010000005,CBDBSO010000010,CBDBSO010000008,CBDBSO010000009,CBDBSO010000004,CBDBSO010000006	all BV-BRC sequence accessions present in local object
1767.260	export	BV-BRC	1767.260		Mycobacterium paraintracellulare	2	GCA_040960825.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_040960825.1/GCA_040960825.1.pansn.fa.gz	CP162651	all BV-BRC sequence accessions present in local object
1767.261	export	BV-BRC	1767.261		Mycobacterium paraintracellulare	1	GCA_040970175.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_040970175.1/GCA_040970175.1.pansn.fa.gz	CP162939	all BV-BRC sequence accessions present in local object
1767.262	export	BV-BRC	1767.262		Mycobacterium intracellulare ATCC 13950	2	GCA_040970235.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_040970235.1/GCA_040970235.1.pansn.fa.gz	CP162918,CP162917	all BV-BRC sequence accessions present in local object
1768.314	export	BV-BRC	1768.314		Mycobacterium kansasii ATCC 12478	3	1768.314	download_bvbrc	bvbrc_api_sequence		CP159988	
1770.158	export	BV-BRC	1770.158		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	GCA_043590545.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_043590545.1/GCA_043590545.1.pansn.fa.gz	CP171462	all BV-BRC sequence accessions present in local object
1770.159	export	BV-BRC	1770.159		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	GCA_043591295.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_043591295.1/GCA_043591295.1.pansn.fa.gz	CP171461	all BV-BRC sequence accessions present in local object
1770.160	export	BV-BRC	1770.160		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	GCA_044336305.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_044336305.1/GCA_044336305.1.pansn.fa.gz	CP172317	all BV-BRC sequence accessions present in local object
1770.161	export	BV-BRC	1770.161		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	GCA_044336315.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_044336315.1/GCA_044336315.1.pansn.fa.gz	CP172316	all BV-BRC sequence accessions present in local object
1770.162	export	BV-BRC	1770.162		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	GCA_044336345.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_044336345.1/GCA_044336345.1.pansn.fa.gz	CP172315	all BV-BRC sequence accessions present in local object
1770.163	export	BV-BRC	1770.163		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	GCA_045348825.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_045348825.1/GCA_045348825.1.pansn.fa.gz	CP170626	all BV-BRC sequence accessions present in local object
1770.826	export	BV-BRC	1770.826		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	GCA_049810335.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_049810335.1/GCA_049810335.1.pansn.fa.gz	CP187367	all BV-BRC sequence accessions present in local object
1770.827	export	BV-BRC	1770.827		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	GCA_051523275.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_051523275.1/GCA_051523275.1.pansn.fa.gz	JBJXVT010000002,JBJXVT010000001	all BV-BRC sequence accessions present in local object
1770.828	export	BV-BRC	1770.828		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	1770.828	download_bvbrc	bvbrc_api_sequence		CP174527	
1770.853	export	BV-BRC	1770.853		Mycobacterium avium subsp. paratuberculosis ATCC 19698	0	GCA_055419105.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_055419105.1/GCA_055419105.1.pansn.fa.gz	CM144034	all BV-BRC sequence accessions present in local object
1774.147	export	BV-BRC	1774.147		Mycobacteroides chelonae subsp. gwanakae MOTT36W	1	GCA_045310755.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_045310755.1/GCA_045310755.1.pansn.fa.gz	JBJIAN010000008,JBJIAN010000023,JBJIAN010000003,JBJIAN010000016,JBJIAN010000025,JBJIAN010000006,JBJIAN010000022,JBJIAN010000002,JBJIAN010000007,JBJIAN010000001,JBJIAN010000018,JBJIAN010000010,JBJIAN010000021,JBJIAN010000012,JBJIAN010000017,JBJIAN010000024,JBJIAN010000009,JBJIAN010000014,JBJIAN010000015,JBJIAN010000026,JBJIAN010000004,JBJIAN010000005,JBJIAN010000011,JBJIAN010000013,JBJIAN010000019	all BV-BRC sequence accessions present in local object
1774.149	export	BV-BRC	1774.149		Mycobacteroides chelonae subsp. bovistauri QIA-37	4	GCA_048282795.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_048282795.1/GCA_048282795.1.pansn.fa.gz	JBLVUP010000003,JBLVUP010000001,JBLVUP010000002	all BV-BRC sequence accessions present in local object
1774.150	export	BV-BRC	1774.150		Mycobacteroides chelonae CCUG 47445	1	GCA_048286995.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_048286995.1/GCA_048286995.1.pansn.fa.gz	JBLVUQ010000002,JBLVUQ010000001	all BV-BRC sequence accessions present in local object
1774.151	export	BV-BRC	1774.151		Mycobacteroides chelonae subsp. bovistauri QIA-37	4	GCA_048287055.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_048287055.1/GCA_048287055.1.pansn.fa.gz	JBLVUV010000003,JBLVUV010000006,JBLVUV010000005,JBLVUV010000004,JBLVUV010000001,JBLVUV010000002	all BV-BRC sequence accessions present in local object
