genome_id	n_seqs	seq_accessions	total_bp	local_match	plan
1185650.1324	10	JBLLSX010000005,JBLLSX010000001,JBLLSX010000008,JBLLSX010000003,JBLLSX010000007,JBLLSX010000009,JBLLSX010000002,JBLLSX010000004,JBLLSX010000006,JBLLSX010000010	5076507	GCA_047738215.1	link_v1v2
1185650.1325	6	JBLLSU010000006,JBLLSU010000003,JBLLSU010000005,JBLLSU010000002,JBLLSU010000001,JBLLSU010000004	5050205	GCA_047738195.1	link_v1v2
1185650.1326	10	JBLLST010000009,JBLLST010000001,JBLLST010000005,JBLLST010000010,JBLLST010000003,JBLLST010000004,JBLLST010000002,JBLLST010000006,JBLLST010000007,JBLLST010000008	5075587	GCA_047738175.1	link_v1v2
1185650.1327	15	JBLLSV010000011,JBLLSV010000005,JBLLSV010000012,JBLLSV010000006,JBLLSV010000002,JBLLSV010000008,JBLLSV010000014,JBLLSV010000015,JBLLSV010000003,JBLLSV010000007,JBLLSV010000004,JBLLSV010000009,JBLLSV010000001,JBLLSV010000010,JBLLSV010000013	4972521	GCA_047738235.1	link_v1v2
1185650.1328	17	JBLLSY010000001,JBLLSY010000006,JBLLSY010000004,JBLLSY010000017,JBLLSY010000013,JBLLSY010000015,JBLLSY010000003,JBLLSY010000009,JBLLSY010000007,JBLLSY010000008,JBLLSY010000002,JBLLSY010000012,JBLLSY010000014,JBLLSY010000005,JBLLSY010000010,JBLLSY010000011,JBLLSY010000016	4969287	GCA_047738255.1	link_v1v2
1185650.1329	11	JBLLSW010000011,JBLLSW010000008,JBLLSW010000006,JBLLSW010000001,JBLLSW010000007,JBLLSW010000003,JBLLSW010000004,JBLLSW010000002,JBLLSW010000005,JBLLSW010000009,JBLLSW010000010	5076865	GCA_047738245.1	link_v1v2
1185650.1330	7	JBLLSZ010000002,JBLLSZ010000003,JBLLSZ010000007,JBLLSZ010000006,JBLLSZ010000005,JBLLSZ010000004,JBLLSZ010000001	4768350	GCA_047738285.1	link_v1v2
1185650.1331	22	JBLLTA010000011,JBLLTA010000017,JBLLTA010000002,JBLLTA010000014,JBLLTA010000003,JBLLTA010000013,JBLLTA010000007,JBLLTA010000018,JBLLTA010000008,JBLLTA010000020,JBLLTA010000022,JBLLTA010000010,JBLLTA010000012,JBLLTA010000021,JBLLTA010000015,JBLLTA010000016,JBLLTA010000019,JBLLTA010000001,JBLLTA010000004,JBLLTA010000005,JBLLTA010000006,JBLLTA010000009	5100018	GCA_047738315.1	link_v1v2
1185650.1336	24	JBLLTD010000010,JBLLTD010000013,JBLLTD010000012,JBLLTD010000011,JBLLTD010000021,JBLLTD010000003,JBLLTD010000018,JBLLTD010000014,JBLLTD010000022,JBLLTD010000002,JBLLTD010000006,JBLLTD010000005,JBLLTD010000020,JBLLTD010000009,JBLLTD010000019,JBLLTD010000017,JBLLTD010000024,JBLLTD010000001,JBLLTD010000007,JBLLTD010000004,JBLLTD010000008,JBLLTD010000015,JBLLTD010000016,JBLLTD010000023	4831294	GCA_047738365.1	link_v1v2
1185650.1341	23	JBLLTO010000010,JBLLTO010000006,JBLLTO010000005,JBLLTO010000008,JBLLTO010000003,JBLLTO010000015,JBLLTO010000012,JBLLTO010000018,JBLLTO010000009,JBLLTO010000022,JBLLTO010000023,JBLLTO010000007,JBLLTO010000011,JBLLTO010000017,JBLLTO010000002,JBLLTO010000016,JBLLTO010000019,JBLLTO010000004,JBLLTO010000013,JBLLTO010000021,JBLLTO010000001,JBLLTO010000014,JBLLTO010000020	5078279	GCA_047738595.1	link_v1v2
1185650.1343	19	JBLLTI010000017,JBLLTI010000013,JBLLTI010000010,JBLLTI010000001,JBLLTI010000009,JBLLTI010000006,JBLLTI010000011,JBLLTI010000003,JBLLTI010000014,JBLLTI010000004,JBLLTI010000015,JBLLTI010000018,JBLLTI010000019,JBLLTI010000002,JBLLTI010000007,JBLLTI010000012,JBLLTI010000005,JBLLTI010000008,JBLLTI010000016	5129440	GCA_047738505.1	link_v1v2
1185650.1344	22	JBLLTL010000013,JBLLTL010000009,JBLLTL010000015,JBLLTL010000007,JBLLTL010000021,JBLLTL010000002,JBLLTL010000020,JBLLTL010000001,JBLLTL010000012,JBLLTL010000014,JBLLTL010000016,JBLLTL010000019,JBLLTL010000008,JBLLTL010000017,JBLLTL010000018,JBLLTL010000004,JBLLTL010000005,JBLLTL010000011,JBLLTL010000003,JBLLTL010000006,JBLLTL010000010,JBLLTL010000022	5075578	GCA_047738515.1	link_v1v2
1185650.1345	25	JBLLTN010000005,JBLLTN010000024,JBLLTN010000020,JBLLTN010000001,JBLLTN010000014,JBLLTN010000022,JBLLTN010000008,JBLLTN010000019,JBLLTN010000025,JBLLTN010000012,JBLLTN010000017,JBLLTN010000021,JBLLTN010000013,JBLLTN010000016,JBLLTN010000018,JBLLTN010000003,JBLLTN010000006,JBLLTN010000011,JBLLTN010000026,JBLLTN010000002,JBLLTN010000004,JBLLTN010000009,JBLLTN010000027,JBLLTN010000007,JBLLTN010000010	4656368	GCA_047738535.1	link_v1v2
1185650.1365	15	JBLLUH010000013,JBLLUH010000008,JBLLUH010000005,JBLLUH010000002,JBLLUH010000009,JBLLUH010000012,JBLLUH010000003,JBLLUH010000004,JBLLUH010000006,JBLLUH010000007,JBLLUH010000010,JBLLUH010000001,JBLLUH010000011,JBLLUH010000014,JBLLUH010000015	4826163	GCA_047738975.1	link_v1v2
1185650.1371	25	JBLLUO010000028,JBLLUO010000015,JBLLUO010000011,JBLLUO010000010,JBLLUO010000017,JBLLUO010000012,JBLLUO010000027,JBLLUO010000003,JBLLUO010000008,JBLLUO010000021,JBLLUO010000013,JBLLUO010000014,JBLLUO010000024,JBLLUO010000001,JBLLUO010000002,JBLLUO010000006,JBLLUO010000007,JBLLUO010000026,JBLLUO010000005,JBLLUO010000018,JBLLUO010000019,JBLLUO010000020,JBLLUO010000022,JBLLUO010000004,JBLLUO010000009	4847896	GCA_047739095.1	link_v1v2
1185650.1374	15	JBLLUR010000015,JBLLUR010000011,JBLLUR010000007,JBLLUR010000010,JBLLUR010000008,JBLLUR010000013,JBLLUR010000014,JBLLUR010000001,JBLLUR010000002,JBLLUR010000003,JBLLUR010000004,JBLLUR010000009,JBLLUR010000005,JBLLUR010000006,JBLLUR010000012	4959161	GCA_047739165.1	link_v1v2
1430326.7	1	OY970459	5303299	GCA_963853665.1	link_v1v2
144549.17	1	CP194182	6333915		download_bvbrc
146020.13	3	JBTGPB010000001,JBTGPB010000002,JBTGPB010000003	7296582		download_bvbrc
169765.18	1	OY970455	5077830	GCA_963853655.1	link_v1v2
1764.589	3	AP043789,AP043788,AP043787	5607771	GCA_055386175.1	link_v1v2
1766.141	3	JBLVUS010000002,JBLVUS010000001,JBLVUS010000003	6565671	GCA_048286955.1	link_v1v2
1766.142	9	JBLVUR010000006,JBLVUR010000002,JBLVUR010000003,JBLVUR010000005,JBLVUR010000004,JBLVUR010000007,JBLVUR010000001,JBLVUR010000009,JBLVUR010000008	7135101	GCA_048286935.1	link_v1v2
1766.166	11	CBDBSO010000007,CBDBSO010000001,CBDBSO010000002,CBDBSO010000003,CBDBSO010000011,CBDBSO010000005,CBDBSO010000010,CBDBSO010000008,CBDBSO010000009,CBDBSO010000004,CBDBSO010000006	7115163	GCA_965210375.1	link_v1v2
1767.260	1	CP162651	5257760	GCA_040960825.1	link_v1v2
1767.261	1	CP162939	5523812	GCA_040970175.1	link_v1v2
1767.262	2	CP162918,CP162917	5768492	GCA_040970235.1	link_v1v2
1768.314	1	CP159988	6432395		download_bvbrc
1770.158	1	CP171462	4840014	GCA_043590545.1	link_v1v2
1770.159	1	CP171461	4838903	GCA_043591295.1	link_v1v2
1770.160	1	CP172317	4840003	GCA_044336305.1	link_v1v2
1770.161	1	CP172316	4838927	GCA_044336315.1	link_v1v2
1770.162	1	CP172315	4825824	GCA_044336345.1	link_v1v2
1770.163	1	CP170626	4828261	GCA_045348825.1	link_v1v2
1770.826	1	CP187367	4832524	GCA_049810335.1	link_v1v2
1770.827	2	JBJXVT010000002,JBJXVT010000001	4911315	GCA_051523275.1	link_v1v2
1770.828	1	CP174527	4911363		download_bvbrc
1770.853	1	CM144034	4773124	GCA_055419105.1	link_v1v2
1774.147	25	JBJIAN010000008,JBJIAN010000023,JBJIAN010000003,JBJIAN010000016,JBJIAN010000025,JBJIAN010000006,JBJIAN010000022,JBJIAN010000002,JBJIAN010000007,JBJIAN010000001,JBJIAN010000018,JBJIAN010000010,JBJIAN010000021,JBJIAN010000012,JBJIAN010000017,JBJIAN010000024,JBJIAN010000009,JBJIAN010000014,JBJIAN010000015,JBJIAN010000026,JBJIAN010000004,JBJIAN010000005,JBJIAN010000011,JBJIAN010000013,JBJIAN010000019	5191679	GCA_045310755.1	link_v1v2
1774.149	3	JBLVUP010000003,JBLVUP010000001,JBLVUP010000002	5068679	GCA_048282795.1	link_v1v2
1774.150	2	JBLVUQ010000002,JBLVUQ010000001	5131505	GCA_048286995.1	link_v1v2
1774.151	6	JBLVUV010000003,JBLVUV010000006,JBLVUV010000005,JBLVUV010000004,JBLVUV010000001,JBLVUV010000002	5239709	GCA_048287055.1	link_v1v2
1774.153	20	JBEFSE010000018,JBEFSE010000005,JBEFSE010000009,JBEFSE010000017,JBEFSE010000001,JBEFSE010000015,JBEFSE010000016,JBEFSE010000004,JBEFSE010000011,JBEFSE010000012,JBEFSE010000020,JBEFSE010000008,JBEFSE010000013,JBEFSE010000019,JBEFSE010000002,JBEFSE010000003,JBEFSE010000010,JBEFSE010000014,JBEFSE010000006,JBEFSE010000007	5009404	GCA_053483335.1	link_v1v2
1774.155	25	JBEFSQ010000022,JBEFSQ010000005,JBEFSQ010000024,JBEFSQ010000003,JBEFSQ010000008,JBEFSQ010000010,JBEFSQ010000006,JBEFSQ010000017,JBEFSQ010000012,JBEFSQ010000025,JBEFSQ010000018,JBEFSQ010000020,JBEFSQ010000021,JBEFSQ010000015,JBEFSQ010000023,JBEFSQ010000026,JBEFSQ010000007,JBEFSQ010000009,JBEFSQ010000016,JBEFSQ010000001,JBEFSQ010000013,JBEFSQ010000014,JBEFSQ010000019,JBEFSQ010000002,JBEFSQ010000004	5064482	GCA_053483615.1	link_v1v2
1774.156	25	JBEFSR010000001,JBEFSR010000015,JBEFSR010000026,JBEFSR010000017,JBEFSR010000018,JBEFSR010000027,JBEFSR010000008,JBEFSR010000010,JBEFSR010000025,JBEFSR010000005,JBEFSR010000012,JBEFSR010000020,JBEFSR010000004,JBEFSR010000007,JBEFSR010000021,JBEFSR010000024,JBEFSR010000002,JBEFSR010000006,JBEFSR010000013,JBEFSR010000016,JBEFSR010000022,JBEFSR010000003,JBEFSR010000009,JBEFSR010000011,JBEFSR010000014	5160837	GCA_053483635.1	link_v1v2
1774.157	24	JBEFSS010000001,JBEFSS010000021,JBEFSS010000003,JBEFSS010000015,JBEFSS010000022,JBEFSS010000024,JBEFSS010000004,JBEFSS010000014,JBEFSS010000005,JBEFSS010000009,JBEFSS010000006,JBEFSS010000011,JBEFSS010000016,JBEFSS010000010,JBEFSS010000013,JBEFSS010000018,JBEFSS010000007,JBEFSS010000012,JBEFSS010000017,JBEFSS010000023,JBEFSS010000002,JBEFSS010000008,JBEFSS010000019,JBEFSS010000020	5207983	GCA_053483655.1	link_v1v2
1774.158	15	BAAHWI010000005,BAAHWI010000006,BAAHWI010000009,BAAHWI010000001,BAAHWI010000011,BAAHWI010000003,BAAHWI010000012,BAAHWI010000013,BAAHWI010000014,BAAHWI010000007,BAAHWI010000008,BAAHWI010000010,BAAHWI010000002,BAAHWI010000004,BAAHWI010000015	4984018		download_bvbrc
1774.159	2	LC872744,AP043661	5086557		download_bvbrc
1774.162	25	JAWZTU010000018,JAWZTU010000020,JAWZTU010000014,JAWZTU010000015,JAWZTU010000010,JAWZTU010000024,JAWZTU010000002,JAWZTU010000007,JAWZTU010000012,JAWZTU010000011,JAWZTU010000021,JAWZTU010000026,JAWZTU010000003,JAWZTU010000016,JAWZTU010000017,JAWZTU010000006,JAWZTU010000025,JAWZTU010000027,JAWZTU010000008,JAWZTU010000013,JAWZTU010000019,JAWZTU010000022,JAWZTU010000001,JAWZTU010000004,JAWZTU010000005	5032232		download_bvbrc
1774.164	25	JAWZTX010000011,JAWZTX010000007,JAWZTX010000012,JAWZTX010000015,JAWZTX010000017,JAWZTX010000019,JAWZTX010000003,JAWZTX010000022,JAWZTX010000008,JAWZTX010000016,JAWZTX010000001,JAWZTX010000002,JAWZTX010000010,JAWZTX010000004,JAWZTX010000009,JAWZTX010000020,JAWZTX010000013,JAWZTX010000021,JAWZTX010000024,JAWZTX010000005,JAWZTX010000006,JAWZTX010000014,JAWZTX010000018,JAWZTX010000023,JAWZTX010000025	5047390		download_bvbrc
1781.342	2	CP129323,CP129324	6582791	GCA_045277555.1	link_v1v2
1785.630	1	OZ245772	6020729	GCA_965227825.1	link_v1v2
1796.26	2	JBLVUO010000001,JBLVUO010000002	6752396	GCA_048282815.1	link_v1v2
1799.15	2	CP192572,CP192571	5979920		download_bvbrc
1804.15	2	JBQZRH010000002,CM127516	6127897	GCA_052695285.1	link_v1v2
1804.16	2	CM127517,JBQZRI010000002	6014572	GCA_052695305.1	link_v1v2
1807.22	2	LC872747,AP043664	5831501		download_bvbrc
1807.23	2	AP043663,LC872746	5793490		download_bvbrc
1807.24	2	AP043662,LC872745	5828128		download_bvbrc
1962118.470	1	CP163267	4432260	GCA_041002745.1	link_v1v2
1962118.471	1	CP139869	4809104	GCA_042453215.1	link_v1v2
1962118.472	1	CP139870	4811283	GCA_042453965.1	link_v1v2
1962118.473	1	CP139871	4810110	GCA_042454715.1	link_v1v2
1962118.474	1	CP139872	4811046	GCA_042455445.1	link_v1v2
1962118.475	13	JBLLSR010000007,JBLLSR010000004,JBLLSR010000008,JBLLSR010000011,JBLLSR010000003,JBLLSR010000001,JBLLSR010000009,JBLLSR010000002,JBLLSR010000005,JBLLSR010000012,JBLLSR010000013,JBLLSR010000006,JBLLSR010000010	5106176	GCA_047738115.1	link_v1v2
1962118.476	19	JBLLSS010000001,JBLLSS010000018,JBLLSS010000003,JBLLSS010000005,JBLLSS010000013,JBLLSS010000004,JBLLSS010000009,JBLLSS010000019,JBLLSS010000007,JBLLSS010000014,JBLLSS010000017,JBLLSS010000002,JBLLSS010000010,JBLLSS010000011,JBLLSS010000012,JBLLSS010000006,JBLLSS010000008,JBLLSS010000015,JBLLSS010000016	5052636	GCA_047738125.1	link_v1v2
2587097.3	14	JACIBB010000009,JACIBB010000011,JACIBB010000002,JACIBB010000010,JACIBB010000012,JACIBB010000003,JACIBB010000013,JACIBB010000007,JACIBB010000001,JACIBB010000006,JACIBB010000004,JACIBB010000005,JACIBB010000014,JACIBB010000008	6998111		download_bvbrc
2587126.3	12	JACIAX010000007,JACIAX010000009,JACIAX010000010,JACIAX010000006,JACIAX010000012,JACIAX010000004,JACIAX010000005,JACIAX010000001,JACIAX010000003,JACIAX010000008,JACIAX010000011,JACIAX010000002	6978591		download_bvbrc
280871.16	19	LXOV01000003,LXOV01000010,LXOV01000014,LXOV01000009,LXOV01000019,LXOV01000008,LXOV01000006,LXOV01000005,LXOV01000017,LXOV01000004,LXOV01000012,LXOV01000016,LXOV01000007,LXOV01000013,LXOV01000018,LXOV01000001,LXOV01000002,LXOV01000011,LXOV01000015	6577636	GCA_025331195.1	link_v1v2
2857058.4	2	CP079864,CP079863	6027766	GCA_025263485.1	link_v1v2
2857058.5	2	CP079864,CP079863	6027766	GCA_025263485.1	link_v1v2
2857058.6	2	CP079864,CP079863	6027766	GCA_025263485.1	link_v1v2
2857059.4	11	CP079877,CP079872,CP079871,CP079875,CP079870,CP079879,CP079873,CP079876,CP079874,CP079869,CP079878	5936685	GCA_025263265.1	link_v1v2
2857059.5	11	CP079872,CP079873,CP079870,CP079871,CP079875,CP079869,CP079874,CP079876,CP079879,CP079877,CP079878	5936685	GCA_025263265.1	link_v1v2
2857059.6	11	CP079873,CP079869,CP079877,CP079876,CP079878,CP079872,CP079875,CP079879,CP079871,CP079870,CP079874	5936685	GCA_025263265.1	link_v1v2
2857060.4	4	CP079865,CP079867,CP079866,CP079868	6882089	GCA_025263565.1	link_v1v2
2857060.5	4	CP079865,CP079866,CP079868,CP079867	6882089	GCA_025263565.1	link_v1v2
2857060.6	4	CP079866,CP079865,CP079867,CP079868	6882089	GCA_025263565.1	link_v1v2
2903536.7	5	AP025527,AP025526,AP025524,AP025525,AP025528	6729043	GCA_022179425.1	link_v1v2
2973093.3	1	CP166497	6620168	GCA_041320295.1	link_v1v2
2973594.3	1	CP166457	6621492	GCA_041295725.1	link_v1v2
2978347.3	14	JAODWD010000010,JAODWD010000001,JAODWD010000011,JAODWD010000004,JAODWD010000006,JAODWD010000003,JAODWD010000009,JAODWD010000002,JAODWD010000008,JAODWD010000014,JAODWD010000007,JAODWD010000012,JAODWD010000013,JAODWD010000005	5632578	GCA_025345615.1	link_v1v2
3023368.5	2	BSPZ01000002,BSPZ01000001	6008954	GCA_030161295.1	link_v1v2
3023369.5	3	BSPY01000003,BSPY01000001,BSPY01000002	5836029	GCA_030161275.1	link_v1v2
3023370.3	1	AP027291	6054104	GCA_030295745.1	link_v1v2
3023370.4	1	AP027291	6054104	GCA_030295745.1	link_v1v2
3023370.5	1	AP027291	6054104	GCA_030295745.1	link_v1v2
3023370.6	1	AP027291	6054104	GCA_030295745.1	link_v1v2
3023370.7	1	AP027291	6054104	GCA_030295745.1	link_v1v2
3025189.5	5	JAQYVB010000002,JAQYVB010000001,JAQYVB010000003,JAQYVB010000004,JAQYVB010000005	4509467	GCA_028728255.1	link_v1v2
3056937.4	1	CP129613	6488666	GCA_030486405.1	link_v1v2
3056937.5	1	CP129613	6488666	GCA_030486405.1	link_v1v2
3056937.6	1	CP129613	6488666	GCA_030486405.1	link_v1v2
3064284.3	2	OY726396,OY726395	5224726	GCA_963378085.1	link_v1v2
3064284.4	2	OY726396,OY726395	5224726	GCA_963378085.1	link_v1v2
3064284.5	2	OY726396,OY726395	5224726	GCA_963378085.1	link_v1v2
3064286.3	1	OY726397	5453374	GCA_963378095.1	link_v1v2
3064286.4	1	OY726397	5453374	GCA_963378095.1	link_v1v2
3064286.5	1	OY726397	5453374	GCA_963378095.1	link_v1v2
3064287.3	1	OY726394	4341397	GCA_963378075.1	link_v1v2
3064287.4	1	OY726394	4341397	GCA_963378075.1	link_v1v2
3064287.5	1	OY726394	4341397	GCA_963378075.1	link_v1v2
3064288.3	1	OY726398	4794172	GCA_963378105.1	link_v1v2
3064288.4	1	OY726398	4794172	GCA_963378105.1	link_v1v2
3064288.5	1	OY726398	4794172	GCA_963378105.1	link_v1v2
3073562.3	1	CP134062	6790973		download_bvbrc
3073562.4	1	CP134062	6790973		download_bvbrc
3122055.3	1	CP146371	6056820	GCA_043974665.1	link_v1v2
3145017.3	2	CP155796,CP155797	6259455	GCA_039729195.1	link_v1v2
3145017.4	2	CP155796,CP155797	6259455	GCA_039729195.1	link_v1v2
3145017.5	2	CP155796,CP155797	6259455	GCA_039729195.1	link_v1v2
3289775.3	1	CP169059	5800079	GCA_041890355.1	link_v1v2
3317307.3	1	CP169251	5909519	GCA_041902445.1	link_v1v2
3364295.3	25	JBITCD010000012,JBITCD010000024,JBITCD010000004,JBITCD010000008,JBITCD010000010,JBITCD010000009,JBITCD010000014,JBITCD010000003,JBITCD010000021,JBITCD010000020,JBITCD010000022,JBITCD010000001,JBITCD010000005,JBITCD010000006,JBITCD010000017,JBITCD010000018,JBITCD010000019,JBITCD010000025,JBITCD010000011,JBITCD010000013,JBITCD010000023,JBITCD010000026,JBITCD010000002,JBITCD010000007,JBITCD010000015	6318692	GCA_044452905.1	link_v1v2
3376069.3	2	JBISVF010000002,JBISVF010000001	5521016	GCA_044385025.1	link_v1v2
3378087.3	3	CP174281,CP174282,CP174280	5576639	GCA_045343915.1	link_v1v2
3385967.3	2	CP176427,CP176428	6076186	GCA_046250085.1	link_v1v2
3385967.4	2	CP176427,CP176428	6076186	GCA_046250085.1	link_v1v2
3385968.3	1	CP176429	4823686	GCA_046250075.1	link_v1v2
3385968.4	1	CP176429	4823686	GCA_046250075.1	link_v1v2
3385969.3	1	CP176430	4863145	GCA_046250095.1	link_v1v2
3385969.4	1	CP176430	4863145	GCA_046250095.1	link_v1v2
3391399.3	1	CP182502	5804442	GCA_048282635.1	link_v1v2
3400424.3	5	JBLVUX010000003,JBLVUX010000001,JBLVUX010000005,JBLVUX010000002,JBLVUX010000004	7316505	GCA_048287075.1	link_v1v2
3400425.3	8	JBLVUN010000002,JBLVUN010000008,JBLVUN010000005,JBLVUN010000004,JBLVUN010000007,JBLVUN010000003,JBLVUN010000001,JBLVUN010000006	7727894	GCA_048282715.1	link_v1v2
3400426.3	2	JBLVUL010000001,JBLVUL010000002	7611443	GCA_048282725.1	link_v1v2
36809.1188	3	CP167797,CP167798,CP167799	5161060	GCA_041494495.1	link_v1v2
36809.1189	3	CP167794,CP167795,CP167796	5161060	GCA_041497025.1	link_v1v2
36809.1190	3	CP167803,CP167805,CP167804	5161059	GCA_041499715.1	link_v1v2
36809.1191	3	CP167806,CP167807,CP167808	5161059	GCA_041501425.1	link_v1v2
36809.1192	3	CP167800,CP167801,CP167802	5161058	GCA_041501435.1	link_v1v2
36809.1193	3	CP167809,CP167810,CP167811	5137881	GCA_041501445.1	link_v1v2
36809.1194	1	CP167812	5020550	GCA_041501455.1	link_v1v2
36809.1393	5	JBLVUU010000001,JBLVUU010000005,JBLVUU010000003,JBLVUU010000002,JBLVUU010000004	5286281	GCA_048287035.1	link_v1v2
36809.1394	5	JBLVUW010000003,JBLVUW010000004,JBLVUW010000001,JBLVUW010000002,JBLVUW010000005	5359267	GCA_048287095.1	link_v1v2
36809.1937	2	CP172086,CP172085	4936773	GCA_051055845.1	link_v1v2
36809.1938	2	CP172088,CP172087	4936947	GCA_051056535.1	link_v1v2
36809.1939	2	CP172089,CP172090	4936864	GCA_051056565.1	link_v1v2
36809.1940	2	CP172091,CP172092	4936947	GCA_051057315.1	link_v1v2
36809.1941	2	CP172093,CP172094	4936947	GCA_051057325.1	link_v1v2
36809.1942	2	CM125927,JBQPNS010000002	5063580	GCA_052220945.1	link_v1v2
36809.1943	2	CM125928,JBQPNW010000002	5063585	GCA_052220965.1	link_v1v2
36809.1944	2	JBQPNV010000002,CM125930	5063581	GCA_052221005.1	link_v1v2
36809.1945	2	JBQPNT010000002,CM125932	5063581	GCA_052221045.1	link_v1v2
36809.1946	2	CM125931,JBQPNU010000002	5063579	GCA_052221025.1	link_v1v2
36809.1947	19	JBQYGD010000005,JBQYGD010000014,JBQYGD010000013,JBQYGD010000007,JBQYGD010000015,JBQYGD010000017,JBQYGD010000002,JBQYGD010000004,JBQYGD010000008,JBQYGD010000009,JBQYGD010000003,JBQYGD010000006,JBQYGD010000010,JBQYGD010000001,JBQYGD010000011,JBQYGD010000016,JBQYGD010000012,JBQYGD010000018,JBQYGD010000019	4876164	GCA_052690915.1	link_v1v2
36809.1948	1	CM128802	4781464	GCA_052931425.1	link_v1v2
36809.1950	24	JBOZKZ010000017,JBOZKZ010000006,JBOZKZ010000002,JBOZKZ010000010,JBOZKZ010000023,JBOZKZ010000003,JBOZKZ010000011,JBOZKZ010000019,JBOZKZ010000020,JBOZKZ010000016,JBOZKZ010000018,JBOZKZ010000008,JBOZKZ010000015,JBOZKZ010000022,JBOZKZ010000001,JBOZKZ010000004,JBOZKZ010000005,JBOZKZ010000012,JBOZKZ010000013,JBOZKZ010000024,JBOZKZ010000007,JBOZKZ010000009,JBOZKZ010000014,JBOZKZ010000021	4675041		download_bvbrc
36809.1951	25	JBOZLA010000021,JBOZLA010000003,JBOZLA010000001,JBOZLA010000004,JBOZLA010000012,JBOZLA010000020,JBOZLA010000016,JBOZLA010000018,JBOZLA010000015,JBOZLA010000019,JBOZLA010000005,JBOZLA010000009,JBOZLA010000023,JBOZLA010000008,JBOZLA010000010,JBOZLA010000013,JBOZLA010000014,JBOZLA010000006,JBOZLA010000011,JBOZLA010000017,JBOZLA010000025,JBOZLA010000002,JBOZLA010000007,JBOZLA010000022,JBOZLA010000024	4953767		download_bvbrc
36809.1953	25	JBOZLB010000020,JBOZLB010000005,JBOZLB010000003,JBOZLB010000016,JBOZLB010000014,JBOZLB010000019,JBOZLB010000001,JBOZLB010000011,JBOZLB010000004,JBOZLB010000006,JBOZLB010000025,JBOZLB010000008,JBOZLB010000021,JBOZLB010000023,JBOZLB010000002,JBOZLB010000007,JBOZLB010000013,JBOZLB010000009,JBOZLB010000012,JBOZLB010000015,JBOZLB010000018,JBOZLB010000010,JBOZLB010000017,JBOZLB010000022,JBOZLB010000024	4803403		download_bvbrc
