sequence,cluster,genome
GCF_000356465.2_prophage_1,10,GCF_000356465.2
GCF_000356645.2_prophage_2,1,GCF_000356645.2
GCF_000356725.1_prophage_4,20,GCF_000356725.1
GCF_000356725.1_prophage_7,9,GCF_000356725.1
GCF_000357305.2_prophage_4,3,GCF_000357305.2
GCF_000357465.2_prophage_3,13,GCF_000357465.2
GCF_000357625.2_prophage_3,10,GCF_000357625.2
GCF_000357985.2_prophage_3,10,GCF_000357985.2
GCF_000358085.2_prophage_5,15,GCF_000358085.2
GCF_000358105.2_prophage_5,15,GCF_000358105.2
GCF_000358715.2_prophage_1,10,GCF_000358715.2
GCF_000364365.1_prophage_5,1,GCF_000364365.1
GCF_000387865.2_prophage_5,3,GCF_000387865.2
GCF_000397705.1_prophage_3,10,GCF_000397705.1
GCF_000403965.1_prophage_2,14,GCF_000403965.1
GCF_000407705.1_prophage_3,1,GCF_000407705.1
GCF_000407745.1_prophage_1,1,GCF_000407745.1
GCF_000407945.1_prophage_6,20,GCF_000407945.1
GCF_000407965.1_prophage_7,1,GCF_000407965.1
GCF_000408045.1_prophage_7,20,GCF_000408045.1
GCF_000408305.1_prophage_3,3,GCF_000408305.1
GCF_000408445.1_prophage_7,10,GCF_000408445.1
GCF_000408485.1_prophage_1,1,GCF_000408485.1
GCF_000408605.1_prophage_5,13,GCF_000408605.1
GCF_000410675.2_prophage_4,3,GCF_000410675.2
GCF_000418615.2_prophage_1,13,GCF_000418615.2
GCF_000418735.2_prophage_2,15,GCF_000418735.2
GCF_000418755.2_prophage_2,15,GCF_000418755.2
GCF_000442085.2_prophage_1,15,GCF_000442085.2
GCF_000442085.2_prophage_2,9,GCF_000442085.2
GCF_000446195.2_prophage_3,16,GCF_000446195.2
GCF_000446225.2_prophage_2,10,GCF_000446225.2
GCF_000446365.2_prophage_4,16,GCF_000446365.2
GCF_000446645.2_prophage_7,15,GCF_000446645.2
GCF_000446745.2_prophage_2,17,GCF_000446745.2
GCF_000446785.2_prophage_7,5,GCF_000446785.2
GCF_000446865.2_prophage_4,9,GCF_000446865.2
GCF_000447065.2_prophage_6,12,GCF_000447065.2
GCF_000456045.1_prophage_3,20,GCF_000456045.1
GCF_000456365.1_prophage_4,20,GCF_000456365.1
GCF_000456385.1_prophage_2,2,GCF_000456385.1
GCF_000456505.1_prophage_6,8,GCF_000456505.1
GCF_000456525.1_prophage_3,12,GCF_000456525.1
GCF_000456665.1_prophage_9,8,GCF_000456665.1
GCF_000456845.1_prophage_1,1,GCF_000456845.1
GCF_000456885.1_prophage_5,1,GCF_000456885.1
GCF_000457105.1_prophage_2,1,GCF_000457105.1
GCF_000457405.1_prophage_5,1,GCF_000457405.1
GCF_000457455.1_prophage_2,14,GCF_000457455.1
GCF_000457475.1_prophage_7,2,GCF_000457475.1
GCF_000457615.1_prophage_4,13,GCF_000457615.1
GCF_000457655.1_prophage_11,13,GCF_000457655.1
GCF_000457695.1_prophage_2,16,GCF_000457695.1
GCF_000457735.1_prophage_6,1,GCF_000457735.1
GCF_000457895.1_prophage_6,1,GCF_000457895.1
GCF_000458075.1_prophage_3,1,GCF_000458075.1
GCF_000458295.1_prophage_5,12,GCF_000458295.1
GCF_000458355.1_prophage_2,1,GCF_000458355.1
GCF_000458455.1_prophage_6,20,GCF_000458455.1
GCF_000458475.1_prophage_2,20,GCF_000458475.1
GCF_000458605.1_prophage_1,1,GCF_000458605.1
GCF_000458605.1_prophage_4,11,GCF_000458605.1
GCF_000458665.1_prophage_5,19,GCF_000458665.1
GCF_000458685.1_prophage_2,14,GCF_000458685.1
GCF_000458875.1_prophage_1,13,GCF_000458875.1
GCF_000458875.1_prophage_6,13,GCF_000458875.1
GCF_000458935.1_prophage_4,2,GCF_000458935.1
GCF_000458955.1_prophage_1,1,GCF_000458955.1
GCF_000459275.1_prophage_6,8,GCF_000459275.1
GCF_000459375.1_prophage_9,12,GCF_000459375.1
GCF_000459435.1_prophage_4,13,GCF_000459435.1
GCF_000459475.1_prophage_2,1,GCF_000459475.1
GCF_000459595.1_prophage_1,20,GCF_000459595.1
GCF_000459675.1_prophage_5,3,GCF_000459675.1
GCF_000459735.1_prophage_5,2,GCF_000459735.1
GCF_000459795.1_prophage_2,8,GCF_000459795.1
GCF_000459835.1_prophage_2,10,GCF_000459835.1
GCF_000459835.1_prophage_4,12,GCF_000459835.1
GCF_000459855.1_prophage_1,5,GCF_000459855.1
GCF_000459895.1_prophage_4,1,GCF_000459895.1
GCF_000460135.1_prophage_2,1,GCF_000460135.1
GCF_000460255.1_prophage_2,3,GCF_000460255.1
GCF_000460315.1_prophage_2,16,GCF_000460315.1
GCF_000460335.1_prophage_3,5,GCF_000460335.1
GCF_000460475.1_prophage_1,7,GCF_000460475.1
GCF_000460775.1_prophage_5,1,GCF_000460775.1
GCF_000460815.1_prophage_3,18,GCF_000460815.1
GCF_000460935.1_prophage_2,1,GCF_000460935.1
GCF_000461155.1_prophage_4,15,GCF_000461155.1
GCF_000461315.1_prophage_2,20,GCF_000461315.1
GCF_000461395.1_prophage_3,12,GCF_000461395.1
GCF_000461415.1_prophage_3,12,GCF_000461415.1
GCF_000461655.1_prophage_1,10,GCF_000461655.1
GCF_000461775.1_prophage_7,14,GCF_000461775.1
GCF_000461935.2_prophage_13,9,GCF_000461935.2
GCF_000461975.2_prophage_1,13,GCF_000461975.2
GCF_000462105.2_prophage_2,15,GCF_000462105.2
GCF_000462265.2_prophage_2,13,GCF_000462265.2
GCF_000462345.2_prophage_1,13,GCF_000462345.2
GCF_000462445.2_prophage_5,15,GCF_000462445.2
GCF_000462525.2_prophage_1,9,GCF_000462525.2
GCF_000462565.2_prophage_1,12,GCF_000462565.2
GCF_000462805.2_prophage_2,16,GCF_000462805.2
GCF_000468515.1_prophage_4,13,GCF_000468515.1
GCF_000471105.1_prophage_1,15,GCF_000471105.1
GCF_000471265.1_prophage_1,12,GCF_000471265.1
GCF_000471305.1_prophage_2,15,GCF_000471305.1
GCF_000471365.1_prophage_5,13,GCF_000471365.1
GCF_000471465.1_prophage_3,13,GCF_000471465.1
GCF_000473725.2_prophage_4,16,GCF_000473725.2
GCF_000485675.1_prophage_3,17,GCF_000485675.1
GCF_000488575.1_prophage_3,15,GCF_000488575.1
GCF_000488775.1_prophage_6,10,GCF_000488775.1
GCF_000492235.1_prophage_2,20,GCF_000492235.1
GCF_000494955.1_prophage_5,12,GCF_000494955.1
GCF_000498235.1_prophage_7,9,GCF_000498235.1
GCF_000498815.2_prophage_6,1,GCF_000498815.2
GCF_000503415.1_prophage_2,17,GCF_000503415.1
GCF_000503635.1_prophage_6,17,GCF_000503635.1
GCF_000506445.2_prophage_3,20,GCF_000506445.2
GCF_000511465.1_prophage_2,12,GCF_000511465.1
GCF_000511485.1_prophage_4,20,GCF_000511485.1
GCF_000511525.1_prophage_2,20,GCF_000511525.1
GCF_000512625.1_prophage_3,14,GCF_000512625.1
GCF_000513035.1_prophage_1,3,GCF_000513035.1
GCF_000513035.1_prophage_4,2,GCF_000513035.1
GCF_000513035.1_prophage_5,2,GCF_000513035.1
GCF_000513375.1_prophage_4,17,GCF_000513375.1
GCF_000517245.1_prophage_6,14,GCF_000517245.1
GCF_000517245.1_prophage_7,14,GCF_000517245.1
GCF_000520035.1_prophage_12,2,GCF_000520035.1
GCF_000522125.1_prophage_7,20,GCF_000522125.1
GCF_000522145.1_prophage_7,20,GCF_000522145.1
GCF_000522145.1_prophage_9,20,GCF_000522145.1
GCF_000522185.2_prophage_1,16,GCF_000522185.2
GCF_000522205.1_prophage_4,2,GCF_000522205.1
GCF_000522225.1_prophage_3,1,GCF_000522225.1
GCF_000522245.1_prophage_3,14,GCF_000522245.1
GCF_000522345.1_prophage_7,20,GCF_000522345.1
GCF_000601135.1_prophage_3,18,GCF_000601135.1
GCF_000614405.2_prophage_6,13,GCF_000614405.2
GCF_000614565.2_prophage_1,16,GCF_000614565.2
GCF_000614885.2_prophage_3,20,GCF_000614885.2
GCF_000615145.1_prophage_4,9,GCF_000615145.1
GCF_000615455.2_prophage_5,10,GCF_000615455.2
GCF_000616195.2_prophage_1,12,GCF_000616195.2
GCF_000616585.2_prophage_1,1,GCF_000616585.2
GCF_000616685.2_prophage_4,15,GCF_000616685.2
GCF_000617145.2_prophage_2,16,GCF_000617145.2
GCF_000617185.2_prophage_1,15,GCF_000617185.2
GCF_000617345.1_prophage_1,12,GCF_000617345.1
GCF_000617345.1_prophage_4,13,GCF_000617345.1
GCF_000617405.2_prophage_4,15,GCF_000617405.2
GCF_000618105.2_prophage_2,13,GCF_000618105.2
GCF_000618145.2_prophage_3,15,GCF_000618145.2
GCF_000618525.1_prophage_1,20,GCF_000618525.1
GCF_000618665.1_prophage_2,9,GCF_000618665.1
GCF_000618665.1_prophage_4,20,GCF_000618665.1
GCF_000618685.1_prophage_3,13,GCF_000618685.1
GCF_000619445.1_prophage_3,3,GCF_000619445.1
GCF_000619465.2_prophage_1,7,GCF_000619465.2
GCF_000619485.1_prophage_4,12,GCF_000619485.1
GCF_000619545.2_prophage_3,20,GCF_000619545.2
GCF_000619565.2_prophage_3,4,GCF_000619565.2
GCF_000619605.1_prophage_6,4,GCF_000619605.1
GCF_000622465.2_prophage_3,12,GCF_000622465.2
GCF_000622485.2_prophage_5,15,GCF_000622485.2
GCF_000622535.2_prophage_7,7,GCF_000622535.2
GCF_000622795.2_prophage_1,15,GCF_000622795.2
GCF_000622855.2_prophage_1,16,GCF_000622855.2
GCF_000627075.1_prophage_2,4,GCF_000627075.1
GCF_000627075.1_prophage_4,16,GCF_000627075.1
GCF_000627135.1_prophage_9,16,GCF_000627135.1
GCF_000627315.1_prophage_5,15,GCF_000627315.1
GCF_000627885.1_prophage_4,15,GCF_000627885.1
GCF_000627985.1_prophage_3,3,GCF_000627985.1
GCF_000632615.2_prophage_4,10,GCF_000632615.2
GCF_000632675.2_prophage_4,4,GCF_000632675.2
GCF_000687025.1_prophage_1,10,GCF_000687025.1
GCF_000687065.1_prophage_8,15,GCF_000687065.1
GCF_000690965.1_prophage_6,14,GCF_000690965.1
GCF_000690985.1_prophage_1,10,GCF_000690985.1
GCF_000692395.1_prophage_3,2,GCF_000692395.1
GCF_000692475.1_prophage_2,1,GCF_000692475.1
GCF_000692555.1_prophage_2,16,GCF_000692555.1
GCF_000692715.1_prophage_3,13,GCF_000692715.1
GCF_000692735.1_prophage_10,17,GCF_000692735.1
GCF_000692835.1_prophage_3,2,GCF_000692835.1
GCF_000695115.1_prophage_7,3,GCF_000695115.1
GCF_000695175.1_prophage_2,12,GCF_000695175.1
GCF_000696835.1_prophage_1,2,GCF_000696835.1
GCF_000699365.1_prophage_5,1,GCF_000699365.1
GCF_000700085.1_prophage_6,8,GCF_000700085.1
GCF_000700325.1_prophage_4,3,GCF_000700325.1
GCF_000700405.1_prophage_1,4,GCF_000700405.1
GCF_000700405.1_prophage_6,20,GCF_000700405.1
GCF_000700465.1_prophage_3,6,GCF_000700465.1
GCF_000700565.1_prophage_3,4,GCF_000700565.1
GCF_000700605.1_prophage_1,1,GCF_000700605.1
GCF_000701145.1_prophage_1,4,GCF_000701145.1
GCF_000703205.1_prophage_12,15,GCF_000703205.1
GCF_000703205.1_prophage_6,1,GCF_000703205.1
GCF_000703225.1_prophage_9,1,GCF_000703225.1
GCF_000703325.1_prophage_15,1,GCF_000703325.1
GCF_000703565.1_prophage_1,4,GCF_000703565.1
GCF_000703805.1_prophage_2,13,GCF_000703805.1
GCF_000703805.1_prophage_3,12,GCF_000703805.1
GCF_000703825.1_prophage_2,13,GCF_000703825.1
GCF_000703845.1_prophage_3,10,GCF_000703845.1
GCF_000703885.1_prophage_3,1,GCF_000703885.1
GCF_000704505.1_prophage_1,16,GCF_000704505.1
GCF_000704725.1_prophage_5,17,GCF_000704725.1
GCF_000704805.1_prophage_4,2,GCF_000704805.1
GCF_000704885.1_prophage_2,4,GCF_000704885.1
GCF_000704885.1_prophage_6,12,GCF_000704885.1
GCF_000704905.1_prophage_5,12,GCF_000704905.1
GCF_000708145.1_prophage_2,8,GCF_000708145.1
GCF_000711435.1_prophage_1,1,GCF_000711435.1
GCF_000711485.1_prophage_1,15,GCF_000711485.1
GCF_000711565.1_prophage_7,12,GCF_000711565.1
GCF_000713135.1_prophage_2,16,GCF_000713135.1
GCF_000713255.1_prophage_3,12,GCF_000713255.1
GCF_000713315.1_prophage_4,14,GCF_000713315.1
GCF_000713735.1_prophage_3,4,GCF_000713735.1
GCF_000713785.1_prophage_2,16,GCF_000713785.1
GCF_000713815.1_prophage_4,8,GCF_000713815.1
GCF_000713975.1_prophage_2,1,GCF_000713975.1
GCF_000713985.1_prophage_1,12,GCF_000713985.1
GCF_000714105.1_prophage_4,20,GCF_000714105.1
GCF_000714995.1_prophage_2,13,GCF_000714995.1
GCF_000725305.1_prophage_3,2,GCF_000725305.1
GCF_000731355.1_prophage_6,8,GCF_000731355.1
GCF_000731355.1_prophage_7,5,GCF_000731355.1
GCF_000732965.1_prophage_2,2,GCF_000732965.1
GCF_000734955.1_prophage_7,10,GCF_000734955.1
GCF_000749575.1_prophage_3,3,GCF_000749575.1
GCF_000750555.1_prophage_5,7,GCF_000750555.1
GCF_000752135.1_prophage_4,16,GCF_000752135.1
GCF_000752195.1_prophage_4,6,GCF_000752195.1
GCF_000752235.1_prophage_2,3,GCF_000752235.1
GCF_000752415.1_prophage_3,20,GCF_000752415.1
GCF_000752455.1_prophage_1,2,GCF_000752455.1
GCF_000752455.1_prophage_9,3,GCF_000752455.1
GCF_000752695.1_prophage_4,2,GCF_000752695.1
GCF_000752695.1_prophage_8,15,GCF_000752695.1
GCF_000752755.1_prophage_6,16,GCF_000752755.1
GCF_000752775.1_prophage_6,3,GCF_000752775.1
GCF_000752815.1_prophage_1,1,GCF_000752815.1
GCF_000752935.1_prophage_1,16,GCF_000752935.1
GCF_000753115.1_prophage_2,3,GCF_000753115.1
GCF_000753215.1_prophage_3,12,GCF_000753215.1
GCF_000753415.1_prophage_2,4,GCF_000753415.1
GCF_000753535.1_prophage_3,19,GCF_000753535.1
GCF_000754855.1_prophage_1,10,GCF_000754855.1
GCF_000754865.1_prophage_1,15,GCF_000754865.1
GCF_000762385.1_prophage_5,14,GCF_000762385.1
GCF_000768125.1_prophage_5,1,GCF_000768125.1
GCF_000768465.1_prophage_2,16,GCF_000768465.1
GCF_000768485.1_prophage_1,1,GCF_000768485.1
GCF_000768485.1_prophage_3,14,GCF_000768485.1
GCF_000768505.1_prophage_5,7,GCF_000768505.1
GCF_000770285.1_prophage_3,1,GCF_000770285.1
GCF_000776175.1_prophage_2,10,GCF_000776175.1
GCF_000776235.1_prophage_6,10,GCF_000776235.1
GCF_000776275.1_prophage_2,10,GCF_000776275.1
GCF_000776355.1_prophage_6,12,GCF_000776355.1
GCF_000776415.1_prophage_1,20,GCF_000776415.1
GCF_000776745.1_prophage_3,17,GCF_000776745.1
GCF_000776835.1_prophage_2,19,GCF_000776835.1
GCF_000776915.1_prophage_1,14,GCF_000776915.1
GCF_000777325.1_prophage_3,10,GCF_000777325.1
GCF_000777555.1_prophage_2,19,GCF_000777555.1
GCF_000778175.1_prophage_4,11,GCF_000778175.1
GCF_000778395.1_prophage_1,14,GCF_000778395.1
GCF_000778475.1_prophage_6,3,GCF_000778475.1
GCF_000779335.1_prophage_2,4,GCF_000779335.1
GCF_000779365.1_prophage_4,13,GCF_000779365.1
GCF_000779695.1_prophage_2,20,GCF_000779695.1
GCF_000779715.1_prophage_2,3,GCF_000779715.1
GCF_000779735.1_prophage_2,20,GCF_000779735.1
GCF_000779835.1_prophage_3,14,GCF_000779835.1
GCF_000780035.1_prophage_3,20,GCF_000780035.1
GCF_000780495.1_prophage_1,3,GCF_000780495.1
GCF_000780615.1_prophage_3,15,GCF_000780615.1
GCF_000780925.1_prophage_1,12,GCF_000780925.1
GCF_000781435.1_prophage_1,13,GCF_000781435.1
GCF_000781455.1_prophage_1,17,GCF_000781455.1
GCF_000781505.1_prophage_1,12,GCF_000781505.1
GCF_000781515.1_prophage_6,12,GCF_000781515.1
GCF_000781695.1_prophage_1,6,GCF_000781695.1
GCF_000781695.1_prophage_2,19,GCF_000781695.1
GCF_000781695.1_prophage_6,15,GCF_000781695.1
GCF_000782035.1_prophage_3,10,GCF_000782035.1
GCF_000782135.1_prophage_2,19,GCF_000782135.1
GCF_000782255.1_prophage_1,2,GCF_000782255.1
GCF_000782275.1_prophage_1,20,GCF_000782275.1
GCF_000782355.1_prophage_5,15,GCF_000782355.1
GCF_000782395.1_prophage_5,5,GCF_000782395.1
GCF_000782455.1_prophage_3,5,GCF_000782455.1
GCF_000782615.1_prophage_5,18,GCF_000782615.1
GCF_000784925.1_prophage_5,11,GCF_000784925.1
GCF_000797595.1_prophage_1,20,GCF_000797595.1
GCF_000797655.1_prophage_7,20,GCF_000797655.1
GCF_000797675.1_prophage_5,12,GCF_000797675.1
GCF_000797695.1_prophage_5,15,GCF_000797695.1
GCF_000797715.1_prophage_6,6,GCF_000797715.1
GCF_000797755.1_prophage_2,14,GCF_000797755.1
GCF_000797875.1_prophage_4,10,GCF_000797875.1
GCF_000797935.1_prophage_7,20,GCF_000797935.1
GCF_000798535.1_prophage_1,5,GCF_000798535.1
GCF_000798595.1_prophage_6,3,GCF_000798595.1
GCF_000800765.1_prophage_4,7,GCF_000800765.1
GCF_000803705.1_prophage_13,13,GCF_000803705.1
GCF_000803705.1_prophage_8,2,GCF_000803705.1
GCF_000804345.1_prophage_4,9,GCF_000804345.1
GCF_000806175.1_prophage_1,2,GCF_000806175.1
GCF_000812235.1_prophage_2,14,GCF_000812235.1
GCF_000812305.1_prophage_6,16,GCF_000812305.1
GCF_000812725.1_prophage_2,14,GCF_000812725.1
GCF_000817425.1_prophage_6,4,GCF_000817425.1
GCF_000818965.1_prophage_1,15,GCF_000818965.1
GCF_000818985.1_prophage_2,3,GCF_000818985.1
GCF_000818985.1_prophage_6,3,GCF_000818985.1
GCF_000819015.1_prophage_8,3,GCF_000819015.1
GCF_000819105.1_prophage_2,20,GCF_000819105.1
GCF_000819245.1_prophage_1,7,GCF_000819245.1
GCF_000819285.1_prophage_2,4,GCF_000819285.1
GCF_000819375.1_prophage_3,20,GCF_000819375.1
GCF_000819645.1_prophage_1,1,GCF_000819645.1
GCF_000827105.1_prophage_1,8,GCF_000827105.1
GCF_000831715.2_prophage_5,2,GCF_000831715.2
GCF_000935425.1_prophage_2,12,GCF_000935425.1
GCF_000936225.1_prophage_10,2,GCF_000936225.1
GCF_000936475.1_prophage_8,20,GCF_000936475.1
GCF_000936495.1_prophage_5,7,GCF_000936495.1
GCF_000937095.2_prophage_2,17,GCF_000937095.2
GCF_000940355.1_prophage_2,2,GCF_000940355.1
GCF_000940355.1_prophage_7,10,GCF_000940355.1
GCF_000941535.1_prophage_1,14,GCF_000941535.1
GCF_000945955.1_prophage_6,15,GCF_000945955.1
GCF_000948055.1_prophage_1,15,GCF_000948055.1
GCF_000948555.1_prophage_5,20,GCF_000948555.1
GCF_000948605.1_prophage_6,4,GCF_000948605.1
GCF_000948815.1_prophage_6,16,GCF_000948815.1
GCF_000948875.1_prophage_4,15,GCF_000948875.1
GCF_000948885.1_prophage_5,3,GCF_000948885.1
GCF_000948905.1_prophage_4,20,GCF_000948905.1
GCF_000951855.1_prophage_8,11,GCF_000951855.1
GCF_000951895.1_prophage_1,20,GCF_000951895.1
GCF_000951915.1_prophage_2,6,GCF_000951915.1
GCF_000953515.1_prophage_4,7,GCF_000953515.1
GCF_000954045.1_prophage_1,14,GCF_000954045.1
GCF_000965575.1_prophage_8,10,GCF_000965575.1
GCF_000965665.1_prophage_9,10,GCF_000965665.1
GCF_000971615.1_prophage_4,14,GCF_000971615.1
