cohort_order	rung_n	assembly_id	exact_assembly_accession_version	input_line_number	input_occurrence_id	resolution_status	assembly_status	selection_stratum	stage_b_order	random_key	inclusion_probability	inference_weight	engineering_control_membership	collection_row_sha256	row_sha256
29	250	asm-v1-31cd9173370fa4123f9ea13b	GCF_008041205.1	15581	occ-v1-491c68ddd16b1a82aa17f1d1	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0030f2409313f4a00cdc83ca78c90063b00cf10f621178ac989b160d2398c7ac	240/25353	25353/240	.	fee5d7d31116174c3948278c565acc6ac89edfacd691b619454109d1b28aa50c	2f28edc94e10f2c5b764a449e0724c5ee5a6a5ab30518d91020f3f2b3a843835
30	250	asm-v1-b419079f0ccf7758946a758e	GCF_009820795.1	16690	occ-v1-f3ec9eabe50a47fa8f13b4c7	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0035b3c5aa9581d55a656baf683671fd6f5fcea18444f51c8091b72a1deebc14	240/25353	25353/240	.	4cb837ea707006168b2a9ee131d19a84a3c65db12403b243e4092c5f56901eef	0ebccb911195ffe715758909cc2760623b1be7fd497e6c8853cdc06ac63d6609
31	250	asm-v1-9416d74da50a26741c416d3a	GCF_900479385.1	24540	occ-v1-c60424f2d98036423d1ffe49	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0036254a869f52e4b5e4baf7c2a2af713d78816da3cc91f4f00abe7585384748	240/25353	25353/240	.	47d21c64da48992d440fa55a25cb70ae0f3f2a33497af4e3c882102f03ecc650	3d52873eaa2c4e220a3ba99f95ded4cfefaf051b420cf64da79dafa856f5cad2
32	250	asm-v1-b269b6f553a373270f84ba18	GCF_004767475.1	13116	occ-v1-3d626a06c5cd172dff9d10ff	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00367500358dc4d5944333bfc58e8eb74abf0427acb88c7323a96e3f4eddf698	240/25353	25353/240	.	ea4d2d0ff66d211aa546e700912539f671bdd10525542bb812ca78ddaa26d1d4	b822af46c5c31c1a3848bdc97840c129593daa05e89c033d0ea8c49a8a2112cc
33	250	asm-v1-996e1b56b7867eb75e7abe84	GCF_002519245.1	8050	occ-v1-0c586d8040c668df2d38cd6d	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0039af5b2d40b0914e8af313456e865ae2e4455c9cc61ba4d96a3e8415b04d57	240/25353	25353/240	.	c4f722934c466df0ce0bfae4d86daae073d83e5b61350577d5bcea5cc6a55e55	573836b4e17d74e4b00f722b14156ad75abed76ab1fcd82735873518508135e4
34	250	asm-v1-9f93da8d24e49c1bd9dc1bfb	GCF_015644305.1	19555	occ-v1-cb64eb31566547c2fe5186e7	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0043195895b060d62cfdc4b21ce919414b9e6839e2408b94b6ddf701a8d08668	240/25353	25353/240	.	a49c0bd51a7a3bc8541485078825ed437fc6a1ece04418f0ac8f624528a77364	19d3d97e6400d1cb7a784e9f3a4017c6b4c20b6f309e033cecffe8c89dc96621
35	250	asm-v1-9bf79301d532e473a6d4d15e	GCF_001616285.1	4103	occ-v1-12fa9ce86ab42c5bd1cef05c	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0044ea4d63ffb89fc89192f16bdc235d420da3ed49b9500c7f78685b2ff68efc	240/25353	25353/240	.	fab32ea1c00a3e5a8caba8918b349a687d1f9c0fd2289e263e97a5c00764977c	82d4d0be63df41ac8ccff1e75b64d68d223109336d8c58c8b43e4356b6f51f60
36	250	asm-v1-7f24d9da61537a483a8edeb9	GCF_001614645.1	4025	occ-v1-63be57a8eb2d2c84e2e30aef	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0045913553ba16ac04907cda3bd4e569dda9450c52b00cfe67d85b4d206ac890	240/25353	25353/240	.	10330c73920740e3cc0e99a1c19c0b55a8de620dbe56e9b73205331fa776dd28	f328a53f34b0e1f8671e4fba833035aed8c8b708280d384bbe1d4d8f7962abdd
37	250	asm-v1-27d405b112a56b6388ddbef4	GCF_013370625.1	17983	occ-v1-9acb81f90ffeabd2adc635e1	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0046976c3cb0e6406771d36ea84143b40afe4d0852ab581762ed9e5c8fd70783	240/25353	25353/240	.	e65f499430fbe584bbf6c881c7fb6c9d94f3cbeb3090e0e51ecd365cb2e6850f	45fe8bb475e34a186726f95919d70aae6a12ada1cffdb36df0ebc3ee22a23908
38	250	asm-v1-1373daf306e4c70962bf7651	GCF_013608825.1	18414	occ-v1-d09fc8a4e14fd324a2a3648d	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	004745ee1c9e093be95fff1c99c29fa899dddc6279ced7897fa96789d408c23d	240/25353	25353/240	.	b81d970cefcfd6393364fcc3739311a2787f410c43b8331e9e3c8abc5aee9dfe	213a1141d7fe9ccb3bca976124d43fac4ed4e83ac869bec17f942981356b85e6
39	250	asm-v1-566c3eb2b8feeeb03a029d05	GCF_005043625.1	13587	occ-v1-ee3020f31ce144b24d0e3fff	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	004c63aa4bc2ad4e28e357a0fea617e344dc4880cc65b76fadb7764cc7e05ed0	240/25353	25353/240	.	7a06a94bc295154e2595cd28c0fdf4db246469473185cc61a6cc3d0965abce00	0cb61518188ef4a0e26a8431795b9bd0764570e119bc8ecb0a83df3c979dd2da
40	250	asm-v1-d8e1422596935b944b73500f	GCF_902163565.1	25194	occ-v1-3a9e0e5f353206d4ed7efaa6	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	004d0fe539075f59054c285cbe06fc232eb6dbfddab19dff123c0bf7492bb409	240/25353	25353/240	.	7c09983c8e9eb3de8303b2fdfdc85847529524556fad8e3bc93b3a6fdc1e4846	70eed26e04302f92e89d96d758b1d151f903ad005b0f5bec686d73f4cdecbb2a
41	250	asm-v1-62a4d2082d3f90d6cb5304ca	GCF_006351505.1	15367	occ-v1-a03b9f253db56077a7a6fbe4	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	004ff71f8b071d96ebe4f54ae65fb35989db6b55fafe210e5ebb68087a679692	240/25353	25353/240	.	bf701084fb79628ef4167d137980d6b21ed9e9b9238bc2450d43bffd801048bc	73d9ab5e5cdcee596d8a46d39fe12a75936b76e8a026da324b18356c6b0f5565
42	250	asm-v1-4fad43b6b8ac2a5931873b95	GCF_005039315.1	13415	occ-v1-1078cbd3caf8cbd47de68537	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00502bd8c06025808e79608aa73e628ef20305070d4d3b02fadb0aa65f08f643	240/25353	25353/240	.	2be61ba4ecdc690ab8de83cd300f39f1771d428a1a0215596c09e007acd44beb	b2c3963a5c4dcc66426b96968b596cf1878d79a83bf7796322fe767f68101b8a
43	250	asm-v1-ef21b6ec0b8c832cbedc2d93	GCF_005384385.1	13972	occ-v1-5f6f03c1a9a7bcb438e6dfa5	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0051e3ac3daf86de5d20a8ef4e0fca176397a68fc1201c43ecdee113ec1f2adb	240/25353	25353/240	.	c1293393c2012af0653fcbeb7d9e11cd02ee070bdcc670f4e96a71326ae906f9	b1ec091e7d84a1d877c2aef9574de857d3774ada6d7e6e05e5241618376d50ba
44	250	asm-v1-dcfffc170c5656770532cfc6	GCF_016530465.1	20033	occ-v1-6fa4156dcc49668ee42d058d	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0058635f5f3b1a1a2ed4b7e2c5f36e6635765a023748d9f76e74c8ed44322e25	240/25353	25353/240	.	9f4fbecd8431b8d4e057bfcfe9326e3b577b07e4df2bf2f3f35334d124e59c7a	4fcccf91f8ae5475abf3088f5069936164b6230b6e9fbab7b4314eea8f8db93e
45	250	asm-v1-9791d16f22febb6a4da01cdc	GCF_002152015.1	5360	occ-v1-a78f31168e5bd55ba56951a4	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0059c63bfe7c80e82a556b6589b40b1c158933b82582273913a981542db3d2d7	240/25353	25353/240	.	24892dda4fd058efea057ea99d6c64cbb45d53eddb7a120e36f32d208f19cc34	7306c2e3eb744ee140867663278856ba8e3e2bcf39553de76f1ab2fbd1f4c0cf
46	250	asm-v1-0e401af1329ee20675b75db8	GCF_018344735.1	21298	occ-v1-b3792623aeac76d6f01c912d	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005a00819b89f9bdb3af65de2b5ecd3c38b3a1dc795ca46afacf769ace0829e5	240/25353	25353/240	.	0eaf51c33721a51114334f6a5e5ac5b9dd7d2cfcfc05fab77353112598ff5913	22ce64b7cb13f0519641e401bf7c07dd18b35abdf19af63203db252da118fdae
47	250	asm-v1-f8561f5b15e76623fe00d768	GCF_002513625.1	7774	occ-v1-19356397c5e3bc00551e7532	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005c2c4b769ad13707904708a26c9fae936a72a0f32bb33e3a27ff982472c280	240/25353	25353/240	.	82acd3f699266c57f88f2a503f9eaea043f02edae8224bd3f58524c296742741	7e5c99fbb1bb4645e95c85dc26da7ef9e43d8789a75395b80009e961c8d9fefb
48	250	asm-v1-9f5f3eeb65f0f80afca90db7	GCF_002229025.1	6082	occ-v1-afd0a9240dab3b337257c3e8	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005ed0f89961f28d3e0a849130d756aa390eb44bf38e259f65adcbac39bbba38	240/25353	25353/240	.	b751fee7ae96fa42c472416a336ecc6c2a1141d84f6970852954e09c31f4e446	a17e553b4b8e6a336ec422670bc57e240a181b4319b23f9c5b3fc67d7fb5f712
49	250	asm-v1-143198d8a00e3d1908061cae	GCF_000778685.1	2336	occ-v1-d14d6d29c5dbdc9e6e445c01	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005f2442395824dad2aaa47b8dd36107bfd1ede4317c4ef4c7bfd52c8b99d52a	240/25353	25353/240	.	02e4cf402724174f740d8bbbdd1ab91776982ed1df88272bd9adb591599aad67	2e7b391aff45728b14efaf098d55ff1b26d3536a6beed99639799d64fa46268e
50	250	asm-v1-26091108e767413baee190a2	GCF_020037245.1	22700	occ-v1-2276d8d7e874bd8145052e5b	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	005f5637ecf5ea991b0b2c1b47cc419f54e1491e4ec81003ece0a597e5d29c72	240/25353	25353/240	.	a56e26e3123087ab4bb82b5ce9f5ba6bf4eba0c2608b5eb9fe8f35b962ff0ebd	3fea60a2cab8f1bba375ad27744621db0e419d786210b11122e14fc872c3edfb
51	250	asm-v1-1009a57e9d5acb3b90d6791b	GCF_003731035.1	11783	occ-v1-9f263daf2eb13ea3b6a0744f	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00613c798d420551b00ff206f57792583e1f0de9a2e8053b1f1fd64c0996de0b	240/25353	25353/240	.	f15e2949f76516b851c0292f5ec02ccb2b4d4bc4bac60505bc96b9a4971ca4be	d863544f4d0b767748dda3a030adb8caf7f03b1daf0767764d11a947c05d43c7
52	250	asm-v1-c5fbc3318d26f8606d4ee374	GCF_000326585.1	508	occ-v1-67c5bae98bad0e1cef2f9be7	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00648e55845d960ea59abe6b83e4a4110f25d4d590bead700a74fc07da17da19	240/25353	25353/240	.	615283297d1122aebdb55d1acab6178ea4c29d9912c5eff00bc752d79290e7c6	f72ee5e831879628bb0548c1570a0d2451f889e7496a9057887d59ac79107806
53	250	asm-v1-076733fb9cacde0985dcd995	GCF_000780535.1	2413	occ-v1-664f9a2a7a558f940c7f40aa	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00654350618746213d1de46b87c3d2996d00c9fa4c57903aa29e1f3678604a95	240/25353	25353/240	.	50219c8d40cea6901bb39543c8a9f691fa20cf9750d1e7379c31854e92e9428f	265e88212547efd722bcc203ac8b737f8ba3a0563920d76bf82dbc23b8093bf9
54	250	asm-v1-9577d304b0441e1eebff2e03	GCF_003570445.1	11601	occ-v1-d3b36c00d160ca10879fb7e1	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0067cb89c1283c1a2310e365819bab34efb77e998a8052cba801a23ae6ab7797	240/25353	25353/240	.	4ef4ab1d25a78e91720bd6f8e0d5b57b3044c9f21115429915530a7d3013c66b	6d622d3dd882d647c6634ad5cf88462ed4163efde5cba2606620d8025fca4893
55	250	asm-v1-0d112d76668f2ca96d2d62e5	GCF_000447005.2	1047	occ-v1-eb919fb76b799d72ad345d66	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0069408a378cf752a0237a18553524ead3a65eff39e5adff80017b1efca4773b	240/25353	25353/240	.	63e2200146b9607bcbb5544316a50ebbacc4606eb3a02afd5b272d967c8dafb3	a82c7c01995538354007556dd3973cacedbebde0231d17293f297b466d2322a3
56	250	asm-v1-651bbd15909672553530f486	GCF_013073765.1	17541	occ-v1-de5aead60133584e91f029d8	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	006d187f4e3bc870d297f5427f5cc2e711e7bf801ddc2ad2dc1b100c33ab8f7b	240/25353	25353/240	.	5fa2753c22ec6ef9e0e3dec5e4a4e2e9f5a14f51c3f38ed7157c3f2bb474b8f2	2c9c27f3a0705aa9603ab9a9baa2a6290ea122a362b40b03f7d23d24d0c15868
57	250	asm-v1-d23ad41de9f39edda98054bf	GCF_005041275.1	13479	occ-v1-2ac246bcd0cf6271381269fb	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0070a4e68d9feb99d3d7ce8557a30abb1e064479547f20aeb3c11116f7dcd139	240/25353	25353/240	.	8ce2ebead8619e3132831244812c217c4f1e12014afd0989962c6a4a0109db49	cdb2ce29b63ab208ca78af7e593480c07a6eb3fb9d214a8125be5dba69a01bf9
58	250	asm-v1-78de2c22a7d89d63d5d4271a	GCF_014862465.1	18976	occ-v1-c0b5876e39cfadf19e3ec273	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0070ed517dfa67cb56485ca604f2e86f39aa6cdcc075fa9f92a01b2bdb0271c9	240/25353	25353/240	.	526ea4048a59f79075046f6a24ba6671a295fd556fe5c05dede75224e73f24e5	a70f867510a06ef67d8485336f7a4bee8cc1c10aceacbe0e3aee82b533fd269f
