cohort_order	accession	annotation_status	failure_reason	storage_release_id	storage_root	row_sha256
295	GCF_002056065.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002056065.1:9058:4594605-4595318	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	ca27d1ea86ecbfee440549556aa6849950f71bb50d73317669917f55039af585
298	GCF_002165115.2	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002165115.2:9936:2187-3155	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	f28b0272b66ad013df1fce39f96e111b885334f598754c9510a45e541ac72aad
315	GCF_014117345.2	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_014117345.2:10350:95823-96646	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	16f5a5e2b244b3c5f54b9f4557dbc5c82b077aca2260bef3ad031365f2bce48e
317	GCF_017165455.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_017165455.1:11540:34059-36431	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	bbd95850b3f99841b0b8357be16f36c9dc79b099e992a9e664d3b1e5f7f26803
358	GCF_014169415.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_014169415.1:10616:146986-147272	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	41800773525987d674bb12d3b081325fe3e96b984e8d800a15cd7f371bc8190e
370	GCF_018884405.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_018884405.1:9808:4871794-4872741	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	f78deb083dc59e0a227442f04aaccf6d3978419ad4b58aed2f7f351ac45275c4
372	GCF_017570645.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_017570645.1:10814:97955-98455	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	0bdc07911314bb2c296dd33996080dc762af9988240e364b5737112d25910950
377	GCF_001901215.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001901215.1:10011:5101972-5102544	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	f8c753b8ff5d11b89687bb0d4093888b79c2219b4f211d128c130b6d186e914d
382	GCF_001558995.2	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001558995.2:11219:5478489-5479837	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	cc08ee8c6f6c9bc3db6df370c7446f9a9b7d9a67bdfd8bfda820a32c850af653
413	GCF_002142675.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002142675.1:10885:92021-92774	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	1d000cb166793c2e124e4ee189530ab5d970a9eefa5e2da00b25145f0b4d10b7
441	GCF_002011985.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002011985.1:10100:98344-101187	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	09cf574fdac0f71f202c64fb6bd0671c4c877329a6b2c1bdb14b27e7f8fefff9
446	GCF_001860505.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001860505.1:9545:4838959-4839375	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	a634e77d48c5312b7f57290bbd1fc0596bf661b2dea53ca718e30a241409016f
478	GCF_016126995.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_016126995.1:10174:5172686-5173864	canonical-cohort-500-v1-c208c111708b6435	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-500/canonical-cohort-500-v1-c208c111708b6435	dd089ce83b4ffb2c1796bccac99b88cf3768a6bb890adf2e4f8597fc15b35597
526	GCF_008823185.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_008823185.1:9597:12574-13557	SELF	.	afcbf0874a9ce70d76aafd256d4f18043997e49b36705a02a9444d023c459b60
538	GCF_011765445.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_011765445.1:9476:60738-61391	SELF	.	356b19682d5d2bc279c6d5a8d68c0b92301e2c7213c07b83ebf8c60a386265ec
562	GCF_003017375.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_003017375.1:11325:5499969-5501078	SELF	.	429cf1fe0b33736317c88c72030be46d0fe2fac9aaa7bc93edeb2f6b6cd20f9b
567	GCF_009896495.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_009896495.1:205:92506-95202	SELF	.	facab5eb70c7dde4b63ec8c1dd59d4cd6684fa6b97de62e218fea468da8410e6
593	GCF_001806265.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001806265.1:11308:92619-93596	SELF	.	02774a934f63ef51a15728fed22fcd074f8c5ee9c7b0c65e3aa6dc93f635f9fa
617	GCF_013340825.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_013340825.1:9465:45817-46272	SELF	.	6c7757819e21e25caf6aaf13527a8b54803179b94e5f2bd4bd8d7b72f17de83e
635	GCF_020418355.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_020418355.1:51:20150-20569	SELF	.	d29f2805476112fa2ae66bca056f8854492b3ec7c271ef910bc875ec594045ac
655	GCF_001900815.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001900815.1:9215:48205-48460	SELF	.	cc7e046eb0575476b9b6aa1caee3f5a26c43874162201234595f948622f89f42
677	GCF_002310675.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002310675.1:9837:43509-44375	SELF	.	b72e241a67f6e031da82598e71e4fe0ffdbc1491be4968659a94a35128d752ed
685	GCF_008926305.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_008926305.1:11107:3253-3447	SELF	.	e9cc64fa9a3a823675bf8954d2476d05d856d8e24e94740a0d5d2fd520982690
691	GCF_019969625.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_019969625.1:9790:145043-145357	SELF	.	4048a0987456b7c72ccd420523579dec0e46da92c97edb16a3059453327583a5
761	GCF_019915505.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_019915505.1:10827:85561-86203	SELF	.	d6f39f1b67fad63903bc74459a94f2ea2042358768685cdb470cb7c1b0d189d6
782	GCF_003254065.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_003254065.1:9994:112883-113467	SELF	.	a055f921154e8dcd4ec829efac56e1ee6ce9b7baabdf6d8eb1109fca1d92fd36
816	GCF_008632595.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_008632595.1:10237:5098226-5099326	SELF	.	564e65c854c6fb6fb543d04af207874c3f4bebb66053bfc8457470a45856cd25
822	GCF_002156825.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002156825.1:11303:86741-87550	SELF	.	388343fc47045aa7402f7e28bf40768643580ce7fd6dd627a2e6c3ba690a80a9
847	GCF_018884065.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_018884065.1:9556:91869-92090	SELF	.	533455ff71e7c2d70104e5e71ef59895e18ab6fd8ebd7704ecfcf663bf21e369
850	GCF_017639005.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_017639005.1:10201:3592-3915	SELF	.	e0b43670d3385062c9130724eba498d7ee3c5cedbd171326df2703d995bba5a0
881	GCF_002209105.2	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002209105.2:10543:5256539-5257081	SELF	.	adba10a83cfac50231336b002e25e7c3785550364f18057957d1fd7df9852a62
901	GCF_002196475.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002196475.1:10032:5167262-5167702	SELF	.	1eff9f7fe751550cd7dfccc8a45556ea660c1031ead2aa541847b0eee1e652b7
905	GCF_002796445.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002796445.1:9094:4643071-4644351	SELF	.	01fdaae1de68182c830203924c48c82e33edab8d98ba0c677897dd1804c1a1c2
917	GCF_002786655.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_002786655.1:9586:4837279-4838442	SELF	.	552e15e9efd0860541e77ab31a870553b1d50f7726f412673ee901c9924a65aa
971	GCF_001544635.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001544635.1:9265:4659209-4659634	SELF	.	9e067fa053ef3e92c981d2cbd1363bfed47c03e3dcdfee7bee357309d11f61e6
974	GCF_001900635.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001900635.1:10298:173372-174052	SELF	.	5e18cb0b6b19e458490351d425bf4ba3cbcc9c1af822386b7c306d2bc473bfbf
987	GCF_003627195.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_003627195.1:9218:4639338-4640741	SELF	.	ff3d842b5f270b804203454c46966857eaa1144148bb9302c38021ada238d623
1000	GCF_017570625.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_017570625.1:9834:5440-6492	SELF	.	b8cb727a4f19970f1e94142317e031177f166d1e00f558c0093c559ced1c717e
