component	low_value	central_value	high_value	unit	formula_or_assumption	evidence_source
backup_replica	39.2355	54.455859	91.7418	GB_decimal	One checksum-verified replica of primary durable subtotal; same-chassis replica is not a complete disaster-recovery backup	Calculated from primary_durable_subtotal
pre_safety_acquisition_capacity	92.471	148.911717	313.4836	GB_decimal	primary durable + backup replica + indexes/intermediates + conversion scratch + source staging peak	Calculated from preceding TSV rows; excludes optional all-set plain FASTA and compute scratch
safety_margin_25_percent	23.11775	37.227929	78.3709	GB_decimal	25 percent of pre_safety_acquisition_capacity	Calculated from preceding TSV row
acquisition_capacity_including_margin	115.58875	186.139647	391.8545	GB_decimal	pre_safety_acquisition_capacity + safety_margin_25_percent	Calculated from preceding TSV rows; reconciled initial acquisition envelope
compute_scratch_separate	0.5	2	8	TB_decimal	Placeholder for later IMPG/tree/pangenome work; deliberately not in acquisition capacity and must be replaced by pilot measurement	Wide planning assumption only; this task does not design IMPG/tree compute
transfer_duration_at_10_Mbps	8.692333	11.25175	18.543644	hour	source_plus_annotation_transfer GB * 8e9 / (10e6 bit/s * 3600); assumes sustained end-to-end payload rate	Calculated estimate; not a promise and excludes server queue/retries
transfer_duration_at_50_Mbps	1.738467	2.25035	3.708729	hour	source_plus_annotation_transfer GB * 8e9 / (50e6 bit/s * 3600); assumes sustained end-to-end payload rate	Calculated estimate; not a promise and excludes server queue/retries
transfer_duration_at_100_Mbps	0.869233	1.125175	1.854364	hour	source_plus_annotation_transfer GB * 8e9 / (100e6 bit/s * 3600); assumes sustained end-to-end payload rate	Calculated estimate; not a promise and excludes server queue/retries
transfer_duration_at_500_Mbps	0.173847	0.225035	0.370873	hour	source_plus_annotation_transfer GB * 8e9 / (500e6 bit/s * 3600); assumes sustained end-to-end payload rate	Calculated estimate; not a promise and excludes server queue/retries
root_durable_preflight_free_bytes	2400000000000	2400000000000	2400000000000	byte	Require at least 2.4 TB available before starting so high acquisition envelope fits above 2.0 TB stop threshold	Guardrail; / had 2647149449216 bytes available at 2026-07-24T19:49:36Z
root_durable_stop_free_bytes	2000000000000	2000000000000	2000000000000	byte	Stop before creating the next chunk if statvfs user-available bytes fall below 2.0 TB	Conservative operational guardrail for shared root/OS filesystem
root_durable_stop_free_inodes	1000000	1000000	1000000	inode_count	Stop before next chunk below one million available inodes	Guardrail versus high persistent estimate 157462; / had 447717990 available at 2026-07-24T19:49:36Z
scratch_preflight_free_bytes	4000000000000	4000000000000	4000000000000	byte	Require at least 4 TB before a central 2 TB compute-scratch plan while retaining a 2 TB stop reserve	Guardrail; /mnt/nvme3n1 had 5506658492416 bytes available at 2026-07-24T19:49:36Z
scratch_stop_free_bytes	2000000000000	2000000000000	2000000000000	byte	Stop dispatching scratch jobs below 2 TB available; jobs also need per-job peak reservation	Conservative operational guardrail for shared scratch device
scratch_stop_free_inodes	5000000	5000000	5000000	inode_count	Stop dispatching jobs below five million available inodes	Guardrail; /mnt/nvme3n1 had 1492409972 available at 2026-07-24T19:49:36Z
