control_id	control_class	control_scope	assembly_id	exact_assembly_accession_version	fixture_or_evidence	selection_effect	inference_disposition	activation_status	source_release_id	row_sha256
ctrl-v1-6a803cd4aac4e3e63acba253	prophage_interval_edge_extreme	future_synthetic_known_base_fixture	.	.	end_at_contig_end	NONE_POST_SELECTION_LABEL	EXCLUDE_FIXTURE_FROM_HOST_AND_PREVALENCE_INFERENCE	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	bf32448f3d278092e3804d93211721a1e9208d4ac04fcbbecb5d99c550bfa221
ctrl-v1-8612389da03e70d3d3e92b1c	assembly_size_maximum	observed_stage_b_post_selection	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	total_bases=5654428	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	canonical-cohort-010-v1-e71484de9994fc28	4d440d3fd842cd1df05f5ef8f50adf02aa6cf6b583fc59e122298b7e30968c0e
ctrl-v1-8d050208cc617be0f0aab401	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-7f371c333ee496e64e13e7df	GCF_020829045.1	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	046480e5a3afaa8e6ca062cb25c5a37d31e46817de81ea415dfa11d869375583
ctrl-v1-8d37792e9703ed448b721b7d	prophage_interval_edge_extreme	future_synthetic_known_base_fixture	.	.	long_interval	NONE_POST_SELECTION_LABEL	EXCLUDE_FIXTURE_FROM_HOST_AND_PREVALENCE_INFERENCE	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	2938aedb189ca89c4765b6b3f9a2c7ae4fe32b1172dd2b8ec21c01d9c81d43fb
ctrl-v1-90305d694eb79347e4013100	prophage_interval_edge_extreme	future_synthetic_known_base_fixture	.	.	begin_at_contig_start	NONE_POST_SELECTION_LABEL	EXCLUDE_FIXTURE_FROM_HOST_AND_PREVALENCE_INFERENCE	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	b87a8aa43898f18ceefb1c2b1fd663579519b9e850feac1fd01044ad2e54a22c
ctrl-v1-9e23004e66bca75fc69923b8	prophage_interval_edge_extreme	future_synthetic_known_base_fixture	.	.	circular_origin_wrap	NONE_POST_SELECTION_LABEL	EXCLUDE_FIXTURE_FROM_HOST_AND_PREVALENCE_INFERENCE	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	4eb8e2d4fd923e9ef75ea0d5c0d403080145a67a58ee924f29d35552c44d2545
ctrl-v1-a7c59ea99e9afb7a2c386d33	accession_exact_revision_ambiguity	observed_stage_b	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	assembly_version=3	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	collection-v1-f7494b4b89d1382b	6bd55dd0456425f4d6e1d6448e66253e69a6d1e3bf6ac6b17e2cee4b05902473
ctrl-v1-aa1243be96df74b34c85a1a5	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	a9e4477e0f831682f469dd16cd3de4ee05b59d42a39370a9f1f87f215ec6c543
ctrl-v1-aa7dbd6d0ea6c1795db475cf	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-02150e6b828e27945ab71fa9	GCF_000498835.2	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	480731bfc4bc250289409b6782ee3bd3da4ed2a359a7b06e44acfd04081d13dd
ctrl-v1-aaadbb59fd49f83d2465a940	source_contig_role	observed_stage_b_post_selection	asm-v1-59248433db4b9fdb21544d3a	GCF_000812325.1	replicon_role=unplaced-scaffold;source_contig=NZ_JWKE01000001.1	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	canonical-cohort-010-v1-e71484de9994fc28	d4f68f82d850a7bcc7ac32429a38ccba13d389e2b78d0e13ddf77774d8f7acb4
ctrl-v1-c609a6794fb3c7d12436fb55	source_contig_role	observed_stage_b_post_selection	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	replicon_role=assembled-molecule;source_contig=NC_000913.3	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	canonical-cohort-010-v1-e71484de9994fc28	8fc2eecc1c947c48e33c26a105f6badfabe01f75da175dd07ce4965d522837cd
ctrl-v1-ca1840192c4e5fe6b6928ce1	accession_exact_revision_ambiguity	observed_stage_b	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	assembly_version=2	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	collection-v1-f7494b4b89d1382b	146e324baef4c88a7f6da14f6824c2d318e85b3f6c3057be8475d8dafbe004aa
ctrl-v1-ec61adfa0090135da7cb0d3b	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-f932ca427ea3912c33759383	GCF_001881595.4	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	28ae09fd0614d16e6905a3bec595a392548f4a0e1f210f135cac3b7f5665d260
ctrl-v1-f7a1c8cb0ac75fa1267a0ce2	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-f82a0d4920abbc2d92dcaada	GCF_004664255.1	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	4471b71637cf2ab20c96745a60e1435c600657dba50efea4eedcbdb3f17d2514
ctrl-v1-f9cab14fa802a795cb88f146	prophage_interval_edge_extreme	future_synthetic_known_base_fixture	.	.	short_interval	NONE_POST_SELECTION_LABEL	EXCLUDE_FIXTURE_FROM_HOST_AND_PREVALENCE_INFERENCE	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	33b0dd4af766126c1c3554e04c643627b3e230f6f6dda80eacb9deaae0d1f08d
ctrl-v1-fde85b18f1a5a05cbc1855e3	accession_exact_revision_ambiguity	observed_stage_b	asm-v1-f932ca427ea3912c33759383	GCF_001881595.4	assembly_version=4	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	collection-v1-f7494b4b89d1382b	463d56cf560b277e875f269f8946a796668d763ebd2df56eef485b5fbaa79f85
